SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,sRB1
1,MODEL1,PARMS,sRB1,0.669539663,-0.782938052,0.110951104,0.129586082,-1.053673359,0.196273935,0.461251059,-1.375267069,-1
2,MODEL1,PARMS,sRB1,0.632058587,-0.694717744,0.087414084,-0.047020793,0.102732163,0.194877872,0.416864357,-1.201135585,-1
3,MODEL1,PARMS,sRB1,0.661286758,0.649560726,0.256008229,-0.769222992,2.593622764,0.080595952,0.369715071,-1.07498512,-1
4,MODEL1,PARMS,sRB1,0.630384719,-4.292124752,0.0378131,-0.195640754,1.067142084,0.453529806,0.084392513,-0.851171972,-1
5,MODEL1,PARMS,sRB1,0.627888184,-5.262370085,0.073194764,-0.034688422,-0.113808927,0.508600343,-0.829061551,1.807393866,-1
6,MODEL1,PARMS,sRB1,0.699962787,-1.376826782,0.27181635,-0.392758884,0.813402215,0.187478882,0.073866254,0.234386403,-1
7,MODEL1,PARMS,sRB1,0.649994888,-4.800678976,0.167046711,-0.414497208,1.366416971,0.453587778,-0.043128172,-0.778644299,-1
8,MODEL1,PARMS,sRB1,0.63140813,0.367016803,0.155007021,-0.395994193,1.340866356,0.112509097,0.561934275,-1.265738898,-1
9,MODEL1,PARMS,sRB1,0.620450185,-5.216057467,0.248917312,-0.570023888,2.127618139,0.450324246,-0.449804687,0.603635855,-1
10,MODEL1,PARMS,sRB1,0.642474567,-2.162590318,0.283744894,-0.758509722,2.619499102,0.250615524,-0.108534272,0.067454237,-1
11,MODEL1,PARMS,sRB1,0.602127099,-5.829697804,0.162828123,-0.312703814,1.212300638,0.517681159,-0.898955068,1.538022886,-1
12,MODEL1,PARMS,sRB1,0.69035452,1.066060185,0.19469535,-0.4645728,1.307697153,0.064235398,0.863221778,-2.067374291,-1
13,MODEL1,PARMS,sRB1,0.643810191,-0.769562867,0.114756717,-0.085936958,0.026626178,0.196193354,0.796999654,-2.612962954,-1
14,MODEL1,PARMS,sRB1,0.595346829,-3.504724554,0.316291577,-0.764416235,2.312418992,0.333090936,-0.903278488,2.01793163,-1
15,MODEL1,PARMS,sRB1,0.609941572,-0.979517637,0.13342424,-0.319492455,1.136633755,0.214776993,-0.051705153,0.056644656,-1
16,MODEL1,PARMS,sRB1,0.622974623,-3.845439548,0.088526672,-0.32038649,0.983257649,0.431867265,-0.930770106,1.442866473,-1
17,MODEL1,PARMS,sRB1,0.63662613,2.218790194,0.325049259,-0.865462899,2.975565889,-0.057349927,1.038716926,-2.445321357,-1
18,MODEL1,PARMS,sRB1,0.613618486,-5.523934364,0.187645579,-0.321626968,1.182015279,0.48561223,-0.486319901,0.645199524,-1
19,MODEL1,PARMS,sRB1,0.660969854,-1.298515893,0.121636577,-0.268918555,0.814537038,0.242764395,-0.112038633,0.056018996,-1
20,MODEL1,PARMS,sRB1,0.653090851,-5.394571274,0.043522826,0.156449815,-0.828565035,0.510000887,0.024832372,-0.722149891,-1
21,MODEL1,PARMS,sRB1,0.605695928,2.071563874,0.092648454,-0.125452137,0.362678902,0.022014716,0.764892659,-2.091650511,-1
22,MODEL1,PARMS,sRB1,0.623927895,-0.335801806,0.127547264,-0.323307682,1.168995898,0.168641366,0.124008836,-0.271233421,-1
23,MODEL1,PARMS,sRB1,0.650394315,0.940738107,0.213065464,-0.453918347,1.450527621,0.061483623,0.391495627,-0.925641872,-1
24,MODEL1,PARMS,sRB1,0.656218471,0.155541425,0.219181749,-0.726131066,2.672411816,0.1178381,0.461279946,-1.310546163,-1
25,MODEL1,PARMS,sRB1,0.594739875,-0.245752699,0.083336762,-0.120185341,0.373947217,0.175681545,0.551390795,-1.690401513,-1
26,MODEL1,PARMS,sRB1,0.659048461,-5.476006956,0.031752496,0.116705875,-0.606145123,0.533610901,-0.442611173,0.33633342,-1
27,MODEL1,PARMS,sRB1,0.709358333,7.916983977,0.110593195,-0.177050473,0.3964681,-0.36449238,1.726777563,-3.909658913,-1
28,MODEL1,PARMS,sRB1,0.671989191,-1.765777201,0.134635053,-0.198668657,0.829231854,0.24992004,0.402806731,-1.060677373,-1
29,MODEL1,PARMS,sRB1,0.657496517,-1.535028611,0.160577744,-0.331944361,0.898036979,0.240811245,0.137456387,-0.651676767,-1
30,MODEL1,PARMS,sRB1,0.658377079,1.50683015,0.20076369,-0.610232592,2.400182395,0.030660983,0.719876211,-1.920379066,-1
31,MODEL1,PARMS,sRB1,0.678178022,3.158103474,0.196357195,-0.386859951,0.897166817,-0.06517138,0.646469911,-1.424733989,-1
32,MODEL1,PARMS,sRB1,0.633466147,-5.629079221,0.177703885,-0.371242192,1.003537448,0.505299051,-0.746838291,1.151375368,-1
33,MODEL1,PARMS,sRB1,0.656195467,0.524139987,0.073913697,-0.111040093,-0.068571123,0.137188539,-0.002169938,-0.435758109,-1
34,MODEL1,PARMS,sRB1,0.586259253,-0.741969539,0.222862769,-0.733155137,2.750196614,0.175102379,0.214266323,-0.829727017,-1
35,MODEL1,PARMS,sRB1,0.611001843,3.811644219,0.126971092,-0.335120987,1.18428055,-0.100602177,0.865151391,-1.975919033,-1
36,MODEL1,PARMS,sRB1,0.610868593,-0.120283428,0.192694138,-0.590189392,2.199032433,0.141157849,0.244123364,-0.723973489,-1
37,MODEL1,PARMS,sRB1,0.61772671,0.68664868,0.27045818,-0.613783078,2.098512594,0.053887133,0.726871471,-1.543396067,-1
38,MODEL1,PARMS,sRB1,0.641998977,6.303328985,0.279435255,-0.751500743,2.611262813,-0.292151925,1.202902733,-2.785864681,-1
39,MODEL1,PARMS,sRB1,0.633025366,3.624569876,0.162522151,-0.247713539,0.462757325,-0.098539184,0.845122044,-1.932786982,-1
40,MODEL1,PARMS,sRB1,0.631400404,3.11064281,0.14062725,-0.538621127,1.938967691,-0.044275637,0.884119571,-2.448630814,-1
41,MODEL1,PARMS,sRB1,0.679353196,-0.680152346,0.02783503,-0.107415249,0.193178584,0.223674731,0.616236277,-2.039325868,-1
42,MODEL1,PARMS,sRB1,0.646571276,2.452414829,0.150235478,-0.53393351,1.995861665,-0.012645619,0.431087279,-0.627510038,-1
43,MODEL1,PARMS,sRB1,0.610918007,2.08812081,0.092452837,-0.15726331,0.335194858,0.024170334,0.812920321,-2.318402117,-1
44,MODEL1,PARMS,sRB1,0.666459823,1.351203945,0.288543284,-0.672745241,2.334930705,0.017252114,-0.06155786,0.386358789,-1
45,MODEL1,PARMS,sRB1,0.606742832,-2.486889267,0.159180896,-0.590925466,2.322094429,0.304827164,0.134137025,-0.763839094,-1
46,MODEL1,PARMS,sRB1,0.63449096,-1.520348487,0.217317375,-0.41144008,1.346373683,0.222212699,-0.534480189,1.282432052,-1
47,MODEL1,PARMS,sRB1,0.627749636,-2.807596886,0.110813842,-0.092021396,-0.151470931,0.335366468,-0.234486771,0.174447113,-1
48,MODEL1,PARMS,sRB1,0.594262557,-2.159346259,0.149840574,-0.442739684,1.442958404,0.291561313,-0.056644796,-0.184901194,-1
49,MODEL1,PARMS,sRB1,0.661251868,-8.171323889,0.124763578,-0.327336284,1.085814541,0.695262073,-1.399500482,2.478117502,-1
50,MODEL1,PARMS,sRB1,0.605475314,-3.301165022,0.16055605,-0.51462375,1.968527962,0.371003463,-0.850307738,1.557789766,-1
51,MODEL1,PARMS,sRB1,0.664132883,-2.478262305,0.171746755,-0.42631327,1.394661958,0.307760336,-0.541109005,0.973975129,-1
52,MODEL1,PARMS,sRB1,0.643968546,-2.106745865,-0.018616664,0.002828901,0.012209369,0.335269256,-0.457193205,0.863552781,-1
53,MODEL1,PARMS,sRB1,0.615679149,-1.106687424,0.094538013,-0.054863042,-0.173511626,0.234494346,-0.415476597,0.93080156,-1
54,MODEL1,PARMS,sRB1,0.644918466,0.759465782,0.081868675,-0.397581036,1.50351549,0.124421502,0.652373033,-1.912986152,-1
55,MODEL1,PARMS,sRB1,0.622980298,1.409951521,0.090285874,-0.030472967,-0.140356903,0.055176589,0.99940887,-2.519607999,-1
56,MODEL1,PARMS,sRB1,0.652041872,-2.157393541,0.318039041,-0.692714526,2.289103833,0.227522128,0.304884346,-0.848998671,-1
57,MODEL1,PARMS,sRB1,0.652626468,-0.728287466,0.025834031,0.132494142,-0.626575589,0.226813596,-0.234420412,0.406552392,-1
