SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RMB
397,MODEL1,PARMS,RMB,1.263946381,10.51739572,0.192306941,-0.882059686,3.6257747,-0.008165097,3.63973266,-9.509799867,-1
398,MODEL1,PARMS,RMB,1.536523765,3.250083617,0.295504944,-0.571037217,0.981131233,0.442901433,0.349486078,-0.953289889,-1
399,MODEL1,PARMS,RMB,1.325507028,-4.80160035,0.130510599,-0.407922872,2.524726026,1.007651506,-0.04601872,-0.979592396,-1
400,MODEL1,PARMS,RMB,1.344480522,8.622264455,0.220930229,-1.08213771,4.494479821,0.120561255,2.337133197,-6.511315488,-1
401,MODEL1,PARMS,RMB,1.47773003,9.517239736,0.377864671,-0.810764051,2.496545259,0.000658193,2.076922591,-5.544016811,-1
402,MODEL1,PARMS,RMB,1.349067933,7.573592037,0.185815599,-0.55732245,2.45588698,0.167151664,2.693928079,-6.703073917,-1
403,MODEL1,PARMS,RMB,1.490176942,7.161828829,0.27658907,-1.347459655,5.664728074,0.200204369,2.088284065,-6.015803267,-1
404,MODEL1,PARMS,RMB,1.370862465,12.64793215,0.161067218,-0.420680744,1.230590048,-0.138125788,3.131370426,-8.032247777,-1
405,MODEL1,PARMS,RMB,1.380969057,-1.35842781,0.254811021,-1.011042242,3.086831532,0.779093177,0.403322733,-2.432446233,-1
406,MODEL1,PARMS,RMB,1.415195604,-11.07137204,0.276377714,-0.57076099,2.321945416,1.377130299,-1.337909955,1.704954996,-1
407,MODEL1,PARMS,RMB,1.451005764,-0.091902385,0.46717093,-0.925765062,2.155319261,0.611743548,0.05409849,-0.65282927,-1
408,MODEL1,PARMS,RMB,1.467785879,24.02396252,0.085832601,-0.401240425,0.83355342,-0.856643292,5.11218953,-11.98389587,-1
409,MODEL1,PARMS,RMB,1.405109462,10.60870627,0.400066704,-0.623367135,1.096014408,-0.079835167,2.340549572,-5.843413378,-1
410,MODEL1,PARMS,RMB,1.446394947,10.53103738,0.080846473,-0.809300766,3.618456595,0.043607154,2.26198729,-5.830342853,-1
411,MODEL1,PARMS,RMB,1.315061469,16.7209957,0.189060766,-0.635322861,2.479291411,-0.399969938,3.726516311,-8.60368051,-1
412,MODEL1,PARMS,RMB,1.267401212,11.40486145,-0.031643016,0.185128115,-1.066824688,-0.001256845,1.856689792,-4.444158016,-1
413,MODEL1,PARMS,RMB,1.51888756,20.94898777,0.371308541,-1.031877244,3.353721694,-0.731464927,3.711251334,-8.682002284,-1
414,MODEL1,PARMS,RMB,1.449033809,17.89125814,0.351244647,-1.273033917,5.097651694,-0.527968673,4.04141001,-9.73666673,-1
415,MODEL1,PARMS,RMB,1.38597666,11.6082136,0.146679189,-0.34368428,0.457166362,-0.050214208,1.022272046,-2.458283619,-1
416,MODEL1,PARMS,RMB,1.328532286,0.774775137,-0.013108578,0.179344465,-1.138006416,0.689147566,0.192487232,-1.823626879,-1
417,MODEL1,PARMS,RMB,1.391205017,7.693629415,-0.019301981,-0.344930238,1.753209586,0.250413858,0.954113607,-2.604885652,-1
418,MODEL1,PARMS,RMB,1.373374803,16.27111921,0.189039721,-0.431215587,1.574888726,-0.375343758,1.82764575,-3.811977286,-1
419,MODEL1,PARMS,RMB,1.274301098,-8.747064908,0.313288397,-1.188125373,5.098940011,1.223520221,-1.070438232,0.52314225,-1
420,MODEL1,PARMS,RMB,1.522536405,33.08525063,0.094231033,-0.450210715,1.811131123,-1.46103386,6.541013732,-14.10774162,-1
421,MODEL1,PARMS,RMB,1.329994053,2.27806506,0.106521126,-0.467115982,1.889658363,0.567780478,0.482253882,-2.13098612,-1
422,MODEL1,PARMS,RMB,1.700932644,-3.080475533,0.16865276,-0.829403423,3.196965736,0.916413204,-1.464664186,2.335832037,-1
423,MODEL1,PARMS,RMB,1.354291063,-2.127055648,0.105421159,-0.516176645,2.646580962,0.870766346,-1.322118053,2.599795902,-1
424,MODEL1,PARMS,RMB,1.389243889,-7.977649447,0.467758408,-1.550654957,5.547643348,1.144094757,-2.128615571,4.323857317,-1
425,MODEL1,PARMS,RMB,1.509865915,9.749992368,0.038323318,-0.250519387,0.466641582,0.10315445,1.776549296,-4.807148724,-1
426,MODEL1,PARMS,RMB,1.402805411,6.211758072,0.02315444,-0.302718752,1.52172623,0.332610083,1.374115655,-4.317157265,-1
427,MODEL1,PARMS,RMB,1.443538095,8.241125229,0.146242313,-0.603410734,1.979369867,0.145245437,1.878688325,-4.536982573,-1
