SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RB1
265,MODEL1,PARMS,RB1,0.917757239,-10.62894902,0.119181029,-0.38308802,1.338100632,0.916540024,-1.941728432,4.206211549,-1
266,MODEL1,PARMS,RB1,1.026942507,-7.448169217,0.028330134,-0.106092539,0.367289243,0.733307183,-1.179976864,2.932591842,-1
267,MODEL1,PARMS,RB1,0.870639526,-3.314097519,0.144353315,-0.553968206,2.550424506,0.435419044,-0.103086968,-0.333922495,-1
268,MODEL1,PARMS,RB1,0.890836135,3.652379826,0.155517943,-0.272510282,1.026841893,-0.051295183,1.562158333,-3.374715526,-1
269,MODEL1,PARMS,RB1,0.995473723,-5.342905768,0.330195491,-0.687454867,2.375299711,0.491378067,0.102286405,-0.294114302,-1
270,MODEL1,PARMS,RB1,0.882548906,-5.074282985,0.198424916,-0.754912242,3.203253633,0.517578446,0.25183282,-1.160722822,-1
271,MODEL1,PARMS,RB1,1.011233347,0.289928935,0.140779899,-0.143120951,0.160066106,0.189532524,0.276426007,-0.174369747,-1
272,MODEL1,PARMS,RB1,0.950799347,10.04720038,0.050463247,0.071585218,-0.605516821,-0.435055635,2.469443909,-5.473034185,-1
273,MODEL1,PARMS,RB1,0.867856547,-7.956422393,0.128614366,-0.343134803,1.094201067,0.745942255,-2.012074871,4.411205542,-1
274,MODEL1,PARMS,RB1,1.01307538,-0.292686717,0.181887398,-0.206534697,0.34236519,0.211952519,0.605262033,-1.409919396,-1
275,MODEL1,PARMS,RB1,0.968886404,-0.005179846,0.251357531,-0.640457478,2.290277253,0.173640471,0.497769718,-0.614580214,-1
276,MODEL1,PARMS,RB1,0.912055616,-2.119800242,0.093302436,-0.308376032,1.139075743,0.375526688,-0.974525951,2.955042957,-1
277,MODEL1,PARMS,RB1,1.031261023,1.0643793,0.261987555,-0.76773316,2.956210072,0.100458395,0.770281898,-1.39921524,-1
278,MODEL1,PARMS,RB1,0.969817184,9.700400197,-0.034150275,0.25933749,-1.128630792,-0.382785066,2.142042153,-4.606124347,-1
279,MODEL1,PARMS,RB1,0.932437605,-9.347129582,0.328839613,-0.705701188,2.048277144,0.770124829,-1.329180573,2.979518571,-1
280,MODEL1,PARMS,RB1,0.986311265,3.125628262,0.095790193,-0.10462957,-0.275636588,0.007930186,2.059946348,-5.158644572,-1
281,MODEL1,PARMS,RB1,0.894436394,-5.800219312,0.046508716,-0.393819834,1.674436988,0.628696582,-0.752212059,1.709693591,-1
282,MODEL1,PARMS,RB1,0.900567404,-2.413250367,0.272163152,-0.626540639,1.860611458,0.318401989,0.384518402,-0.660098306,-1
283,MODEL1,PARMS,RB1,1.267484998,-8.434542742,0.39218962,-0.854900289,2.491760445,0.697252574,-1.308208205,3.481158454,-1
284,MODEL1,PARMS,RB1,0.947188029,-8.534056666,0.182057327,-0.028232038,-0.289364553,0.741640613,-1.437259268,3.702650901,-1
285,MODEL1,PARMS,RB1,0.867809979,-6.50007293,0.032125052,-0.306399091,1.385599768,0.674542398,-0.88311331,1.242303905,-1
286,MODEL1,PARMS,RB1,1.03840786,-4.555852875,0.311126099,-0.414460331,1.013191439,0.450692945,-1.275060823,3.734105507,-1
287,MODEL1,PARMS,RB1,1.028276317,4.952424993,0.166950167,-0.151988777,-0.061246909,-0.133392082,1.432535794,-2.866310184,-1
288,MODEL1,PARMS,RB1,0.869793679,1.256697353,0.148898097,-0.594032595,1.880090819,0.147251632,-0.239234177,0.68797106,-1
289,MODEL1,PARMS,RB1,0.918899548,-10.13839034,0.17379579,-0.347624589,1.397485195,0.857895558,-1.703196372,4.82167067,-1
290,MODEL1,PARMS,RB1,0.870586821,-0.411304604,0.135963591,-0.449756816,1.569813278,0.244813902,0.124802796,-0.025402502,-1
291,MODEL1,PARMS,RB1,0.877133222,1.195632511,0.274823469,-0.820885303,2.899591281,0.079424164,1.81196261,-4.462490925,-1
292,MODEL1,PARMS,RB1,1.416749398,-5.390443195,0.48666066,-1.000374531,2.906677947,0.472909674,-2.537109884,7.967821968,-1
293,MODEL1,PARMS,RB1,0.870736285,-3.933061791,0.01214365,-0.201335511,0.720968315,0.516418138,-1.526241557,3.901101195,-1
294,MODEL1,PARMS,RB1,1.023231824,-1.278671094,0.074296489,-0.283485272,0.924306464,0.324013443,0.191367463,-0.572796121,-1
295,MODEL1,PARMS,RB1,1.024247551,-4.536502633,0.269468565,-0.526063927,1.641730738,0.477160724,-1.020948782,2.822022563,-1
296,MODEL1,PARMS,RB1,0.963072064,-4.401477298,0.086143988,-0.063473369,0.032854024,0.511716091,-0.88931411,2.150583242,-1
297,MODEL1,PARMS,RB1,0.932321006,-1.012858342,-0.00731097,0.285533039,-1.133253792,0.306541705,0.275967418,-0.518195213,-1
298,MODEL1,PARMS,RB1,0.846645674,-3.261646702,0.013418491,-0.062586873,0.181364907,0.464747563,-0.837329065,1.788298392,-1
299,MODEL1,PARMS,RB1,0.938479204,-0.621319924,-0.000258741,-0.065180756,0.035044172,0.300057658,-0.160929298,0.317682434,-1
