SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,sRB4
606,MODEL1,PARMS,sRB4,0.546097646,-1.322413345,0.114461013,-0.018208213,-0.263013221,0.21357244,0.328934455,-1.32604962,-1
607,MODEL1,PARMS,sRB4,0.511513347,1.814436688,0.116464291,0.024500425,-0.639831557,0.012791632,0.649766752,-1.771611232,-1
608,MODEL1,PARMS,sRB4,0.536641196,2.227371709,0.114153867,-0.267854997,0.770186144,-0.005652915,0.83338902,-2.23340836,-1
609,MODEL1,PARMS,sRB4,0.494594013,2.434999924,0.137501936,-0.259996817,0.606448977,-0.027888267,0.868624967,-2.372979885,-1
610,MODEL1,PARMS,sRB4,0.521762789,1.909955566,0.094283035,-0.18408973,0.215515554,0.037403007,-0.011402001,-0.382641823,-1
611,MODEL1,PARMS,sRB4,0.511408902,0.577061787,0.045239621,0.024083359,-0.279276054,0.115346942,0.910465023,-2.752108399,-1
612,MODEL1,PARMS,sRB4,0.518466477,0.740494196,0.052358194,0.009469965,-0.116068865,0.104647008,0.257593615,-0.901294201,-1
613,MODEL1,PARMS,sRB4,0.503978699,0.518707786,0.038854828,-0.001732457,-0.450341164,0.134215458,0.364067249,-1.413878333,-1
614,MODEL1,PARMS,sRB4,0.537635788,3.052037644,0.083151322,-0.246345645,0.763403583,-0.043666158,0.789904065,-2.39421034,-1
615,MODEL1,PARMS,sRB4,0.505577433,6.571490712,0.003684746,0.150322543,-0.942394312,-0.259976359,1.262735624,-3.039998414,-1
616,MODEL1,PARMS,sRB4,0.549959912,4.114857946,0.177997673,-0.351544229,1.221164048,-0.152303041,1.215569639,-3.123763247,-1
617,MODEL1,PARMS,sRB4,0.538811412,4.433441123,0.081215267,-0.202932542,0.472149137,-0.132426681,0.339152658,-0.531620901,-1
618,MODEL1,PARMS,sRB4,0.486631864,-0.007214084,0.089761159,-0.139198184,0.235233858,0.156649845,-0.468276367,0.939914329,-1
619,MODEL1,PARMS,sRB4,0.525654375,0.867441626,0.172954985,-0.393220192,1.257036913,0.065595823,0.646622329,-1.950315976,-1
620,MODEL1,PARMS,sRB4,0.51945376,1.750798604,0.11903622,-0.184553236,0.452259162,0.024990681,0.492999752,-1.381218927,-1
621,MODEL1,PARMS,sRB4,0.558593282,-1.243807575,0.178380512,-0.518737838,2.143121561,0.201964184,0.306701934,-1.203187303,-1
622,MODEL1,PARMS,sRB4,0.528403575,-0.368031898,0.067036235,0.010781856,-0.125205264,0.168152218,0.377159371,-1.208571646,-1
623,MODEL1,PARMS,sRB4,0.514149814,2.228487075,0.11833397,-0.124279993,0.009908405,-0.014721819,1.310884103,-3.771376953,-1
624,MODEL1,PARMS,sRB4,0.536473972,2.459584465,0.074571273,-0.116114248,0.291608206,-0.003394217,0.523681244,-1.605725363,-1
625,MODEL1,PARMS,sRB4,0.507223002,4.464050237,0.015711052,0.130979357,-0.721227128,-0.12451991,0.780772749,-2.001396973,-1
