SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LB10
341,MODEL1,PARMS,LB10,0.961794894,-2.331586295,0.062231925,-0.13797568,0.971779215,0.410375042,-0.619901106,1.731447576,-1
342,MODEL1,PARMS,LB10,0.909253312,5.842401732,-0.02082663,0.237533748,-1.040977344,-0.098826764,1.399666511,-3.368383003,-1
343,MODEL1,PARMS,LB10,0.973131717,2.516057839,-0.093978477,0.234425787,-0.941078563,0.157762535,-0.067893977,0.843753415,-1
344,MODEL1,PARMS,LB10,0.82875303,1.550534142,-0.113994505,0.273920717,-0.917942241,0.215507179,0.759513186,-1.774452504,-1
345,MODEL1,PARMS,LB10,0.910147808,-6.782660252,-0.199660508,0.312080256,-0.543718518,0.801201093,-1.602543794,3.301807345,-1
346,MODEL1,PARMS,LB10,0.952282556,1.300442424,-0.177120015,0.344149112,-1.315100782,0.265891655,0.175920242,-1.576949522,-1
347,MODEL1,PARMS,LB10,0.905406155,1.774360437,0.148858407,-0.069866784,0.064422062,0.106629213,1.215878923,-3.192023171,-1
348,MODEL1,PARMS,LB10,0.976872463,4.036064547,-0.015620796,0.144120004,-0.705135139,0.025369595,0.31650212,-0.70863392,-1
349,MODEL1,PARMS,LB10,1.02196626,-14.08034851,-0.044580703,-0.026395958,0.919119535,1.212664444,-2.276435028,3.952269183,-1
350,MODEL1,PARMS,LB10,0.941184818,2.904111813,0.070203753,-0.54098004,2.300319167,0.103174249,-0.475532255,1.667153322,-1
351,MODEL1,PARMS,LB10,0.941294452,-0.229284967,0.07290014,-0.414039895,1.854879692,0.295325493,-0.332353117,0.677486135,-1
352,MODEL1,PARMS,LB10,0.943858905,9.269659495,1.7896E-05,-0.169401657,0.979317429,-0.305203225,1.080899702,-2.028489871,-1
353,MODEL1,PARMS,LB10,0.958879652,0.432077131,0.072811786,-0.575601389,2.515433624,0.261614922,-0.900057588,2.10020465,-1
354,MODEL1,PARMS,LB10,0.904819375,6.733777694,0.026114074,-0.354975968,1.902344869,-0.143484428,0.598071232,-1.35155299,-1
355,MODEL1,PARMS,LB10,0.972179722,1.660182205,-0.038228892,-0.442820344,1.910257286,0.21739819,-0.69951301,1.964183296,-1
356,MODEL1,PARMS,LB10,0.906001887,-0.687782154,-0.031826626,-0.256886183,1.469110572,0.370495421,-0.80448064,1.207390036,-1
357,MODEL1,PARMS,LB10,0.873733828,0.793478363,0.035891972,-0.046784063,-0.191313794,0.231431842,-0.640300732,1.636158814,-1
358,MODEL1,PARMS,LB10,0.976723696,2.554308447,0.057476411,-0.14542129,1.032353692,0.110585969,-0.016754518,-0.036243025,-1
359,MODEL1,PARMS,LB10,0.918162094,0.775902419,0.358873242,-0.839860439,2.485329135,0.139706768,0.296655052,-1.185008598,-1
360,MODEL1,PARMS,LB10,0.898592674,7.920628462,-0.097345198,0.013733895,0.213578323,-0.190608867,0.869984061,-1.787272181,-1
361,MODEL1,PARMS,LB10,0.95924041,4.092615158,-0.15061614,0.139914153,-0.68661146,0.0722607,0.271743892,-0.306262092,-1
362,MODEL1,PARMS,LB10,0.940761264,3.07677401,-0.176973909,0.37535333,-1.396007688,0.14335899,0.076024918,-0.127516909,-1
363,MODEL1,PARMS,LB10,0.941090579,-11.65844089,0.177554033,-0.453791415,1.467519607,1.007781158,-2.447772429,4.884380784,-1
364,MODEL1,PARMS,LB10,0.975207599,-1.174847484,-0.060623572,0.375682776,-1.722129442,0.369806433,0.003336207,-0.375164091,-1
365,MODEL1,PARMS,LB10,0.974976363,5.187430302,-0.149455527,0.343859972,-1.132956493,-0.008283487,0.873526333,-2.098971822,-1
366,MODEL1,PARMS,LB10,0.938871833,1.275294395,0.039169144,-0.134389026,0.552299473,0.187162299,0.730530354,-2.723022507,-1
367,MODEL1,PARMS,LB10,0.965378886,5.387719167,-0.050264916,0.116355007,-0.047778629,-0.049746029,1.191792051,-2.989289734,-1
368,MODEL1,PARMS,LB10,0.955977293,-10.77453441,-0.100855895,0.030150528,0.572975401,1.048373407,-3.107395144,6.737343256,-1
369,MODEL1,PARMS,LB10,0.96230695,-2.074335607,-0.009844894,-0.116369977,0.758204684,0.44235571,-1.094081757,2.31964982,-1
370,MODEL1,PARMS,LB10,0.911834942,-8.046013965,-0.196923387,0.07372897,0.298215786,0.898582695,-2.301229154,4.523248924,-1
