SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RB4_5
577,MODEL1,PARMS,RB4_5,0.798673282,2.08911814,-0.016917495,-0.166526856,0.407371047,0.226199782,-0.029743597,-0.370975007,-1
578,MODEL1,PARMS,RB4_5,0.870284181,5.957827728,0.021288577,-0.05123967,-0.144813129,-0.040382094,0.566857902,-1.492946624,-1
579,MODEL1,PARMS,RB4_5,0.848430517,3.221188673,-0.014945846,-0.247428129,0.513738891,0.173223999,-1.198570847,2.945947848,-1
580,MODEL1,PARMS,RB4_5,0.909140094,8.858352674,0.042280405,-0.073710451,-0.738356385,-0.243646635,1.242484622,-2.672326383,-1
581,MODEL1,PARMS,RB4_5,0.928093081,8.744715686,0.189786615,-0.534225762,1.405566293,-0.275357425,0.749869525,-1.201893395,-1
582,MODEL1,PARMS,RB4_5,0.931909291,2.234811125,0.046391635,-0.370096621,1.752493583,0.191710972,-0.454535751,1.313599293,-1
583,MODEL1,PARMS,RB4_5,0.842462077,3.196621095,0.138388053,-0.420667971,1.011529048,0.11707177,-1.371056409,3.889400225,-1
584,MODEL1,PARMS,RB4_5,0.818062777,-0.003307499,0.060203395,-0.282177374,0.950544324,0.342887997,-0.920317952,2.455644998,-1
585,MODEL1,PARMS,RB4_5,0.813266753,5.289599106,0.07447006,-0.281888631,0.995667025,-0.021101816,0.500446788,-0.731759531,-1
586,MODEL1,PARMS,RB4_5,0.979904209,4.075414982,0.074660227,-0.493595923,1.434029383,0.077550995,-0.327982117,0.927886571,-1
587,MODEL1,PARMS,RB4_5,0.958230226,9.487368478,0.182082119,-0.427503148,1.043658328,-0.31210458,0.117999116,0.493395645,-1
588,MODEL1,PARMS,RB4_5,0.867259384,6.32138038,0.244017313,-1.019152206,3.74205711,-0.125474774,0.889957045,-2.212599182,-1
589,MODEL1,PARMS,RB4_5,0.995995764,5.828531089,-0.006224204,-0.315766357,1.18561156,-0.024346588,0.886922225,-2.116162554,-1
590,MODEL1,PARMS,RB4_5,0.811153925,-1.689369192,0.050310733,-0.271369063,0.780126519,0.448417004,-1.054868936,2.380994943,-1
591,MODEL1,PARMS,RB4_5,0.984457063,4.074910005,-0.048123202,-0.107136593,-0.149005135,0.112610123,-0.117908648,0.177459932,-1
592,MODEL1,PARMS,RB4_5,0.895760261,1.839765864,-0.052971678,0.012376961,-0.294287754,0.252242934,-0.603782516,1.657716039,-1
593,MODEL1,PARMS,RB4_5,0.927251632,11.97611308,0.087946995,-0.432060155,1.30628562,-0.463013883,2.116952446,-4.898963625,-1
594,MODEL1,PARMS,RB4_5,0.854947217,8.535462222,0.082892777,-0.347411482,1.151492195,-0.231482458,0.917522188,-1.988388784,-1
