SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LLB6
258,MODEL1,PARMS,LLB6,1.074739939,-6.998252747,0.125644501,-0.678921527,2.855633297,0.924117255,-1.821708251,3.897921439,-1
259,MODEL1,PARMS,LLB6,1.070542677,-1.957872785,0.080818133,-0.540963309,2.060441872,0.624386078,-1.130502405,2.143616503,-1
260,MODEL1,PARMS,LLB6,1.082763613,2.107895265,0.090559397,-0.451537166,1.54313632,0.324796617,0.729306392,-2.274683983,-1
261,MODEL1,PARMS,LLB6,1.023182258,-6.257728035,0.137105318,-0.073175464,-0.118838551,0.854073263,-1.78386881,3.887769145,-1
262,MODEL1,PARMS,LLB6,1.082987006,-6.710971984,1.19819E-05,0.035030566,-0.41268722,0.939422907,-1.568207771,2.260786991,-1
263,MODEL1,PARMS,LLB6,1.093799909,-8.363741502,0.067585189,-0.293894152,0.491836344,1.042376246,-2.509015298,5.195225266,-1
264,MODEL1,PARMS,LLB6,1.170161802,4.101332189,0.110449714,-0.331611444,1.038293487,0.192305234,-0.211099781,0.817638948,-1
265,MODEL1,PARMS,LLB6,1.067038371,-2.322757218,0.008348226,-0.173770902,0.817885841,0.646537898,-0.828349573,1.503705714,-1
266,MODEL1,PARMS,LLB6,1.030577092,-6.725234646,-0.028465026,-0.240909044,1.223220677,0.959931301,-2.34622333,5.042235733,-1
267,MODEL1,PARMS,LLB6,0.992780355,2.705315713,0.247911451,-0.987789173,3.862286465,0.25088781,0.323760353,-1.218130766,-1
268,MODEL1,PARMS,LLB6,1.108107317,2.303309819,0.129543603,-0.442271652,1.748159632,0.284164508,0.823168653,-2.240090437,-1
269,MODEL1,PARMS,LLB6,0.98747427,6.639590753,0.072170104,-0.062086796,0.173129096,0.021867211,1.456562361,-3.661063041,-1
270,MODEL1,PARMS,LLB6,1.08643959,0.677821251,0.096447424,-0.341285396,1.002991354,0.410821714,0.59499945,-2.25477046,-1
271,MODEL1,PARMS,LLB6,1.066362053,-2.039368603,0.116912628,-0.617374624,2.806531789,0.60281676,-0.173926506,-0.634470309,-1
272,MODEL1,PARMS,LLB6,1.116278996,17.6275418,0.077891303,0.038353075,-1.385623655,-0.686332015,2.382729821,-4.674635237,-1
273,MODEL1,PARMS,LLB6,0.982180474,-1.721397187,0.222528927,-0.612818168,2.121267833,0.548579331,-0.733908431,1.274838653,-1
274,MODEL1,PARMS,LLB6,0.943352404,-5.985700109,0.19901054,-0.252210035,0.21381201,0.816490202,-1.2512445,2.23169886,-1
275,MODEL1,PARMS,LLB6,1.125164604,5.334306955,0.145855292,-0.51545248,1.887932919,0.109741115,-0.196818119,0.902547309,-1
276,MODEL1,PARMS,LLB6,1.056426684,-7.161107978,-0.150205183,0.284634658,-0.872056599,1.015061569,-1.942610278,3.754578542,-1
277,MODEL1,PARMS,LLB6,1.174699668,4.056416107,-0.108036753,0.177409978,-1.290421822,0.262622769,0.41939142,-1.532553008,-1
278,MODEL1,PARMS,LLB6,1.202553399,-1.27123547,-0.033463846,-0.324280978,1.477950253,0.601596093,-0.511263159,0.492948304,-1
279,MODEL1,PARMS,LLB6,1.011998892,7.836909792,0.219806093,-0.695220286,1.959263455,-0.086218689,1.966668205,-5.097377108,-1
280,MODEL1,PARMS,LLB6,1.022682563,9.507625377,-0.110766162,0.432298223,-2.102507054,-0.117517445,1.96658205,-4.569643074,-1
281,MODEL1,PARMS,LLB6,1.041377114,-13.22066698,0.22446485,-0.808285755,3.505565384,1.298747689,-2.940082732,6.119536523,-1
282,MODEL1,PARMS,LLB6,0.997463915,-2.052542385,-0.006558234,-0.073415516,-0.292270922,0.628897567,-0.185051059,-0.227298742,-1
283,MODEL1,PARMS,LLB6,1.167278081,-5.387508257,0.251181137,-0.279032044,0.055739163,0.767443008,-1.473835322,3.185909831,-1
284,MODEL1,PARMS,LLB6,1.024400167,-1.319281659,0.079096199,0.128668967,-1.026943186,0.539828565,0.022136381,-0.618548317,-1
285,MODEL1,PARMS,LLB6,0.986970168,-14.92034115,0.029534789,-0.425764936,1.772431408,1.474998564,-2.923313758,5.484146096,-1
286,MODEL1,PARMS,LLB6,0.937845342,-1.384252662,0.337196213,-0.469253535,0.941457891,0.476780119,-0.91335086,2.175945237,-1
287,MODEL1,PARMS,LLB6,1.11481363,6.265483134,0.084340828,-0.135412976,-0.070084625,0.061430371,0.674782225,-1.876771756,-1
288,MODEL1,PARMS,LLB6,1.078701737,-1.939300662,0.291612036,-0.889050119,2.925153773,0.547870022,-1.378035048,3.265343178,-1
289,MODEL1,PARMS,LLB6,0.955869465,4.434719456,0.137332927,-0.330779585,1.42526007,0.141743938,1.36187034,-3.585864864,-1
290,MODEL1,PARMS,LLB6,1.115576552,-7.611570166,0.066672387,-0.563175977,2.899122196,0.981238524,-1.632370278,3.15929928,-1
291,MODEL1,PARMS,LLB6,1.017426219,-17.8754112,0.217172476,-0.844040967,3.799002724,1.589286089,-2.382066236,3.776398971,-1
292,MODEL1,PARMS,LLB6,1.040702909,-0.214985684,0.138592124,-0.486712484,1.294953121,0.47803503,-1.495126835,3.745329068,-1
293,MODEL1,PARMS,LLB6,0.960044368,2.564902224,-0.081715341,0.025067629,0.096758527,0.36454107,-0.773202166,1.627026048,-1
294,MODEL1,PARMS,LLB6,1.100493499,-1.28034935,0.466489783,-1.493006856,5.952592282,0.446932228,-0.505159644,1.336228297,-1
295,MODEL1,PARMS,LLB6,1.02110516,-9.685312374,0.235957471,-0.135209116,0.180858327,1.040555836,-1.864068277,3.706661909,-1
296,MODEL1,PARMS,LLB6,1.051044704,5.488657905,-0.171024021,0.593332727,-2.348588807,0.186105761,-0.890711714,2.994180232,-1
297,MODEL1,PARMS,LLB6,1.106812808,-19.98202831,0.24513749,-0.764046402,3.428978507,1.730013257,-3.638790245,7.432521262,-1
298,MODEL1,PARMS,LLB6,1.10863467,-8.026190066,0.023382578,-0.283258425,0.862180533,1.032314849,-2.855727842,5.836482109,-1
299,MODEL1,PARMS,LLB6,1.059010854,-0.796163798,0.087451224,-0.203160203,1.138248484,0.514927953,-0.303619309,0.223385255,-1
300,MODEL1,PARMS,LLB6,1.135845961,3.56660424,0.002275056,-0.069341231,0.269657649,0.255573208,-0.199616116,0.66229857,-1
301,MODEL1,PARMS,LLB6,1.008796143,-5.203057809,0.251642516,-0.781406283,3.296908604,0.751177145,-1.341051609,3.036170122,-1
302,MODEL1,PARMS,LLB6,0.985659595,-2.397435317,0.333904687,-0.443495596,0.934774237,0.522226723,-0.147285374,0.385567414,-1
303,MODEL1,PARMS,LLB6,1.011126655,-8.26707043,0.181975242,-0.202791253,0.800676208,0.966458236,-2.337377085,5.494411135,-1
304,MODEL1,PARMS,LLB6,1.109045134,10.19743852,0.031763164,-0.211311895,0.524838168,-0.169010494,0.534017447,-0.531148233,-1
305,MODEL1,PARMS,LLB6,1.076513433,-1.136072829,0.123509365,-0.378832891,1.679925596,0.530020687,-0.182964967,-0.297030185,-1
306,MODEL1,PARMS,LLB6,1.094330253,-6.245408856,0.040008667,-0.120379661,0.853499021,0.892641047,-2.061442568,4.466338164,-1
307,MODEL1,PARMS,LLB6,1.027951778,7.208090676,0.099392282,-0.539990346,2.071471125,0.005947021,1.174097576,-3.124921466,-1
308,MODEL1,PARMS,LLB6,1.10977797,-1.035555967,0.339350607,-0.665842381,1.292156828,0.4684838,-1.815949768,4.759009642,-1
309,MODEL1,PARMS,LLB6,1.125086287,-0.461537472,0.222173737,-0.596444394,1.342402288,0.455316042,-0.148598769,0.287775492,-1
310,MODEL1,PARMS,LLB6,1.099669564,-8.743722625,0.002311299,0.028486144,-0.307779084,1.057718888,-1.88948976,3.670136043,-1
311,MODEL1,PARMS,LLB6,1.045756413,-7.219600386,0.101748923,0.048254219,-0.635252059,0.918010488,-1.95834653,4.858127838,-1
312,MODEL1,PARMS,LLB6,1.057423104,6.753170155,0.118243113,-0.256620554,0.276673445,0.009656602,1.67526759,-4.346471483,-1
313,MODEL1,PARMS,LLB6,1.040793849,-0.322896709,0.107151886,0.136048502,-1.691167388,0.477271032,-1.381039327,3.5651802,-1
314,MODEL1,PARMS,LLB6,1.071075697,1.187564525,0.312107629,-0.804774206,3.059651389,0.3039358,0.442354028,-0.924916014,-1
315,MODEL1,PARMS,LLB6,1.173457291,-1.442113273,-0.123724075,0.171692256,-0.759035924,0.625679795,-0.922948947,1.952351257,-1
316,MODEL1,PARMS,LLB6,1.042348774,4.820168837,-0.087693394,0.107117367,0.124109229,0.195897522,0.590308257,-1.264776674,-1
317,MODEL1,PARMS,LLB6,1.000563101,7.561794687,0.359336134,-0.695864241,1.754349541,-0.126457096,1.802327085,-3.661166892,-1
318,MODEL1,PARMS,LLB6,1.051296105,-5.382383982,-0.003627424,-0.061094656,0.262935312,0.839340511,-0.872370626,1.133230981,-1
319,MODEL1,PARMS,LLB6,1.052067964,-1.269386253,0.293115459,-0.962992482,3.459140587,0.50526884,-1.221029665,3.068106381,-1
320,MODEL1,PARMS,LLB6,1.108737955,-8.676882169,0.123198312,-0.188489632,0.280832329,1.028655518,-2.70373954,5.739203478,-1
321,MODEL1,PARMS,LLB6,1.082851083,-0.255291829,0.129522547,-0.526553334,2.169765546,0.480249209,-0.537212763,0.893701936,-1
322,MODEL1,PARMS,LLB6,1.070774759,-14.32742685,0.08966721,-0.124091473,-0.173095175,1.399191122,-2.471493308,4.341078982,-1
323,MODEL1,PARMS,LLB6,1.103606663,3.561339787,0.048674249,-0.198564079,0.282379293,0.257373393,-0.208780205,0.642394826,-1
324,MODEL1,PARMS,LLB6,0.972084666,1.598950264,0.024561617,0.077863311,-0.347450542,0.375517054,0.082455194,-0.942293141,-1
325,MODEL1,PARMS,LLB6,1.092159519,-0.793744439,0.072733699,0.299628526,-1.801584354,0.509433967,-1.557284402,4.361331577,-1
326,MODEL1,PARMS,LLB6,1.063878961,8.959572399,0.225201984,-0.148160142,-0.590818324,-0.18834277,2.030625477,-4.552127993,-1
327,MODEL1,PARMS,LLB6,1.034363099,-5.587193739,0.442434677,-1.017085815,3.678876131,0.710180423,-1.051586623,2.460238584,-1
328,MODEL1,PARMS,LLB6,1.050033961,-2.772644149,0.061235617,-0.541705732,2.941041203,0.674275932,-1.210583774,2.372972401,-1
329,MODEL1,PARMS,LLB6,1.11977681,4.402667914,0.148430639,-0.394479296,1.957450703,0.142706671,0.977176365,-2.116141333,-1
330,MODEL1,PARMS,LLB6,1.065994882,-11.03820218,0.09629977,-0.236138953,0.681207577,1.182157017,-1.514483351,2.246071012,-1
331,MODEL1,PARMS,LLB6,1.023440451,1.544372042,0.028220711,-0.048467617,0.382712904,0.378016098,-0.17547505,0.291127649,-1
332,MODEL1,PARMS,LLB6,1.068782877,11.79652801,0.204499545,-0.617039783,2.162534793,-0.345356605,2.055809605,-4.095545255,-1
333,MODEL1,PARMS,LLB6,1.100411699,-5.712697773,0.280071788,-0.915720622,2.993267099,0.80018127,-1.703472178,3.451653664,-1
334,MODEL1,PARMS,LLB6,1.124102788,3.599396955,0.267433979,-0.766492068,2.819335773,0.160422462,1.112831478,-2.593916071,-1
335,MODEL1,PARMS,LLB6,1.119765803,-1.1077089,0.153337004,-0.327713529,0.728547821,0.515429248,-0.065630308,-0.623788659,-1
336,MODEL1,PARMS,LLB6,1.057330003,6.668316251,0.207560253,-0.400473176,0.359992928,-0.012286072,1.748836221,-4.431347107,-1
337,MODEL1,PARMS,LLB6,1.003657913,-2.140756288,0.251976021,-0.89191415,3.878298498,0.551444002,-0.274025088,0.440200498,-1
338,MODEL1,PARMS,LLB6,1.066168029,0.188488684,0.041396568,-0.192596585,0.489867727,0.464715154,-0.235874877,0.60116819,-1
339,MODEL1,PARMS,LLB6,1.058295463,10.05513858,0.143304674,-0.370166417,1.071374118,-0.219457259,2.234167635,-5.039641577,-1
340,MODEL1,PARMS,LLB6,1.126915149,6.172488039,-0.033108319,0.109513336,-0.912439,0.089226504,1.408338874,-3.872416365,-1
341,MODEL1,PARMS,LLB6,1.144130032,-4.368571143,-0.093627725,0.349372172,-1.534274906,0.794796697,-1.297317383,2.807656125,-1
342,MODEL1,PARMS,LLB6,1.06855027,-2.873578979,0.162031511,-0.300375311,0.289974535,0.614311691,0.220965647,-1.005023933,-1
343,MODEL1,PARMS,LLB6,1.128050522,0.765436074,0.034978343,-0.044573287,0.063782654,0.432293595,-0.443444451,1.317350498,-1
344,MODEL1,PARMS,LLB6,1.054703861,-7.015575862,-0.066378601,0.059499625,0.317746584,0.96883945,-1.179609595,1.91760298,-1
345,MODEL1,PARMS,LLB6,1.085201805,4.994427347,0.079880666,-0.452156269,1.428103184,0.146317779,1.103857363,-3.121177858,-1
346,MODEL1,PARMS,LLB6,1.197960673,5.224274842,-0.089309355,-0.026480051,0.093128735,0.186635762,0.862065499,-2.512244107,-1
347,MODEL1,PARMS,LLB6,0.931577218,5.811865292,-0.119375419,0.450935868,-1.878081211,0.14151182,0.548843373,-1.41679148,-1
348,MODEL1,PARMS,LLB6,1.071430559,-8.571753982,0.289497185,-0.319656761,0.82695903,0.953968824,-2.232379828,4.968676152,-1
349,MODEL1,PARMS,LLB6,1.162602335,4.1826684,-0.299773155,0.74236462,-2.671425292,0.302933964,-0.251359274,0.197679725,-1
350,MODEL1,PARMS,LLB6,0.981653673,-1.137479221,0.057125064,-0.345145832,1.027749916,0.557706223,-0.966858826,2.484715457,-1
351,MODEL1,PARMS,LLB6,1.07432086,1.543246536,0.238259942,-0.689029534,2.479891678,0.325681765,0.338744298,-1.239473984,-1
352,MODEL1,PARMS,LLB6,1.057789993,-7.772645189,0.27348282,-0.63612507,1.304845372,0.93490121,-2.065620762,4.212465959,-1
353,MODEL1,PARMS,LLB6,1.069533554,-7.079850345,0.29696552,-0.972165379,3.696504887,0.886384292,-1.829169529,3.461943002,-1
354,MODEL1,PARMS,LLB6,1.073586429,7.649588114,0.161461646,-0.565539079,1.975030886,-0.050243739,0.855521356,-1.345560203,-1
355,MODEL1,PARMS,LLB6,1.121371482,-0.486029681,0.420627521,-1.195870575,3.637967231,0.410684719,-0.559744674,0.882678704,-1
356,MODEL1,PARMS,LLB6,1.029408809,0.153803438,0.186199991,-0.787702845,3.591614342,0.433344071,0.216170586,-1.171507186,-1
357,MODEL1,PARMS,LLB6,0.982595909,-1.867999802,0.155777472,-0.6712483,2.771423629,0.580229721,-1.414916397,3.387388713,-1
358,MODEL1,PARMS,LLB6,0.989278011,-1.062919814,-0.132245975,0.561395341,-1.850623093,0.588409841,-0.779417085,1.806840313,-1
