SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,sLB1
982,MODEL1,PARMS,sLB1,0.568176907,-3.21175638,0.064604013,0.18467745,-0.938557067,0.360399954,-0.916177808,1.869077399,-1
983,MODEL1,PARMS,sLB1,0.560627127,1.140911713,0.042279049,-0.028470346,0.171195949,0.084701079,0.01520899,-0.346888404,-1
984,MODEL1,PARMS,sLB1,0.511022397,-2.832234215,0.042435796,-0.028335353,0.022578109,0.346127747,-0.970254523,2.037860124,-1
985,MODEL1,PARMS,sLB1,0.508048274,-4.83470599,0.102292596,-0.224598176,0.59902288,0.469651,-1.423025627,3.043713666,-1
986,MODEL1,PARMS,sLB1,0.532903642,3.939321718,0.040344564,0.096261405,-0.47752679,-0.112530837,1.123685071,-2.646020142,-1
987,MODEL1,PARMS,sLB1,0.520012036,-1.378651387,0.101146918,-0.209512555,0.71856742,0.238820818,-0.554730132,1.036835461,-1
988,MODEL1,PARMS,sLB1,0.488421743,1.376456498,0.075496587,-0.089527194,0.053662719,0.057366436,0.109274106,-0.118563266,-1
989,MODEL1,PARMS,sLB1,0.514109977,3.380132943,0.06284536,-0.173156107,0.733389158,-0.064964928,0.433675669,-0.874287394,-1
990,MODEL1,PARMS,sLB1,0.561970601,0.901698059,0.110601217,-0.180974489,0.437412251,0.081036165,0.220829538,-0.754910205,-1
991,MODEL1,PARMS,sLB1,0.559042811,-0.117956893,0.103352713,-0.142443683,0.325172786,0.139645901,0.121594258,-0.593280373,-1
992,MODEL1,PARMS,sLB1,0.51633014,0.923432504,0.028455317,0.072033592,-0.128582984,0.087682438,0.793861908,-2.209484946,-1
993,MODEL1,PARMS,sLB1,0.529642929,-5.401544176,0.133856063,-0.192859446,0.430378634,0.488440576,-0.739108017,0.974659335,-1
994,MODEL1,PARMS,sLB1,0.550378781,0.21951353,0.132279035,-0.239529196,0.589840772,0.113121218,0.52966148,-1.629457655,-1
995,MODEL1,PARMS,sLB1,0.556900091,-5.151276311,0.127035882,-0.205276113,0.583122412,0.470461551,-0.985471427,2.123583121,-1
996,MODEL1,PARMS,sLB1,0.559898912,0.179266105,0.054164759,0.023347159,-0.204453941,0.135881883,0.444644475,-1.256617249,-1
997,MODEL1,PARMS,sLB1,0.541447036,-6.42043812,0.06274609,-0.027899228,0.050728122,0.576234091,-1.222068798,2.224348471,-1
998,MODEL1,PARMS,sLB1,0.575935749,-4.837082706,0.046650814,-0.172531959,0.601529087,0.481482456,-1.105924045,2.365169655,-1
999,MODEL1,PARMS,sLB1,0.534245805,1.839895482,0.145342488,-0.079826073,0.055277764,-0.003183792,0.897029504,-2.434014833,-1
1000,MODEL1,PARMS,sLB1,0.481533217,2.379987958,0.084400465,-0.070116117,-0.113395458,-0.008412192,0.150870214,-0.273492773,-1
