SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RUL
558,MODEL1,PARMS,RUL,1.0440548,13.7052548,0.063872507,-0.211703575,0.781803226,-0.47760804,2.388999979,-5.683889486,-1
559,MODEL1,PARMS,RUL,1.141508392,4.802752309,0.018367663,0.398933942,-1.975979995,0.089695974,1.086355429,-2.155291695,-1
560,MODEL1,PARMS,RUL,1.057413482,5.387832121,0.314601934,-0.744722872,2.591998652,-0.011112679,0.488144227,-0.83763097,-1
561,MODEL1,PARMS,RUL,1.149704278,-1.902433196,0.317040664,-0.314848106,0.639794562,0.442312997,-0.205713035,0.334354695,-1
562,MODEL1,PARMS,RUL,1.107188372,5.737280827,0.297002481,-0.35636283,0.720611826,-0.053163358,1.890879101,-4.458547062,-1
563,MODEL1,PARMS,RUL,1.06541458,-7.725971693,0.311528672,-0.467905345,1.276069977,0.846782898,-2.242338254,5.35494853,-1
564,MODEL1,PARMS,RUL,1.414123332,10.55539804,0.246116297,-0.281993593,-0.043710271,-0.333259419,1.379350205,-2.152446384,-1
565,MODEL1,PARMS,RUL,1.133235985,-1.373507518,0.228866521,-0.229520542,0.650721911,0.437371628,-0.862989037,2.703385538,-1
566,MODEL1,PARMS,RUL,1.086847083,0.58747024,0.339968972,-0.653699629,2.237022614,0.279088718,0.730163891,-1.648620206,-1
567,MODEL1,PARMS,RUL,1.164612414,-1.206134983,0.263955755,-0.434793042,1.404478718,0.447079859,-1.020500987,2.576213807,-1
568,MODEL1,PARMS,RUL,1.147362488,-0.917413624,0.251789898,-0.447135028,1.22846814,0.418350368,0.418926925,-1.6170469,-1
569,MODEL1,PARMS,RUL,1.134462037,5.151642072,0.409439892,-0.765102358,2.421076881,-0.03485532,1.182121886,-2.609129864,-1
570,MODEL1,PARMS,RUL,1.027214227,2.019436889,0.111642664,-0.136840198,0.797947987,0.253871838,-0.169804093,1.557179286,-1
571,MODEL1,PARMS,RUL,1.104666714,2.254046862,0.170262041,-0.351930768,1.025828507,0.223303922,1.166042842,-3.16069638,-1
572,MODEL1,PARMS,RUL,1.091600872,6.983626036,0.106772293,0.086026591,-0.306977281,-0.064482646,0.15138819,0.969151065,-1
573,MODEL1,PARMS,RUL,1.134390183,0.930086506,0.210288306,-0.192177015,0.556248054,0.291360428,0.126455004,0.244349264,-1
574,MODEL1,PARMS,RUL,1.073136546,-0.77801121,0.413983384,-0.649269883,1.874822977,0.350706987,0.285089373,-1.237583641,-1
575,MODEL1,PARMS,RUL,1.038265264,-1.388671837,0.015455186,-0.331027419,1.60254423,0.533892682,-0.009688123,-0.91041741,-1
576,MODEL1,PARMS,RUL,1.073246901,6.066348788,0.096060015,-0.034506857,-0.346522137,0.009455727,1.269736919,-3.008685631,-1
577,MODEL1,PARMS,RUL,1.037628752,10.55563813,0.253871335,-0.158676046,-0.333489133,-0.360296302,3.067252676,-6.983185504,-1
578,MODEL1,PARMS,RUL,1.144830293,-7.174795381,0.353439333,-0.429488743,1.15786097,0.793550819,-1.850764622,4.050398005,-1
579,MODEL1,PARMS,RUL,0.985167687,-2.743055326,0.292378516,-0.531498158,1.252016372,0.541679709,-1.36069427,3.346259473,-1
580,MODEL1,PARMS,RUL,1.122235821,-1.725966172,0.351967848,-0.365777422,0.255809131,0.43488432,0.132989719,-0.589413119,-1
581,MODEL1,PARMS,RUL,1.201386678,1.882073323,0.36655807,-0.418323028,0.894509078,0.186484492,0.744430772,-2.091454762,-1
582,MODEL1,PARMS,RUL,1.04883448,1.894245005,0.12357554,-0.160175804,0.994208472,0.252928358,0.643808809,-1.647170287,-1
583,MODEL1,PARMS,RUL,1.091248294,0.380947237,0.346897715,-0.059371345,-0.647588996,0.273314312,0.218315013,0.156829538,-1
584,MODEL1,PARMS,RUL,1.06692609,-9.304853615,0.370339413,-0.715616893,2.744432884,0.933055673,-2.116583571,4.727707149,-1
585,MODEL1,PARMS,RUL,1.083906595,9.566652538,0.240209179,-0.769130874,2.781940985,-0.260061541,1.157260759,-1.116365602,-1
586,MODEL1,PARMS,RUL,1.206360226,1.893717263,0.243970815,-0.265513662,0.156320223,0.228539392,0.860851477,-2.569393164,-1
587,MODEL1,PARMS,RUL,1.126484408,6.24721689,0.187516259,-0.2277335,0.417298653,-0.029490541,0.915492162,-2.042074698,-1
