SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LUL
888,MODEL1,PARMS,LUL,0.954987123,10.65795192,0.423981722,-0.755792739,2.691935167,-0.37167296,2.295462806,-4.817625991,-1
889,MODEL1,PARMS,LUL,0.923104062,5.676627472,0.370167571,-0.820698679,2.439389188,-0.002675106,0.101777064,-0.207858828,-1
890,MODEL1,PARMS,LUL,1.003822444,-2.880259456,0.313029131,-0.894235352,3.407848109,0.57695369,-0.935397612,1.635185609,-1
891,MODEL1,PARMS,LUL,1.065489887,3.70601943,0.044979401,0.194784108,-1.298592379,0.194385682,0.561778401,-0.693666417,-1
892,MODEL1,PARMS,LUL,1.03037758,6.119823726,0.070220867,-0.019983317,-0.234948986,0.059932436,-0.342405847,1.450265437,-1
893,MODEL1,PARMS,LUL,0.961435787,16.52221125,0.228677218,-0.145792373,-0.025614097,-0.698438191,3.225710021,-7.208555372,-1
894,MODEL1,PARMS,LUL,0.924734252,6.840729412,0.383861845,-0.64215624,1.646707343,-0.117531438,2.627972448,-6.721485663,-1
895,MODEL1,PARMS,LUL,1.034655233,6.631360339,0.195114592,-0.335639593,1.189580463,-0.025792709,1.198518247,-2.7089107,-1
896,MODEL1,PARMS,LUL,1.047050664,3.205356956,0.202173215,-0.31551697,0.787362365,0.204013328,-0.512983735,1.163303583,-1
897,MODEL1,PARMS,LUL,0.976317111,17.13338435,0.193522502,-0.343903041,0.751735424,-0.709592271,2.089598725,-3.602155671,-1
898,MODEL1,PARMS,LUL,1.009302768,-7.495412776,0.126143373,-0.396661052,1.466713743,0.936669373,-1.910698383,4.01726127,-1
899,MODEL1,PARMS,LUL,0.960591057,8.596081072,0.25366797,-0.326932542,0.357065102,-0.168483019,0.562634555,-0.537469701,-1
900,MODEL1,PARMS,LUL,0.929744663,8.949553328,0.010793915,0.226539991,-0.932436573,-0.122515401,0.566189147,-0.212644802,-1
901,MODEL1,PARMS,LUL,0.946163901,16.75423319,-0.115808049,0.619361899,-2.730291918,-0.609052759,3.272215177,-7.241453336,-1
