SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,sRB10
1,MODEL1,PARMS,sRB10,0.734842641,-1.663936938,0.140263226,-0.229044716,0.815652066,0.272769554,0.203762268,-0.888095691,-1
2,MODEL1,PARMS,sRB10,0.756581943,3.234663174,0.085985541,-0.184452204,0.998688958,-0.04056291,0.704352249,-1.50552744,-1
3,MODEL1,PARMS,sRB10,0.777983208,4.738386338,0.128401645,-0.445967843,2.169480253,-0.150096397,1.430422317,-3.18833358,-1
4,MODEL1,PARMS,sRB10,0.716928228,-3.62854798,0.236286436,-0.551198107,2.143625942,0.372764001,-0.917861071,2.012534855,-1
5,MODEL1,PARMS,sRB10,0.736841081,-9.988794591,0.043527718,-0.04536694,0.517590645,0.845486115,-1.734076139,3.432485338,-1
6,MODEL1,PARMS,sRB10,0.775499295,-2.516373679,0.04944288,-0.207647814,0.721850089,0.365861197,-1.1084435,2.710097224,-1
7,MODEL1,PARMS,sRB10,0.831455532,-1.858981836,0.109521144,-0.386471081,1.937244099,0.301861856,0.02557892,-0.748120286,-1
8,MODEL1,PARMS,sRB10,0.786761973,-2.806725606,0.249159717,-0.888299862,3.384721902,0.330693196,-0.811240789,1.992615496,-1
9,MODEL1,PARMS,sRB10,0.743129437,0.141801286,0.171617628,-0.63663498,2.627200717,0.143281685,0.374526762,-0.9462335,-1
10,MODEL1,PARMS,sRB10,0.717261579,11.20825753,0.165710236,-0.504975173,2.185097383,-0.589035239,2.395847601,-4.97845137,-1
11,MODEL1,PARMS,sRB10,0.750554813,2.322809547,0.010092061,-0.155865845,1.09628819,0.059715273,0.033911178,-0.162071375,-1
12,MODEL1,PARMS,sRB10,0.693829634,2.231135193,0.155373,-0.290495569,0.828625693,0.005852181,0.916215533,-2.406402531,-1
13,MODEL1,PARMS,sRB10,0.735702832,4.074538091,0.148136126,-0.545040594,2.40142507,-0.095640825,0.524805048,-1.094556385,-1
14,MODEL1,PARMS,sRB10,0.743680262,12.98492076,0.170497155,-0.393079054,1.172388952,-0.698238555,2.263724023,-3.780632627,-1
15,MODEL1,PARMS,sRB10,0.781600994,4.249532808,-0.036635108,0.084314833,-0.119002228,-0.0671572,0.769681411,-1.588620816,-1
16,MODEL1,PARMS,sRB10,0.810888315,2.380563511,0.079637556,-0.264314322,0.908713167,0.038236333,0.407314799,-1.356639262,-1
17,MODEL1,PARMS,sRB10,0.746139089,0.687751317,0.115103035,-0.330541745,1.687098353,0.117656213,0.946865611,-2.571435315,-1
18,MODEL1,PARMS,sRB10,0.778373056,1.880381936,0.13496678,-0.275264907,1.224848055,0.038446649,0.367317251,-0.787507847,-1
19,MODEL1,PARMS,sRB10,0.780801266,3.262508759,0.004181499,0.120024735,-0.463194289,-0.01287709,0.405213998,-0.658527048,-1
20,MODEL1,PARMS,sRB10,0.795851145,-4.551252366,0.173881242,-0.402854052,1.692225309,0.44163738,0.175886773,-0.853646423,-1
21,MODEL1,PARMS,sRB10,0.808049979,8.746460347,0.07686952,-0.06939865,0.130974282,-0.386670134,1.144159217,-2.042692942,-1
22,MODEL1,PARMS,sRB10,0.797639132,1.616301373,-0.000815971,0.181607798,-0.792619965,0.091391454,0.770950329,-2.009625069,-1
23,MODEL1,PARMS,sRB10,0.799414429,-1.394092372,0.016449817,0.156298087,-0.495309587,0.288576712,-0.191553987,0.228345633,-1
24,MODEL1,PARMS,sRB10,0.794202582,0.335415492,0.189305093,-0.612085691,2.26195236,0.13375824,0.771421641,-2.298409465,-1
25,MODEL1,PARMS,sRB10,0.820610918,-7.239392147,0.107579319,-0.276700012,1.232065336,0.645363897,-1.068923039,1.86417678,-1
26,MODEL1,PARMS,sRB10,0.743488708,-2.682634854,0.014211751,0.017519006,0.299356746,0.368808372,-0.269792849,0.546503377,-1
27,MODEL1,PARMS,sRB10,0.761597614,2.864324885,0.019814822,0.01854513,-0.119727338,0.006339633,0.710220088,-1.42788522,-1
28,MODEL1,PARMS,sRB10,0.738422485,5.023979787,0.087759823,-0.129057915,0.904816262,-0.151502464,0.64648848,-1.144204681,-1
29,MODEL1,PARMS,sRB10,0.74424298,-4.381653221,0.226804631,-0.475672465,1.319769107,0.429533463,-0.741214518,1.282809418,-1
30,MODEL1,PARMS,sRB10,0.776836054,9.311836719,0.196151489,-0.858756047,3.768485651,-0.454531962,1.482285449,-2.8352734,-1
31,MODEL1,PARMS,sRB10,0.785124222,1.0551533,0.184842891,-0.453319469,1.332050087,0.100115823,-0.592679209,1.703738332,-1
32,MODEL1,PARMS,sRB10,0.822665604,-2.315244407,0.020748314,0.073120644,-0.642901013,0.350173453,-0.576477265,1.109709497,-1
33,MODEL1,PARMS,sRB10,0.77461473,1.937177956,-0.002905856,-0.093874399,0.651202387,0.087418072,-0.217513907,0.606029555,-1
34,MODEL1,PARMS,sRB10,0.784675692,8.869056929,0.184053261,-0.682545774,2.465502133,-0.408767858,0.396201414,-0.110152222,-1
35,MODEL1,PARMS,sRB10,0.760010488,3.307694753,0.043937919,-0.128957527,0.76028494,-0.030359728,1.092764132,-2.763247755,-1
36,MODEL1,PARMS,sRB10,0.751706958,3.610389846,-0.015603924,-0.131847594,0.467568197,-0.017053644,0.439037005,-1.095807245,-1
37,MODEL1,PARMS,sRB10,0.790553607,6.254918794,0.284064187,-0.823302791,3.270174926,-0.271955756,0.199388275,0.432558626,-1
