SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RLL
195,MODEL1,PARMS,RLL,0.904090785,-1.448086713,-0.151475893,0.426349931,-1.844747121,0.540586699,-0.935172935,1.311468847,-1
196,MODEL1,PARMS,RLL,0.884320292,1.895114303,0.086085315,-0.024881724,-0.298273659,0.241661892,-0.585622291,1.552581956,-1
197,MODEL1,PARMS,RLL,0.832922963,1.762160676,0.105822265,-0.474898785,1.640953971,0.257259009,0.141231328,-0.994347659,-1
198,MODEL1,PARMS,RLL,0.916269513,6.060039112,0.01362787,-0.240801184,0.958548314,0.005849144,0.887806115,-3.191222056,-1
199,MODEL1,PARMS,RLL,0.829062271,-4.22995898,-0.145021429,0.087164211,-0.020046795,0.723061142,-0.875937558,1.032107374,-1
200,MODEL1,PARMS,RLL,0.953466682,3.471372175,-0.079003826,0.137669428,-0.555685418,0.176442966,1.539979496,-4.251484025,-1
201,MODEL1,PARMS,RLL,0.906096392,8.538175795,0.101010134,-0.255426336,0.627446042,-0.18908512,0.906319013,-2.00356877,-1
202,MODEL1,PARMS,RLL,0.866483531,3.260900524,-0.055346964,-0.139668008,0.433662032,0.230340971,-1.24032068,2.613276857,-1
203,MODEL1,PARMS,RLL,0.847358124,0.777214991,0.016220824,-0.324610035,1.556364995,0.346930413,-0.164620749,-0.224566294,-1
204,MODEL1,PARMS,RLL,0.900766922,-4.152663929,-0.002995373,0.053078494,-0.587492937,0.668989699,-1.011576069,1.492529623,-1
205,MODEL1,PARMS,RLL,0.889781379,-7.612972613,-0.102676025,0.393091531,-2.159687817,0.923518221,-1.485174133,2.126039226,-1
206,MODEL1,PARMS,RLL,0.876706749,3.302414764,0.107771169,-0.49785581,2.067619341,0.15698821,0.086990197,-0.775517642,-1
207,MODEL1,PARMS,RLL,0.828779411,6.082571447,-0.020165112,-0.060159119,0.181247554,0.019453203,-0.794983334,2.559128278,-1
208,MODEL1,PARMS,RLL,0.899524198,-4.940407,-0.007610539,-0.138031486,0.768979913,0.725401403,-1.149745992,1.820875947,-1
209,MODEL1,PARMS,RLL,0.890863764,0.22912851,0.085896039,-0.149638573,0.13323371,0.346737293,0.257703088,-1.481907192,-1
210,MODEL1,PARMS,RLL,0.967078454,5.197808701,-0.055189843,-0.098269973,0.746183914,0.083326538,0.35863355,-1.476602921,-1
211,MODEL1,PARMS,RLL,0.924376643,-5.625404989,0.070708779,-0.00735771,-0.473620523,0.733305114,-0.573964635,0.223819847,-1
212,MODEL1,PARMS,RLL,0.879064217,2.272983804,0.100667688,-0.072657294,-0.269794403,0.210222252,0.080295224,-0.31038771,-1
213,MODEL1,PARMS,RLL,0.878459975,4.52573111,0.083184659,-0.404175909,1.824777534,0.089926857,-0.482158026,1.683969276,-1
214,MODEL1,PARMS,RLL,0.820472817,-3.052724519,-0.06178489,0.249006734,-0.910462315,0.612714316,-1.199154248,1.940761059,-1
215,MODEL1,PARMS,RLL,0.861213139,7.643996742,0.260151952,-0.665594946,2.538097336,-0.19150111,1.465631571,-3.621112615,-1
216,MODEL1,PARMS,RLL,0.931024655,-0.225996336,0.104172081,-0.49678133,2.221369826,0.387899596,-0.063187838,-0.574870618,-1
