SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,BronInt
580,MODEL1,PARMS,BronInt,1.165409587,3.737214908,-0.020076697,0.325416773,-2.056519916,0.28173513,-0.121253862,0.081563185,-1
581,MODEL1,PARMS,BronInt,1.083257523,6.451335867,0.061338291,0.078030927,-0.337331641,0.07575433,0.17990176,-0.59381264,-1
582,MODEL1,PARMS,BronInt,1.1275904,9.079731597,0.124702829,-0.415945828,1.616383672,-0.106902621,0.945782393,-2.23661347,-1
583,MODEL1,PARMS,BronInt,1.059753365,1.280155252,0.348962487,-0.690713466,2.469461969,0.329358777,0.177408504,-0.637773321,-1
584,MODEL1,PARMS,BronInt,0.997658923,-1.29698295,0.188337268,-0.491388081,2.154398565,0.550168882,-0.821946058,1.322811357,-1
585,MODEL1,PARMS,BronInt,1.073858023,16.47193367,0.282139705,-0.858456104,3.080885769,-0.629288817,1.670603801,-2.945313186,-1
586,MODEL1,PARMS,BronInt,1.158752627,7.270063212,0.364353807,-0.951510841,3.130485111,-0.048977545,0.574021266,-1.81391707,-1
587,MODEL1,PARMS,BronInt,1.110462515,8.487318961,0.134630007,-0.133283673,0.21393536,-0.069608936,0.552619619,-1.499333068,-1
588,MODEL1,PARMS,BronInt,1.108081518,7.749976612,0.329760682,-0.659642187,2.506149748,-0.087032166,2.094612118,-5.891975551,-1
589,MODEL1,PARMS,BronInt,1.027227689,16.93478737,0.109657289,-0.184824354,0.376375416,-0.617275542,3.253887937,-7.889604042,-1
590,MODEL1,PARMS,BronInt,1.039177955,6.220230349,0.149640452,-0.345791895,1.220893754,0.075704567,0.109680111,-0.657532752,-1
591,MODEL1,PARMS,BronInt,1.168865843,-3.396788796,-0.126502617,0.227166253,-0.631075815,0.789668132,-1.661080008,2.807744146,-1
592,MODEL1,PARMS,BronInt,1.014268013,13.02687133,0.016080187,0.119064498,-0.531675653,-0.338500779,1.663955493,-4.007044122,-1
593,MODEL1,PARMS,BronInt,1.049967726,8.954953385,0.375278796,-0.998824495,3.474276345,-0.172353574,1.54490882,-3.787056678,-1
594,MODEL1,PARMS,BronInt,1.05410186,3.878674627,0.285684193,-0.740410684,3.194827459,0.176774385,0.070596294,0.030939754,-1
595,MODEL1,PARMS,BronInt,1.18707997,1.699034759,-0.010052194,0.091033702,0.090339748,0.412130919,-0.227068483,0.158650654,-1
596,MODEL1,PARMS,BronInt,1.087419109,3.47337292,0.080402305,0.212279758,-1.387422223,0.256844588,0.605949939,-2.602354201,-1
597,MODEL1,PARMS,BronInt,1.122783756,-1.747983727,0.228876214,-0.413335335,1.265402378,0.579616074,-1.50815347,3.405303454,-1
598,MODEL1,PARMS,BronInt,1.079691449,8.246546346,0.236581632,-0.66723432,2.452301864,-0.080689922,0.890778555,-2.166796826,-1
599,MODEL1,PARMS,BronInt,1.059543919,9.412529998,0.357331651,-1.125948278,4.732911785,-0.201900732,1.677752088,-4.186662106,-1
600,MODEL1,PARMS,BronInt,1.065278699,1.029369754,-0.039313499,0.2768083,-0.339652979,0.45172526,0.529377653,-2.577856548,-1
601,MODEL1,PARMS,BronInt,1.147629355,3.939585187,0.492739521,-1.164639957,3.730548472,0.142015876,-0.879161535,2.58953473,-1
602,MODEL1,PARMS,BronInt,1.122704874,-13.53538102,0.061634312,0.104529302,-0.519833623,1.391838029,-3.72275332,7.579431072,-1
603,MODEL1,PARMS,BronInt,1.086364957,8.173589835,0.352999985,-0.769343045,2.837312477,-0.124226026,0.977289225,-2.403908472,-1
604,MODEL1,PARMS,BronInt,1.126230029,15.23557798,0.455714816,-1.320971442,4.816602218,-0.611207407,2.81593075,-6.284622838,-1
605,MODEL1,PARMS,BronInt,1.059340161,10.97251705,0.315090621,-0.781667314,2.839438499,-0.273636731,0.82519976,-1.619503833,-1
606,MODEL1,PARMS,BronInt,1.09467657,-4.187035621,-0.294975542,0.739800296,-2.363394573,0.892777517,-1.324630312,1.687562657,-1
607,MODEL1,PARMS,BronInt,1.098946665,4.197987769,0.182572816,-0.586629873,2.290155049,0.201284511,0.170598816,-0.961404705,-1
608,MODEL1,PARMS,BronInt,1.022994096,-0.681135117,0.142835167,-0.553071571,2.350684099,0.536724784,-1.361555423,2.96668591,-1
609,MODEL1,PARMS,BronInt,1.109960499,8.258422122,0.281139776,-0.889956302,3.767508857,-0.117355658,1.792691377,-4.346324502,-1
610,MODEL1,PARMS,BronInt,1.041210656,4.87005205,0.050280305,0.044105988,-0.119511988,0.179597463,0.706581644,-2.271073852,-1
611,MODEL1,PARMS,BronInt,1.122239523,1.867553956,-0.045479195,0.162044857,-0.699072844,0.430804227,-1.704472393,4.030051521,-1
612,MODEL1,PARMS,BronInt,1.069158671,14.8842532,0.259097229,-0.65272267,2.305004145,-0.52690788,1.614740366,-3.3064457,-1
613,MODEL1,PARMS,BronInt,1.193487128,8.886665172,0.079790158,0.000844246,-0.173734914,-0.087927434,0.750771223,-1.534948007,-1
614,MODEL1,PARMS,BronInt,1.101982985,7.853124148,-0.084371723,0.235067429,-0.856905056,0.042549899,1.035511574,-3.555869873,-1
