SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RB1
120,MODEL1,PARMS,RB1,0.913285863,-11.33070231,0.439388527,-1.286690063,4.668446355,0.718637038,-1.892078524,2.960976419,0.449578592,-1.001078068,3.036948628,-1
121,MODEL1,PARMS,RB1,0.914023532,-8.555749282,0.324682,-0.763484613,2.700085655,0.623261307,-1.39716132,2.385931901,0.209919421,0.298407761,-1.031533218,-1
122,MODEL1,PARMS,RB1,0.880201426,9.040413816,0.473097871,-1.289507267,4.535021739,-0.444183248,1.832428346,-4.525350182,0.118558269,0.579118624,-1.411667599,-1
123,MODEL1,PARMS,RB1,0.887410894,-0.376680232,0.357431075,-1.135491749,4.498943494,0.107411947,-0.686205479,1.285294438,0.304513243,0.243757423,-0.563245658,-1
124,MODEL1,PARMS,RB1,0.926316825,2.407335387,0.172849353,-0.491885365,1.751404855,0.005784544,0.021732345,-0.465657778,0.228392694,0.715801413,-2.164904774,-1
125,MODEL1,PARMS,RB1,0.799494768,-7.884851229,0.183440795,-0.666731922,2.797806042,0.661692227,-1.534768156,2.921070165,0.141345981,-0.219811769,0.673427802,-1
126,MODEL1,PARMS,RB1,0.968879234,2.933360228,0.052657773,-0.498339586,1.710050544,-0.036923701,0.327756595,-1.643125232,0.495555641,-1.212383974,3.352326791,-1
127,MODEL1,PARMS,RB1,0.872925387,2.051201337,0.227990449,-0.655273284,2.601140191,0.024580181,0.107864317,-1.102749101,0.197413423,0.373446154,-0.894811243,-1
128,MODEL1,PARMS,RB1,0.923129275,-9.101628853,-0.030451497,0.019656407,0.043000678,0.665604122,-0.272020722,-0.709774679,0.571816102,-1.229519536,2.607755334,-1
129,MODEL1,PARMS,RB1,0.905619133,0.092148839,0.326720331,-1.111870913,4.579619475,0.130009245,0.216807233,-0.773224865,0.159901889,0.63883462,-2.1302033,-1
130,MODEL1,PARMS,RB1,0.784046944,3.548599567,0.169271192,-0.836489039,3.8491204,-0.048534543,0.305711941,-0.994508053,0.227590631,0.039020016,-0.097358552,-1
131,MODEL1,PARMS,RB1,0.885806814,-13.29240424,0.054484502,-0.118029454,0.494709806,0.945771328,-2.180265749,3.488893386,0.375144141,-0.485302301,1.160337815,-1
132,MODEL1,PARMS,RB1,0.873295675,8.485861793,0.398503897,-1.121964488,4.340908833,-0.415403237,2.032395017,-5.227466218,0.185608999,0.586528567,-1.43415664,-1
133,MODEL1,PARMS,RB1,0.937404848,4.543732738,0.184326624,-0.94543291,4.293088048,-0.156796055,-0.409806962,1.593084147,0.425722476,-0.211122867,-0.014547989,-1
134,MODEL1,PARMS,RB1,0.912835849,-4.899732305,0.241988086,-0.858389764,2.93499945,0.409078046,-0.486684781,-0.228758006,0.365721292,-0.696560568,1.739611099,-1
135,MODEL1,PARMS,RB1,0.920985766,-9.880241133,0.195738642,-0.738215123,3.5938637,0.735573496,-2.386781931,4.729685026,0.274829676,0.485040225,-1.519560025,-1
136,MODEL1,PARMS,RB1,0.856582367,2.02056241,0.181518998,-0.69647549,3.002149654,-0.027622049,0.397884932,-0.95559095,0.426629113,-0.340607115,0.387384339,-1
137,MODEL1,PARMS,RB1,0.820641784,-3.433312282,0.020487943,-0.172232251,0.638348889,0.366150611,-0.312901992,-0.448084892,0.388843989,-0.471908168,1.19420054,-1
138,MODEL1,PARMS,RB1,0.930325211,0.387393582,0.026384383,0.361952614,-1.347148713,0.166272849,0.03514997,-0.632988498,0.150432355,0.412389663,-0.957662425,-1
139,MODEL1,PARMS,RB1,0.827762718,3.850720831,0.409907561,-0.964975923,3.654928367,-0.257573687,1.65636858,-4.149402544,0.601512688,-1.346505521,3.21254259,-1
140,MODEL1,PARMS,RB1,0.834572516,-6.082353552,0.272463286,-0.817064727,2.911867773,0.45317312,-1.272020297,2.023542643,0.421857501,-0.423822429,0.984969378,-1
141,MODEL1,PARMS,RB1,0.860931484,-9.18067172,0.460158592,-1.286673258,4.810615673,0.55203262,-2.401698011,4.642399462,0.515021576,0.05303585,-0.425004607,-1
142,MODEL1,PARMS,RB1,0.852540936,0.777954802,0.259219563,-0.906169298,4.0689859,0.12551644,0.079603437,-0.595467963,0.087458318,0.109937942,0.064449361,-1
143,MODEL1,PARMS,RB1,0.851128,-9.660137562,0.271780009,-0.60092821,2.024703955,0.64593141,-0.566239819,-0.480318011,0.399606707,0.034146732,-0.232332721,-1
144,MODEL1,PARMS,RB1,0.935379789,0.060891374,0.329056914,-0.788714646,3.378781431,-0.002573055,0.53129011,-2.085029829,0.585782825,-0.633491274,1.326949793,-1
145,MODEL1,PARMS,RB1,0.875431461,-15.09505552,0.369900808,-0.859774507,2.799434925,0.921646626,-3.252985058,6.158583921,0.545840901,-0.083529959,-0.126903168,-1
146,MODEL1,PARMS,RB1,0.846181298,1.120457829,0.092142038,-0.703303698,2.700355249,0.085593322,-1.109465781,2.350534438,0.406508267,-0.227301328,0.36737779,-1
147,MODEL1,PARMS,RB1,0.869055165,-1.153207327,0.106127906,-0.674217549,2.804142982,0.154803116,0.987688567,-3.332606322,0.63345789,-1.792800862,4.147264076,-1
148,MODEL1,PARMS,RB1,0.860592419,-3.185395383,0.03475069,-0.628398866,2.773618198,0.494479566,-0.824867227,1.120685401,-0.098571347,1.065784336,-2.651803899,-1
149,MODEL1,PARMS,RB1,0.871406539,-6.727503613,0.545862872,-1.160124173,3.851669459,0.42053516,-0.96743679,1.196161739,0.334577932,-0.034893791,-0.296510601,-1
150,MODEL1,PARMS,RB1,0.878744474,-6.490205925,0.376917911,-0.94207877,3.61129082,0.419403267,-1.274170143,2.372515462,0.514899179,-0.906113887,1.845689529,-1
151,MODEL1,PARMS,RB1,0.909362658,3.64917175,0.032667504,-0.062790148,0.288827923,-0.029010485,0.879976339,-2.902861874,0.170709583,1.007599864,-2.542375227,-1
152,MODEL1,PARMS,RB1,0.902786088,-2.717400112,0.320511897,-0.917580841,3.519654378,0.236507243,-0.596928958,1.134506248,0.366722433,-0.117411828,-0.136363,-1
153,MODEL1,PARMS,RB1,0.885031133,-10.08724715,0.099063319,-0.317869859,1.330828033,0.883495129,-2.433590298,4.470227411,-0.158485441,1.378019122,-2.715928869,-1
154,MODEL1,PARMS,RB1,0.840126206,-6.173907528,0.346140608,-1.05708986,4.490524049,0.411741521,-0.110658045,-0.685567707,0.479925848,-0.83158957,1.827908954,-1
155,MODEL1,PARMS,RB1,0.906424015,5.856920002,0.088210526,-0.523523609,2.609946024,-0.162111023,0.07012394,0.295134355,0.175206131,0.763889472,-2.397571129,-1
156,MODEL1,PARMS,RB1,0.993931762,-21.30374161,0.160315307,-0.38295381,1.56596264,1.430929489,-4.435364475,8.735957518,0.284578855,0.596594127,-1.843315471,-1
157,MODEL1,PARMS,RB1,0.897947918,-11.42805582,0.106565247,-0.157603496,0.438941757,0.775224472,-3.162782952,6.589282969,0.536198637,-0.515187854,1.005075207,-1
158,MODEL1,PARMS,RB1,0.878035407,-1.34681842,0.330802042,-1.110846394,3.850187972,0.147811811,-0.695687497,1.180216098,0.476806764,-0.854919859,1.8715648,-1
159,MODEL1,PARMS,RB1,0.942668797,-1.581756391,-0.052688307,0.109756921,0.083169715,0.230007759,0.60058297,-2.469819799,0.518075845,-1.149675603,2.648131601,-1
160,MODEL1,PARMS,RB1,0.865505583,8.747704042,0.349557538,-0.937897904,3.08207127,-0.462877158,1.509388705,-3.782560927,0.414845127,-0.879825174,2.437204692,-1
161,MODEL1,PARMS,RB1,0.854063227,-4.334026426,0.212898157,-0.538281453,2.147151585,0.306364445,-0.46368148,0.313850828,0.580418807,-0.814118921,1.742546084,-1
162,MODEL1,PARMS,RB1,0.883135887,-10.39700437,0.280953309,-0.959306954,3.538533791,0.75704549,-1.664804558,2.501834821,0.271627406,-0.128727534,0.124900116,-1
163,MODEL1,PARMS,RB1,0.928350501,-6.289402841,0.290774025,-0.979288119,3.3964543,0.475639834,-1.60327192,2.501493126,0.389764466,0.139642595,-0.677235459,-1
164,MODEL1,PARMS,RB1,0.830697213,-14.79796314,0.15565929,-0.960821689,4.538055757,1.009006527,-2.360549716,4.347889734,0.44480139,-0.239842826,-0.095874358,-1
165,MODEL1,PARMS,RB1,0.860258092,1.842328074,0.353706168,-1.139821404,4.329476921,-0.064223276,-0.520454634,0.777349925,0.491629299,-0.198429731,0.413329156,-1
166,MODEL1,PARMS,RB1,0.876917823,0.571448572,0.181800769,-0.69204058,2.811931029,0.038265894,0.879555728,-2.701800595,0.524894332,-0.808067325,1.854239128,-1
167,MODEL1,PARMS,RB1,0.849619232,-10.15391393,0.227182243,-0.895433609,4.100400169,0.684499898,-2.730188422,5.650856727,0.553384234,-0.448031977,0.608097594,-1
168,MODEL1,PARMS,RB1,0.89819583,-11.14902289,0.316448395,-0.7867368,2.597128608,0.720797145,-1.685459085,2.733404763,0.479973752,-0.893898993,2.014130595,-1
169,MODEL1,PARMS,RB1,0.907147394,9.827153893,0.381170365,-1.000260783,3.630240989,-0.46554912,1.968805884,-4.367782571,0.08614211,0.606277754,-1.3591145,-1
170,MODEL1,PARMS,RB1,0.907720096,-7.008368464,0.389944027,-1.002373376,3.758799336,0.451985385,-1.442143877,2.794136122,0.468813091,-0.285643597,0.203721376,-1
171,MODEL1,PARMS,RB1,0.821925668,-8.498127536,0.199032282,-0.336894644,1.284017598,0.601477996,-1.606575634,3.244900902,0.387969935,0.281851495,-1.091006162,-1
172,MODEL1,PARMS,RB1,0.902268956,-9.791224461,0.270984564,-0.809905115,2.95221912,0.652579451,-0.864998653,0.156505454,0.467846828,-0.336899919,0.895465856,-1
173,MODEL1,PARMS,RB1,0.934394243,-6.866487771,0.210207491,-0.449097906,1.095721423,0.415518198,-1.769207324,3.024182228,0.778543157,-0.934391028,1.719548108,-1
174,MODEL1,PARMS,RB1,0.847147039,-10.3328841,0.217030554,-0.774351974,3.337008635,0.830681149,-2.397848445,5.074444967,-0.00773644,1.389869238,-3.816449379,-1
175,MODEL1,PARMS,RB1,0.861867727,-2.012046606,0.251116608,-0.664560856,2.517265488,0.230258719,-1.746222694,4.494619156,0.331096813,0.360265645,-1.483492977,-1
176,MODEL1,PARMS,RB1,0.989843482,-5.123852861,-0.056593194,0.449104995,-1.636214872,0.473148296,0.223797657,-2.326813238,0.342842283,-0.312099886,0.899379507,-1
177,MODEL1,PARMS,RB1,0.825491793,-8.671683747,0.239977971,-0.676283872,3.057885769,0.628196239,-1.046608707,1.256621208,0.25896892,0.798792713,-2.391998557,-1
178,MODEL1,PARMS,RB1,0.94668427,6.438648957,0.107364275,-0.195438217,0.715748857,-0.196447457,0.196816438,-0.11698976,0.129505454,0.366984526,-0.648064143,-1
179,MODEL1,PARMS,RB1,0.904135899,-9.125880814,0.334715834,-0.731507241,1.940732036,0.591478777,-1.551242743,2.261511231,0.474073554,-0.388239344,0.986266304,-1
180,MODEL1,PARMS,RB1,0.938174412,10.21617748,-0.018065803,-0.264972355,1.4717715,-0.491165728,1.892782221,-4.932288682,0.561553318,-0.61421755,0.967064103,-1
181,MODEL1,PARMS,RB1,0.869595425,-0.043220441,0.058526579,-0.176320524,0.874474445,0.166170187,-0.724702524,1.730376763,0.304234213,0.099606721,-0.605311313,-1
182,MODEL1,PARMS,RB1,0.868103904,-0.641652976,0.102245582,-0.342470996,1.42302283,0.195664068,-0.908390539,1.720733569,0.315805998,0.05625534,-0.403311183,-1
183,MODEL1,PARMS,RB1,0.882991198,-7.768200905,0.040136744,-0.035645653,0.016506982,0.669088959,-1.675581406,3.363701209,0.173914882,0.079308732,-0.368346098,-1
184,MODEL1,PARMS,RB1,0.881975335,2.236440163,0.31263115,-0.760840661,2.669789015,-0.041339165,0.440084008,-1.250585512,0.286393303,-0.013500969,0.108581567,-1
185,MODEL1,PARMS,RB1,0.87027195,1.718132859,0.09020079,-0.423714554,1.334429986,-0.022061484,1.197846292,-3.837754736,0.592473481,-1.037769324,2.123748694,-1
186,MODEL1,PARMS,RB1,0.817358083,0.518219766,0.396372631,-0.854577871,3.038617947,-0.012827819,-0.147701958,0.171833928,0.395765586,0.580727675,-1.801732112,-1
187,MODEL1,PARMS,RB1,0.884106393,-8.879282912,0.135100675,-0.650087088,3.078224993,0.715696457,-1.86297527,3.683322242,0.196260383,0.253610047,-0.813066212,-1
188,MODEL1,PARMS,RB1,0.856330609,-0.238459571,0.228378225,-1.086030921,4.55510162,0.190090403,-1.760353537,4.284237649,0.199139203,0.677878008,-2.11689078,-1
189,MODEL1,PARMS,RB1,0.840207814,-9.362840827,0.335341405,-1.310083933,5.2674342,0.626289024,-2.008344292,3.783022966,0.460114016,-0.134098062,-0.168747548,-1
190,MODEL1,PARMS,RB1,0.896675446,-3.783393747,0.235463003,-0.99117525,3.700406699,0.392676254,-0.646034361,0.341167057,0.194473885,-0.49837916,2.046516853,-1
191,MODEL1,PARMS,RB1,0.891788261,-4.282361378,-0.10371826,-0.002202834,0.654639583,0.399008557,-0.536710819,0.214940164,0.549862905,-0.783202427,1.529881708,-1
192,MODEL1,PARMS,RB1,0.909920951,-2.313271738,0.131925079,-0.205524956,0.271050152,0.181502678,-0.109450639,-0.938047449,0.666873088,-0.818764382,1.424973454,-1
193,MODEL1,PARMS,RB1,0.863509331,-5.298460389,0.258263025,-0.624226958,2.148026848,0.448338733,-0.82829569,0.780538477,0.211333563,0.865449848,-2.548213837,-1
