SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LUL
146,MODEL1,PARMS,LUL,1.046165483,0.394208081,0.145232768,-0.28921054,1.173754029,0.340069319,-1.632310969,3.837136957,0.369621237,-0.183039285,-0.080049213,-1
147,MODEL1,PARMS,LUL,1.131118474,14.89208105,0.199397646,-0.471977138,1.109344924,-0.602125065,1.910166351,-4.488960919,0.583603675,-0.847278681,1.657165994,-1
148,MODEL1,PARMS,LUL,0.987425682,6.266558407,0.204238716,-0.240188677,0.783253328,-0.137552186,-0.761212499,2.203188323,0.719456282,-0.689020017,0.948396692,-1
149,MODEL1,PARMS,LUL,1.058989571,-1.912084911,0.444526104,-0.63679467,2.523879624,0.314010322,-1.075684916,2.439025039,0.547527401,-0.289900538,-0.022451574,-1
150,MODEL1,PARMS,LUL,1.141110008,1.52309341,0.090392609,0.093212697,-0.750068639,0.335989897,-0.538716681,0.798792556,0.17262339,0.323034523,-0.94868802,-1
151,MODEL1,PARMS,LUL,1.042187478,7.911376051,-0.002482854,0.144952525,-0.141137585,-0.079941648,0.520603631,-0.466318508,0.362153056,-0.393314791,0.294553405,-1
152,MODEL1,PARMS,LUL,0.996375075,3.346290917,0.196528764,-0.427183004,2.254913133,0.038516802,-1.025839392,2.865902091,0.74200058,-0.716322465,0.617859748,-1
153,MODEL1,PARMS,LUL,1.135021708,7.006629511,-0.151332799,0.560022066,-1.256370588,0.067278623,-0.167748634,0.805572123,0.125561814,0.358555537,-1.047533329,-1
154,MODEL1,PARMS,LUL,1.185372876,1.317299349,0.164521922,-0.570265811,2.628748458,0.146891801,-1.154140255,2.700981376,0.909848092,-2.063878325,4.713125769,-1
155,MODEL1,PARMS,LUL,1.059806927,11.0322715,-0.150580678,0.259476075,-0.598652256,-0.147400179,0.579274194,-0.407931222,0.084788724,0.839925966,-2.671113483,-1
156,MODEL1,PARMS,LUL,1.033697653,-5.332963956,0.280954117,-0.235795201,1.06904214,0.691919685,-2.843188285,6.656464913,0.123696244,1.267820747,-3.608947163,-1
157,MODEL1,PARMS,LUL,1.021455649,-6.318704299,0.087303565,-0.083921505,0.409143363,0.718688821,-2.809876984,6.296269559,0.487095507,0.145550855,-0.793956895,-1
158,MODEL1,PARMS,LUL,1.049923221,-0.469982,0.196202944,-0.229961087,1.191243234,0.237096132,-2.476332213,6.551769522,0.820458376,-0.873028168,0.996084374,-1
159,MODEL1,PARMS,LUL,1.155423006,-0.254520336,0.074748882,0.133317161,-0.199143656,0.381876948,-0.90256794,1.808603363,0.36340167,-0.470859817,1.266283813,-1
160,MODEL1,PARMS,LUL,1.118060841,17.14616437,0.158634204,0.191628554,-1.070819891,-0.681017045,1.785287652,-3.155498546,0.292143119,-0.239534114,0.480726514,-1
161,MODEL1,PARMS,LUL,1.077193866,17.55204295,0.113038743,-0.046487878,0.161161882,-0.728137943,1.153864574,-1.288549926,0.466197334,-0.375218134,0.516254321,-1
162,MODEL1,PARMS,LUL,1.052217649,9.673470854,0.190784592,-0.29891357,1.461428489,-0.137213059,-0.52434545,0.960846974,0.003236604,1.449860066,-3.621100605,-1
163,MODEL1,PARMS,LUL,1.047039165,10.01984331,0.264815584,-0.316379277,0.761327514,-0.449554082,-0.199081672,0.566594013,0.952501235,-1.114193779,1.915416364,-1
164,MODEL1,PARMS,LUL,1.11749024,12.05587581,0.051646767,0.316906096,-1.3143517,-0.280105641,-0.547630312,3.178236909,0.055621826,1.506057543,-4.739519395,-1
165,MODEL1,PARMS,LUL,1.162679413,8.888848722,-0.052802114,0.48885215,-1.789435653,-0.210734911,-0.443023989,1.485183048,0.690968097,-1.134275923,2.011004158,-1
166,MODEL1,PARMS,LUL,1.017840879,16.73542817,0.231951045,0.000420289,-0.439182398,-0.742075893,1.521142465,-2.110659963,0.517636238,0.027856379,-0.846641007,-1
167,MODEL1,PARMS,LUL,1.082324456,12.07299839,0.03827505,0.055325414,0.152698093,-0.312529666,-0.552674766,1.809454333,0.278735304,0.589408537,-1.879395273,-1
168,MODEL1,PARMS,LUL,1.080686481,0.273482483,0.167261993,-0.19090786,1.12858402,0.191407346,-1.286462878,3.773461887,0.879024266,-1.054678925,0.734429565,-1
169,MODEL1,PARMS,LUL,1.072879629,21.33427513,0.295620887,-0.066970623,0.356272989,-1.098684682,2.994976774,-5.223816015,0.697238676,-0.625358658,0.598008536,-1
170,MODEL1,PARMS,LUL,1.028230076,12.22298389,0.035279376,0.266396099,-1.049168282,-0.320383152,0.386952335,-0.342669459,0.240689981,0.306553672,-0.912109574,-1
171,MODEL1,PARMS,LUL,0.996037777,4.631157022,-0.170244913,0.977997471,-4.32803191,0.126859459,-1.183181497,2.978602797,0.486809523,-0.351694629,0.566936191,-1
