SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,sRB1
1,MODEL1,PARMS,sRB1,0.73046474,-0.524126462,0.286400957,-0.916104706,3.594955743,0.048149298,-0.594396377,1.847464603,0.469849256,-1.311848697,2.594097296,-1
2,MODEL1,PARMS,sRB1,0.68598563,-2.501102747,0.057878368,-0.236599765,0.739618174,0.244457327,-0.483963681,0.880695906,0.338907333,-0.463660314,0.739471085,-1
3,MODEL1,PARMS,sRB1,0.630016633,1.497129164,0.218075954,-0.459963565,1.319696868,-0.022170134,1.365183482,-3.317681053,0.199929049,-0.096510999,-0.193233861,-1
4,MODEL1,PARMS,sRB1,0.668023718,9.205938326,0.217798269,-0.909260929,3.655511251,-0.364233438,1.080175259,-2.346709385,-0.136703051,0.758447752,-1.611384175,-1
5,MODEL1,PARMS,sRB1,0.667604868,1.089441662,0.27577621,-0.889032555,3.094850263,0.090000494,-0.32136693,0.450332386,-0.056075028,0.672815412,-1.706818271,-1
6,MODEL1,PARMS,sRB1,0.646118693,8.187769197,0.071702567,-0.343949657,1.609116137,-0.255114752,0.808204281,-1.434338599,-0.220250073,1.100620844,-2.425653254,-1
7,MODEL1,PARMS,sRB1,0.716757584,-2.573400406,0.350916118,-0.946007612,3.749455853,0.31033518,-0.333042792,-0.143942213,-0.171830677,0.773853313,-1.439680078,-1
8,MODEL1,PARMS,sRB1,0.651664794,-6.367476718,0.210795606,-0.647027605,2.645366011,0.505007303,-1.240471715,2.344242603,0.088840815,0.234969226,-0.777799133,-1
9,MODEL1,PARMS,sRB1,0.686281112,6.942102321,0.125552418,-0.482178615,1.822661697,-0.272736787,1.535663911,-3.513411056,0.039002022,0.397860869,-0.877414149,-1
10,MODEL1,PARMS,sRB1,0.645938983,6.158860489,0.088154712,-0.279220444,1.115575288,-0.235516293,0.525169598,-0.711768878,0.134847972,0.249280774,-0.830573253,-1
11,MODEL1,PARMS,sRB1,0.67928465,5.899819727,0.165476918,-0.322419024,1.44880021,-0.250058525,1.183245527,-2.497734706,0.155331474,-0.283874266,0.661921273,-1
12,MODEL1,PARMS,sRB1,0.632948584,0.920655981,0.209438474,-0.409375069,1.07752318,0.122078244,0.050734727,-0.636860713,-0.149066279,1.07253897,-2.516487562,-1
13,MODEL1,PARMS,sRB1,0.678906308,0.893554548,0.217692108,-0.467505424,1.623051297,0.057683591,-0.03651831,0.096004733,0.069326272,0.221714269,-0.497962179,-1
14,MODEL1,PARMS,sRB1,0.687545481,3.822381397,0.150202528,-0.554309713,2.379738151,-0.101564077,0.622529255,-1.239160341,0.105148313,0.131597165,-0.583190153,-1
15,MODEL1,PARMS,sRB1,0.636628068,1.96952811,0.049966631,-0.179685009,0.773306828,-0.001596956,0.907785901,-2.668747066,0.210292327,-0.130108083,0.167517691,-1
16,MODEL1,PARMS,sRB1,0.682838945,5.485821673,0.180177731,-0.327797944,1.193646197,-0.196837097,1.350076893,-2.966315237,0.0370129,-0.07905628,0.316033377,-1
17,MODEL1,PARMS,sRB1,0.676608385,4.608312178,0.248474498,-0.441394411,0.849236335,-0.154645525,0.817316474,-2.34112865,0.03098395,0.05296418,0.11447897,-1
18,MODEL1,PARMS,sRB1,0.637290799,11.37831165,0.255486882,-0.718584599,2.30717272,-0.584522991,2.241630815,-4.96149259,0.096510659,0.114562251,-0.165268931,-1
19,MODEL1,PARMS,sRB1,0.705376145,8.108883482,0.190268354,-0.631071527,2.278194563,-0.415872667,1.603412736,-3.563542177,0.239186394,0.017462787,-0.27097306,-1
20,MODEL1,PARMS,sRB1,0.646026291,-2.554763306,0.147640495,-0.245145141,0.538944238,0.247164784,-0.367647054,0.282785686,0.239371717,-0.314178056,0.626679701,-1
21,MODEL1,PARMS,sRB1,0.652597791,1.875231626,0.04435306,-0.301446439,1.505970741,0.082520033,-0.2524635,0.375860319,-0.019208113,0.783374547,-2.078822953,-1
