SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,sLB10
540,MODEL1,PARMS,sLB10,1.062580912,-3.300567784,0.013071667,0.135462594,-0.698283673,0.279759979,-1.573914899,3.648380964,0.512809281,-0.973895785,1.591756292,-1
541,MODEL1,PARMS,sLB10,0.883014489,9.655585291,0.062137046,0.138568832,-0.848409371,-0.501588384,1.335800952,-2.698468122,0.373041226,-0.488739506,0.841878024,-1
542,MODEL1,PARMS,sLB10,0.973635361,7.969798003,-0.022338608,0.077387868,0.139499068,-0.272560487,-0.41210362,1.533784291,0.128167861,-0.316656397,0.594977731,-1
543,MODEL1,PARMS,sLB10,0.848514257,-2.584716622,-0.178479608,0.727008971,-2.600438472,0.471189019,-0.900856605,1.408607079,-0.225284434,0.583313842,-0.834384233,-1
544,MODEL1,PARMS,sLB10,0.954529097,7.39913098,-0.094076678,-0.0435781,0.181551827,-0.342088906,0.902181105,-1.507882762,0.567944937,-1.29002383,2.401598246,-1
545,MODEL1,PARMS,sLB10,0.884978321,4.514288598,0.001263067,-0.085212081,0.510434801,-0.183513417,0.771183734,-1.615033297,0.47402597,-1.172226233,2.331628077,-1
546,MODEL1,PARMS,sLB10,0.806572945,8.860976677,-0.058216215,0.166438695,-0.627793249,-0.431870332,1.020654384,-1.592206618,0.479659552,-0.963378061,1.492267918,-1
547,MODEL1,PARMS,sLB10,0.911396975,13.6884353,-0.018009277,0.464008542,-2.469609695,-0.880383842,1.789407663,-2.672114294,0.967588162,-1.99254145,3.532745836,-1
548,MODEL1,PARMS,sLB10,0.993908843,16.69509679,0.070051413,-0.340491065,1.110526657,-0.8985656,2.688608935,-5.316911812,0.437147308,-1.436048877,2.834074421,-1
549,MODEL1,PARMS,sLB10,0.811660048,17.43159554,0.058025937,0.116148521,-0.910137248,-0.976210838,2.650853751,-4.957747173,0.435155066,-1.123807456,2.248306769,-1
550,MODEL1,PARMS,sLB10,1.02594605,4.52939213,-0.379685437,1.021813039,-3.497774096,0.074960953,-1.627748375,3.856660907,-0.025322013,0.40070705,-0.897010385,-1
551,MODEL1,PARMS,sLB10,0.95423159,0.175753751,-0.145926983,0.560828839,-1.80728545,0.073911791,-0.522019615,1.295723391,0.607716989,-0.853285684,0.853188376,-1
552,MODEL1,PARMS,sLB10,0.956823321,24.84159227,-0.134150874,0.352984567,-1.448044008,-1.279376681,2.753015118,-4.704132227,0.205828823,-0.442828565,1.039542524,-1
553,MODEL1,PARMS,sLB10,0.80037813,20.79982645,0.173927694,-0.358820089,0.476567363,-1.239593736,4.325509421,-9.39813355,0.628379721,-2.059760723,4.428116797,-1
554,MODEL1,PARMS,sLB10,0.865672072,15.47997437,0.00261556,0.193194625,-0.747265599,-0.883594265,2.547368089,-5.154976613,0.559366707,-1.205019856,2.382330872,-1
555,MODEL1,PARMS,sLB10,0.945027264,11.6697397,-0.045723219,0.243364108,-0.875487496,-0.564168375,1.271268918,-1.889115428,0.330451144,-0.980530855,2.049660147,-1
556,MODEL1,PARMS,sLB10,0.878495363,15.14818666,-0.049389715,0.083137773,-0.651146484,-0.960522453,2.889406026,-5.421320128,0.983064904,-2.268061022,4.222367213,-1
557,MODEL1,PARMS,sLB10,0.896504943,-1.686156271,-0.15162419,0.196042838,-0.114400371,0.191867105,-1.583582591,3.753632269,0.675243547,-1.473220694,2.480256842,-1
558,MODEL1,PARMS,sLB10,0.972668586,-0.427669082,0.116358949,-0.15954454,0.247999569,0.04177992,-0.454161182,1.460264223,0.63432268,-1.599944221,3.301727449,-1
559,MODEL1,PARMS,sLB10,0.932957,5.821868686,-0.215581599,0.962463225,-3.335655215,-0.218778823,0.065936687,0.138491663,0.39774065,-0.181687517,-0.016550601,-1
560,MODEL1,PARMS,sLB10,0.883330976,-3.229901562,-0.052823821,0.034473232,-0.145772487,0.360863767,-1.665587691,3.807097797,0.283838704,-0.411426761,0.56966404,-1
561,MODEL1,PARMS,sLB10,0.892987232,10.00560589,0.057351992,-0.183214913,1.08404451,-0.563785166,0.882627001,-1.066396232,0.593788887,-1.121124997,2.052919985,-1
562,MODEL1,PARMS,sLB10,0.874739986,6.838616394,0.057642933,-0.23450662,0.919371144,-0.3680353,0.325860202,-0.415260297,0.608797512,-1.209979059,2.046845822,-1
563,MODEL1,PARMS,sLB10,0.94361263,0.041705239,-0.121624612,0.420903685,-1.666826528,0.048260101,-2.017880348,5.64313274,0.733126329,-1.424612101,2.665205032,-1
564,MODEL1,PARMS,sLB10,0.968594553,6.229691832,-0.031129868,0.388191882,-1.663697891,-0.328713352,1.651688113,-3.988030685,0.589386072,-1.689243964,3.956092688,-1
565,MODEL1,PARMS,sLB10,0.935809609,6.612972364,-0.006529396,0.013362769,0.09953978,-0.251366543,0.615931571,-1.039234393,0.282204617,-0.693706214,1.647104054,-1
566,MODEL1,PARMS,sLB10,0.897325609,-12.89902375,-0.155124468,0.648600013,-2.052604966,0.854723527,-2.932618093,6.121914149,0.679618757,-1.493160902,2.745931351,-1
567,MODEL1,PARMS,sLB10,0.925063237,17.88864973,-0.076448531,0.218114967,-0.33528636,-0.995265624,2.909808348,-5.086276645,0.509639938,-1.133008571,2.059058826,-1
568,MODEL1,PARMS,sLB10,0.928146204,5.734197654,0.021138067,0.233092469,-1.01296154,-0.2605798,0.12019719,-0.090462314,0.449211607,-0.489642278,0.654740722,-1
569,MODEL1,PARMS,sLB10,0.863817893,6.360449955,-0.149038182,0.361395601,-0.898383645,-0.109743295,-0.519820417,1.43841579,-0.061260187,1.141822178,-3.076205161,-1
570,MODEL1,PARMS,sLB10,0.912529044,12.96942796,-0.160064867,0.454345676,-1.904265149,-0.612198319,0.507950622,-0.150207338,0.390018596,-0.739613805,1.27336319,-1
571,MODEL1,PARMS,sLB10,0.920208816,-14.9737057,-0.168330317,0.436016952,-1.33783735,1.072948483,-4.068828832,9.125188819,0.427668121,-0.815140678,1.060765508,-1
572,MODEL1,PARMS,sLB10,0.89629757,3.719571595,0.04466915,-0.180710479,0.801283114,-0.123359202,-0.079772614,0.7900369,0.3986618,-0.489249779,0.595772972,-1
573,MODEL1,PARMS,sLB10,0.902166819,15.88129484,-0.118225478,0.34699426,-1.662484284,-0.847765256,2.164629365,-3.742169711,0.502808356,-1.270169778,2.422647832,-1
574,MODEL1,PARMS,sLB10,1.11193148,17.45844535,-0.130163212,0.548273516,-1.899920006,-0.949793355,2.32834529,-4.074205682,0.5577408,-1.682571102,3.629096727,-1
575,MODEL1,PARMS,sLB10,0.900334237,6.869487794,-0.033650817,0.379937471,-2.004534946,-0.189697902,1.076596554,-2.437535817,-0.031629802,0.330524557,-0.888561345,-1
576,MODEL1,PARMS,sLB10,0.88133002,3.442644909,0.09411243,-0.061196848,-0.175899063,-0.070498997,-0.557052849,1.737663671,0.190805284,-0.020413239,-0.251716886,-1
577,MODEL1,PARMS,sLB10,0.93170294,12.28230346,-0.186823483,0.570596348,-2.301794312,-0.511538913,1.541476487,-2.460973394,0.137702502,-0.072860654,-0.493663905,-1
578,MODEL1,PARMS,sLB10,0.879905276,12.78165383,-0.050477815,0.217218427,-0.727068409,-0.725911194,1.645129054,-2.754755601,0.657463703,-1.430575112,2.736614098,-1
579,MODEL1,PARMS,sLB10,0.907785131,0.279840582,-0.09364547,0.225897079,-0.153883696,0.051393411,-0.600229997,1.601538035,0.677638209,-1.699956898,3.341928694,-1
580,MODEL1,PARMS,sLB10,0.965404728,11.94721438,-0.282440508,0.913700332,-3.206145263,-0.52986417,1.167147,-1.673309089,0.36957173,-0.665702637,0.855469832,-1
581,MODEL1,PARMS,sLB10,0.921088444,14.3117292,0.095821694,-0.539438487,2.041374122,-0.702766597,1.405312408,-2.3793397,0.186198969,-0.023403398,-0.457251965,-1
582,MODEL1,PARMS,sLB10,0.912115373,6.427972987,0.039708571,-0.455023074,2.092764185,-0.367831569,0.695939357,-1.327950199,0.772550115,-1.899586216,3.703615236,-1
583,MODEL1,PARMS,sLB10,0.971009522,-4.255847654,0.054164752,-0.117344123,0.376769658,0.285692855,-1.102505634,2.389146636,0.718543738,-1.983476384,3.846608125,-1
584,MODEL1,PARMS,sLB10,1.067714076,2.024320449,-0.212845044,0.07702347,0.515894554,0.025386641,-1.735792984,4.158194889,0.633904101,-2.076433281,4.833282216,-1
585,MODEL1,PARMS,sLB10,0.908863277,3.881934983,-0.081906998,0.070795263,0.663861907,0.045605023,-0.655667685,1.946781583,-0.110247919,0.363986563,-0.830952269,-1
586,MODEL1,PARMS,sLB10,0.978116134,-10.14418787,-0.016083672,0.107507607,-0.001642073,0.755290938,-2.653718059,5.784380337,0.32315895,-0.448023651,0.448867143,-1
587,MODEL1,PARMS,sLB10,0.947942296,2.068209412,-0.370051036,0.501463043,-1.134869049,0.055282897,0.181683394,-1.044153749,0.59753013,-1.434686045,2.851296094,-1
588,MODEL1,PARMS,sLB10,0.811098096,12.26396511,0.084041244,0.211192585,-1.197938469,-0.700889252,1.147227406,-1.672305773,0.523401354,-0.915612818,1.599865136,-1
589,MODEL1,PARMS,sLB10,1.013045241,19.28523771,0.120384321,-0.334876399,0.883848974,-1.119790833,1.749186371,-2.208684788,0.618712572,-1.41854669,2.631805306,-1
590,MODEL1,PARMS,sLB10,0.922965551,1.544459616,0.058249939,-0.39307074,1.644045566,0.001814421,1.083657892,-2.893231845,0.405027751,-0.841698624,1.4648866,-1
591,MODEL1,PARMS,sLB10,0.924503759,-1.927563617,-0.210001564,0.581288292,-2.426734441,0.472557442,-1.25870364,2.749796505,-0.28551529,0.984631861,-2.300922664,-1
592,MODEL1,PARMS,sLB10,0.939944824,5.92748147,-0.018251282,-0.028483101,0.260338186,-0.192610496,-0.968417365,2.797542983,0.28093836,-0.044161923,-0.242834527,-1
593,MODEL1,PARMS,sLB10,0.873085441,1.047694145,0.098767374,-0.362173929,1.83029501,0.082211607,-0.363487909,1.265191127,0.220691952,-0.58090231,0.913165192,-1
594,MODEL1,PARMS,sLB10,1.014299814,19.05810431,-0.09816751,0.304771209,-1.192312124,-1.027852927,2.679023166,-5.094212812,0.493364704,-1.607980379,3.634273882,-1
595,MODEL1,PARMS,sLB10,0.881997429,7.684655298,-0.152639822,0.529500318,-2.031757583,-0.227565074,0.818211154,-1.726668987,0.063091441,0.262731723,-0.889040127,-1
596,MODEL1,PARMS,sLB10,0.879564546,2.028302901,0.224247448,-0.432936341,2.361261705,-0.139299691,0.43458745,-0.646083435,0.54774519,-0.788984942,0.905111291,-1
597,MODEL1,PARMS,sLB10,0.992715677,6.018058394,0.140029686,-0.425575087,1.917170596,-0.176998906,0.432489324,-0.810262371,-0.056750613,1.184266375,-3.255605692,-1
598,MODEL1,PARMS,sLB10,0.951379766,10.39320362,0.154883814,-0.249724175,0.414826176,-0.620199054,1.823746322,-3.393639269,0.613486032,-1.299771235,2.230552446,-1
599,MODEL1,PARMS,sLB10,0.902958593,1.880159355,-0.005600295,-0.081509278,0.457676731,-0.045519078,-1.425365018,3.819665854,0.602387999,-0.697623012,0.883737552,-1
600,MODEL1,PARMS,sLB10,0.953311725,2.822136641,-0.053265946,0.047758787,0.606515697,-0.051345387,-0.37277551,1.079504306,0.49574354,-1.335487994,2.687729863,-1
601,MODEL1,PARMS,sLB10,0.880083134,10.60452249,-0.096505966,0.265130861,-0.589685001,-0.568385148,1.80462638,-3.805901042,0.682750466,-2.635138855,6.218148501,-1
602,MODEL1,PARMS,sLB10,0.916706794,3.740739878,-0.033213486,-0.276231448,2.060829555,-0.06399748,-1.276293178,4.147701465,0.336196732,-0.597891233,0.63505782,-1
603,MODEL1,PARMS,sLB10,1.022099281,15.20014149,-0.338829895,0.458927642,-0.716733989,-0.741595621,0.630857113,0.071618076,0.579715591,-1.210485656,2.068196232,-1
604,MODEL1,PARMS,sLB10,0.961821183,12.79754656,-0.104469731,-0.108098713,0.87797308,-0.623895523,1.059220157,-2.087433996,0.464074681,-1.063370608,2.24197433,-1
605,MODEL1,PARMS,sLB10,1.001235604,25.68395175,-0.053417497,-0.055987695,0.608782573,-1.488017323,3.569916732,-6.349501322,0.668838825,-1.374063777,2.508725892,-1
606,MODEL1,PARMS,sLB10,1.03441724,10.70345349,0.097709067,-0.718712184,3.703148762,-0.647098115,2.529731789,-5.523509693,0.781102046,-2.415603705,5.073030786,-1
607,MODEL1,PARMS,sLB10,0.996599275,4.463717574,-0.096162723,0.259242236,-0.957428166,-0.16853202,0.418306895,-0.55451519,0.503764967,-0.934794533,1.719352005,-1
608,MODEL1,PARMS,sLB10,0.891757753,7.335092725,-0.080953185,0.131531894,0.429034709,-0.298573943,0.350496694,-0.222249739,0.357501366,-0.660125718,1.055626599,-1
609,MODEL1,PARMS,sLB10,0.844088111,12.15800317,0.085599228,-0.017127862,-0.032483013,-0.626131384,1.281548498,-1.984944225,0.319385435,-0.648103956,1.016132178,-1
610,MODEL1,PARMS,sLB10,0.942112443,10.63898595,-0.240125284,1.013652315,-4.06177603,-0.336223811,0.283733013,0.63856837,-0.107763354,0.476185687,-1.564888956,-1
611,MODEL1,PARMS,sLB10,0.949418702,-1.747075737,-0.014778776,0.137129528,0.368521221,0.331704062,-0.68618813,1.518127663,-0.041451865,0.008559101,0.201096238,-1
612,MODEL1,PARMS,sLB10,0.983798034,4.625144441,0.024107173,-0.027392277,0.557808718,-0.140648072,-0.755022337,2.09170012,0.302691475,-0.042387783,-0.580651937,-1
