SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LB1
694,MODEL1,PARMS,LB1,0.714350417,6.011137676,0.133616384,-0.45352972,1.928024835,-0.083718828,-0.308024516,0.947425731,-0.267527913,1.34801326,-2.928362731,-1
695,MODEL1,PARMS,LB1,0.754218465,7.790782269,0.017452366,-0.140957219,0.3611242,-0.285436413,0.17228827,0.368559858,0.16113643,0.241830827,-0.740301076,-1
696,MODEL1,PARMS,LB1,0.724262507,8.10340187,-0.003261938,0.089578101,-0.366443572,-0.262406605,0.209807703,0.045110284,-0.005597911,0.756737033,-1.809373131,-1
697,MODEL1,PARMS,LB1,0.719360245,0.047568736,0.057574644,-0.178439157,0.969859178,0.164663935,-0.338605288,0.669354143,0.151640419,0.284221183,-0.617991861,-1
698,MODEL1,PARMS,LB1,0.773442269,9.256810609,0.172279018,-0.379992751,1.051508968,-0.319266537,0.483867671,-0.969267004,-0.230842127,1.519080892,-3.284307059,-1
699,MODEL1,PARMS,LB1,0.745551249,18.85328508,0.12324078,-0.190322713,0.682804752,-1.047267452,3.355196555,-6.876729971,0.322898163,-0.321060989,0.585546199,-1
700,MODEL1,PARMS,LB1,0.742845265,10.78303711,0.140473254,-0.262798836,0.692472561,-0.404439971,1.719797793,-4.514461246,-0.22103311,1.241351957,-2.707490238,-1
701,MODEL1,PARMS,LB1,0.724382121,12.59029129,0.130514171,-0.280077092,0.627364867,-0.492215035,1.775762379,-3.434291382,-0.275150719,1.418514444,-3.367309988,-1
702,MODEL1,PARMS,LB1,0.665428699,-6.071203995,0.224995617,-0.421072796,1.362249428,0.461936664,-1.995378825,4.107549204,0.238391487,0.12381531,-0.300457005,-1
703,MODEL1,PARMS,LB1,0.709296221,15.5462589,0.128510146,-0.265503865,0.505261419,-0.766711239,1.69355568,-3.124675546,0.027275553,0.91419918,-2.42076288,-1
704,MODEL1,PARMS,LB1,0.696490553,0.098527462,0.26292179,-0.483823416,1.520679599,0.063126483,0.283028239,-0.817571192,0.240185096,0.238209972,-0.820971164,-1
705,MODEL1,PARMS,LB1,0.731134274,10.78211021,0.002859912,0.056062403,-0.087666643,-0.329911342,1.45436839,-3.222173779,-0.36034257,1.43275302,-3.015145264,-1
706,MODEL1,PARMS,LB1,0.690538346,11.25647639,0.287436942,-0.864202217,2.757054211,-0.416610995,1.310357127,-2.606118324,-0.42313082,2.146730219,-4.988515685,-1
707,MODEL1,PARMS,LB1,0.818967746,4.58903437,0.23806405,-0.404102128,0.774745817,-0.138436855,0.231456046,-1.140787375,0.094000341,0.380729883,-0.517380392,-1
708,MODEL1,PARMS,LB1,0.771960992,-6.424171083,0.045866802,-0.219739179,1.208256725,0.602166955,-2.564485972,5.974654827,0.016126563,0.518829893,-1.266096901,-1
709,MODEL1,PARMS,LB1,0.708622151,-13.67269427,0.183336792,-0.596673011,2.359642632,0.961883965,-2.509799807,4.54929146,0.144186907,0.277203022,-0.830889702,-1
710,MODEL1,PARMS,LB1,0.778730524,10.88925562,0.001756819,0.027925491,-0.277588371,-0.423498961,1.297368147,-2.884003526,-0.060437772,1.13335605,-2.855586535,-1
711,MODEL1,PARMS,LB1,0.683666208,7.357253953,-0.00249573,0.073795662,-0.579484058,-0.245438017,0.415531809,-1.089836781,0.100355164,0.627246938,-1.51287936,-1
712,MODEL1,PARMS,LB1,0.792313312,8.839171924,-0.117692297,0.012879684,0.578471694,-0.181630365,0.092881035,-0.208310422,-0.284576858,1.302524549,-2.717315513,-1
713,MODEL1,PARMS,LB1,0.816566911,12.63936472,-0.109743265,0.55338884,-2.697349259,-0.563337593,1.366768216,-2.59591734,0.218883445,-0.355947655,0.897958305,-1
714,MODEL1,PARMS,LB1,0.830261447,8.749166793,-0.168995739,0.585269631,-2.520537512,-0.327672909,0.535426664,-0.92229972,0.302263488,-0.613659064,1.119681765,-1
715,MODEL1,PARMS,LB1,0.762326523,17.94781202,0.112172664,-0.275310439,1.035156552,-0.898001241,3.038880125,-6.441326529,-0.025214533,0.838405177,-1.701122224,-1
