SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,BronInt
797,MODEL1,PARMS,BronInt,1.221301259,13.25423555,0.540295886,-1.376015091,4.123330112,-0.385818059,-0.566005943,2.493126555,0.152793825,0.216782083,-0.590744151,-1
798,MODEL1,PARMS,BronInt,1.338504771,-7.065241212,0.504400403,-1.368700537,5.145371056,0.751907,-0.744571513,1.376361884,0.481433777,-2.192476416,5.333384073,-1
799,MODEL1,PARMS,BronInt,1.131008607,-3.027648542,0.280748248,-0.799860031,3.561852864,0.526868207,-1.070544023,2.447315471,0.594033659,-1.452158696,3.018228416,-1
800,MODEL1,PARMS,BronInt,1.204751466,22.72639298,0.178988939,-0.315253133,0.958186466,-0.861229749,4.279071533,-10.45830441,0.001281116,0.289137256,-0.509301363,-1
801,MODEL1,PARMS,BronInt,1.211246787,2.574006254,0.481838425,-1.135321751,3.449803541,0.301898718,-1.09469868,2.099966413,0.032417253,0.371102596,-0.959748958,-1
802,MODEL1,PARMS,BronInt,1.244326395,11.19300081,-0.105300245,0.593787007,-2.767367782,-0.292025083,1.395126474,-2.757967211,0.778656015,-1.263880503,1.731738753,-1
803,MODEL1,PARMS,BronInt,1.162537323,-1.086948444,0.066828774,-0.235925624,1.533416656,0.574815546,-1.51765191,2.071755859,0.240262719,-0.17667101,0.578176176,-1
804,MODEL1,PARMS,BronInt,1.348526308,-25.19464802,-0.013252671,0.073014502,0.107561227,1.827574145,-6.114293564,13.65611759,1.036017573,-2.292592419,4.449146827,-1
805,MODEL1,PARMS,BronInt,1.202502195,10.7642749,0.004003653,0.61744421,-3.575346679,-0.207718238,0.572345367,-0.612334251,0.472725314,-0.909989849,1.62013662,-1
806,MODEL1,PARMS,BronInt,1.248701899,-0.239619223,0.09662255,-0.001287386,-0.632947481,0.437124593,-0.836932157,2.423220815,0.472794614,-1.047774791,1.522155958,-1
807,MODEL1,PARMS,BronInt,1.157376727,4.221042078,-0.057835068,0.740144599,-3.470641118,0.133152358,-0.793523479,2.55848467,0.749025618,-2.354359564,5.399604376,-1
808,MODEL1,PARMS,BronInt,1.126596999,7.217302974,0.096484259,-0.221695502,1.00759796,0.04340605,0.356021701,-0.943121727,0.272731397,-0.717148879,1.636663597,-1
809,MODEL1,PARMS,BronInt,1.361125573,9.437185011,-0.082847939,0.256144504,-0.375248088,-0.154641729,0.233807116,0.837218629,0.654191927,-1.097313734,1.30381581,-1
810,MODEL1,PARMS,BronInt,1.2409232,18.20866372,0.02609857,-0.020594868,0.085597484,-0.747206106,2.954259082,-6.314418915,0.82517935,-2.33336263,5.230084271,-1
811,MODEL1,PARMS,BronInt,1.100278231,5.996034241,-0.051301871,0.264603862,-1.311196651,0.152394501,-0.195906588,0.547408059,0.309554142,-0.546167189,1.153624192,-1
812,MODEL1,PARMS,BronInt,1.066874397,2.048290924,0.120719278,-0.029544549,0.015040103,0.363065706,-0.841016483,2.025927176,0.182860118,0.084723422,-0.388514534,-1
813,MODEL1,PARMS,BronInt,1.138920712,0.662681694,0.047413476,0.048962108,-0.80025423,0.436136067,-0.576324657,1.449554543,0.329924714,-0.718103111,1.155345987,-1
814,MODEL1,PARMS,BronInt,1.172550585,8.988170849,-0.090451573,0.674759216,-2.796688648,-0.117905709,1.393598163,-2.867671718,0.660941547,-2.536511326,5.473702974,-1
