SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,sRB4
223,MODEL1,PARMS,sRB4,0.563068768,-0.10928131,-0.053400597,0.249219576,-0.902273354,0.135103509,-0.419136685,0.643547971,0.206229993,-0.224423432,0.418016071,-1
224,MODEL1,PARMS,sRB4,0.585403351,-2.298729501,0.222766856,-0.208897689,0.142600893,0.154626523,-0.461882352,0.470568222,0.317000791,-0.56644515,1.39385446,-1
225,MODEL1,PARMS,sRB4,0.56205509,6.930395545,-0.107820679,0.346905985,-1.277948644,-0.269399815,1.000283418,-2.339976347,0.190587645,-0.254101479,0.553343701,-1
226,MODEL1,PARMS,sRB4,0.63602204,0.928259611,0.138905726,-0.192175793,0.095670848,0.056859525,-0.471345346,0.793509544,0.109920653,-0.000313929,0.055916381,-1
227,MODEL1,PARMS,sRB4,0.607522743,3.81572744,0.010257198,0.103439046,-0.678279851,-0.069557957,0.35665876,-1.121553472,0.019881675,0.417165941,-1.147870778,-1
228,MODEL1,PARMS,sRB4,0.595258101,-6.910191723,0.080336183,-0.14182116,0.416802323,0.54408477,-1.381539512,2.54979819,0.074114968,0.129555077,-0.465056088,-1
229,MODEL1,PARMS,sRB4,0.512013704,3.220037978,0.164842434,-0.565738298,2.233197569,-0.10183014,0.689785189,-1.864128888,0.132629501,-0.235019062,0.659071486,-1
230,MODEL1,PARMS,sRB4,0.514035639,2.134842175,0.050206234,-0.133872983,0.441345499,-0.054935134,0.365020188,-0.940054622,0.320237524,-0.737843833,1.564100178,-1
231,MODEL1,PARMS,sRB4,0.567521601,-7.663744818,-0.025304265,0.199968708,-1.483779133,0.569155595,-1.850617107,3.653483096,0.27977231,-0.285771429,0.336786416,-1
232,MODEL1,PARMS,sRB4,1.13643627,-5.849411313,-0.100681672,0.702992656,-3.354044321,0.389463811,0.224085541,-1.662663717,0.583764604,-2.03007709,4.659970763,-1
233,MODEL1,PARMS,sRB4,0.508650285,5.151817697,0.003469335,-0.144266536,0.847079989,-0.22814331,0.998377671,-2.609290817,0.325451217,-0.872549601,2.149444183,-1
234,MODEL1,PARMS,sRB4,0.583549508,-3.325726241,0.084144552,0.04429071,-0.775771006,0.233815139,-0.449665981,0.25762716,0.433376713,-0.909385731,1.809604403,-1
235,MODEL1,PARMS,sRB4,0.742305528,-4.688203142,-0.027834324,0.375496962,-2.182354863,0.433117242,-1.518865204,2.940905785,0.082725427,0.290307513,-0.706782594,-1
236,MODEL1,PARMS,sRB4,0.495479563,2.38907544,-0.029354689,-0.113143219,0.56256376,0.037048277,0.035850361,-0.552034641,0.022748291,0.241244991,-0.293781276,-1
237,MODEL1,PARMS,sRB4,0.679234484,2.342709324,0.085600887,-0.155709287,0.104117586,-0.034783223,0.10228643,-0.922578495,0.176432348,-0.03802062,0.00336141,-1
238,MODEL1,PARMS,sRB4,0.931627761,-9.853764204,-0.09914098,0.525990224,-2.509447853,0.720719478,-1.539670269,2.140353586,0.306910067,-1.167592946,2.864974733,-1
239,MODEL1,PARMS,sRB4,0.663537939,3.360836139,0.102313262,-0.135201603,-0.16037397,-0.04935047,0.348812605,-1.171763978,-0.033690644,0.46609465,-0.898987173,-1
240,MODEL1,PARMS,sRB4,0.904856823,0.448893627,-0.106625282,0.691946396,-3.238979915,-0.006374393,0.679178318,-1.932002843,0.65729109,-2.258305477,5.101538017,-1
241,MODEL1,PARMS,sRB4,0.475544947,-0.677290394,-0.007327949,0.141376869,-1.023571543,0.128943766,-0.198818097,0.045233896,0.319566889,-0.743916529,1.709378076,-1
242,MODEL1,PARMS,sRB4,0.590701105,5.967971118,0.079606763,-0.082032494,-0.067681421,-0.336040214,1.189568968,-2.72516885,0.454791951,-0.852958036,1.622076107,-1
243,MODEL1,PARMS,sRB4,0.73698523,-4.882682254,0.037128814,0.152445822,-0.99275348,0.347771842,-1.067884926,2.068316446,0.390286317,-0.772355054,1.535787698,-1
244,MODEL1,PARMS,sRB4,0.536512555,0.629635229,0.246961469,-0.728325782,2.30184155,0.045268867,-0.122216311,-0.146714398,0.097001631,0.3474775,-1.014496433,-1
245,MODEL1,PARMS,sRB4,0.497628853,-4.311489984,-0.005256238,0.162770595,-0.894686836,0.351862563,-1.035917954,1.807629705,0.331875787,-0.969862657,2.203742704,-1
246,MODEL1,PARMS,sRB4,0.574116708,-3.88299368,0.169958499,-0.468015419,1.56143843,0.33263326,-0.537226074,0.266421403,0.123663564,-0.08792908,0.353381439,-1
247,MODEL1,PARMS,sRB4,0.753291386,0.795947232,0.0470266,0.123785667,-1.069293295,0.018208704,0.036773973,-0.142173409,0.337032856,-0.808026445,1.70820162,-1
248,MODEL1,PARMS,sRB4,0.495708668,3.783867407,0.016270036,-0.004925324,-0.424333358,-0.070756257,0.594938182,-1.672929273,0.039643889,0.091785012,-0.004733126,-1
249,MODEL1,PARMS,sRB4,0.542088048,-1.465562538,0.087224382,-0.368563481,1.450970024,0.189391113,-0.685497963,1.260026615,0.194519723,0.004411019,-0.220508374,-1
250,MODEL1,PARMS,sRB4,0.778925097,-1.424099539,0.143230096,-0.193154421,0.177592678,0.132939375,-0.035426101,-0.44957474,0.334427595,-0.767956451,1.63397977,-1
251,MODEL1,PARMS,sRB4,0.953471341,-5.619102323,0.058147226,0.386668264,-2.456883028,0.36883496,-0.588051953,0.545086858,0.433952403,-1.205918181,2.688278459,-1
252,MODEL1,PARMS,sRB4,0.612394883,5.65134728,0.121191328,-0.271974448,0.657718311,-0.169835587,0.453823285,-1.261437779,-0.090836839,0.561487335,-1.106317053,-1
253,MODEL1,PARMS,sRB4,0.573584096,3.570180847,0.096004959,-0.095600998,-0.002370243,-0.128507156,0.385689523,-0.692470334,0.202917585,-0.303108952,0.642528494,-1
254,MODEL1,PARMS,sRB4,0.718064036,-5.571770367,0.077275314,-0.110102685,0.022121293,0.417956295,-0.650654004,0.660360333,0.254807918,-0.501928464,1.070137539,-1
255,MODEL1,PARMS,sRB4,0.589876197,1.570330378,0.039530104,0.016759108,-0.437531505,0.014293595,0.333201207,-1.308945346,0.182566813,-0.302942973,0.749743579,-1
256,MODEL1,PARMS,sRB4,0.77686077,1.964916456,-0.003242978,0.058704291,-0.344228086,0.033171236,-0.060237345,-0.41210103,0.111494343,-0.029908536,0.141516926,-1
257,MODEL1,PARMS,sRB4,0.511568408,3.116581957,0.172468594,-0.384559769,1.10344593,-0.086075714,0.147772364,-0.445240337,0.106067484,-0.305417261,1.154987123,-1
258,MODEL1,PARMS,sRB4,0.58627735,-3.546116353,-0.043913584,0.177780359,-0.994169133,0.371750921,-0.620689152,0.618036703,0.110974255,-0.171937694,0.535106783,-1
259,MODEL1,PARMS,sRB4,0.730178035,-0.144569449,0.055172964,0.008755354,-0.340975972,0.071776795,0.170038233,-0.814216329,0.323489661,-0.641670942,1.297198966,-1
260,MODEL1,PARMS,sRB4,0.573303901,-3.786485961,0.065576467,0.007975156,-0.468321071,0.374036709,-0.469018043,0.268522819,0.013153263,0.230355659,-0.44840928,-1
261,MODEL1,PARMS,sRB4,0.978622098,-12.87459395,0.108173326,0.104511548,-1.364230956,0.798772943,-1.676324009,2.454636323,0.450310134,-1.025579237,2.156245251,-1
262,MODEL1,PARMS,sRB4,0.562373026,2.074088748,0.120945047,-0.562829953,2.347247738,0.022977627,0.121678373,-0.594448392,0.004616339,0.239443981,-0.496970494,-1
263,MODEL1,PARMS,sRB4,0.968923015,-7.139232622,0.028481138,0.007204818,-0.380810634,0.477347328,-1.216853887,1.553583156,0.497626936,-1.536620608,3.567960766,-1
264,MODEL1,PARMS,sRB4,0.57792395,4.371078411,0.037067479,0.030402493,-0.406495044,-0.171205004,1.275626997,-3.502069155,0.237174502,-0.607943936,1.504966873,-1
265,MODEL1,PARMS,sRB4,0.550754315,-3.495955765,0.058393858,-0.215121756,0.471736359,0.285107352,-0.443305105,0.338211797,0.336925868,-0.883218867,1.901289025,-1
266,MODEL1,PARMS,sRB4,0.451920708,0.434115273,0.100053094,-0.197158921,0.373141301,0.057429094,0.23061897,-1.025709291,0.214228039,-0.230143606,0.49819802,-1
267,MODEL1,PARMS,sRB4,0.5254593,2.621161127,0.056928145,-0.229548426,0.817971412,-0.034994377,-0.013316821,-0.315357519,0.154890484,-0.194937281,0.63709257,-1
268,MODEL1,PARMS,sRB4,0.566105323,-2.974397049,0.020183142,0.131758634,-0.712331787,0.316740804,-1.411054348,2.836416108,0.099266284,0.308480323,-0.711188589,-1
269,MODEL1,PARMS,sRB4,0.747017849,5.173016993,-0.00779431,0.119445816,-0.65386263,-0.176914791,0.527956654,-1.21879558,0.114525586,0.491766253,-1.595889057,-1
270,MODEL1,PARMS,sRB4,0.513990863,2.13996531,0.188699651,-0.238239351,0.165927085,-0.095602699,0.56118931,-1.404161891,0.285255386,-0.585089041,1.266243956,-1
271,MODEL1,PARMS,sRB4,0.778439901,0.338636015,-0.007429752,-0.034560213,-0.049733835,0.11132766,-0.039362,-0.652138452,0.20437864,-0.553636027,1.477164956,-1
272,MODEL1,PARMS,sRB4,0.711469343,1.247494527,0.076231192,0.082373548,-0.907669326,-0.011588948,0.798122325,-2.451128504,0.332885761,-1.120400106,2.557150992,-1
273,MODEL1,PARMS,sRB4,0.53394228,2.292580453,0.173327187,-0.29015459,0.258416776,0.009517241,-0.151308407,0.161210325,-0.065372832,0.55413735,-1.226234733,-1
274,MODEL1,PARMS,sRB4,0.718417349,-1.527735982,-0.004241886,-0.012139957,0.28476867,0.162111631,0.509431099,-2.173486546,0.391012593,-1.214019615,2.954358823,-1
