SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,sLB1
1,MODEL1,PARMS,sLB1,0.583275199,2.283938526,0.150453883,-0.338428515,1.324711774,0.001758014,-0.621952108,1.773813403,-0.013867409,0.806748024,-2.280303141,-1
2,MODEL1,PARMS,sLB1,0.566741642,4.353745605,0.013984201,0.02842626,-0.167921059,-0.065724694,-0.236561111,1.022982415,-0.10724773,0.877864216,-2.138856572,-1
3,MODEL1,PARMS,sLB1,0.534400545,11.90211287,0.067844692,-0.124986138,0.68612754,-0.568587568,1.383061098,-2.174557152,-0.002934316,0.699765913,-1.945470389,-1
4,MODEL1,PARMS,sLB1,0.529485677,8.899576261,0.106571421,-0.076973518,0.107419621,-0.406398195,1.304292258,-2.314418943,-0.015038365,0.732116666,-2.012441391,-1
5,MODEL1,PARMS,sLB1,0.591856985,7.451055371,0.114375966,-0.286454688,1.177987253,-0.308002033,1.01769938,-1.905563539,0.005564521,0.38846198,-1.064845892,-1
6,MODEL1,PARMS,sLB1,0.588208386,5.400438081,0.04778593,-0.043804571,0.015931086,-0.09943041,-0.080521429,0.540590829,-0.25104232,1.243489113,-2.594139203,-1
7,MODEL1,PARMS,sLB1,0.637490586,-9.021606955,0.111719305,-0.345090066,2.13427573,0.65191499,-2.484577482,5.251236637,0.174475766,0.082225691,-0.384034952,-1
8,MODEL1,PARMS,sLB1,0.576437458,2.651710177,0.092645948,-0.238759205,1.311502063,0.0154695,-0.574312013,1.638475229,-0.112183845,1.161896028,-2.959289676,-1
9,MODEL1,PARMS,sLB1,0.591950931,2.609053912,0.083094949,-0.29169432,1.187936815,0.085873847,-0.182752932,0.767858074,-0.340690239,1.434818401,-3.369623399,-1
10,MODEL1,PARMS,sLB1,0.633984549,-2.491298769,-0.025880883,0.045035148,-0.064700315,0.383626184,-2.22414039,5.235029545,-0.157661143,1.155722245,-2.7799338,-1
