SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LLB6
208,MODEL1,PARMS,LLB6,1.110416721,2.584372128,0.634025884,-2.053941609,8.019695996,0.092267343,-1.815759302,3.548070178,0.414700803,0.593042721,-1.692783448,-1
209,MODEL1,PARMS,LLB6,1.088486815,12.12290088,0.495180129,-1.744165205,6.230871748,-0.35040919,0.001321621,0.297676125,0.01275258,1.309875599,-3.093973555,-1
210,MODEL1,PARMS,LLB6,1.154145844,-7.423804643,0.301247563,-1.181114281,4.60127475,0.706363496,-4.583207638,10.48003595,0.68808707,-0.247044457,-0.005893997,-1
211,MODEL1,PARMS,LLB6,1.09614465,0.82275213,0.218781552,-0.428839359,1.259107034,0.306018247,-0.220951783,0.441549768,0.335060962,0.043579047,-0.951563081,-1
212,MODEL1,PARMS,LLB6,1.131194264,1.759286599,0.36303085,-1.206176706,4.873238711,0.234209307,-1.394126744,2.381150316,0.242917631,0.928863097,-2.348408619,-1
213,MODEL1,PARMS,LLB6,1.184147675,-3.667690165,0.28301443,-1.326021789,5.527533392,0.725258627,-3.489610546,7.948308542,-0.143781508,1.73190248,-4.251526195,-1
214,MODEL1,PARMS,LLB6,1.18098676,10.31858572,0.535254079,-1.365797949,4.733911545,-0.37694709,-0.789614022,2.17295015,0.430540739,0.707632053,-2.452547173,-1
215,MODEL1,PARMS,LLB6,1.298129026,14.65484574,0.402554507,-1.009684733,3.001141698,-0.549658899,0.455467985,-0.370764841,0.22914825,0.818042178,-2.417742936,-1
216,MODEL1,PARMS,LLB6,1.31907952,5.863885036,0.189811068,-0.753332871,3.27760443,0.076799782,-1.061685231,1.915236709,0.185516989,0.514036695,-1.321176071,-1
217,MODEL1,PARMS,LLB6,1.1623212,-7.784531147,0.377872371,-1.396767189,5.46223665,0.935634924,-4.49138465,10.13800676,-0.174318497,2.314583872,-5.646204398,-1
218,MODEL1,PARMS,LLB6,1.10417843,3.527689389,0.39217936,-1.12809595,3.768689066,0.160426927,-1.634863665,3.628129119,0.131270109,1.092150201,-2.866658718,-1
219,MODEL1,PARMS,LLB6,1.21050152,12.94031248,0.329957953,-1.445079815,6.162594174,-0.430814685,0.705948671,-1.069423927,0.299675378,0.413394418,-1.317428916,-1
220,MODEL1,PARMS,LLB6,1.08785266,-8.362334231,0.155382944,-0.606246292,2.540320508,0.849794805,-3.660228667,8.218012175,0.431844771,0.352592315,-1.13841889,-1
221,MODEL1,PARMS,LLB6,1.073090128,11.48402167,0.400519456,-1.260352726,4.533606814,-0.262693542,-0.749991955,2.251162647,-0.057888243,1.855880938,-4.806720627,-1
222,MODEL1,PARMS,LLB6,1.231631337,7.918119038,0.256176969,-0.743157106,3.212395745,-0.114621725,-0.214487285,1.464788165,0.217703411,0.628250519,-1.654813111,-1
223,MODEL1,PARMS,LLB6,1.051277407,4.683002198,0.32731545,-0.927026962,3.567509086,0.017799726,-1.272019368,3.984174198,0.356343854,0.708107111,-2.37202298,-1
224,MODEL1,PARMS,LLB6,1.130902437,10.90041293,0.537523342,-1.0613881,3.340184989,-0.335590125,0.230600332,-0.606779469,0.036847414,1.503456205,-3.311693838,-1
225,MODEL1,PARMS,LLB6,1.127419505,-4.377561151,0.289643023,-0.602380869,1.806450861,0.586983401,-2.95998592,6.869638861,0.418149655,-0.120666247,-0.310609971,-1
226,MODEL1,PARMS,LLB6,1.183854547,1.102122363,0.289944839,-0.831798743,2.706399461,0.365764914,-1.400221005,3.677457173,0.056034814,0.54293267,-1.66865238,-1
