SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RUL
691,MODEL1,PARMS,RUL,1.229405144,-7.005016351,0.244959988,-0.970574838,4.318004394,0.719205097,-1.765786485,3.332170041,0.461277051,-0.955988166,1.90203359,-1
692,MODEL1,PARMS,RUL,1.181432541,16.40211507,0.289698082,-0.514723674,1.683392054,-0.647646638,2.289633738,-4.251543109,0.149896818,0.345118944,-1.661303418,-1
693,MODEL1,PARMS,RUL,1.23892646,7.547400541,0.018717273,0.120649326,-0.166075468,-0.164115853,0.887764328,-0.950334164,0.550811278,-0.598853285,0.238982849,-1
694,MODEL1,PARMS,RUL,1.362793439,-0.6522356,0.082873625,-0.61621309,3.364429957,0.35147832,-2.379268524,6.229305101,0.569988954,-0.587949543,0.135993924,-1
695,MODEL1,PARMS,RUL,1.309344398,-3.711042039,0.404311777,-1.462629409,5.895718396,0.529195459,-2.012263571,4.839384284,0.342471542,-0.885595953,1.524047937,-1
696,MODEL1,PARMS,RUL,1.400744103,1.817489989,-0.098175295,0.682174575,-3.348203808,0.400090126,0.119114979,-0.419185153,-0.131134751,1.188570814,-3.345954444,-1
697,MODEL1,PARMS,RUL,1.256420355,-1.233249033,0.000263594,-0.20093669,0.976977307,0.516605897,-0.778863115,1.716594422,0.12078854,0.443921975,-1.30742896,-1
698,MODEL1,PARMS,RUL,1.29846992,-2.965442467,-0.19483073,0.701143695,-2.574142068,0.633977141,-2.769034915,6.16596958,0.283375087,-0.567358199,1.389679411,-1
699,MODEL1,PARMS,RUL,1.352818682,6.055300658,0.05235261,-0.242667709,0.49061524,-0.059044653,0.851165171,-1.167935279,0.590315188,-1.444341572,2.43050208,-1
700,MODEL1,PARMS,RUL,1.292506386,17.18389545,0.468196961,-0.693292372,2.006630533,-0.925072651,3.121380172,-6.152357245,0.759849399,-1.117681302,1.882438033,-1
701,MODEL1,PARMS,RUL,1.196905425,-11.32660445,0.263269237,-0.770567153,3.89447767,0.884026022,-2.488707075,6.25660518,0.76928171,-2.45586038,5.177690515,-1
702,MODEL1,PARMS,RUL,1.249260619,3.972654773,0.129102071,-0.111780799,0.733823789,0.120934659,0.263398708,-0.834520323,0.20061042,-0.320435689,1.368630545,-1
703,MODEL1,PARMS,RUL,1.272347046,-1.906712552,0.183003589,-0.624350325,2.09343144,0.592194927,-0.304813425,-0.171884257,-0.134165994,0.503359171,-1.456927749,-1
704,MODEL1,PARMS,RUL,1.322349041,16.01547701,0.325360898,-0.699369823,2.197060199,-0.57797211,2.9652891,-5.775555691,-0.071436384,0.866299274,-2.271622583,-1
705,MODEL1,PARMS,RUL,1.351805525,-2.958400536,0.054284903,0.167168543,-1.219000406,0.557150816,-2.256667701,5.316014476,0.358566572,-0.978740383,2.046133483,-1
706,MODEL1,PARMS,RUL,1.203191467,-0.394870933,0.403840772,-1.071305263,4.668704801,0.103669984,-1.02428648,3.018665579,1.058718957,-2.230891836,4.107590563,-1
707,MODEL1,PARMS,RUL,1.310470023,-1.165579857,0.287912354,-0.586496221,2.263018454,0.327980559,0.108144592,-2.014224323,0.538966696,-1.828827582,4.743520656,-1
708,MODEL1,PARMS,RUL,1.394302305,-2.329019642,-0.058634145,-0.220783371,1.950106537,0.519150608,-0.680950087,0.742546291,0.466560956,-1.33867742,2.867625946,-1
709,MODEL1,PARMS,RUL,1.369744135,-9.196883437,0.125288576,-0.6638314,2.403989113,1.010124504,-3.717380929,7.914735265,0.139850219,-0.403414741,0.627668919,-1
710,MODEL1,PARMS,RUL,1.321850411,4.494805054,-0.073845241,-0.437949838,2.485143664,0.118096844,0.010080899,-0.08540504,0.49768509,-1.13250935,2.214242135,-1
711,MODEL1,PARMS,RUL,1.342374528,-10.7835413,-0.078695227,0.213312724,-0.955860086,0.947478981,-2.03911149,4.33036896,0.757000229,-2.136801363,4.013805516,-1
712,MODEL1,PARMS,RUL,1.298219806,-1.723902122,0.1482299,-0.899933914,5.140622333,0.419975073,-1.563646448,3.904201777,0.552573223,-1.879077929,4.097804267,-1
713,MODEL1,PARMS,RUL,1.273670703,3.593152491,-0.26786739,0.693313311,-3.085989842,0.309478866,0.582651837,-2.182601481,0.083153222,0.265926823,-0.750790653,-1
714,MODEL1,PARMS,RUL,1.454813211,4.993057472,-0.251811868,0.665222101,-2.046575476,-0.003012829,-0.353546273,1.205224576,0.895771503,-2.411490739,5.202923728,-1
715,MODEL1,PARMS,RUL,1.43649082,-11.51045788,0.319634862,-0.834613371,3.352432277,0.779331331,-1.383882453,2.947138848,1.111694827,-2.502602959,4.643004075,-1
716,MODEL1,PARMS,RUL,1.29876499,3.046455616,0.216491085,-0.486238216,1.794656728,0.057664523,-0.54669356,3.002660707,0.623411961,-0.906131533,0.531426773,-1
717,MODEL1,PARMS,RUL,1.307090231,-0.927215613,-0.067861947,0.581895026,-3.792494565,0.422436915,-1.84663892,4.803510296,0.520118888,-1.395072848,2.815768227,-1
718,MODEL1,PARMS,RUL,1.285731738,5.574060118,0.29481021,-0.627967779,2.446332802,0.069905396,-0.53814221,1.151383277,-0.060131549,1.324824376,-3.281791819,-1
719,MODEL1,PARMS,RUL,1.395208325,8.726263866,0.466295248,-1.556747966,6.491375151,-0.167357547,0.884478336,-2.049770915,0.069373808,-0.078520311,0.262543894,-1
720,MODEL1,PARMS,RUL,1.456369461,10.11158389,-0.206452835,0.818185938,-3.064481179,-0.165426366,0.624299016,-1.675122049,0.318520131,-0.613213979,1.242753035,-1
721,MODEL1,PARMS,RUL,1.425708368,6.11193911,0.165144045,-0.633518182,3.079500168,-0.123575661,1.867172599,-4.712525953,0.66567769,-1.435991254,2.769917276,-1
722,MODEL1,PARMS,RUL,1.358319847,4.190253909,-0.130870887,0.573839715,-2.984029211,-0.016058743,0.948939072,-1.118003867,0.938728035,-1.851296837,2.47376844,-1
723,MODEL1,PARMS,RUL,1.221697246,3.85634663,0.184555291,-0.510993808,2.137837356,0.132998061,0.321158927,-0.743824283,0.191698575,0.080452932,-0.701663729,-1
724,MODEL1,PARMS,RUL,1.378578341,-0.642666523,0.208359425,-0.410623637,1.785800502,0.277442196,-1.374221997,3.805133185,0.649342771,-1.338470294,2.394053021,-1
725,MODEL1,PARMS,RUL,1.220552361,-9.488853937,0.261930999,-1.047414248,4.750420178,0.818545585,-1.988014171,4.099655416,0.61607993,-1.300335665,2.341649849,-1
726,MODEL1,PARMS,RUL,1.429411924,-2.078165073,0.412047677,-1.242389672,4.29985887,0.441111039,-2.08070677,5.318187182,0.324270555,-1.567463939,3.515426708,-1
727,MODEL1,PARMS,RUL,1.341203507,13.58624286,0.20375492,-0.443703959,1.19378151,-0.499033858,2.946995605,-6.520227121,0.396532159,-1.620947923,3.773357613,-1
728,MODEL1,PARMS,RUL,1.306463838,4.968376889,0.138269956,-0.41299812,2.019672298,0.092538102,2.981489905,-7.413881216,0.124691515,-0.959903647,2.397204878,-1
729,MODEL1,PARMS,RUL,1.286023292,5.766987778,0.0891478,-0.648091516,2.480551508,0.043754101,1.63319224,-4.975120941,0.259325337,-1.009822651,2.55057242,-1
730,MODEL1,PARMS,RUL,1.428678547,1.301907682,0.34703952,-0.593658726,1.147169186,0.134113172,0.13214625,0.683659595,0.577483941,-0.423519606,-0.756702029,-1
731,MODEL1,PARMS,RUL,1.227954074,4.593354675,0.400343143,-1.083127776,4.176117142,0.013947986,-0.04452576,0.642928521,0.317722068,-0.811813901,1.532180876,-1
732,MODEL1,PARMS,RUL,1.18656363,-15.31461528,0.282085408,-0.635044829,1.632732114,1.225823145,-2.979828091,5.437439089,0.475432037,-1.884276682,4.402767705,-1
733,MODEL1,PARMS,RUL,1.324955346,-13.0397098,0.194061402,-0.579174761,2.373585294,1.200068892,-2.186475738,3.493894341,-0.013158861,0.990070861,-2.731880084,-1
734,MODEL1,PARMS,RUL,1.261724189,14.40502394,0.104233543,-0.278890151,0.828600532,-0.451976157,2.321101705,-4.358137528,0.068625007,0.504415413,-2.016927921,-1
735,MODEL1,PARMS,RUL,1.511748136,-16.88422787,0.725263959,-2.071333639,7.016445284,1.360492369,-4.35497853,8.67367838,-0.121733417,0.362327876,-0.476474755,-1
736,MODEL1,PARMS,RUL,1.336829906,11.6277675,-0.038685515,0.166122381,-0.809827973,-0.360540963,1.476520609,-2.346172386,0.549984071,-1.291547731,1.785603807,-1
737,MODEL1,PARMS,RUL,1.379272121,2.869293235,0.267473278,-0.788319105,3.221092194,0.319105016,-0.678685984,2.582232562,-0.33719955,1.657302134,-4.284553278,-1
738,MODEL1,PARMS,RUL,1.21952214,-3.256075495,0.018998638,-0.251086096,0.935435018,0.640564552,0.130232566,-1.455532466,0.135310871,-1.170769172,3.197758538,-1
739,MODEL1,PARMS,RUL,1.236014264,27.89289002,0.134222613,-0.601654791,2.549980228,-1.293070149,4.405957053,-8.450527214,0.117699956,0.236055818,-0.823021496,-1
740,MODEL1,PARMS,RUL,1.405008799,-4.423379765,0.243445136,-1.048301499,5.077221593,0.796685181,-2.710868153,6.07952558,-0.396388573,1.895455697,-4.333771182,-1
741,MODEL1,PARMS,RUL,1.151836779,-9.036192946,0.280448414,-0.794472068,3.663201619,0.759858857,-2.539909148,5.410075736,0.717630205,-1.619437838,3.037723454,-1
742,MODEL1,PARMS,RUL,1.333275486,6.097967969,0.23551002,-0.171910267,-0.629963883,-0.373958863,0.316196413,0.846059733,1.493930646,-3.48536048,6.29073417,-1
743,MODEL1,PARMS,RUL,1.188464806,-1.345429884,-0.029224309,0.493589708,-1.788211073,0.163749442,-0.091087335,0.737863432,1.27935646,-2.350411286,4.281588031,-1
744,MODEL1,PARMS,RUL,1.331181276,1.890243096,0.455850269,-1.439353121,5.134968128,0.096808895,1.118678103,-2.306039258,0.461382594,0.145565148,-1.860112772,-1
745,MODEL1,PARMS,RUL,1.295201952,8.138856774,-0.062386402,0.072463167,-0.406747451,-0.288472558,1.263907126,-3.129055315,1.080705897,-3.011079521,6.743801766,-1
746,MODEL1,PARMS,RUL,1.241341013,2.454956861,0.086239557,-0.573860339,1.790301262,0.371757498,-2.051367532,5.16729825,-0.150089447,0.655735262,-1.644365426,-1
747,MODEL1,PARMS,RUL,1.452442298,-11.46789558,0.315306998,-1.166701618,5.303869689,0.991184364,-2.061632453,3.823084129,0.360985202,-0.752046283,1.610951484,-1
748,MODEL1,PARMS,RUL,1.31645496,12.77128568,-0.018464137,0.421087102,-1.44689495,-0.398105753,1.722436528,-3.539484327,0.298574528,0.212797043,-1.07809886,-1
749,MODEL1,PARMS,RUL,1.316868927,-9.019947109,0.15281267,-0.20110971,1.041187245,0.837801564,-2.413962619,5.06141241,0.487903299,-1.19762978,2.492779427,-1
750,MODEL1,PARMS,RUL,1.493857191,-6.393676155,0.050618994,-0.172480967,1.101923737,0.636936917,-0.921877491,0.787796392,0.815163377,-2.745264482,6.09472434,-1
751,MODEL1,PARMS,RUL,1.306171074,15.35668275,-0.180627153,0.24430068,-0.719087644,-0.571889475,1.989825492,-4.798168405,0.655764732,-1.657147521,3.629236891,-1
752,MODEL1,PARMS,RUL,1.239240843,9.054723443,0.111678461,-0.499594148,2.009203818,-0.180644704,1.209114386,-1.669882524,0.333219545,-1.244692695,2.689425218,-1
753,MODEL1,PARMS,RUL,1.392720119,-18.51614598,0.161818645,-0.102759168,0.256802536,1.327536216,-3.713774573,7.361918582,0.750677273,-1.106625024,1.781882962,-1
754,MODEL1,PARMS,RUL,1.276100633,19.51322731,-0.06713768,-0.003433583,0.21488939,-0.967363417,2.749181752,-4.954177142,1.052216579,-2.173918876,3.921525501,-1
755,MODEL1,PARMS,RUL,1.335151224,-4.822681783,0.055890753,-0.785729683,3.965081742,0.708723203,-2.724095493,6.720773253,0.253122998,-0.411161019,0.463131913,-1
756,MODEL1,PARMS,RUL,1.359426326,-3.158382774,0.46047827,-1.430186645,5.581558847,0.232797254,-0.580716386,0.885966166,1.198532188,-3.406043676,7.594025548,-1
757,MODEL1,PARMS,RUL,1.234907765,3.759611679,0.041315481,-0.054066736,0.988319025,0.175950298,-0.174000963,0.05490671,0.187801102,-0.011304257,-0.252231643,-1
758,MODEL1,PARMS,RUL,1.273580481,-21.81558222,0.166262217,-0.643097524,3.290713483,1.619595159,-3.920768619,7.528647767,0.488906823,-1.143214787,2.378151577,-1
759,MODEL1,PARMS,RUL,1.331955492,-10.63967935,0.223932643,-0.504577013,2.535050371,0.841045051,-2.346333724,4.8258118,0.763802087,-1.302755428,2.31730977,-1
760,MODEL1,PARMS,RUL,1.325455614,3.955445915,0.187676015,-1.065972688,5.491674282,0.213558846,-0.782460486,2.712165768,-0.052801067,0.283566899,-0.677433847,-1
761,MODEL1,PARMS,RUL,1.296518809,-2.075646469,0.011327426,-0.25834773,2.229320635,0.336364382,-2.449721493,6.313468982,1.007642574,-2.082758551,3.937481172,-1
762,MODEL1,PARMS,RUL,1.165220259,-18.56862852,0.382078229,-0.890736237,3.525930453,1.250266515,-2.372732752,4.584218435,0.794198665,-1.808308378,3.139823604,-1
763,MODEL1,PARMS,RUL,1.262641078,-0.9805429,0.206910454,-0.682595214,4.137175863,0.275715828,-0.571918497,1.325672038,0.775929391,-2.214170991,4.686861986,-1
764,MODEL1,PARMS,RUL,1.334386027,-2.349627196,0.461221994,-1.699600778,6.746650672,0.411657918,-1.303061054,2.933203756,0.421817171,-1.244469293,3.317036006,-1
765,MODEL1,PARMS,RUL,1.350307536,-10.28285471,0.014346622,-0.214676066,1.06744764,0.967496614,-2.356187316,4.797165581,0.525757333,-2.031473482,4.482312676,-1
766,MODEL1,PARMS,RUL,1.304884299,-14.29890006,0.204308042,-1.012359754,4.914926156,1.26607338,-1.919635288,2.71627226,0.104930581,-0.379151358,1.108060784,-1
767,MODEL1,PARMS,RUL,1.238048296,11.15489957,-0.098002392,-0.02559194,0.517378976,-0.303866783,0.94824527,-1.677348456,0.532602108,-1.431605016,2.910360819,-1
768,MODEL1,PARMS,RUL,1.32035114,-1.70018303,0.54490778,-1.084677608,4.006980801,0.276343602,0.126804225,0.015940991,0.523124223,-1.583300184,3.240685621,-1
769,MODEL1,PARMS,RUL,1.33533753,-11.17518112,0.185236975,-0.122562758,0.598818991,1.001238109,-1.937641657,3.381896654,0.319916119,-1.24587478,3.349861388,-1
770,MODEL1,PARMS,RUL,1.214202544,4.059891904,0.132714694,-0.507520229,2.873209675,0.085358937,0.685731442,-1.716896402,0.356402665,-0.512904027,0.827657092,-1
