SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RLL
595,MODEL1,PARMS,RLL,0.942790431,-0.918224399,-0.012327076,-0.127221568,-0.051810858,0.471662591,-2.279643832,4.789967847,-0.038253585,0.974954169,-2.149893917,-1
596,MODEL1,PARMS,RLL,0.982791647,9.531664888,0.019261573,-0.232092806,0.891984674,-0.204652181,0.368507605,-0.792459826,-0.031353558,1.74791743,-4.696227311,-1
597,MODEL1,PARMS,RLL,1.148851185,21.64032924,0.333985464,-1.131154546,4.233566245,-0.906087056,3.51130841,-8.043033138,-0.458989207,2.647575849,-5.953977279,-1
598,MODEL1,PARMS,RLL,1.023830627,3.227048602,0.147042315,-0.561897854,1.761047583,0.122220515,0.591970365,-1.895670231,0.102507021,0.088900791,-0.175650284,-1
599,MODEL1,PARMS,RLL,1.003916439,-0.765120078,-0.099721646,-0.219741237,0.783142543,0.55087027,-1.209878279,2.734316797,-0.30038472,1.739600854,-4.159957074,-1
600,MODEL1,PARMS,RLL,0.978779619,1.963031584,-0.034160053,-0.106214929,-0.395671892,0.390206791,-2.211370244,5.574613888,-0.322579098,2.108831892,-5.555105167,-1
601,MODEL1,PARMS,RLL,0.985542966,9.481927242,0.186608731,-0.871542432,3.216426747,-0.16350337,1.088366609,-2.661611386,-0.273424606,1.836466952,-4.406846136,-1
602,MODEL1,PARMS,RLL,0.966034066,14.66186612,0.163521442,-1.061862874,4.068181359,-0.447134781,1.290873935,-2.112959648,-0.291715605,1.530689614,-3.76095277,-1
603,MODEL1,PARMS,RLL,0.995061208,16.42269991,-0.038638535,-0.20299144,0.726555426,-0.670128008,2.68381201,-5.671812756,0.264466974,-0.038931585,-0.271030455,-1
604,MODEL1,PARMS,RLL,0.993164962,7.611353086,0.203276512,-1.002996007,3.59592748,-0.091923856,0.683048218,-1.843275283,-0.117174154,1.350662661,-3.040000347,-1
605,MODEL1,PARMS,RLL,1.003721663,-1.94382298,0.04198365,-0.671206073,2.306184871,0.526201051,-2.267967862,5.437205573,0.019501731,0.589268017,-1.804735852,-1
