SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LMB
744,MODEL1,PARMS,LMB,1.277222305,3.535053173,0.56386651,-0.937950172,2.350327275,0.206136699,-0.40065897,1.63461464,0.28054526,1.064162807,-3.336749438,-1
745,MODEL1,PARMS,LMB,1.220086118,8.299338004,0.469389466,-0.939315544,3.499089313,-0.153777845,1.014438728,-2.058373706,0.671652148,-1.100164596,2.170203187,-1
746,MODEL1,PARMS,LMB,1.331608965,7.313751521,0.362947345,-0.882858767,2.331798614,0.133481611,-1.895945318,5.750007712,0.032701837,1.977592416,-6.139877358,-1
747,MODEL1,PARMS,LMB,1.313310582,13.62643531,0.356357896,-0.058200723,-0.269758737,-0.384704216,1.157433502,-1.205454591,0.389280385,0.017043789,-0.564502002,-1
748,MODEL1,PARMS,LMB,1.256767977,32.21044329,-0.091754155,0.888551383,-3.706751079,-1.358093071,3.572060135,-5.338066673,0.282532081,0.866465093,-2.903666727,-1
749,MODEL1,PARMS,LMB,1.310991479,-9.716962756,0.523222933,-0.910520679,3.22486564,0.996535867,-1.408161626,1.568386941,0.374365775,-0.549072211,1.184333395,-1
750,MODEL1,PARMS,LMB,1.31496897,4.076440125,0.511598054,-0.434401088,0.993589286,0.0334928,0.440790317,-1.341501303,0.851198666,-1.604599572,3.063267595,-1
751,MODEL1,PARMS,LMB,1.356098507,9.742120505,0.46043235,-1.103961487,4.217290269,0.040582701,-2.253023526,6.786840523,-0.305854199,2.687423196,-6.66948691,-1
752,MODEL1,PARMS,LMB,1.313148704,-3.039382555,0.355401465,-0.374201574,1.247640598,0.765625177,-3.577941939,8.574832811,-0.035321813,1.510871609,-4.043874165,-1
753,MODEL1,PARMS,LMB,1.341115176,14.92191663,0.481992624,-0.757946311,2.359139391,-0.633773208,1.15915075,-2.252587836,0.935320755,-0.695109536,0.665761684,-1
754,MODEL1,PARMS,LMB,1.332724482,7.978864605,0.075416455,-0.136485998,0.328168239,0.035802297,1.218916509,-2.987817604,0.506877627,-1.1157841,2.724494437,-1
755,MODEL1,PARMS,LMB,1.251577258,3.762020789,0.269107445,-0.422703225,2.275381528,0.364179413,-2.237756896,5.905887034,-0.004119962,1.880337409,-5.288885518,-1
756,MODEL1,PARMS,LMB,1.322024654,-7.048776382,0.711745507,-1.524242192,5.693457667,0.666976409,-3.364051218,8.195752911,0.875507628,-1.702263967,3.085185203,-1
757,MODEL1,PARMS,LMB,1.282049271,-2.277504302,0.447301651,-0.923275818,3.602885394,0.610264768,-1.591657268,3.128354669,0.291435191,-0.286476513,0.831350708,-1
758,MODEL1,PARMS,LMB,1.280257935,14.14521999,0.49529684,-0.624999175,2.061986324,-0.385230017,-1.015937693,3.466821581,0.231084739,1.235876213,-3.122295458,-1
759,MODEL1,PARMS,LMB,1.262241076,-5.880556947,0.193434824,-0.169015785,1.164695122,0.666176874,-2.707952591,6.597489195,1.158049039,-2.095626224,3.315746171,-1
760,MODEL1,PARMS,LMB,1.274448719,18.69230521,0.215761372,-0.321225486,1.888928164,-0.581615286,1.984915705,-3.372551371,0.173509333,0.459063991,-1.458186587,-1
761,MODEL1,PARMS,LMB,1.376283396,-3.952662305,0.205317088,-0.532345327,2.962528206,0.58763357,-4.323014552,10.97531772,1.006195247,-0.953881309,1.411036441,-1
762,MODEL1,PARMS,LMB,1.22800999,24.14659118,0.706568424,-1.187504485,4.372096709,-1.067415929,3.572480511,-7.409816985,0.214368217,0.749682373,-2.119975628,-1
763,MODEL1,PARMS,LMB,1.249762109,-10.71276889,0.542930824,-1.026129872,4.639717642,1.26595436,-4.180895661,9.604621977,-0.338409133,1.891875181,-4.502068165,-1
764,MODEL1,PARMS,LMB,1.425921712,2.385130615,0.516218728,-0.973070517,3.754649108,0.233319199,0.343592814,-1.311477566,0.525446098,-1.136694902,3.422255366,-1
765,MODEL1,PARMS,LMB,1.454026237,17.39274136,0.432907742,-0.994062178,3.262713609,-0.578195609,0.989088943,-2.398488298,0.279031714,0.625718137,-1.080945259,-1
766,MODEL1,PARMS,LMB,1.233998689,8.932400686,0.14560561,-0.246933381,1.782772986,0.038300995,-0.220332123,1.00727987,0.172117175,0.384608532,-0.837113711,-1
767,MODEL1,PARMS,LMB,1.346396054,14.705165,0.070983741,0.221363376,-1.0216579,-0.379771606,1.726026263,-4.482526976,0.404432071,0.64113347,-1.808035685,-1
768,MODEL1,PARMS,LMB,1.217902582,-23.768215,0.770048374,-1.492901814,5.558129449,1.771697684,-5.078533465,10.50947509,0.376568809,0.488181633,-1.604795099,-1
769,MODEL1,PARMS,LMB,1.271168856,6.28989305,0.61452967,-0.75972024,2.500330057,-0.124051248,0.326328418,-0.443210717,0.874754085,-2.433510938,5.531291855,-1
770,MODEL1,PARMS,LMB,1.183074493,-3.037599749,0.50740358,-1.160690206,4.913898314,0.653798591,-2.447260863,5.534808248,0.254383086,0.563360485,-2.038262824,-1
771,MODEL1,PARMS,LMB,1.225694349,5.364255055,-0.046839829,0.503469722,-2.479593819,0.189424523,-1.696370627,5.523862945,0.635232222,-0.366092863,-0.487939145,-1
772,MODEL1,PARMS,LMB,1.283492666,7.296604823,0.564750055,-1.067165647,3.258092279,0.081005923,-2.69815217,7.48220846,0.033395324,1.624229909,-4.464979382,-1
773,MODEL1,PARMS,LMB,1.104368459,2.172739185,0.570798324,-1.015827107,3.256826175,0.275494843,-0.896051816,2.310127603,0.411898192,-0.078732993,-0.590859287,-1
774,MODEL1,PARMS,LMB,1.270358647,15.10277352,0.45096139,-0.605807438,2.030353437,-0.624803047,1.727331173,-2.728012042,0.840040894,-1.0196208,1.538559187,-1
775,MODEL1,PARMS,LMB,1.408497131,8.652650481,0.637796786,-1.386866434,4.920545115,-0.007886255,-0.636246248,1.73909026,-0.078841703,1.660100977,-3.754412538,-1
776,MODEL1,PARMS,LMB,1.309983905,18.38166096,0.725552066,-1.928001729,7.470065622,-0.602298342,0.144479664,0.057446347,-0.097444037,2.001714401,-4.607804823,-1
777,MODEL1,PARMS,LMB,1.225834616,9.718450467,0.325138161,-0.205413714,0.914016425,-0.089061432,-0.156383818,1.155953125,0.28055989,0.163084175,-0.865102461,-1
778,MODEL1,PARMS,LMB,1.257792875,11.17956273,0.344131912,-0.584676201,2.637548529,-0.101837841,0.216787818,0.127696874,-0.019775666,1.114579646,-2.858095029,-1
779,MODEL1,PARMS,LMB,1.217637795,23.15180178,0.115333293,0.452372481,-2.621732469,-0.936417906,1.553127513,-1.63005564,0.55697952,0.226675748,-1.487722238,-1
780,MODEL1,PARMS,LMB,1.248494011,16.15099675,0.307263991,-0.346819038,1.542562238,-0.614664878,1.380241097,-2.518114946,0.753478302,-0.701238396,0.809848447,-1
781,MODEL1,PARMS,LMB,1.205125965,6.991428933,0.405927733,-0.186741465,-0.776582242,-0.152060334,0.582103676,-0.839761554,0.961292714,-1.466438943,2.683163761,-1
782,MODEL1,PARMS,LMB,1.333361594,-1.332502825,0.581960003,-1.338165529,5.538822396,0.519547174,-3.148438562,7.966978138,0.230969231,1.823907207,-5.35273042,-1
783,MODEL1,PARMS,LMB,1.47090157,0.027300962,0.460208361,-0.427679717,0.787594609,0.414676104,-0.902276824,2.42118027,0.359601811,0.394375013,-1.597959707,-1
784,MODEL1,PARMS,LMB,1.177734059,-1.607874394,0.617574896,-1.543329085,5.995998765,0.506757694,-2.607676478,6.774504958,0.33749194,0.779823762,-2.724913601,-1
785,MODEL1,PARMS,LMB,1.322423032,-25.28163144,0.477883516,-0.356127388,0.906022114,1.950788302,-7.683583571,17.24574135,0.373354261,0.204288059,-0.751153432,-1
786,MODEL1,PARMS,LMB,1.397351832,22.33677581,0.330348792,-0.246999129,0.468315545,-0.930493572,2.722661261,-4.400256125,0.509286136,-0.141041097,-0.669268614,-1
787,MODEL1,PARMS,LMB,1.3123415,-0.954413444,0.475136224,-0.483662155,0.404209479,0.533309282,-1.503792376,3.088433612,0.253048046,-0.380367515,1.176263217,-1
788,MODEL1,PARMS,LMB,1.322594027,18.55520931,0.345210062,-0.758781966,2.755261888,-0.562590933,1.703885556,-4.000713339,0.111167726,0.918709999,-2.204160769,-1
789,MODEL1,PARMS,LMB,1.276324978,11.63176289,0.47021777,-1.058866104,4.114418255,-0.322207921,2.616487335,-6.372990458,0.633722596,-2.256037933,5.752475909,-1
790,MODEL1,PARMS,LMB,1.406663668,18.07550013,0.258648699,-0.304688059,0.940188643,-0.581523971,2.948293941,-5.910242235,0.278435513,0.467177433,-2.114595845,-1
791,MODEL1,PARMS,LMB,1.408128972,12.54230025,0.600965323,-0.919322489,2.831072161,-0.577223445,1.693454847,-3.17630141,1.170016796,-1.942064879,3.001888465,-1
792,MODEL1,PARMS,LMB,1.30123243,18.15008346,0.44688556,-0.737118921,2.813007997,-0.644148997,1.443424749,-2.145583454,0.290745061,0.408375817,-1.163805902,-1
793,MODEL1,PARMS,LMB,1.29615177,-1.093647286,0.675705323,-1.36294165,4.645093575,0.398707542,-1.02153976,2.514981099,0.560837621,-0.351030858,-0.003822115,-1
794,MODEL1,PARMS,LMB,1.259389059,0.610573749,0.466307037,-0.771687783,2.087735863,0.390802367,-2.805197752,7.19283894,0.514071525,-0.468347612,0.314068262,-1
795,MODEL1,PARMS,LMB,1.292815331,6.319730605,0.511720433,-1.156044841,4.077369558,0.137664853,-0.323522812,1.093869258,0.020566568,1.402390637,-3.82576193,-1
796,MODEL1,PARMS,LMB,1.26823043,6.673291543,0.287622082,0.275420397,-1.828886967,-0.061230251,0.31961094,-0.526686653,0.867186699,-1.603926853,2.740048603,-1
797,MODEL1,PARMS,LMB,1.262654733,18.2003814,0.495390331,-0.85980194,2.456720573,-0.75130881,1.73140216,-2.881445585,0.676311694,-1.194012457,2.511309908,-1
798,MODEL1,PARMS,LMB,1.289801431,14.32338817,0.690425475,-1.201552499,3.891881058,-0.518144374,1.844962723,-2.749574269,0.390333935,0.478448399,-1.675454171,-1
799,MODEL1,PARMS,LMB,1.267936682,-2.976115,0.606570878,-0.968046996,3.075951394,0.482635288,-2.257822958,5.784034237,0.750112412,-1.659133365,4.001672943,-1
800,MODEL1,PARMS,LMB,1.340945215,17.84321671,0.407894307,-0.500585778,1.508093989,-0.69582692,2.423209829,-5.362708957,0.482877339,0.903264682,-3.183418213,-1
801,MODEL1,PARMS,LMB,1.254744708,9.314507648,0.774798878,-1.882071881,7.026071671,-0.208860131,0.627123648,-1.388073511,0.432249627,-0.484477327,0.85139247,-1
802,MODEL1,PARMS,LMB,1.334430102,12.22399073,0.220079843,-0.040253114,-0.13922819,-0.307034765,1.361384245,-2.609290765,0.569152831,-0.301580461,0.35250617,-1
803,MODEL1,PARMS,LMB,1.316518321,-4.625948324,0.066654834,0.123261163,-0.686301494,0.962182215,-3.941898152,8.317373537,-0.125390926,2.158707656,-4.805849934,-1
804,MODEL1,PARMS,LMB,1.30296824,-18.65967057,0.017141767,0.104765834,-0.165502686,1.522632982,-4.176435325,8.675911618,0.998621183,-1.871593888,3.317688999,-1
805,MODEL1,PARMS,LMB,1.423421122,-12.93334005,0.156017956,0.49849089,-2.362910161,1.304740845,-3.201666354,7.087225134,0.283113004,-0.005078879,-0.443038618,-1
806,MODEL1,PARMS,LMB,1.381678616,-1.719807919,0.429930331,-0.582651081,2.136693832,0.563689631,-1.133426902,3.462394444,0.286125979,-0.128330045,-0.445452166,-1
807,MODEL1,PARMS,LMB,1.361922902,-4.191418279,0.220085399,0.270360194,-1.113108191,0.70148669,-3.968980798,10.00838173,0.541467358,-0.614261145,1.521162835,-1
808,MODEL1,PARMS,LMB,1.273169468,13.16470272,0.518784266,-1.519312069,6.676265587,-0.324940931,-0.104248532,1.428993278,0.249587944,0.749218114,-2.334684512,-1
809,MODEL1,PARMS,LMB,1.317268738,3.683826952,0.346213216,-0.733448706,3.025859454,0.172585181,-1.79859362,4.874634217,0.709353723,-0.902098863,1.148898892,-1
810,MODEL1,PARMS,LMB,1.270927998,15.49294325,0.281103204,-0.805552866,3.84413661,-0.484117358,1.970613761,-3.735530762,0.53930081,-0.708659575,1.189659666,-1
811,MODEL1,PARMS,LMB,1.323096345,5.418025735,0.580279847,-1.660214655,6.753318635,-0.052855941,-1.517201928,5.70947194,0.938882606,-1.401914972,2.691901295,-1
812,MODEL1,PARMS,LMB,1.167979574,9.62998386,0.490277123,-1.124915822,4.512862382,-0.113525258,-0.670856393,2.121249854,0.27650066,0.511262246,-1.704212682,-1
813,MODEL1,PARMS,LMB,1.174832597,6.397733291,0.18052747,0.056538149,-0.484692757,0.073079683,-0.432649556,2.510550841,0.511686533,-0.456412672,0.218116317,-1
814,MODEL1,PARMS,LMB,1.225307276,-4.292973493,0.155742911,0.656446035,-2.803481644,0.710669352,-2.087657577,5.00475553,0.548871671,-0.523511612,0.308577026,-1
815,MODEL1,PARMS,LMB,1.291218061,34.54694559,0.266310004,-0.010964341,-0.72825398,-1.409192781,3.844608295,-6.243920575,-0.392645587,2.49578323,-6.162145174,-1
816,MODEL1,PARMS,LMB,1.545917732,5.617009692,0.369760072,-0.980604078,4.054559818,0.174891275,-0.921574715,3.065182075,0.282520725,-0.48287181,1.505306073,-1
817,MODEL1,PARMS,LMB,1.119559,-25.83802224,0.383441637,-0.767828456,2.777320867,2.187843215,-6.755431561,13.61360207,-0.153242768,1.092629599,-2.302808123,-1
818,MODEL1,PARMS,LMB,1.251288764,0.652668324,0.410486138,-1.039561635,4.108759365,0.485423017,-1.262024543,2.983284264,0.098221781,1.283124841,-3.577149558,-1
819,MODEL1,PARMS,LMB,1.314215693,1.7809601,0.543164613,-0.718716114,2.706071115,0.293381062,-0.978667165,2.696433355,0.360445046,0.791200073,-2.865781654,-1
820,MODEL1,PARMS,LMB,1.395214534,2.07132209,0.373572387,-0.622283284,2.605480031,0.288613429,-1.955459304,5.391079537,0.521943047,0.32018018,-0.905680482,-1
821,MODEL1,PARMS,LMB,1.120061862,-9.956994595,0.502910321,-0.777100797,2.70957079,1.103757731,-3.573555457,8.43356103,0.015438753,1.870872714,-5.398279578,-1
822,MODEL1,PARMS,LMB,1.393608089,-0.334542853,0.538836437,-0.512103308,1.894970001,0.366137591,-1.278097746,3.105591638,0.516022012,0.398915664,-1.936886562,-1
823,MODEL1,PARMS,LMB,1.395603587,11.56521366,0.44921064,-0.80215452,2.296881475,-0.232186008,1.971118577,-5.167180801,0.244455225,0.820654812,-2.182502544,-1
824,MODEL1,PARMS,LMB,1.284147127,18.69173119,0.173273593,0.068022374,-1.179109826,-0.633934564,2.665973429,-4.946078478,0.465852614,-0.959320134,1.453808921,-1
825,MODEL1,PARMS,LMB,1.307668788,-8.409239827,0.299712601,-0.244357111,0.631154232,1.016700303,-1.900635153,4.107638846,0.218199873,0.297715777,-1.661677655,-1
826,MODEL1,PARMS,LMB,1.192776126,14.72850133,0.474210598,-0.448091435,1.602777544,-0.418645122,0.184050361,0.653917372,0.181899513,0.312991813,-0.603940899,-1
827,MODEL1,PARMS,LMB,1.28526157,3.379453695,0.341557826,-0.966963756,2.892436971,0.31513548,-1.175948157,3.461912258,0.212646562,0.892650021,-2.053629886,-1
828,MODEL1,PARMS,LMB,1.266193316,-5.783154127,0.685270874,-1.186871195,4.011394943,0.632938126,-3.195341753,7.675064528,0.727096788,-0.714296521,0.703058689,-1
829,MODEL1,PARMS,LMB,1.33660145,-15.78700182,0.559055481,-1.006647731,4.586830803,1.337145968,-3.906109693,7.976615233,0.350217031,1.02925286,-3.070447708,-1
830,MODEL1,PARMS,LMB,1.282433837,8.292468961,0.160686354,-0.284944289,1.585319603,0.101069404,-1.209792157,2.812544739,0.169888028,-0.167627606,0.790592479,-1
831,MODEL1,PARMS,LMB,1.304556653,19.34908271,0.439592766,-1.074092512,3.62012104,-0.527071416,1.063087702,-1.071318593,-0.264988073,1.216513888,-2.049536647,-1
832,MODEL1,PARMS,LMB,1.240047609,29.25477755,0.535296018,-0.97852025,3.432649561,-1.33954879,3.578829815,-5.871645077,0.302672092,-0.135932662,0.068038614,-1
833,MODEL1,PARMS,LMB,1.173028121,-0.719955082,0.152576261,-0.066098671,0.235922373,0.513816248,-2.250629149,4.764209858,0.637966883,-1.054357951,2.068150106,-1
834,MODEL1,PARMS,LMB,1.17120994,7.401584842,0.306526285,-0.541238689,2.408699283,0.057764071,-1.277047079,4.186647435,0.313200688,0.25319648,-1.346148795,-1
835,MODEL1,PARMS,LMB,1.315818862,2.176203864,0.421845822,-0.332933338,0.961235221,0.301310039,-0.810520762,2.327022659,0.375338125,-0.020853784,-0.82983545,-1
836,MODEL1,PARMS,LMB,1.270758736,10.33534279,0.277550003,-0.161095863,-0.223751989,-0.108310094,-0.191363741,1.387206043,0.271260689,0.108325915,-0.392188451,-1
837,MODEL1,PARMS,LMB,1.232471253,16.17596299,0.36848984,-0.438926347,1.526911341,-0.581440653,2.005335351,-2.769582032,0.535076911,0.028986086,-1.383921942,-1
838,MODEL1,PARMS,LMB,1.354157561,2.468345867,0.15090482,0.002524814,0.259470869,0.374179205,-2.007550723,5.614880627,0.402222111,0.179967769,-1.381701907,-1
839,MODEL1,PARMS,LMB,1.271814387,15.96911987,0.573052302,-0.57568012,1.542492243,-0.652502127,1.820342002,-3.279967451,0.586243972,-0.012323106,-0.606476388,-1
840,MODEL1,PARMS,LMB,1.235463312,-4.667932378,0.678219043,-1.320630658,4.917620203,0.521016454,-2.350676056,6.383805011,0.92700638,-2.087545317,4.11350043,-1
841,MODEL1,PARMS,LMB,1.316055597,3.037548827,0.257410489,-0.19196855,0.884865979,0.2867937,-1.122728394,3.560272469,0.461992952,-0.314372109,-0.093892482,-1
842,MODEL1,PARMS,LMB,1.153625625,-7.85696751,0.341193779,-0.272102185,0.654819891,0.950007154,-4.369232254,10.45296783,0.378568011,-0.025626816,-0.105126251,-1
843,MODEL1,PARMS,LMB,1.216211372,-0.36383207,0.38751088,-0.163140389,0.395854172,0.461233447,-2.015035693,4.839095401,0.360132935,0.854380632,-2.900776927,-1
844,MODEL1,PARMS,LMB,1.266153429,6.781180523,0.392811411,-0.910201715,3.871005119,0.14092464,-0.668366081,1.893931181,0.034731803,0.920121291,-2.104610841,-1
845,MODEL1,PARMS,LMB,1.233926299,-10.03726227,0.311823274,-0.539165622,2.073344927,1.117486115,-3.763641908,8.993957672,0.309993363,-0.234369978,0.249028354,-1
846,MODEL1,PARMS,LMB,1.419975318,27.74583706,0.19128548,0.325608808,-1.841016578,-1.15829755,2.7673444,-4.399368892,0.389191784,-0.574485896,0.81973003,-1
847,MODEL1,PARMS,LMB,1.315962691,1.279326151,0.312896356,-0.365142361,2.113424423,0.25900753,-1.518405471,4.361839146,0.825799505,-0.938697794,1.322764725,-1
848,MODEL1,PARMS,LMB,1.200319223,7.655323753,0.315015432,-0.529876245,1.916139554,-0.000782688,-0.174588791,0.364555665,0.443282884,-0.324617337,0.256992062,-1
849,MODEL1,PARMS,LMB,1.21937177,0.503145345,0.657589683,-1.640408786,5.457190612,0.457603423,-0.565895883,1.823106214,0.085081537,0.057523629,-0.379801089,-1
850,MODEL1,PARMS,LMB,1.325162807,-0.132845532,0.386075832,-0.159759261,0.171034803,0.397286344,-1.591589362,3.712752434,0.588809394,-0.43433591,0.525354702,-1
851,MODEL1,PARMS,LMB,1.247991664,-4.696015012,0.544696331,-1.590178998,6.059980028,0.839250079,-3.652402653,8.38570513,-0.090435722,2.464913954,-6.449574427,-1
852,MODEL1,PARMS,LMB,1.174548106,2.699081623,0.513611082,-0.917561267,2.86580565,0.323880257,-1.436620599,3.679796599,0.250712127,-0.818941443,2.46555522,-1
853,MODEL1,PARMS,LMB,1.197223825,1.766130723,0.490704977,-0.90130795,3.118056363,0.263365451,0.247697242,-0.601598026,0.649210755,-2.320844005,5.573242663,-1
854,MODEL1,PARMS,LMB,1.254552345,10.50363945,0.595928849,-0.991144672,3.640279855,-0.152344517,0.215820577,-0.08516557,-0.014559715,1.624758846,-3.483970588,-1
855,MODEL1,PARMS,LMB,1.554424261,15.12473676,0.505866991,-1.119307124,3.35503468,-0.364277246,0.991802077,-1.457896421,-0.022747346,1.414390846,-3.662595842,-1
856,MODEL1,PARMS,LMB,1.318261837,-5.57087072,0.544682736,-1.03548776,3.312621681,0.734917377,-4.185548989,9.435561462,0.484336223,0.221991624,-0.399375425,-1
857,MODEL1,PARMS,LMB,1.259584887,12.91363687,0.672947671,-0.85969206,2.945802223,-0.369512323,-0.586253966,3.791335485,0.237685181,0.373223453,-1.732427099,-1
858,MODEL1,PARMS,LMB,1.402100831,12.11077101,0.614740754,-0.967570166,3.024637644,-0.504416242,2.306773401,-4.084013079,0.861790435,-1.440156517,3.011478724,-1
859,MODEL1,PARMS,LMB,1.509828121,-1.724732947,-0.019602996,0.622824595,-2.290519709,0.560061186,-1.527470187,3.874732213,0.795867837,-1.022572638,1.496967027,-1
860,MODEL1,PARMS,LMB,1.285092049,-6.582490528,0.197381372,-0.354229058,1.724173639,0.852278409,-3.56348773,8.410231705,0.635000377,-0.36258151,-0.19555331,-1
861,MODEL1,PARMS,LMB,1.349298481,0.022873984,0.305989676,-0.833152996,2.473694797,0.450595183,-1.657405405,2.475712213,0.625771731,-0.964196291,2.267628838,-1
