SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RB4_5
714,MODEL1,PARMS,RB4_5,0.834336727,12.87185632,-0.189085187,0.527668433,-2.68648784,-0.389881957,0.87277155,-1.407250992,0.118455128,-0.301679119,0.758230438,-1
715,MODEL1,PARMS,RB4_5,0.825374212,3.543670928,0.076230282,-0.246122677,0.762397388,0.051133001,-0.271786366,0.493695164,0.291121808,-1.049038226,2.422541134,-1
716,MODEL1,PARMS,RB4_5,0.775071807,8.240883639,-0.121062312,0.085309729,-0.24614034,-0.188323082,0.111877258,0.243625506,0.344400995,-1.222162058,2.912321181,-1
717,MODEL1,PARMS,RB4_5,0.836144625,10.78825645,-0.026667863,-0.21195799,0.042672623,-0.460536791,1.279609226,-2.471346,0.67670052,-1.759835425,3.616009856,-1
718,MODEL1,PARMS,RB4_5,0.855904933,2.204103824,0.116164864,-0.398770647,1.460446037,0.156135732,-1.790942409,4.417176003,0.157801924,0.533927255,-1.870147599,-1
719,MODEL1,PARMS,RB4_5,0.882200633,7.44750941,0.033004719,-0.598035079,2.52820431,-0.195575436,-0.974472798,2.650212857,0.421535788,-0.535064786,0.89420136,-1
720,MODEL1,PARMS,RB4_5,0.803324084,8.873146223,-0.201878188,0.479583586,-1.715575244,-0.259789014,0.659064868,-1.2534014,0.524097827,-1.722683644,3.739477226,-1
721,MODEL1,PARMS,RB4_5,0.856155244,-5.180745738,0.157532816,-0.52397742,1.839526997,0.501596159,-2.000016966,4.330312886,0.501846247,-1.026921729,1.746569339,-1
722,MODEL1,PARMS,RB4_5,0.861464335,-3.230998487,-0.007007714,0.249361569,-1.740017012,0.253344802,-0.776543369,1.928437969,1.049439802,-2.640541588,5.220208146,-1
723,MODEL1,PARMS,RB4_5,0.858443892,15.11022087,0.024368967,-0.251561066,0.49908711,-0.635055537,1.969083555,-3.828346124,0.295874914,-0.87380636,1.880928702,-1
724,MODEL1,PARMS,RB4_5,0.883713809,7.810367363,0.088055625,-0.298893336,0.542333557,-0.331127958,0.97937632,-1.984315687,0.739631283,-2.502673771,5.921897545,-1
725,MODEL1,PARMS,RB4_5,0.791267416,-3.140608251,-0.000424469,-0.224269388,0.761400092,0.419973161,-2.027833372,4.696185697,0.536150957,-1.271901567,2.513375985,-1
726,MODEL1,PARMS,RB4_5,0.818329844,1.684718823,0.027146892,-0.194358727,0.07475377,0.082133424,-0.931425295,2.395089905,0.676435924,-1.893989466,3.954077035,-1
727,MODEL1,PARMS,RB4_5,0.884096099,-7.489865663,-0.111518658,-0.108930165,0.429831282,0.619959353,-2.076910237,3.901069741,0.976921543,-3.749871156,8.938424897,-1
728,MODEL1,PARMS,RB4_5,0.923516434,5.741378364,0.118883105,-0.595513597,2.586915802,-0.021894366,0.869963431,-1.62038477,0.027688937,-0.609596796,1.515484965,-1
729,MODEL1,PARMS,RB4_5,0.86925863,9.413579591,0.02982194,-0.309811297,0.778908767,-0.245084009,-0.217929409,0.536427772,0.199393935,-0.827062293,2.306832559,-1
