SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LB10
1,MODEL1,PARMS,LB10,0.806142658,-2.52204525,0.269505777,-0.367456166,0.65968584,0.319979628,-1.872418548,4.331781134,0.154265514,0.462613606,-1.31353546,-1
2,MODEL1,PARMS,LB10,0.808265406,-8.124998924,0.096152012,0.077734836,-0.452568663,0.650897612,-1.767109203,3.437959312,0.350104318,-0.591846769,1.185326951,-1
3,MODEL1,PARMS,LB10,0.871866733,8.2253805,-0.153245773,0.171689934,-0.388593481,-0.240008025,1.686180265,-3.838794864,0.288627436,-0.871884416,1.998827768,-1
4,MODEL1,PARMS,LB10,0.850569539,10.46953084,-0.048215488,-0.164414005,0.580684651,-0.401043145,0.529898037,-0.119227724,0.31153408,-0.270670276,0.229433803,-1
5,MODEL1,PARMS,LB10,0.94444449,8.569676801,0.076545203,-0.326339415,0.977658076,-0.245007792,1.120234814,-2.448856413,-0.007976193,0.709995706,-1.735388135,-1
6,MODEL1,PARMS,LB10,0.924356127,2.44035866,0.024512207,-0.761752572,3.783133866,0.091895499,-1.237884129,2.931927098,0.263701591,0.395796053,-1.35992174,-1
7,MODEL1,PARMS,LB10,0.859178263,-2.533288921,0.179844569,-0.587942636,2.750031879,0.343704297,-0.526324003,0.402731662,0.202077674,-0.46074177,1.188805137,-1
8,MODEL1,PARMS,LB10,0.827121327,5.286565771,0.054979494,-0.096634169,0.07047822,-0.120087245,0.103106208,-0.268254724,0.320054469,-0.603732314,1.323776811,-1
9,MODEL1,PARMS,LB10,0.796322984,-2.401329035,-0.082496699,0.141857963,-0.798746602,0.375614467,-1.341173692,2.283722472,0.3438134,-0.630519959,1.75405914,-1
10,MODEL1,PARMS,LB10,0.916131417,2.737091974,0.017832248,-0.12121658,0.676224053,0.102674066,-0.360500028,0.286219707,0.126226239,-0.120134981,0.364981297,-1
11,MODEL1,PARMS,LB10,0.919600734,-3.277013809,0.045467747,0.198468808,-0.748812731,0.258970319,-0.718366249,1.818937737,0.770348266,-2.125584177,4.129468064,-1
12,MODEL1,PARMS,LB10,0.900782352,1.881530915,0.025336318,0.050591336,-0.242168417,0.143337333,-0.484319644,1.139850167,0.065515552,0.223080616,-0.20271976,-1
13,MODEL1,PARMS,LB10,0.915855212,-4.534076392,0.070130676,-0.097422138,0.107755317,0.529369071,-1.347137785,1.981306178,0.099150756,-0.478682376,1.562722864,-1
14,MODEL1,PARMS,LB10,0.854689505,-11.14817597,0.103591543,-0.047661284,-0.090774149,0.917451794,-3.636442856,7.618653096,0.084946451,0.381200645,-0.860985948,-1
15,MODEL1,PARMS,LB10,0.898483632,-10.08700432,-0.111615469,0.169525732,-0.373831024,0.87510735,-2.973191891,6.304895019,0.226316665,-0.145840067,0.287136152,-1
16,MODEL1,PARMS,LB10,0.940221551,12.45613303,0.052984009,-0.155642698,0.748791203,-0.622887744,2.204368419,-4.539180561,0.592281499,-2.166608645,5.151595533,-1
17,MODEL1,PARMS,LB10,0.923691866,3.090557555,0.028856588,-0.136786764,0.459339687,0.05214727,0.082207138,-0.130621003,0.133689149,-0.14749084,0.311106886,-1
18,MODEL1,PARMS,LB10,0.811165809,16.08246931,0.011731122,-0.265657315,1.425568697,-0.717775836,2.24552698,-4.257082282,0.131534425,-0.170343316,0.905686276,-1
19,MODEL1,PARMS,LB10,0.865508319,8.002142474,0.067676152,-0.452272933,1.699426301,-0.155601273,0.10518237,0.420894488,-0.141683267,0.85255296,-1.964910072,-1
20,MODEL1,PARMS,LB10,0.844647346,-0.804129277,-0.035246316,0.258934535,-1.238317669,0.215745283,-0.660619884,1.698582698,0.455935229,-1.040445858,2.343191414,-1
21,MODEL1,PARMS,LB10,0.862782684,6.482923856,-0.240837757,0.708431548,-2.952392504,-0.018611996,0.015799836,0.56202941,-0.060390165,0.474172311,-0.947971492,-1
22,MODEL1,PARMS,LB10,0.869131832,2.17613648,-0.087838158,0.231760541,-0.832175885,0.159831971,0.138945963,-0.805878371,0.02416037,0.594136487,-1.200264402,-1
23,MODEL1,PARMS,LB10,0.87817983,2.167046667,-0.007327924,0.219368238,-0.954832919,0.10456459,0.70845235,-2.32148276,0.182488629,-0.707255927,1.932696342,-1
24,MODEL1,PARMS,LB10,0.847998227,-11.45088471,-0.002829854,-0.052349093,0.47390012,0.869043831,-2.125626129,4.262583458,0.424181392,-0.860446985,1.525549367,-1
