SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RB4
1,MODEL1,PARMS,RB4,0.715065269,0.569981178,0.219547379,-0.616669171,1.823778964,0.069626385,-1.179872123,2.866068792,0.291463126,0.127253405,-0.806522263,-1
2,MODEL1,PARMS,RB4,0.710698317,-9.511401123,0.161442523,-0.43650167,1.28667225,0.703768709,-1.852428971,3.396312679,0.246045854,-0.362582142,0.615292532,-1
3,MODEL1,PARMS,RB4,0.712190322,6.460751344,0.048315635,-0.266300885,1.121118614,-0.172497036,0.141668609,-0.299167056,0.035304178,0.301530485,-0.829387411,-1
4,MODEL1,PARMS,RB4,0.667628867,3.456035327,0.073244181,-0.364514126,1.108921349,0.010945499,-0.323776634,0.709039595,0.033543281,0.307751809,-0.821214813,-1
5,MODEL1,PARMS,RB4,0.709632929,9.912007471,0.159579751,-0.712717476,2.282038052,-0.352980011,0.742525808,-1.651380698,-0.127293839,0.928792277,-2.170667352,-1
6,MODEL1,PARMS,RB4,0.692154028,-0.092900219,0.135725819,-0.670134102,2.675820804,0.284435037,-1.596889034,3.638057467,-0.193281754,0.929298063,-2.065264121,-1
7,MODEL1,PARMS,RB4,0.745499915,-1.223217573,-0.01725298,-0.000687191,0.00659489,0.31646594,-0.310855117,-0.117559415,0.045464168,-0.469382287,1.438864024,-1
8,MODEL1,PARMS,RB4,0.732692987,-1.603888973,0.125904999,0.019939705,-0.762107524,0.237269032,-1.024281292,2.155260853,0.202083435,-0.170707674,0.287029159,-1
9,MODEL1,PARMS,RB4,0.654543988,6.995056687,0.180848704,-0.341953195,0.597562491,-0.29979253,1.612140821,-3.75317034,0.202770823,-0.55313747,1.453180561,-1
10,MODEL1,PARMS,RB4,0.777260041,0.510757517,0.2019243,-0.608914892,2.058475746,0.137470083,-0.581246362,1.192410629,0.10271952,-0.046910838,0.224296538,-1
11,MODEL1,PARMS,RB4,0.803155871,-2.098005373,0.26411218,-0.675380197,2.052869072,0.274991463,-1.028391339,1.604035867,0.133013665,-0.357021059,0.808562891,-1
12,MODEL1,PARMS,RB4,0.792870866,-0.813411711,0.223960491,-0.463400145,1.422198719,0.129555836,0.306206843,-1.211133038,0.27934318,-0.080556807,-0.13991245,-1
13,MODEL1,PARMS,RB4,0.741663875,-3.605243253,0.266250582,-0.672488404,2.35643834,0.338986585,-1.731112987,4.0523739,0.187112993,-0.377334763,1.058213477,-1
14,MODEL1,PARMS,RB4,0.688784858,-6.753663251,0.246258437,-0.483472252,1.412958487,0.594234308,-1.637926053,2.636884084,-0.080789509,0.60189576,-1.14558398,-1
15,MODEL1,PARMS,RB4,0.815147307,-1.153915983,0.05089843,-0.076383902,0.049192178,0.193675985,-0.145544208,-0.087899725,0.359456872,-0.607944379,1.114966154,-1
16,MODEL1,PARMS,RB4,0.802295928,-0.946372809,0.213736569,-0.269426501,0.392281333,0.15793492,0.304332294,-1.442610081,0.289695964,-1.060913692,2.651159481,-1
17,MODEL1,PARMS,RB4,0.73970871,1.857384005,0.240187594,-0.195281206,-0.572297375,0.008447078,-0.346930689,0.767749726,0.184511639,-0.679640498,1.742163375,-1
18,MODEL1,PARMS,RB4,0.757495517,2.781771415,0.319324257,-0.640465727,2.062738021,-0.016251582,0.464722807,-1.094681952,-0.019950103,0.224165148,-0.500053119,-1
19,MODEL1,PARMS,RB4,0.713847376,13.49006718,0.211080239,-0.577081045,1.766468769,-0.638194043,1.15112736,-1.958218895,0.018429275,0.52969951,-1.386497359,-1
20,MODEL1,PARMS,RB4,0.741157606,-7.105650019,0.25661671,-0.787740337,2.726776292,0.561482978,-1.25052421,1.917472486,0.15196789,-0.194342319,0.452478976,-1
21,MODEL1,PARMS,RB4,0.741485224,4.73699341,-0.00057907,0.131860708,-0.935344034,-0.073362698,0.209760332,-0.381414229,0.075608385,0.106422827,-0.229248369,-1
