SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RMB
640,MODEL1,PARMS,RMB,1.499944063,14.11439896,0.090438987,-0.847960817,4.132710682,-0.189653544,-0.466809517,2.11429553,0.524931984,-0.03657191,-0.498789708,-1
641,MODEL1,PARMS,RMB,1.472975699,-10.27636968,0.291720206,-0.981627489,3.906004974,1.431181182,-5.254248857,11.01704545,-0.213936,1.899681671,-4.594687173,-1
642,MODEL1,PARMS,RMB,1.4969592,-8.744535191,-0.021639232,0.218976808,-1.703911174,1.187807078,-3.670177329,8.36181149,0.595832939,-0.538248468,0.500084177,-1
643,MODEL1,PARMS,RMB,1.523506895,13.2837916,0.121588602,-0.243660492,0.604253405,-0.235050283,-0.367015297,1.727594308,0.708663022,-0.034267339,-0.855128617,-1
644,MODEL1,PARMS,RMB,1.532705132,4.20244452,0.434236596,-0.913268147,3.069255587,0.395529332,-0.931510763,2.246851735,0.072462561,1.839233725,-4.515927494,-1
645,MODEL1,PARMS,RMB,1.509146326,-1.859049641,0.13001017,-0.008966456,-0.110331345,0.683153745,-1.9743297,4.837299441,0.601893938,1.207782215,-4.066592001,-1
646,MODEL1,PARMS,RMB,1.550632388,16.73395149,0.146889088,-0.472834135,1.170824658,-0.252618089,0.829056932,-2.12879259,0.107392452,0.458589566,-0.825757494,-1
647,MODEL1,PARMS,RMB,1.549455972,-1.382802096,0.266074299,-0.540162343,1.755176455,0.920281038,-1.939713209,3.199728048,-0.362399962,2.467783578,-5.89185105,-1
648,MODEL1,PARMS,RMB,1.414432267,28.44267661,0.237903685,-0.089763638,-0.960271811,-1.140015325,3.62939683,-6.361384057,0.531893763,-0.356933071,0.497311535,-1
649,MODEL1,PARMS,RMB,1.343014106,3.009223539,0.172704778,-0.425151705,0.073078807,0.483643492,-0.916039235,2.172135095,0.340324464,0.248666354,-0.734464097,-1
650,MODEL1,PARMS,RMB,1.528311643,-6.813634974,-0.011311964,-0.307717891,2.601891265,0.963568165,-3.127287068,6.357018177,1.001495136,-1.775898173,3.348306922,-1
651,MODEL1,PARMS,RMB,1.591808296,-3.642093043,0.316984686,-0.904132613,3.225790403,0.97727013,-2.498380627,5.233954124,-0.108226557,1.070423432,-1.950978021,-1
652,MODEL1,PARMS,RMB,1.590299905,9.958314052,0.063583372,0.57251142,-3.10901823,-0.019187252,-1.192726573,4.028704492,0.677413068,-0.073758006,-0.924419888,-1
653,MODEL1,PARMS,RMB,1.386047927,25.04177512,0.005586224,-0.029732512,-0.317781256,-0.866831211,2.530284868,-3.718688742,0.625425178,-1.206049935,2.483681256,-1
654,MODEL1,PARMS,RMB,1.499153241,-30.2234477,0.162012642,-0.578755233,2.551629821,2.184189013,-8.085874014,18.17833862,1.502133445,-2.212315288,3.137255806,-1
655,MODEL1,PARMS,RMB,1.438102035,11.62128834,0.299082829,-0.597518047,1.258228311,0.02770367,-0.791553579,2.694216793,-7.84491E-05,1.06939971,-2.541788643,-1
656,MODEL1,PARMS,RMB,1.484061889,0.537998738,0.147912279,-0.681937283,2.900735761,0.568332507,-0.319544351,0.033919439,0.572316611,-0.436386694,0.539993972,-1
657,MODEL1,PARMS,RMB,1.491735379,1.08207045,0.101789084,-0.596633783,2.032922184,0.619860254,-2.566536454,5.204419378,0.45332298,-0.424286083,1.123691832,-1
658,MODEL1,PARMS,RMB,1.378902096,8.940219445,-0.095793011,0.567231395,-2.793940419,0.205513702,-2.015392515,5.506068997,0.39701243,-0.159025982,-0.134746381,-1
659,MODEL1,PARMS,RMB,1.538311796,-2.860985371,0.125137767,-0.361119869,1.703117019,0.744478214,-2.342897161,6.003711418,0.832031747,-1.561578576,2.433248477,-1
660,MODEL1,PARMS,RMB,1.487265293,20.79401514,0.083125066,-0.477885232,1.969580639,-0.648204351,0.659687234,-0.540563089,0.699555062,-1.08478939,2.825350608,-1
661,MODEL1,PARMS,RMB,1.432763967,-2.951260774,0.08851865,-0.500970752,1.919003086,0.830789815,-2.784898874,5.868444491,0.555129757,-0.369534023,0.568688123,-1
662,MODEL1,PARMS,RMB,1.616115147,17.82532691,0.438097114,-1.907032738,7.047489286,-0.83995703,2.76868457,-6.107778445,1.736476038,-3.532927539,6.980882027,-1
663,MODEL1,PARMS,RMB,1.628665698,22.4377951,0.444140699,-0.759051738,2.262822086,-0.547303104,3.03766539,-6.623899811,-0.472585298,2.135232701,-4.357706462,-1
664,MODEL1,PARMS,RMB,1.516493205,7.083155708,-0.076111875,-0.252013444,1.196381632,0.411990379,-1.338033787,3.008717498,-0.063614329,2.318575938,-5.670638833,-1
665,MODEL1,PARMS,RMB,1.591934886,-5.868992366,0.0966091,-0.523748845,1.714927259,1.200770297,-4.653424346,10.42081436,-0.135979977,1.967845539,-4.980803059,-1
666,MODEL1,PARMS,RMB,1.373339116,6.143806973,0.181163703,-0.934396021,3.624298874,0.291308574,-0.7995962,2.378957351,0.42506902,-0.156985037,-0.123290301,-1
