SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RB4_5
154,MODEL1,PARMS,RB4_5,0.915145494,-1.523892172,-0.073457809,-0.159957527,0.842596548,0.490239518,-1.635101397,3.847159939,-1
155,MODEL1,PARMS,RB4_5,0.837924176,19.60819615,-0.18265431,0.091363395,0.125118929,-0.78176629,2.833305331,-5.783503174,-1
156,MODEL1,PARMS,RB4_5,0.891624717,5.643545499,0.021552285,-0.135040952,0.372891859,0.021057284,-0.316669966,0.793722618,-1
157,MODEL1,PARMS,RB4_5,0.87982629,2.258309712,-0.096910633,-0.060615056,0.384822189,0.260974409,-1.012972677,2.518286995,-1
158,MODEL1,PARMS,RB4_5,0.742125683,-0.607256199,-0.000233985,-0.466060102,2.341661122,0.423193711,-2.041587465,4.514746469,-1
159,MODEL1,PARMS,RB4_5,0.948971656,15.15943897,0.116183881,-0.26654185,0.193625725,-0.596642372,3.139979633,-6.912270708,-1
160,MODEL1,PARMS,RB4_5,0.867441088,6.661316186,0.039806658,-0.120338224,-0.092006621,-0.048923887,-0.133352286,0.633298894,-1
161,MODEL1,PARMS,RB4_5,0.86012515,13.28688614,0.125684628,-0.669057737,2.236688494,-0.462424739,1.279511,-2.42422508,-1
162,MODEL1,PARMS,RB4_5,0.786217833,4.958965085,0.014988895,-0.047133836,-0.027379255,0.066237107,-0.968795767,2.673586999,-1
163,MODEL1,PARMS,RB4_5,0.981714523,-1.9219156,0.047975895,0.071192322,-0.301973354,0.449059465,0.149379329,-1.818274158,-1
164,MODEL1,PARMS,RB4_5,0.805441279,11.27762478,0.117663113,-0.360415766,0.889060645,-0.352038669,1.154259337,-2.073575443,-1
165,MODEL1,PARMS,RB4_5,0.863883008,11.66367816,-0.041943645,0.101883865,-0.127805435,-0.333439282,0.78509737,-1.384384801,-1
166,MODEL1,PARMS,RB4_5,0.892855621,12.14255184,0.041007436,-0.340635094,0.925896345,-0.363929547,0.652248651,-0.821743429,-1
167,MODEL1,PARMS,RB4_5,0.909519491,3.658309122,-0.013333261,-0.312399809,1.796769914,0.157930148,-0.322104302,0.480261105,-1
168,MODEL1,PARMS,RB4_5,0.861999252,11.4265143,-0.165834336,0.280133231,-0.887227894,-0.285992998,0.970367814,-1.985603553,-1
169,MODEL1,PARMS,RB4_5,0.888700122,10.95440795,0.269670399,-0.738025717,2.099201532,-0.363293902,0.515435937,-0.243284667,-1
170,MODEL1,PARMS,RB4_5,0.868305611,7.577129581,-0.056128686,-0.167267134,1.147487838,-0.070947976,-0.044297487,0.237900682,-1
171,MODEL1,PARMS,RB4_5,0.859297282,1.556973557,0.066534114,-0.222359547,0.685691374,0.258686145,-1.128211649,2.784800592,-1
172,MODEL1,PARMS,RB4_5,0.819105328,8.482191402,-0.131656335,0.258705608,-1.309183019,-0.096466891,-0.47856464,1.473216102,-1
173,MODEL1,PARMS,RB4_5,0.852937384,3.196237133,0.03407436,-0.056118962,-1.19423342,0.173819216,-0.990528768,1.753849937,-1
174,MODEL1,PARMS,RB4_5,0.882398202,2.328581046,-0.117808655,0.15708631,-0.681260885,0.25970714,-0.981478693,2.304226084,-1
175,MODEL1,PARMS,RB4_5,0.99078336,6.837488245,0.006971215,-0.085515249,0.053083195,-0.039065652,-0.072838388,0.274963198,-1
176,MODEL1,PARMS,RB4_5,0.95299905,3.57840893,0.06489044,0.182908924,-1.26135714,0.119313065,-0.367321471,0.749891163,-1
177,MODEL1,PARMS,RB4_5,1.009872151,0.209547343,0.180918706,-0.738766181,2.920021584,0.307779079,0.359387506,-1.545167204,-1
178,MODEL1,PARMS,RB4_5,0.858037344,12.60553295,-0.166983073,0.230794778,-1.01163577,-0.346213647,0.160921146,0.280204278,-1
179,MODEL1,PARMS,RB4_5,0.944636888,4.19871086,0.110895455,-0.157040077,-0.048062643,0.080407488,-0.721808594,1.866592725,-1
180,MODEL1,PARMS,RB4_5,0.841730739,7.386652324,0.032662834,-0.478609002,1.584237539,-0.065300473,0.181842771,-1.135313499,-1
181,MODEL1,PARMS,RB4_5,0.952525948,12.26995958,-0.057965171,-0.015660877,-0.216180578,-0.353489849,0.790684981,-1.051316437,-1
182,MODEL1,PARMS,RB4_5,0.837593599,11.78985518,0.090608939,-0.576081904,2.051463608,-0.370780722,1.306474941,-2.603767065,-1
183,MODEL1,PARMS,RB4_5,0.85235221,5.673209503,-0.214232571,0.482058236,-2.235181421,0.08330515,-0.503418415,0.881474844,-1
184,MODEL1,PARMS,RB4_5,0.843931824,5.894686863,-0.026101469,0.001591908,-0.095946455,0.023717404,-0.762895325,2.21822222,-1
185,MODEL1,PARMS,RB4_5,0.851303538,5.12115207,-0.0641843,-0.012479439,-0.70104962,0.086031736,-0.328688225,0.438782381,-1
186,MODEL1,PARMS,RB4_5,0.860438508,4.647104025,0.108156525,-0.546013952,2.201200557,0.069218781,-0.916998938,2.36137166,-1
187,MODEL1,PARMS,RB4_5,0.874719277,17.63490126,-0.025486724,-0.1107871,-0.311104629,-0.689960004,2.083993756,-4.481723022,-1
188,MODEL1,PARMS,RB4_5,0.814576095,8.455538184,0.095600051,-0.539311364,1.839757485,-0.159980132,0.188402643,-0.052760448,-1
189,MODEL1,PARMS,RB4_5,0.870223202,7.956970563,0.037838297,-0.256338868,0.980622204,-0.116206737,0.337246963,-0.606124758,-1
190,MODEL1,PARMS,RB4_5,0.828287753,1.373088411,-0.098534297,-0.162860313,0.982007061,0.321875216,-1.033839971,2.191356883,-1
191,MODEL1,PARMS,RB4_5,0.93584107,13.47033739,0.06102409,-0.300186333,0.67253047,-0.455793962,0.934514398,-1.806839425,-1
192,MODEL1,PARMS,RB4_5,0.838428439,-3.92519385,-0.07069681,-0.034053454,0.15358766,0.635228196,-1.460949592,2.313292381,-1
193,MODEL1,PARMS,RB4_5,0.780376413,2.112401737,-0.00543133,-0.196437067,0.969791574,0.242713204,-0.974906149,2.215452956,-1
194,MODEL1,PARMS,RB4_5,0.765111213,-5.913213351,0.176936099,-0.759551598,2.807720243,0.695711623,-2.709149014,5.57144732,-1
195,MODEL1,PARMS,RB4_5,0.859453152,8.187307081,-0.158985108,0.588488822,-3.231103171,-0.076860786,-0.49571398,1.222962952,-1
196,MODEL1,PARMS,RB4_5,0.916018175,-0.74865581,-0.171389446,0.181163839,-0.666554754,0.48014667,-2.308906927,4.826336006,-1
197,MODEL1,PARMS,RB4_5,0.784020523,8.10119661,0.256166117,-0.906157642,3.571820629,-0.186049599,-0.002710789,0.796984816,-1
198,MODEL1,PARMS,RB4_5,0.983823731,11.53548879,0.113988928,-0.395316334,0.969461606,-0.364101237,1.160587357,-2.622778126,-1
199,MODEL1,PARMS,RB4_5,0.849265354,6.770107659,-0.125778267,0.294110337,-1.363374735,-0.010574448,-0.699161485,2.171463104,-1
200,MODEL1,PARMS,RB4_5,0.835746738,5.694252139,-0.127337466,0.418394677,-3.06430323,0.052908783,-0.183711577,0.755465356,-1
201,MODEL1,PARMS,RB4_5,0.934971339,13.83800763,0.206290413,-0.531497789,0.921615661,-0.530834824,1.787502116,-3.2253377,-1
202,MODEL1,PARMS,RB4_5,0.906955827,12.57666993,0.074053697,-0.467622324,1.649052838,-0.406519315,1.363401958,-2.735989571,-1
203,MODEL1,PARMS,RB4_5,0.842435427,0.57808218,0.020165537,-0.38425983,1.625631023,0.344160958,-1.767076575,4.035145442,-1
204,MODEL1,PARMS,RB4_5,0.933288837,9.203141888,-0.210556448,0.597864092,-2.535348122,-0.150146108,1.098079248,-2.348833269,-1
205,MODEL1,PARMS,RB4_5,0.836473964,11.05345463,0.177467166,-0.66566136,1.950977824,-0.335987863,0.562239455,-0.771777239,-1
206,MODEL1,PARMS,RB4_5,0.842502125,4.04675556,0.107431241,-0.325403361,0.69273785,0.097239746,0.040247735,-0.092996883,-1
207,MODEL1,PARMS,RB4_5,0.852796525,7.224926191,-0.136888506,-0.031413185,-0.011365176,-0.016710627,-0.410389835,1.32860302,-1
208,MODEL1,PARMS,RB4_5,0.839402259,-4.159539129,-0.09888634,0.237368901,-0.837958169,0.63905227,-1.794760412,3.350726543,-1
209,MODEL1,PARMS,RB4_5,0.790670135,11.63996293,-0.050362655,-0.007279243,-0.475867422,-0.324958247,1.188464047,-2.764923753,-1
210,MODEL1,PARMS,RB4_5,0.927010012,4.036467274,-0.009360453,-0.422755979,1.79290184,0.145547799,-1.647519551,4.363843189,-1
211,MODEL1,PARMS,RB4_5,0.827694518,8.963272399,-0.142026065,0.303492208,-1.27424463,-0.125409889,-0.523616074,1.680863156,-1
212,MODEL1,PARMS,RB4_5,0.904793918,4.873469628,-0.018083354,-0.126624473,0.370068059,0.082906979,-0.642499725,1.586162641,-1
213,MODEL1,PARMS,RB4_5,0.850631756,8.000380445,0.000579323,-0.202333968,0.153514318,-0.099730071,-0.69388281,1.775273263,-1
214,MODEL1,PARMS,RB4_5,0.873499286,8.930142245,-0.059531709,-0.211263557,1.111707836,-0.153309901,0.224451268,-0.019743996,-1
215,MODEL1,PARMS,RB4_5,0.966113979,0.036951912,-0.001957451,-0.308062335,1.227794233,0.383780559,-1.431104033,2.831165748,-1
216,MODEL1,PARMS,RB4_5,0.914107965,9.681713928,0.0045101,-0.272720243,1.097838826,-0.219886634,1.091958491,-2.391388102,-1
217,MODEL1,PARMS,RB4_5,0.753365354,12.05135645,-0.111925901,0.025502774,-0.08098676,-0.326410521,0.758920467,-1.126641189,-1
218,MODEL1,PARMS,RB4_5,0.826725506,1.76199505,0.150023567,-0.468096305,1.065164425,0.22773741,-0.873303702,1.477979569,-1
219,MODEL1,PARMS,RB4_5,0.944465654,13.52331801,-0.06164325,0.11038647,-0.761803802,-0.444843252,1.840549164,-3.549239387,-1
220,MODEL1,PARMS,RB4_5,0.883841346,1.345496217,0.003101164,-0.625422686,2.796777387,0.301711424,-1.190522011,2.722348855,-1
221,MODEL1,PARMS,RB4_5,0.832409623,12.21775047,0.075685563,-0.714443176,2.7698012,-0.370048828,0.167336285,0.420763404,-1
222,MODEL1,PARMS,RB4_5,1.027392614,5.902326995,0.070084246,-0.296778126,1.088227849,-0.020908976,1.037152034,-1.995951292,-1
223,MODEL1,PARMS,RB4_5,0.967511852,-2.701024775,-0.232096031,0.548550772,-1.941439809,0.591541904,-2.019967829,4.745271751,-1
224,MODEL1,PARMS,RB4_5,0.95852335,11.28426932,0.029889986,0.087843713,-0.878667925,-0.328703268,0.526486431,-0.870968005,-1
225,MODEL1,PARMS,RB4_5,0.888926496,17.09596747,0.000934202,0.063542242,-0.691011484,-0.6850868,2.567226251,-5.118954928,-1
226,MODEL1,PARMS,RB4_5,0.8422706,16.83168247,0.000206121,-0.127224845,0.253878835,-0.646190359,1.328037301,-2.160165014,-1
227,MODEL1,PARMS,RB4_5,0.844962043,11.41329856,0.040796895,-0.146904477,-0.168264876,-0.325979744,0.473311135,-0.824799056,-1
228,MODEL1,PARMS,RB4_5,0.906455767,11.188484,0.039875151,-0.109868206,0.391749012,-0.332165721,1.174699915,-2.470413836,-1
229,MODEL1,PARMS,RB4_5,0.852366272,-2.436215854,0.164018677,-0.656281008,2.469655149,0.477415735,-1.684467144,3.187277174,-1
230,MODEL1,PARMS,RB4_5,0.819728715,4.793275557,0.177867354,-0.769472363,2.802912862,0.037825099,-0.047643725,0.0698472,-1
231,MODEL1,PARMS,RB4_5,0.977424953,-5.874485879,-0.243852411,0.778069504,-3.775855152,0.798401688,-2.660726861,5.276577985,-1
232,MODEL1,PARMS,RB4_5,0.798855708,1.193264649,-0.076398768,0.143381622,-0.733994261,0.314033238,-0.982189737,2.307054781,-1
233,MODEL1,PARMS,RB4_5,0.845553901,13.66421892,0.130078747,-0.863760805,3.694464545,-0.490101232,1.035910064,-1.686619626,-1
234,MODEL1,PARMS,RB4_5,0.875703498,2.982152341,0.048965394,-0.170879278,-0.142105993,0.177359726,-0.604533255,1.221738894,-1
