SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LB10
1,MODEL1,PARMS,LB10,0.825384209,-4.257048581,0.202875152,-0.270385107,0.443461401,0.499056306,-1.63788274,3.657132241,-1
2,MODEL1,PARMS,LB10,0.829825446,-8.885874599,0.061412225,0.107874855,-0.645874973,0.810530097,-1.948333116,3.866725132,-1
3,MODEL1,PARMS,LB10,0.877107106,9.297683536,-0.144682112,0.119334839,-0.148288452,-0.226730798,1.600203688,-3.456567061,-1
4,MODEL1,PARMS,LB10,0.865279045,11.04403037,-0.076851868,-0.225623554,0.980721878,-0.329795617,0.574465846,-0.205768585,-1
5,MODEL1,PARMS,LB10,0.956662489,7.770068641,0.015048928,-0.232857221,0.618220626,-0.169951186,1.300672264,-2.817583417,-1
6,MODEL1,PARMS,LB10,0.967736851,1.509484433,-0.073229725,-0.66828705,3.689111649,0.269950974,-1.282759532,3.070977452,-1
7,MODEL1,PARMS,LB10,0.866960298,-3.114905771,0.129887197,-0.465817662,2.330689503,0.452457378,-0.792608084,1.1026377,-1
8,MODEL1,PARMS,LB10,0.840504921,5.845368055,0.016373992,-0.059266536,0.052952945,-0.048829356,0.21558375,-0.402569274,-1
9,MODEL1,PARMS,LB10,0.836437691,-6.097358211,-0.092328513,0.149641681,-0.730073498,0.706037452,-2.152529838,4.503257825,-1
10,MODEL1,PARMS,LB10,0.921365664,1.932454271,-0.003873221,-0.09883179,0.671733874,0.195936072,-0.376990214,0.435895434,-1
11,MODEL1,PARMS,LB10,0.942456306,-0.612118347,0.072453025,0.153386619,-0.650773848,0.302857016,-1.035919587,2.429287949,-1
12,MODEL1,PARMS,LB10,0.921958231,2.104965895,0.001789799,0.045519744,-0.182081793,0.163308055,-0.10045092,0.557653388,-1
13,MODEL1,PARMS,LB10,0.926903849,-5.960046894,0.021109598,-0.009475992,-0.109774798,0.658807663,-1.992437164,3.804685141,-1
14,MODEL1,PARMS,LB10,0.870416068,-11.83466989,0.044044948,0.051216221,-0.443978952,1.007736288,-3.288674618,6.921614279,-1
