SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LMB
174,MODEL1,PARMS,LMB,1.307829812,9.8104499,0.300270726,-0.315773231,1.156453526,-0.023518366,1.760976264,-3.088332629,-1
175,MODEL1,PARMS,LMB,1.303524785,-4.679108653,0.257578245,-0.793185723,3.040859804,0.928288586,-2.875411243,6.549692895,-1
176,MODEL1,PARMS,LMB,1.338464394,-1.0244251,0.36042461,-0.518231511,1.623748616,0.63503458,0.260839467,-1.299567803,-1
177,MODEL1,PARMS,LMB,1.43584998,-13.22176616,0.148560136,-0.37673688,1.703913093,1.450523236,-2.991526743,6.132188238,-1
178,MODEL1,PARMS,LMB,1.219702844,15.7212627,0.236565368,-0.415368313,1.532043765,-0.324741008,0.427212401,0.511242519,-1
179,MODEL1,PARMS,LMB,1.444344601,-6.646087356,0.455330503,-0.806622349,2.666234352,0.977504884,-4.04938371,10.25049899,-1
180,MODEL1,PARMS,LMB,1.391756242,5.423925972,-0.020266811,0.179633589,-0.879760856,0.348356559,1.855957986,-6.088187479,-1
181,MODEL1,PARMS,LMB,1.417662356,12.41627859,-0.080523711,0.631515223,-2.136879294,-0.053997748,1.338699801,-2.765755397,-1
182,MODEL1,PARMS,LMB,1.203545571,11.05813551,0.257986461,-0.966933789,4.489244922,-0.034099771,0.052905726,0.343615377,-1
183,MODEL1,PARMS,LMB,1.378258402,15.6727356,0.162886965,0.123016341,-0.816071682,-0.315267575,0.65181935,-0.134993327,-1
184,MODEL1,PARMS,LMB,1.26406858,15.38702502,0.267156934,-0.196113914,1.171101919,-0.326988756,0.611274195,0.014288697,-1
185,MODEL1,PARMS,LMB,1.283701193,15.99361612,0.180980675,-0.068766357,-0.508607026,-0.330931484,1.049169863,-0.86730108,-1
186,MODEL1,PARMS,LMB,1.531041996,13.06300741,0.494862451,-0.792089272,2.886183326,-0.252381944,0.969014101,-1.26691183,-1
187,MODEL1,PARMS,LMB,1.22364465,-3.682120069,0.213564374,-0.773015507,3.432219049,0.849082891,-1.612471944,3.239898759,-1
188,MODEL1,PARMS,LMB,1.492350494,-10.56718217,0.185613024,0.274864645,-0.774717372,1.237904364,-2.359681921,4.751988122,-1
189,MODEL1,PARMS,LMB,1.306018824,-1.48016933,0.476872729,-1.186439538,4.60470588,0.656458272,-2.093371099,5.519624887,-1
190,MODEL1,PARMS,LMB,1.271684857,-0.216391348,0.354726603,-0.334990164,0.915109256,0.59663222,-1.751600095,4.706453187,-1
191,MODEL1,PARMS,LMB,1.355789187,1.261711471,0.50294293,-1.421796351,6.128544991,0.472814809,-0.44195264,0.915927859,-1
192,MODEL1,PARMS,LMB,1.183314221,-14.73719685,0.332629792,-0.816235741,3.186756974,1.504694432,-4.548277437,10.04946076,-1
193,MODEL1,PARMS,LMB,1.183252565,-7.096451027,0.496064605,-0.879889597,3.157095017,0.969443488,-2.379830891,5.219080254,-1
194,MODEL1,PARMS,LMB,1.249613687,-7.295976673,0.366671501,-0.806234985,3.080354884,1.022621519,-1.649896998,3.14069951,-1
195,MODEL1,PARMS,LMB,1.268622543,3.424772655,0.226383816,-0.133760589,0.271284111,0.410682307,-1.065579306,3.234793437,-1
196,MODEL1,PARMS,LMB,1.216880045,13.95495329,0.377118584,-1.611652471,7.279434124,-0.215081241,-0.607440829,3.22418501,-1
197,MODEL1,PARMS,LMB,1.313668968,5.769434624,0.494474159,-0.520864258,1.11202388,0.172400916,0.021438266,1.032458287,-1
198,MODEL1,PARMS,LMB,1.417696448,-0.803872598,0.752584624,-1.741326545,5.83857547,0.547257444,-1.121361383,1.694166116,-1
199,MODEL1,PARMS,LMB,1.261293361,10.02795157,0.230744802,-0.06772871,-0.151413571,0.017447799,-0.892679923,3.715585589,-1
200,MODEL1,PARMS,LMB,1.293821668,18.42344854,0.245974316,0.719221852,-4.692097841,-0.536943056,2.867691433,-5.691311273,-1
201,MODEL1,PARMS,LMB,1.492377824,-9.85979816,0.585974247,-1.522560314,5.143139016,1.130219231,-3.506784296,8.668700439,-1
202,MODEL1,PARMS,LMB,1.271043824,4.016603878,0.365269732,-0.970784644,3.709219825,0.372566163,-2.05377479,5.603526171,-1
203,MODEL1,PARMS,LMB,1.304664387,-10.31306347,0.214802627,-0.143297127,0.854560668,1.256964679,-3.700356973,7.584151142,-1
204,MODEL1,PARMS,LMB,1.304684229,-0.003680117,0.183183576,0.362631481,-1.570523438,0.628211578,-2.314578052,5.785473065,-1
205,MODEL1,PARMS,LMB,1.332714302,-9.935393444,0.187005534,-0.153715059,0.610540401,1.233066805,-2.241732399,4.243431515,-1
206,MODEL1,PARMS,LMB,1.298672399,15.35559464,0.125654832,0.257004819,-1.037766988,-0.299282564,1.834919217,-3.06982717,-1
207,MODEL1,PARMS,LMB,1.349587521,14.92982912,0.083863938,-0.127171866,1.72422171,-0.233965623,0.322317196,0.909494296,-1
208,MODEL1,PARMS,LMB,1.470627754,0.158223813,0.652010331,-1.481391086,4.965743554,0.524404077,-1.910683847,4.569893796,-1
209,MODEL1,PARMS,LMB,1.264395908,10.69869003,0.518944148,-1.234178956,4.329659237,-0.101999657,1.575440765,-3.587664888,-1
210,MODEL1,PARMS,LMB,1.293454221,2.688158798,0.541298358,-1.047449957,4.182959508,0.373671878,-1.643019028,4.833717014,-1
211,MODEL1,PARMS,LMB,1.311852679,9.531958975,0.32963074,-0.15901297,0.021557128,0.003839146,0.272992214,0.559570061,-1
212,MODEL1,PARMS,LMB,1.352534856,1.734545638,0.331284298,-0.391848603,1.700950398,0.466686126,-0.205246633,0.451091892,-1
213,MODEL1,PARMS,LMB,1.300494781,6.776790588,0.239308395,-0.380175204,1.233357311,0.206087276,0.241364847,-0.181725631,-1
214,MODEL1,PARMS,LMB,1.245284062,17.50628018,0.4311531,-0.362911363,0.723178803,-0.518180987,2.273206891,-4.278896955,-1
215,MODEL1,PARMS,LMB,1.236221125,-7.649405841,0.327609503,-0.944211418,3.815617526,1.075895798,-2.965065148,6.238463177,-1
216,MODEL1,PARMS,LMB,1.424968628,-4.540793669,0.465887622,-1.134695545,4.531154497,0.850472577,-2.554732681,5.537645822,-1
217,MODEL1,PARMS,LMB,1.195402345,-7.941537903,0.547354566,-1.179753913,4.349159371,1.016030936,-2.014196237,4.672878675,-1
218,MODEL1,PARMS,LMB,1.514728886,-4.509885863,0.497612988,-0.765274287,2.472950323,0.820211379,-1.742137588,3.451282528,-1
219,MODEL1,PARMS,LMB,1.25772944,16.40138344,0.27317078,-0.241139579,0.869668898,-0.385105526,1.529552761,-2.622890944,-1
220,MODEL1,PARMS,LMB,1.299020288,-6.060213257,0.19874257,-0.622581244,2.934427171,1.001626281,-2.306839057,5.326569434,-1
221,MODEL1,PARMS,LMB,1.367780566,16.04061076,0.235191269,-0.42685532,1.712509029,-0.33634016,1.647121462,-3.352902132,-1
222,MODEL1,PARMS,LMB,1.45709614,15.91583123,0.532683945,-1.517134905,6.573210295,-0.424002164,2.968773482,-5.507099091,-1
223,MODEL1,PARMS,LMB,1.374314675,6.60584306,0.02663091,0.476927271,-1.024538084,0.242099078,-0.075205441,1.737066082,-1
224,MODEL1,PARMS,LMB,1.399746672,-6.385236364,-0.00115255,0.657329489,-2.286012335,1.063087081,-2.98553215,6.514182248,-1
225,MODEL1,PARMS,LMB,1.390874659,21.43256668,0.278917183,0.322167346,-1.375992966,-0.72766958,3.564788917,-6.819760131,-1
226,MODEL1,PARMS,LMB,1.18131636,-10.55448174,0.227741375,-0.360062989,1.151397287,1.272150526,-3.813555144,8.458785148,-1
227,MODEL1,PARMS,LMB,1.267549121,14.68031099,0.27838012,-0.387607176,1.339896592,-0.276564057,1.737444952,-3.483219404,-1
228,MODEL1,PARMS,LMB,1.25695823,-18.08842084,0.373260784,-0.738355526,2.867011372,1.674697359,-4.348155547,8.903535468,-1
229,MODEL1,PARMS,LMB,1.276089751,6.950139538,0.49781922,-1.328279045,5.123506663,0.149051047,-0.59743226,1.374074948,-1
230,MODEL1,PARMS,LMB,1.206910714,6.406625868,0.482670993,-0.92141836,3.515269791,0.15554177,0.384254194,0.203595276,-1
231,MODEL1,PARMS,LMB,1.446591209,3.232931581,-0.042426649,0.512625924,-2.374557616,0.512035214,-1.205947566,2.69970993,-1
232,MODEL1,PARMS,LMB,1.358373055,-0.279054332,0.140744729,-0.282947894,1.818466986,0.651579994,-0.954078007,2.693814121,-1
233,MODEL1,PARMS,LMB,1.282020798,16.36704118,0.414076473,-0.773673481,2.681881244,-0.430109188,1.592294149,-2.551746248,-1
234,MODEL1,PARMS,LMB,1.410874211,0.650792548,0.324301465,-0.492845053,1.19292967,0.563312143,-0.749792362,1.799305534,-1
235,MODEL1,PARMS,LMB,1.126962768,9.196500482,0.310599839,-0.174325622,-0.236402746,0.018597797,0.649794239,-0.849712329,-1
236,MODEL1,PARMS,LMB,1.21718188,15.84888279,0.138153593,-0.439392616,2.377523932,-0.303551141,1.813726917,-3.464525936,-1
237,MODEL1,PARMS,LMB,1.370660309,9.346933382,0.294207974,-0.382337593,0.967140893,0.037321508,0.899678567,-2.47894334,-1
238,MODEL1,PARMS,LMB,1.236300527,30.51997308,-0.114509418,0.197918598,0.396645837,-1.113749315,2.457909192,-2.882784783,-1
239,MODEL1,PARMS,LMB,1.244077683,3.96239622,0.247692364,0.097201919,-1.18599986,0.375961232,-1.026534692,2.717323341,-1
240,MODEL1,PARMS,LMB,1.455101367,-4.013323642,0.382937622,-0.574774323,2.040801594,0.851877446,-4.946036342,12.28662859,-1
241,MODEL1,PARMS,LMB,1.261380546,-3.864236525,-0.052470101,0.144770404,-0.100596303,0.943822872,-2.908129113,6.613234492,-1
