SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,sRB1
1,MODEL1,PARMS,sRB1,0.738372504,0.781140376,0.314916451,-1.003101462,3.899269489,0.093781723,-0.86619173,2.366470605,-1
2,MODEL1,PARMS,sRB1,0.710564958,-3.343869929,0.017281469,-0.189404298,0.474645041,0.408423709,-0.648025439,1.154932072,-1
3,MODEL1,PARMS,sRB1,0.640378269,2.618069026,0.181688707,-0.395109224,1.070350494,-0.01785977,1.551731572,-3.836995654,-1
4,MODEL1,PARMS,sRB1,0.675736944,8.577225871,0.185640616,-0.863404508,3.56829079,-0.349185975,1.234822083,-2.552606207,-1
5,MODEL1,PARMS,sRB1,0.674074744,0.555726872,0.23896446,-0.850265899,2.949777547,0.126051868,-0.164609099,0.03286241,-1
6,MODEL1,PARMS,sRB1,0.65793556,6.869290716,0.010320922,-0.186072904,1.065884639,-0.212198685,0.978346134,-1.763522918,-1
7,MODEL1,PARMS,sRB1,0.731153923,-4.414707422,0.272358746,-0.722183404,2.893649163,0.40189007,-0.39528156,0.084746137,-1
8,MODEL1,PARMS,sRB1,0.65789268,-6.432048212,0.18181459,-0.590565523,2.493043623,0.547220474,-1.024038053,1.801215008,-1
9,MODEL1,PARMS,sRB1,0.70197715,4.700459432,0.094237895,-0.401494478,1.550207581,-0.109520118,1.379969823,-3.107053798,-1
10,MODEL1,PARMS,sRB1,0.659889981,4.917991059,0.044074636,-0.243970316,1.126818135,-0.102021795,0.597078353,-0.953552182,-1
11,MODEL1,PARMS,sRB1,0.683327571,6.290305488,0.149839609,-0.313383164,1.427813123,-0.222696922,1.257853175,-2.591259706,-1
12,MODEL1,PARMS,sRB1,0.648821329,0.832554069,0.169432781,-0.365710846,0.925832501,0.108643507,0.526980079,-1.700243409,-1
