SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,BronInt
327,MODEL1,PARMS,BronInt,1.192750293,-2.160165826,0.213022842,-0.773453924,3.427858088,0.669933908,-1.454032171,3.462398456,-1
328,MODEL1,PARMS,BronInt,1.353103122,16.82691018,-0.282134267,1.405544985,-6.710859464,-0.346547768,0.73815692,-0.799027431,-1
329,MODEL1,PARMS,BronInt,1.367487043,4.101812335,0.291814946,-0.476297283,0.792112416,0.260339678,-0.396356538,1.499632694,-1
330,MODEL1,PARMS,BronInt,1.167125624,-2.943833895,0.160170313,0.144558665,-0.960545365,0.703142592,-0.850056171,0.973433691,-1
331,MODEL1,PARMS,BronInt,1.323371296,-25.38854332,0.137259726,-0.634042425,2.786670736,2.112000383,-6.77957402,14.702678,-1
332,MODEL1,PARMS,BronInt,1.206357922,-16.7571512,0.194943932,-0.156243892,0.477799261,1.543805425,-4.208494821,8.923155931,-1
333,MODEL1,PARMS,BronInt,1.379693474,-2.753889665,0.096102024,0.043208861,-0.601219611,0.72657276,-1.524214079,2.503858771,-1
334,MODEL1,PARMS,BronInt,1.266113031,-8.418103443,-0.13783473,0.19316532,-1.123881802,1.147205371,-3.086560307,6.174040544,-1
335,MODEL1,PARMS,BronInt,1.188211964,11.12998448,-0.109209159,0.430411961,-1.772367975,-0.0475181,0.334736751,-0.82348689,-1
336,MODEL1,PARMS,BronInt,1.245402138,19.78219614,0.40485843,-0.388389371,0.298523381,-0.763660556,5.372361479,-11.90265645,-1
337,MODEL1,PARMS,BronInt,1.367292846,-9.355405662,0.482951492,-0.839668942,2.352542919,1.006107131,-2.791046689,6.337771487,-1
338,MODEL1,PARMS,BronInt,1.216289386,28.55730513,0.139768967,-0.49882845,1.590256315,-1.176418156,5.009087252,-11.29022607,-1
339,MODEL1,PARMS,BronInt,1.20957604,-2.577062872,0.408108278,-0.662882119,1.629843012,0.628949115,-0.777300481,0.408355599,-1
340,MODEL1,PARMS,BronInt,1.233496221,-5.636277829,0.048075776,-0.1076753,0.784994951,0.924326923,-1.989815129,3.615802228,-1
341,MODEL1,PARMS,BronInt,1.334887158,5.506782442,0.265115856,-0.252411923,-0.071590314,0.173465186,0.44105891,-0.510819394,-1
342,MODEL1,PARMS,BronInt,1.398610575,9.642289498,-0.211179864,0.501183764,-2.599747606,0.063746108,1.32314292,-4.139106117,-1
343,MODEL1,PARMS,BronInt,1.215461989,-29.08545609,0.44913362,-1.081473708,3.961074256,2.24829768,-6.468754091,12.70797363,-1
344,MODEL1,PARMS,BronInt,1.287644065,-8.980532564,0.363144163,-1.07321563,3.860050134,1.021884334,-0.654950552,0.105724605,-1
345,MODEL1,PARMS,BronInt,1.253298935,8.80025238,0.263280165,-0.586483259,2.245166742,-0.015773438,0.811722455,-2.008310937,-1
346,MODEL1,PARMS,BronInt,1.223233077,-3.276967919,0.064992903,-0.572505494,2.911514536,0.794341739,-2.295441568,4.756552733,-1
347,MODEL1,PARMS,BronInt,1.297872672,-7.703361072,-0.059344458,0.349798935,-1.651686852,1.063147529,-2.363349943,4.60206149,-1
348,MODEL1,PARMS,BronInt,1.164659043,10.72148273,-0.013159701,0.316397627,-1.324965683,-0.065413104,0.150220624,0.342129286,-1
349,MODEL1,PARMS,BronInt,1.25660487,-14.26487269,0.160009032,-0.244892495,-0.187159315,1.413275154,-4.351373844,9.275192915,-1
350,MODEL1,PARMS,BronInt,1.201652916,1.523485494,0.449520383,-0.747315473,2.2369033,0.36815322,-0.003396098,-0.415569288,-1
351,MODEL1,PARMS,BronInt,1.20266965,-12.50823013,0.145141814,-0.38278856,1.467152255,1.312621094,-2.123206527,3.017909038,-1
352,MODEL1,PARMS,BronInt,1.259659639,-14.84560758,0.234958794,-0.954173971,2.846120461,1.456860791,-4.36591566,8.637164811,-1
353,MODEL1,PARMS,BronInt,1.191313212,-7.126233627,0.397744725,-0.844364555,2.823007779,0.909327286,-1.97613773,3.776775862,-1
354,MODEL1,PARMS,BronInt,1.265659544,16.17744693,0.30148922,-0.735711553,1.213490178,-0.467081062,2.34509236,-5.031336732,-1
355,MODEL1,PARMS,BronInt,1.20613807,-4.794163705,0.124139342,-0.229619535,0.072091891,0.858824097,-2.154198778,4.401483429,-1
356,MODEL1,PARMS,BronInt,1.201981259,12.95857593,0.100909018,0.171727404,-1.269789601,-0.257368801,3.183614129,-7.771264316,-1
357,MODEL1,PARMS,BronInt,1.24442808,7.565304015,-0.208275579,0.364689116,-1.881357702,0.202248077,-0.152812993,0.682301344,-1
358,MODEL1,PARMS,BronInt,1.172033669,-1.756074019,0.047126024,0.567988939,-3.087001196,0.657410865,-1.900502647,4.721859508,-1
359,MODEL1,PARMS,BronInt,1.318777412,-0.993517851,0.091223336,-0.118612427,0.353839364,0.620789324,-1.664282779,3.549156821,-1
360,MODEL1,PARMS,BronInt,1.234618736,-8.370181577,-0.063360923,0.650414415,-2.484765656,1.102546227,-3.301997373,7.43255258,-1
361,MODEL1,PARMS,BronInt,1.196018334,11.91373536,0.046942254,0.57341117,-3.213419307,-0.172296345,1.284358388,-2.262471042,-1
362,MODEL1,PARMS,BronInt,1.296168519,12.36382267,0.150414212,-0.171884312,0.103237913,-0.206338182,1.548564037,-3.055476628,-1
363,MODEL1,PARMS,BronInt,1.24271599,2.629935094,0.206211375,-0.055025606,-1.108466401,0.356533231,0.039516556,-0.600451922,-1
364,MODEL1,PARMS,BronInt,1.289688766,-6.707530348,0.155597944,-0.238609428,0.309854774,0.954372243,-2.126581187,4.040052152,-1
365,MODEL1,PARMS,BronInt,1.198593311,-17.86878032,-0.336113044,0.687208234,-2.380742049,1.772431546,-4.188007924,7.726789257,-1
366,MODEL1,PARMS,BronInt,1.338419171,-14.24433944,-0.154753505,0.444683165,-0.864303559,1.487890042,-4.290648964,9.760400821,-1
367,MODEL1,PARMS,BronInt,1.244141991,14.1190366,0.078403539,-0.24752808,0.545645977,-0.278921632,1.377278957,-3.629869198,-1
368,MODEL1,PARMS,BronInt,1.217080484,-4.702487346,0.217850611,-0.668164429,2.465063832,0.817780653,-1.379480444,2.996878314,-1
369,MODEL1,PARMS,BronInt,1.214658996,-1.185879428,0.386911702,-0.661203204,2.177717023,0.538711413,-1.005294071,2.347379917,-1
370,MODEL1,PARMS,BronInt,1.228601335,-7.659026284,0.267082698,-0.746772898,2.677572221,1.011044042,-3.769770149,8.400875078,-1
371,MODEL1,PARMS,BronInt,1.227432351,7.225249477,0.299062505,-0.547018499,1.869515059,0.059413997,0.319769965,-0.306682787,-1
372,MODEL1,PARMS,BronInt,1.432048303,3.875267038,0.226521371,-0.345066728,0.582128057,0.282423165,-0.345851411,1.233917763,-1
373,MODEL1,PARMS,BronInt,1.229036596,13.94153938,0.123770687,-0.02490958,-0.312734082,-0.29675834,2.153548011,-5.337241716,-1
374,MODEL1,PARMS,BronInt,1.216887268,-9.635548708,0.09457533,-0.238500776,0.363357867,1.147035232,-2.440450718,4.09443214,-1
375,MODEL1,PARMS,BronInt,1.109992494,16.24084091,0.147261799,0.011492235,-0.219266939,-0.444918768,1.775997259,-3.07065579,-1
376,MODEL1,PARMS,BronInt,1.09899674,2.157095072,0.302043797,-1.051703225,4.205052989,0.386097538,-0.192428956,0.068399148,-1
377,MODEL1,PARMS,BronInt,1.380985117,24.02380778,0.195283258,0.136117128,-1.824404632,-0.921153914,2.193167678,-3.326107599,-1
378,MODEL1,PARMS,BronInt,1.285185766,-3.061403528,-0.012850276,0.315790235,-0.951264181,0.759231909,-1.267571712,2.183522149,-1
379,MODEL1,PARMS,BronInt,1.2744125,-10.09708105,0.007179328,-0.104549838,0.373447179,1.210237068,-3.67574904,7.361072013,-1
380,MODEL1,PARMS,BronInt,1.279214387,-0.138486381,-0.02378017,0.302816308,-1.153294671,0.591569473,-1.607228238,4.451630052,-1
381,MODEL1,PARMS,BronInt,1.204243492,1.752373078,0.053375564,-0.127598221,-0.116519354,0.472782978,-0.218738444,-0.099628231,-1
382,MODEL1,PARMS,BronInt,1.121015475,14.46178051,0.293039155,-0.399653979,1.435409833,-0.377809562,1.351380868,-1.89086801,-1
383,MODEL1,PARMS,BronInt,1.30650475,-4.460946396,0.230435754,-0.689540016,2.563466492,0.796540069,0.087091963,-2.123349713,-1
384,MODEL1,PARMS,BronInt,1.321364273,9.83873878,0.33095595,-0.772049434,2.528165284,-0.091321126,0.207040972,-0.533607147,-1
385,MODEL1,PARMS,BronInt,1.168623587,12.24654899,0.166188596,-0.05185123,-0.450061015,-0.200618742,0.989725262,-1.416016914,-1
386,MODEL1,PARMS,BronInt,1.173644478,2.092790335,0.118012824,-0.080919339,-0.49890432,0.42839959,-0.861226736,2.072132613,-1
387,MODEL1,PARMS,BronInt,1.186422205,2.586100228,0.030750699,0.175189055,-0.916903132,0.41276033,-0.65075229,1.517237069,-1
388,MODEL1,PARMS,BronInt,1.159125289,1.009401643,0.110283456,-0.343657094,1.659706836,0.509188866,-1.863976342,4.418033392,-1
389,MODEL1,PARMS,BronInt,1.249786226,10.98557105,0.010886911,0.446077222,-2.334143903,-0.101983463,1.307149144,-2.554277102,-1
390,MODEL1,PARMS,BronInt,1.16030667,1.501236054,0.268052387,-0.37804841,1.037504397,0.409521117,0.455852034,-1.850335482,-1
391,MODEL1,PARMS,BronInt,1.178303263,1.47437501,0.109455572,0.167056434,-1.746716964,0.464742189,-0.175490779,-0.317018866,-1
392,MODEL1,PARMS,BronInt,1.146970281,-15.01640851,0.083130073,0.181074565,-1.403888392,1.465449117,-3.102136811,5.706115939,-1
393,MODEL1,PARMS,BronInt,1.132207766,-3.411064625,-0.052473935,0.266098808,-0.918008205,0.821963056,-2.715495427,6.016920875,-1
394,MODEL1,PARMS,BronInt,1.330099322,4.285261908,0.239879685,-0.575785498,1.517633313,0.272931643,0.045563316,-0.789245508,-1
395,MODEL1,PARMS,BronInt,1.393303163,-10.15409104,0.4670418,-1.073896256,3.44189043,1.075104162,-2.528778367,4.894107309,-1
396,MODEL1,PARMS,BronInt,1.224292684,11.0282082,0.094463871,0.523402447,-3.753832707,-0.123968588,0.21149874,0.322746123,-1
397,MODEL1,PARMS,BronInt,1.261154768,2.714299552,0.491242027,-0.586228718,1.076720262,0.254843091,2.199599276,-7.093875942,-1
398,MODEL1,PARMS,BronInt,1.219625265,8.754595552,0.270677036,-0.662392528,2.053893555,-0.001577859,0.27030285,-0.576505964,-1
399,MODEL1,PARMS,BronInt,1.233979723,1.347090333,-0.138795991,0.53618436,-1.941535184,0.539717731,-1.338794075,3.019014888,-1
400,MODEL1,PARMS,BronInt,1.279465938,-9.254605972,0.482383908,-0.867035384,3.254904631,1.001263551,-1.97783507,3.728763891,-1
401,MODEL1,PARMS,BronInt,1.2812884,-6.455329318,0.03021328,0.593968454,-3.06211813,0.954799799,-2.522954929,5.560516612,-1
402,MODEL1,PARMS,BronInt,1.297519099,-1.493768693,0.219644912,-0.053720409,-0.450701858,0.604906847,-1.544739423,3.26829224,-1
403,MODEL1,PARMS,BronInt,1.207883464,2.143090395,0.188511329,-0.267665988,0.504632286,0.403825259,-1.662293418,4.259942815,-1
404,MODEL1,PARMS,BronInt,1.413158108,6.668735158,0.191001045,-0.224036657,0.371974362,0.121367944,-0.271258446,1.078687289,-1
405,MODEL1,PARMS,BronInt,1.339727941,-20.37384445,-0.073020293,0.010199019,0.984264232,1.859990994,-5.83860899,12.031373,-1
406,MODEL1,PARMS,BronInt,1.220880413,10.13821412,0.114907383,0.106031721,-0.73845074,-0.067573633,0.710665243,-0.80866749,-1
407,MODEL1,PARMS,BronInt,1.230958427,-5.151491121,0.227536012,-0.250503113,0.361990019,0.81304665,-0.866620824,1.56115763,-1
408,MODEL1,PARMS,BronInt,1.130193131,-3.25149877,0.353366557,-1.068927389,4.589413228,0.704253827,-2.510955118,5.936142574,-1
409,MODEL1,PARMS,BronInt,1.20368006,-0.076898121,0.118449955,0.170821627,-0.823280572,0.556233632,-2.165115366,5.085571815,-1
410,MODEL1,PARMS,BronInt,1.273118944,4.053839325,-0.02929865,0.505279422,-2.674113317,0.347465067,0.004705548,-0.036937407,-1
411,MODEL1,PARMS,BronInt,1.344754278,10.04498051,0.183114813,-0.008894534,-1.235449471,-0.077876795,2.433245205,-7.106830677,-1
412,MODEL1,PARMS,BronInt,1.339652491,-7.011602191,-0.225123893,0.821564382,-3.194761597,1.07089841,-2.892542548,5.722759102,-1
413,MODEL1,PARMS,BronInt,1.137254095,-2.836179184,0.010294037,0.227435779,-1.237972202,0.744438601,-1.641293847,3.408774036,-1
414,MODEL1,PARMS,BronInt,1.411372676,-9.040928804,0.448011912,-0.718853404,1.88838058,0.995705355,-2.276495068,5.190033096,-1
