SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LLB6
975,MODEL1,PARMS,LLB6,1.161279625,-2.076717736,0.179722168,-0.924491378,4.026525085,0.63365175,-3.401775282,7.897080062,-1
976,MODEL1,PARMS,LLB6,1.193186536,-8.654951905,0.339018811,-1.220697594,5.732767109,0.980625885,-3.286115333,6.794851571,-1
977,MODEL1,PARMS,LLB6,1.218691806,7.106240785,0.182118931,-0.730945926,2.663929355,0.049598596,-0.178365622,0.984024731,-1
978,MODEL1,PARMS,LLB6,1.135184574,6.135998961,0.069115619,-0.376380094,1.777799753,0.14172771,-1.784132343,5.302469229,-1
979,MODEL1,PARMS,LLB6,1.115075846,4.942466445,-0.13320203,0.059236054,-0.03526619,0.273539037,-0.855188964,2.118863656,-1
980,MODEL1,PARMS,LLB6,1.170159151,-10.19070933,-0.128255064,-0.159164223,1.24674189,1.191339469,-3.224591267,6.607378732,-1
981,MODEL1,PARMS,LLB6,1.236813661,-9.512199704,0.004695104,-0.233022404,1.243256963,1.12140929,-4.466968166,9.954978257,-1
982,MODEL1,PARMS,LLB6,1.129551082,-4.680918032,0.447446812,-1.360717396,4.811055257,0.703049502,-2.309126757,4.951697547,-1
983,MODEL1,PARMS,LLB6,1.192026343,-1.415726426,0.311034297,-0.909905965,2.126040433,0.541000328,-0.801081962,1.2074752,-1
984,MODEL1,PARMS,LLB6,1.187567324,8.498964332,0.140737739,-0.326947809,1.096775822,-0.024931902,-0.956248862,2.97996984,-1
985,MODEL1,PARMS,LLB6,1.093744269,7.372896286,0.11158293,-0.815068903,3.59884529,0.053603217,-0.117598148,0.901998082,-1
986,MODEL1,PARMS,LLB6,1.1690408,-0.893087378,0.382577348,-1.228332552,4.635340645,0.484888189,-1.003745301,1.959334318,-1
987,MODEL1,PARMS,LLB6,1.14556396,-8.680392296,0.174967435,-0.735236829,2.91468771,1.024746526,-3.755771937,8.854271766,-1
988,MODEL1,PARMS,LLB6,1.12257622,5.063532344,0.166431099,-0.845699845,3.331534931,0.200722638,-1.281106623,3.135813698,-1
989,MODEL1,PARMS,LLB6,1.088934755,-1.730212793,0.369997324,-1.68749606,6.635294558,0.55862982,-1.819711762,4.156400313,-1
990,MODEL1,PARMS,LLB6,1.095792219,-9.72783791,-0.080987459,-0.039121471,0.583006669,1.143637911,-3.265860342,6.734996358,-1
991,MODEL1,PARMS,LLB6,1.140692091,-3.08073377,0.32525888,-1.115373176,4.280695244,0.631626437,-1.907370507,4.46529921,-1
992,MODEL1,PARMS,LLB6,1.09366599,4.38778664,0.266855893,-1.162481233,4.371235239,0.217404302,-1.897349502,5.252862096,-1
993,MODEL1,PARMS,LLB6,1.233791324,-2.892523855,0.032510367,-0.087581026,-0.051760536,0.688438843,-1.575021336,3.440143117,-1
994,MODEL1,PARMS,LLB6,1.130684572,-4.001224808,0.230972956,-0.564189995,1.627383371,0.71045453,-2.375828833,5.378438143,-1
995,MODEL1,PARMS,LLB6,1.238825879,0.165427946,0.152372095,-0.853115676,3.75768134,0.488144036,-0.42778791,0.466487448,-1
996,MODEL1,PARMS,LLB6,1.206846533,8.138787341,0.137426888,-0.688236416,2.748153199,-0.008290445,1.360035821,-3.175912823,-1
997,MODEL1,PARMS,LLB6,1.188497375,-10.65537258,0.339361097,-1.009805073,4.395881434,1.077617948,-3.618621171,8.467858988,-1
998,MODEL1,PARMS,LLB6,1.205920977,-3.37445474,0.446748204,-1.311040431,4.516657451,0.621270688,-2.381749161,5.651293242,-1
999,MODEL1,PARMS,LLB6,1.098199809,-12.70703443,0.214739685,-0.480984199,1.475403166,1.252894879,-4.168670148,9.10304359,-1
1000,MODEL1,PARMS,LLB6,1.172273457,-4.381972363,0.160055439,-0.604690928,2.710626229,0.745865515,-1.866636136,4.248464932,-1
