SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,sRB4
1,MODEL1,PARMS,sRB4,0.741207886,-0.698295084,0.087303483,-0.253509247,0.685755713,0.212531487,-0.662559325,1.270447461,-1
2,MODEL1,PARMS,sRB4,0.734812649,-3.747058864,-0.009112263,0.121308237,-0.93134109,0.408491005,-0.778890029,1.260162189,-1
3,MODEL1,PARMS,sRB4,0.524940558,2.987146522,-0.039786016,0.065346595,-0.517288537,0.007972587,0.66915979,-1.774858576,-1
4,MODEL1,PARMS,sRB4,0.55603316,7.426014889,-0.07085632,0.074072692,-0.25139196,-0.246024304,0.948686527,-1.952778647,-1
5,MODEL1,PARMS,sRB4,0.741925457,-1.45001547,-0.006025553,0.072188222,-0.837027252,0.270885306,0.014002687,-0.763347372,-1
6,MODEL1,PARMS,sRB4,0.733235243,1.682139142,0.037945475,-0.192557963,0.992399822,0.078601346,-0.356936656,0.808663108,-1
7,MODEL1,PARMS,sRB4,0.545793096,-1.792706069,0.007645568,0.047067042,-0.051858284,0.288074952,-0.521293913,0.76661741,-1
8,MODEL1,PARMS,sRB4,0.512914481,-4.243220964,0.161668981,-0.387297712,1.146081529,0.400011937,-1.16560896,2.211325867,-1
9,MODEL1,PARMS,sRB4,0.597225493,5.223226444,0.083431662,-0.209055699,0.366732924,-0.164405542,1.270906831,-2.8906039,-1
10,MODEL1,PARMS,sRB4,0.565483263,3.576518131,0.120465465,-0.456520401,1.893651082,-0.064775107,0.735145128,-1.627936622,-1
11,MODEL1,PARMS,sRB4,0.637754277,-2.081507925,0.207726955,-0.694268759,2.236933923,0.27298158,-0.95493673,1.459926775,-1
12,MODEL1,PARMS,sRB4,0.621238731,-1.740812042,0.08529037,-0.210008656,0.349949498,0.263679115,-0.105429815,-0.307728727,-1
13,MODEL1,PARMS,sRB4,0.941993272,-1.689005084,0.031518303,0.311627754,-1.985990007,0.268407013,-0.820492568,1.730926086,-1
14,MODEL1,PARMS,sRB4,0.483734044,-1.594252208,0.19281322,-0.300861029,0.820102954,0.212686608,-0.169459477,-0.002363025,-1
15,MODEL1,PARMS,sRB4,0.617501348,-5.231533505,0.011618296,-0.16095728,0.675188773,0.495169381,-0.946578105,1.56388682,-1
16,MODEL1,PARMS,sRB4,0.580800647,-2.396899191,0.114361316,-0.246675138,0.563826807,0.295910737,-0.553069833,0.9725891,-1
17,MODEL1,PARMS,sRB4,0.778851956,-2.572371337,0.113625629,0.085127694,-1.323295044,0.30007809,-0.84589953,1.473332362,-1
18,MODEL1,PARMS,sRB4,0.541115,8.230387211,0.114007297,-0.268076058,0.734768501,-0.352084078,1.550446901,-3.237640846,-1
19,MODEL1,PARMS,sRB4,0.574444816,9.373404885,0.057778265,-0.019868127,-0.509206267,-0.403449522,0.996583274,-1.795875677,-1
20,MODEL1,PARMS,sRB4,0.763600348,-0.531998315,-0.004386937,0.13020324,-0.959698732,0.210903341,0.125092845,-0.908159061,-1
21,MODEL1,PARMS,sRB4,0.596887241,5.663129918,-0.116716521,0.300166513,-1.248554521,-0.1300031,0.590274156,-1.18748156,-1
22,MODEL1,PARMS,sRB4,0.598063829,3.837973401,0.102969719,0.04203091,-0.89078782,-0.091729616,0.962212421,-2.319949244,-1
23,MODEL1,PARMS,sRB4,0.558079157,-3.736634232,-0.044751283,0.273973923,-1.530506348,0.41829893,-0.905510102,1.387224918,-1
24,MODEL1,PARMS,sRB4,0.530360065,-1.878615122,0.131418517,-0.368717266,1.233478958,0.257857621,-0.690977841,1.409946465,-1
25,MODEL1,PARMS,sRB4,0.614650199,2.26899526,0.00785892,-0.095382125,0.186309266,0.052980351,0.12792211,-0.719066569,-1
26,MODEL1,PARMS,sRB4,0.541334187,5.257292017,-0.018812561,-0.036015752,-0.151898292,-0.122908233,0.092697525,0.076110816,-1
27,MODEL1,PARMS,sRB4,0.623600084,-0.094050209,0.205560446,-0.734687132,2.519981525,0.142749564,-0.628180408,1.317527411,-1
28,MODEL1,PARMS,sRB4,0.515247286,2.886925726,-0.162184953,0.477258839,-2.34892257,0.050729048,0.617719256,-2.014094467,-1
29,MODEL1,PARMS,sRB4,0.564704849,9.62018114,0.157010864,-0.615669688,2.115466028,-0.438038517,1.49728331,-3.178390227,-1
30,MODEL1,PARMS,sRB4,0.778058971,4.479480543,-0.021339473,0.041421141,-0.319665466,-0.084283957,1.049165347,-2.544441595,-1
31,MODEL1,PARMS,sRB4,0.802779259,-5.783496837,-0.051998389,0.28935728,-1.585466194,0.542034128,-1.110544734,1.817104804,-1
32,MODEL1,PARMS,sRB4,0.617113068,-1.252785068,-0.011783377,-0.126833851,0.557940593,0.260324568,-0.315201091,0.624701959,-1
33,MODEL1,PARMS,sRB4,0.58748632,2.732181425,0.071333001,-0.492736248,2.137897235,0.005886315,0.344108454,-1.289837247,-1
34,MODEL1,PARMS,sRB4,0.578325478,1.412721805,0.131781573,-0.156400831,0.212020138,0.051964466,0.660410693,-1.958407455,-1
35,MODEL1,PARMS,sRB4,0.544236269,-0.243563511,0.016479396,0.091544914,-0.497407862,0.187751779,-0.520969398,1.036538241,-1
36,MODEL1,PARMS,sRB4,0.595714057,7.429271506,0.037556809,-0.004885571,-0.442418509,-0.280299559,1.006139215,-2.110205393,-1
37,MODEL1,PARMS,sRB4,0.596849213,6.542989553,0.083573076,-0.067692961,-0.23634952,-0.24153419,0.87826213,-1.860024214,-1
38,MODEL1,PARMS,sRB4,0.540414816,-1.639570499,0.043087114,-0.202257038,0.65338929,0.272176276,-0.549968653,0.71236918,-1
39,MODEL1,PARMS,sRB4,0.947800259,-2.281997156,-0.065598548,0.403257489,-1.911785176,0.332664135,-0.556376302,0.723031553,-1
40,MODEL1,PARMS,sRB4,0.576269154,9.011925747,-0.016177454,0.238445574,-1.198162426,-0.369463793,1.44253994,-2.973271887,-1
41,MODEL1,PARMS,sRB4,0.532977746,-3.886254535,-0.100877241,0.077022344,-0.215682349,0.455513983,-1.219943865,2.196894178,-1
42,MODEL1,PARMS,sRB4,0.536296664,5.816693171,-0.093372058,0.00214321,0.248957006,-0.138044028,0.673583514,-1.487672871,-1
43,MODEL1,PARMS,sRB4,0.637846812,0.049519836,-0.060899648,-0.146668447,0.740437473,0.213539284,-1.088227992,2.484753254,-1
44,MODEL1,PARMS,sRB4,0.575039299,-2.367786393,0.019693216,0.056979761,-0.756091416,0.324034769,-1.105270915,2.403496389,-1
45,MODEL1,PARMS,sRB4,0.50374347,1.962898403,0.02663582,-0.092697562,0.518733926,0.056485502,-0.491637521,1.344932275,-1
46,MODEL1,PARMS,sRB4,0.747362811,4.992171361,-0.154707727,0.517303493,-1.978744332,-0.086202228,0.644246339,-1.633358388,-1
47,MODEL1,PARMS,sRB4,0.61951662,3.319381922,0.023269792,-0.135728446,0.199552951,-0.013644803,-0.123450206,0.131998083,-1
48,MODEL1,PARMS,sRB4,0.520189737,1.475200898,0.019895129,0.042497892,-0.733901521,0.084986781,-0.158934684,0.434890005,-1
49,MODEL1,PARMS,sRB4,0.669699188,-3.640250994,0.201877487,-0.378293092,1.132287291,0.329896322,0.512720388,-2.074878553,-1
50,MODEL1,PARMS,sRB4,0.579519837,0.107415456,-0.054860557,0.037177765,0.040319934,0.187532399,-0.004553178,-0.357841525,-1
51,MODEL1,PARMS,sRB4,0.548051809,-1.688882884,0.108335765,-0.306792306,1.333580791,0.247044402,-0.474210264,0.983129763,-1
52,MODEL1,PARMS,sRB4,0.59281957,11.87246947,-0.028801369,0.143068585,-0.928963141,-0.533255852,2.045959528,-4.552130746,-1
53,MODEL1,PARMS,sRB4,0.577774816,3.950737131,0.039922369,-0.068088569,-0.128387574,-0.065094208,0.393648207,-1.102930451,-1
54,MODEL1,PARMS,sRB4,0.657650773,5.802422637,-0.008697891,-0.017233359,-0.118148336,-0.166393209,0.819612457,-1.978326965,-1
55,MODEL1,PARMS,sRB4,0.557205024,3.351918216,-0.093193539,0.26528727,-1.228283801,0.00157438,0.028948142,0.101300987,-1
56,MODEL1,PARMS,sRB4,0.74799249,-0.107932968,0.054427144,-0.102656871,0.054891924,0.173240818,-0.554854018,1.206740301,-1
57,MODEL1,PARMS,sRB4,0.586619611,2.660704047,-0.062588651,0.059428362,-0.354952027,0.039481787,0.329325825,-0.99931603,-1
58,MODEL1,PARMS,sRB4,0.609595636,0.940673875,-0.02578135,0.245620427,-1.331296187,0.122277888,0.209534932,-0.738487349,-1
59,MODEL1,PARMS,sRB4,0.588821871,-2.65050663,0.130398247,-0.195011676,0.310281282,0.303083183,-0.601001708,0.87187833,-1
60,MODEL1,PARMS,sRB4,0.59531459,-1.065288431,0.06002892,0.079316016,-0.646797631,0.219084548,-0.36718241,0.48659417,-1
61,MODEL1,PARMS,sRB4,0.940801347,-14.01606689,-0.150411817,0.364200235,-1.728913492,1.078734417,-2.528962312,4.498457155,-1
62,MODEL1,PARMS,sRB4,0.652522485,3.634423989,0.093259039,-0.263199172,0.653215777,-0.059311955,0.284483189,-0.663575238,-1
63,MODEL1,PARMS,sRB4,0.55245462,2.70226803,-0.073525472,0.153706693,-0.838209789,0.031982229,0.621176635,-1.544756955,-1
