SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RUL
188,MODEL1,PARMS,RUL,1.333760927,-3.378058694,0.0473325,-0.103443037,0.293583173,0.692342969,-2.732364234,5.93959228,-1
189,MODEL1,PARMS,RUL,1.314633669,17.06447588,0.120965164,-0.667094255,3.507671907,-0.572352232,2.475202798,-5.678710536,-1
190,MODEL1,PARMS,RUL,1.121914719,-7.747899913,0.193564846,-0.792577861,3.351483004,0.903136075,-1.057647738,1.371815421,-1
191,MODEL1,PARMS,RUL,1.164189695,-4.144541351,0.09293598,-0.567983868,2.866350166,0.717636367,-2.531565075,5.687689521,-1
192,MODEL1,PARMS,RUL,1.584311911,-12.12926007,-0.302663523,1.715689612,-7.097488463,1.268347706,-2.116676941,3.358708521,-1
193,MODEL1,PARMS,RUL,1.375166818,-18.28442333,0.486892291,-1.089949601,3.474250631,1.465984221,-4.021679579,8.190845453,-1
194,MODEL1,PARMS,RUL,1.15166575,-16.28678331,0.064030203,-0.646735791,3.296794941,1.477932116,-4.144428506,8.162999053,-1
195,MODEL1,PARMS,RUL,1.227602847,8.622066892,0.119306834,-0.374461637,1.356966006,-0.06620284,0.484291903,-1.030318518,-1
196,MODEL1,PARMS,RUL,1.39782808,5.123362319,0.071295459,-0.394206695,1.571160183,0.156873814,1.102529805,-3.271549666,-1
197,MODEL1,PARMS,RUL,1.288465867,1.118440918,0.328459601,-0.84144524,3.283805478,0.30697212,1.171127716,-2.935025803,-1
198,MODEL1,PARMS,RUL,1.40594618,-5.302250227,0.099647458,-0.114317078,-0.469997367,0.78259135,-1.55133127,2.952935305,-1
199,MODEL1,PARMS,RUL,1.340970699,8.194453447,0.028504309,0.175830993,-0.548887027,-0.033957086,0.711101583,-0.829056062,-1
200,MODEL1,PARMS,RUL,1.329439523,-4.39712316,-0.251092906,1.057645815,-5.451257105,0.812507092,-1.392314408,2.0299477,-1
201,MODEL1,PARMS,RUL,1.342682033,-9.772662066,0.362946304,-0.824865788,2.015073297,0.978358657,-2.819275329,6.673705618,-1
202,MODEL1,PARMS,RUL,1.386998218,10.41389643,0.32137097,-1.152007547,5.161942281,-0.211865618,0.134611007,0.861206138,-1
203,MODEL1,PARMS,RUL,1.301740477,-16.90282766,0.056639388,-0.399892929,2.566092746,1.496211053,-3.857493081,7.63479249,-1
204,MODEL1,PARMS,RUL,1.357539302,-14.85412374,-0.022952575,0.152995207,0.457195924,1.374108435,-3.616426786,7.446302816,-1
205,MODEL1,PARMS,RUL,1.275239892,5.107135276,0.235344343,-0.625618533,1.728225352,0.119025749,0.457039779,-1.202525676,-1
206,MODEL1,PARMS,RUL,1.225988025,1.04291793,0.184558441,-0.620160809,2.649973706,0.378555985,-0.381339937,0.641971486,-1
207,MODEL1,PARMS,RUL,1.275238903,-13.88227811,-0.199514571,0.385030213,-1.301213492,1.397441205,-4.466997666,9.532974532,-1
208,MODEL1,PARMS,RUL,1.315602219,-5.343683723,0.162714883,-0.565012212,2.669635119,0.762085531,-1.059494827,1.491606565,-1
209,MODEL1,PARMS,RUL,1.40680279,-12.06137508,0.116617173,-0.492435726,2.211148056,1.167607935,-1.443843675,1.850741097,-1
210,MODEL1,PARMS,RUL,1.303953202,-3.676517434,0.031912984,-0.590249061,2.836687796,0.720051863,-2.86916858,6.737246183,-1
211,MODEL1,PARMS,RUL,1.192264361,5.798849093,-0.025132895,0.064455501,0.173470942,0.138553193,-0.593347866,1.98476193,-1
212,MODEL1,PARMS,RUL,1.382542558,5.695914529,0.009525475,-0.705172481,4.234518998,0.155417621,-0.475041203,1.410335111,-1
213,MODEL1,PARMS,RUL,1.392193331,-4.313533223,0.132407686,-0.49205448,2.391307656,0.726890127,-2.659967336,6.286773913,-1
214,MODEL1,PARMS,RUL,1.317417626,-4.15706831,0.369164214,-0.510881592,1.80718103,0.614835167,-0.378718275,0.312092931,-1
215,MODEL1,PARMS,RUL,1.513602193,3.222804425,0.286956573,-0.82883982,2.536856774,0.222967947,1.102197698,-3.386511016,-1
216,MODEL1,PARMS,RUL,1.60924954,-6.032636631,0.369075485,-0.893825151,3.889892953,0.76208275,-2.475842671,5.414299868,-1
217,MODEL1,PARMS,RUL,1.254213448,3.558130985,0.181557046,-0.822411371,3.425479543,0.237177871,-0.328093353,0.814916048,-1
218,MODEL1,PARMS,RUL,1.360479478,2.614615424,-0.0185891,0.240329332,-1.138204054,0.32966927,-0.895366084,2.279723803,-1
219,MODEL1,PARMS,RUL,1.330223567,0.381864674,0.416358098,-1.622465561,6.842920594,0.35820188,-0.358286489,0.304555051,-1
220,MODEL1,PARMS,RUL,1.310943004,-6.145788604,0.101612669,-0.726698422,3.737737282,0.834363467,-2.701086451,6.706621367,-1
221,MODEL1,PARMS,RUL,1.327515582,1.617453855,0.024230146,-0.406412165,2.26697743,0.38824415,-0.514459123,0.807825527,-1
222,MODEL1,PARMS,RUL,1.374386237,-11.20399526,0.325095644,-1.334201037,6.010911422,1.066265484,-1.975885635,4.319905341,-1
223,MODEL1,PARMS,RUL,1.187110238,-17.70450391,0.308356193,-0.983704622,4.442467754,1.47223857,-4.148868473,8.773642969,-1
224,MODEL1,PARMS,RUL,1.409029839,24.78974402,0.13020025,-0.157014188,1.042140509,-1.090075273,4.640535509,-9.269939786,-1
225,MODEL1,PARMS,RUL,1.357014655,24.2214775,0.335485498,-0.513820568,1.528223613,-1.088281411,3.836415841,-7.600251969,-1
226,MODEL1,PARMS,RUL,1.334747722,6.461144028,-0.031670138,-0.081466643,0.180830811,0.118807476,-0.136337494,0.756935721,-1
227,MODEL1,PARMS,RUL,1.374301486,0.026811064,0.076301139,0.017425101,-0.548942865,0.451008134,-0.139466763,-0.442013592,-1
228,MODEL1,PARMS,RUL,1.365945358,-17.04848978,0.276678536,-0.681009534,2.499163756,1.428699005,-3.41994112,6.597646554,-1
229,MODEL1,PARMS,RUL,1.327591951,-16.13623645,0.102079497,-0.831707037,4.483354245,1.463846886,-4.936907469,10.51597681,-1
230,MODEL1,PARMS,RUL,1.26207889,0.623868824,0.569825901,-1.519592997,6.018990224,0.281789809,0.54836072,-0.931225441,-1
231,MODEL1,PARMS,RUL,1.293971026,-5.485348235,-0.331662978,0.657621082,-2.614464235,0.920874762,-3.185561896,7.471069501,-1
232,MODEL1,PARMS,RUL,1.362893911,-3.405753288,0.030202775,0.11479726,-0.326772093,0.68289048,-2.314850402,5.413695215,-1
233,MODEL1,PARMS,RUL,1.215263702,3.743892823,0.406180544,-1.502229691,6.206849021,0.158950821,-0.8932053,2.636608442,-1
234,MODEL1,PARMS,RUL,1.454614239,8.291559702,0.361254954,-0.957240615,2.730194753,-0.114631932,2.114664532,-4.779811212,-1
235,MODEL1,PARMS,RUL,1.398096881,-10.15843936,0.263617167,-0.53608136,1.135258013,1.016664312,-1.567254833,2.705378351,-1
236,MODEL1,PARMS,RUL,1.24751476,-17.76933613,0.103208415,-0.537852174,2.981373519,1.525729394,-3.546329731,7.319210716,-1
237,MODEL1,PARMS,RUL,1.332714696,10.97624011,0.147677566,-0.549014523,2.807250993,-0.225054975,1.695288298,-4.182530853,-1
238,MODEL1,PARMS,RUL,1.261565516,5.457847081,-0.516826479,0.856027864,-2.067827416,0.32082083,-1.325081054,3.091736195,-1
239,MODEL1,PARMS,RUL,1.265444486,0.47853336,-0.048104021,0.183570224,-0.419768484,0.464972267,-1.119440396,3.018961834,-1
240,MODEL1,PARMS,RUL,1.293852629,2.71847305,-0.026779821,0.220998471,-0.585149949,0.328172284,-1.154605792,3.158245541,-1
241,MODEL1,PARMS,RUL,1.281486593,-0.194860801,-0.490271539,0.940788631,-2.595046083,0.635708842,-1.940535113,4.169141718,-1
242,MODEL1,PARMS,RUL,1.267797663,-14.14505054,0.056134298,-0.22496708,1.68739589,1.31671543,-3.254113365,6.249878362,-1
243,MODEL1,PARMS,RUL,1.327838964,-14.55738431,0.104949885,-0.301759937,1.79999745,1.337438386,-3.632873643,8.186995151,-1
244,MODEL1,PARMS,RUL,1.291775567,-10.32653096,0.139342354,-0.578171162,2.406863549,1.078139659,-2.718013672,5.549611991,-1
245,MODEL1,PARMS,RUL,1.255783623,-6.119512761,0.050028817,-0.110096238,1.114796218,0.836339127,-1.636414683,2.981164367,-1
246,MODEL1,PARMS,RUL,1.318186209,-14.42585623,0.412376539,-1.015013187,4.04358566,1.249925629,-2.471999321,4.313966795,-1
247,MODEL1,PARMS,RUL,1.361566179,-7.396796257,0.195431174,-0.223369839,-0.115431155,0.879524171,-1.820525979,3.715478919,-1
248,MODEL1,PARMS,RUL,1.378076524,-11.13923524,0.307350557,-0.736165946,2.865393629,1.091819835,-3.127194,6.2685726,-1
