SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LB1
236,MODEL1,PARMS,LB1,0.763905582,7.366395768,0.008287407,0.026282536,-0.323987987,-0.223796674,1.688764616,-3.768942245,-1
237,MODEL1,PARMS,LB1,0.794899147,10.95431562,-0.035984128,-0.001862055,-0.310338177,-0.405558163,1.162564238,-2.213221619,-1
238,MODEL1,PARMS,LB1,0.732908986,-5.251851968,-0.119574822,0.208505988,-0.586079734,0.588440841,-1.763816707,3.991008226,-1
239,MODEL1,PARMS,LB1,0.631812919,10.95271293,0.083751192,-0.07858861,-0.324793214,-0.444028063,1.15991424,-2.175456893,-1
240,MODEL1,PARMS,LB1,0.738972201,-0.371447048,-0.129866083,0.184109042,-0.112377844,0.296023828,-0.901448781,2.282906413,-1
241,MODEL1,PARMS,LB1,0.799881332,4.933237109,-0.240951274,0.852688024,-3.860116592,0.003593867,-0.376395911,0.969773229,-1
242,MODEL1,PARMS,LB1,0.791864798,14.50049171,-0.060662169,0.202113901,-1.24417138,-0.617915089,1.946357916,-3.60328502,-1
243,MODEL1,PARMS,LB1,0.810433971,14.07615359,0.244200702,-0.438288408,1.327253611,-0.681999997,1.822810631,-3.167830292,-1
244,MODEL1,PARMS,LB1,0.793019523,24.12567935,0.048575059,-0.092650545,-0.321997082,-1.226239823,3.31481416,-6.044253012,-1
245,MODEL1,PARMS,LB1,0.70782515,3.615043649,0.017568441,0.168089616,-0.550689323,0.004857243,0.370158529,-0.696886465,-1
246,MODEL1,PARMS,LB1,0.753016676,6.614890483,-0.118894913,0.132423638,-0.082385122,-0.133244851,1.0607377,-2.391898873,-1
247,MODEL1,PARMS,LB1,0.793289563,14.73852369,-0.064015015,0.268568929,-1.323322986,-0.6522194,2.698910125,-5.483845088,-1
248,MODEL1,PARMS,LB1,0.713403346,5.03738987,0.044302834,-0.224938199,0.787473428,-0.083714097,1.164934721,-2.870980158,-1
249,MODEL1,PARMS,LB1,0.703440361,3.092454234,-0.011080702,-0.139223569,0.75183153,0.051529875,0.371464415,-0.682480355,-1
250,MODEL1,PARMS,LB1,0.769839313,12.60734606,0.165027608,-0.743905968,2.840166755,-0.552252049,1.216006924,-1.6247303,-1
251,MODEL1,PARMS,LB1,0.827102477,-0.608737952,-0.050144545,0.500529436,-2.683896069,0.279855524,-0.299002853,0.137124638,-1
252,MODEL1,PARMS,LB1,0.75284757,14.35782967,0.052752483,-0.242404296,1.204318248,-0.646445304,2.053532149,-3.748771601,-1
253,MODEL1,PARMS,LB1,0.726083543,22.01381231,-0.069908536,-0.0841349,0.705163966,-1.079935066,3.979811867,-7.855229082,-1
254,MODEL1,PARMS,LB1,0.75851595,9.494266044,0.128267507,-0.669757867,2.717415843,-0.363381048,1.645707375,-3.349218221,-1
255,MODEL1,PARMS,LB1,0.807843075,6.954428144,-0.131225927,0.406607632,-1.276348721,-0.153826238,0.862748951,-2.330666789,-1
256,MODEL1,PARMS,LB1,0.748559068,7.448918885,-0.066269371,-0.152269194,0.677956143,-0.180010367,0.610274688,-1.405570923,-1
257,MODEL1,PARMS,LB1,0.835842105,3.729406813,0.099637102,-0.320664384,0.98263679,0.002000926,-0.324820951,1.342909895,-1
258,MODEL1,PARMS,LB1,0.809429932,7.083443809,-0.168273098,0.419185176,-1.80882159,-0.151619682,1.500714446,-3.383092162,-1
259,MODEL1,PARMS,LB1,0.756838016,12.3191841,-0.003508873,-0.127673894,0.601406988,-0.504413735,2.105312933,-4.624389778,-1
260,MODEL1,PARMS,LB1,0.772933105,0.484299052,0.022178874,-0.248117855,0.757834406,0.207990059,0.021922308,-0.245528795,-1
261,MODEL1,PARMS,LB1,0.843300342,8.027019556,-0.195097079,0.428391857,-1.357723277,-0.192993634,1.007329569,-2.00768552,-1
262,MODEL1,PARMS,LB1,0.69882848,12.05681055,0.000248696,-0.050772526,0.323931286,-0.496841512,1.800016089,-3.784296163,-1
263,MODEL1,PARMS,LB1,0.846075459,8.535888655,0.038372491,-0.302543305,0.878726272,-0.279463429,1.554027375,-3.80174708,-1
264,MODEL1,PARMS,LB1,0.768121788,7.267147659,-0.096972427,0.088062142,-0.392657008,-0.175379285,1.565958524,-3.978142251,-1
265,MODEL1,PARMS,LB1,0.772270444,8.868211782,0.037095735,-0.161896447,0.477259251,-0.307168444,1.712939025,-4.053787536,-1
266,MODEL1,PARMS,LB1,0.792512198,2.263901991,-0.019503983,0.022196439,-0.062545325,0.102253132,0.019412208,0.178196341,-1
267,MODEL1,PARMS,LB1,0.797480183,9.256853908,0.010440807,-0.294528027,1.173746779,-0.315464212,1.390701279,-2.765257634,-1
268,MODEL1,PARMS,LB1,0.850448105,11.0980261,-0.014693788,0.24963912,-0.724782098,-0.434798321,0.787753317,-0.733598895,-1
269,MODEL1,PARMS,LB1,0.734582354,13.64057881,-0.096504088,0.258632868,-0.833837045,-0.579702736,2.449309816,-5.080644577,-1
270,MODEL1,PARMS,LB1,0.760533528,6.109122857,0.034609313,-0.162313674,0.323704744,-0.142178183,0.705785207,-1.534982757,-1
271,MODEL1,PARMS,LB1,0.834220998,21.55301194,0.125688855,-0.415535999,1.431698854,-1.103189683,3.726982337,-7.695859819,-1
272,MODEL1,PARMS,LB1,0.696579277,9.514418987,0.063635796,-0.145775746,0.193926217,-0.351195454,1.479913818,-3.471945078,-1
273,MODEL1,PARMS,LB1,0.756667333,0.502097738,0.061364377,-0.144785155,-0.268264463,0.209258916,-0.792595175,1.602455583,-1
274,MODEL1,PARMS,LB1,0.723899256,4.52541978,-0.071619515,0.01347763,0.153696635,-0.013927642,0.320133143,-0.442972102,-1
275,MODEL1,PARMS,LB1,0.723680729,-1.26972219,0.151274889,-0.502266819,1.341492082,0.28978346,-0.9268713,2.027748529,-1
276,MODEL1,PARMS,LB1,0.767859825,0.091712154,-0.035652104,0.024594375,-0.140551322,0.233639526,-0.183913984,0.666027984,-1
277,MODEL1,PARMS,LB1,0.760189215,3.212580029,-0.006647995,0.182245585,-0.780739626,0.042081834,-0.161958952,0.70455069,-1
278,MODEL1,PARMS,LB1,0.792284913,10.911954,0.130811947,-0.424432036,1.439519756,-0.457207624,2.096581855,-4.567107487,-1
279,MODEL1,PARMS,LB1,0.798789333,-3.209484429,-0.097473503,0.017955644,0.318123489,0.466849465,-1.022034446,1.453345316,-1
280,MODEL1,PARMS,LB1,0.777242996,4.72101235,0.209924323,-0.629071548,1.990394933,-0.090653698,0.436326195,-1.240568324,-1
281,MODEL1,PARMS,LB1,0.780084251,8.252272986,0.08314219,-0.175313248,0.300666308,-0.295511945,1.65444608,-3.41648744,-1
282,MODEL1,PARMS,LB1,0.752786002,24.02364615,0.058413519,-0.17309901,0.456003243,-1.241509722,4.594317098,-9.524496149,-1
283,MODEL1,PARMS,LB1,0.728822438,12.2102691,0.086874905,-0.230157382,0.353885144,-0.53098598,2.410246365,-5.25155005,-1
284,MODEL1,PARMS,LB1,0.817401178,-1.721716211,0.082026035,-0.025345898,-0.529814294,0.317017286,-0.438115506,0.588868221,-1
285,MODEL1,PARMS,LB1,0.756934773,10.54677265,0.038304166,-0.208250366,0.671368553,-0.405369997,1.392308077,-2.764601153,-1
286,MODEL1,PARMS,LB1,0.761094704,4.420822713,0.074318707,-0.382714141,1.457654269,-0.04584962,0.822061599,-1.846542675,-1
