SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,sLB1
392,MODEL1,PARMS,sLB1,0.585974979,0.985862279,0.152474891,-0.34531553,1.34775133,0.077153083,0.098525477,0.03054035,-1
393,MODEL1,PARMS,sLB1,0.593555572,9.37938387,0.077954357,-0.371187538,1.965493557,-0.400415745,1.104489467,-1.9233962,-1
394,MODEL1,PARMS,sLB1,0.570015493,7.569318793,0.014309781,0.212709149,-1.154408244,-0.278913628,0.209593936,0.484820857,-1
395,MODEL1,PARMS,sLB1,0.568540383,-0.649881356,0.043696841,0.05182154,-0.526257043,0.203925727,-0.160083493,0.215847259,-1
396,MODEL1,PARMS,sLB1,0.603174398,3.221684246,0.131221584,-0.364805499,1.821551314,-0.047622658,-0.004900268,0.395290895,-1
397,MODEL1,PARMS,sLB1,0.622759878,6.05188945,0.07971611,-0.123443582,0.491745472,-0.213571695,1.286875193,-2.693954569,-1
398,MODEL1,PARMS,sLB1,0.568575094,-0.131393779,-0.094174891,0.327968661,-1.346058967,0.22702249,-1.453487002,3.615261772,-1
399,MODEL1,PARMS,sLB1,0.57005168,13.86182084,0.11392834,-0.329038537,1.260917199,-0.690166488,2.295026,-4.263030868,-1
400,MODEL1,PARMS,sLB1,0.589741886,2.200003831,0.158440103,-0.271926114,0.811818968,0.000768839,0.422842755,-0.859380802,-1
401,MODEL1,PARMS,sLB1,0.619585565,-2.571745644,0.102573378,-0.405923997,2.420359495,0.311786284,-0.737894003,1.643859863,-1
402,MODEL1,PARMS,sLB1,0.6503261,6.05309565,-0.014546698,0.336777007,-1.413885106,-0.187189746,0.27883556,-0.016781732,-1
403,MODEL1,PARMS,sLB1,0.629328999,6.606013138,0.133119099,-0.197314919,0.513288479,-0.263679214,1.809481974,-4.008437456,-1
404,MODEL1,PARMS,sLB1,0.599581082,8.023495323,0.096657732,-0.136791777,0.653399561,-0.334922507,0.866823399,-1.420538285,-1
405,MODEL1,PARMS,sLB1,0.541192064,2.793532192,-0.127973833,0.472525464,-1.604124449,0.044320063,0.481514058,-1.296783686,-1
406,MODEL1,PARMS,sLB1,0.667473046,2.976609337,0.313580275,-0.740947259,2.48500574,-0.082576816,0.308131742,-0.022097213,-1
407,MODEL1,PARMS,sLB1,0.614663256,-2.379081298,0.186329955,-0.421206973,1.60536226,0.266704714,-0.312325239,0.887329019,-1
