SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RMB
987,MODEL1,PARMS,RMB,1.592242076,-17.86505182,0.469287973,-1.186637166,3.842925388,1.786556355,-4.348016314,9.348809232,-1
988,MODEL1,PARMS,RMB,1.610979546,-6.337466428,0.197804785,-0.941684697,3.929644028,1.162397809,-1.230804341,1.405248564,-1
989,MODEL1,PARMS,RMB,1.485179578,17.23544642,0.335382219,-1.64402054,6.120165578,-0.281243728,1.362996942,-1.870191615,-1
990,MODEL1,PARMS,RMB,1.597923907,-19.27180095,-0.154060728,-0.030351057,1.304281886,2.066498352,-5.526131914,11.20895666,-1
991,MODEL1,PARMS,RMB,1.667089547,-2.199336696,0.339305808,-1.181915834,4.878725952,0.875247337,-1.956588097,4.728704636,-1
992,MODEL1,PARMS,RMB,1.515956544,-5.233369599,0.261400571,-1.052347076,3.592204616,1.101374232,-3.373058968,7.647876957,-1
993,MODEL1,PARMS,RMB,1.554018433,-4.266347326,-0.067768273,0.202433485,-0.845302894,1.092274725,-1.895851634,4.46637812,-1
994,MODEL1,PARMS,RMB,1.586410493,2.517090785,0.244160485,-0.109896203,-0.243244989,0.594505813,0.044508347,-0.788271532,-1
995,MODEL1,PARMS,RMB,1.658999376,6.081567143,0.386353716,-1.081259302,3.428608247,0.37185419,0.042785263,-0.384922062,-1
996,MODEL1,PARMS,RMB,1.604058748,-11.3295412,0.436828723,-1.713907798,6.372470162,1.409031124,-2.235076428,3.603742458,-1
997,MODEL1,PARMS,RMB,1.501690312,-11.11180951,0.663259063,-2.108572865,7.962436646,1.330604576,-2.309635031,4.78112391,-1
998,MODEL1,PARMS,RMB,1.59784353,-5.934384387,0.047986186,-0.455038272,1.715169688,1.193874908,-1.914543796,4.301257788,-1
999,MODEL1,PARMS,RMB,1.549704463,-9.011831713,0.250547386,-0.998606622,4.178062276,1.32911147,-3.995287811,9.086252491,-1
1000,MODEL1,PARMS,RMB,1.572720255,11.99896299,0.10217155,0.180407712,-1.083816255,0.03641052,2.302255571,-4.877380004,-1
