SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RLL
208,MODEL1,PARMS,RLL,1.000145858,1.782294558,-0.047884747,-0.512048376,2.143717882,0.334453037,-0.740463201,0.743073063,-1
209,MODEL1,PARMS,RLL,0.991392121,6.939652797,0.056954714,-0.795810502,2.351275703,-0.009005478,1.001581259,-2.982858072,-1
210,MODEL1,PARMS,RLL,1.057249619,-0.345877201,-0.20475886,-0.141093777,0.776041596,0.48722899,-1.155660371,2.416539963,-1
211,MODEL1,PARMS,RLL,1.00323626,14.85907987,-0.11189632,0.048080673,-0.44890862,-0.462618466,2.043183293,-4.589045799,-1
212,MODEL1,PARMS,RLL,1.101745289,8.468325471,-0.208579151,0.358266751,-0.806191991,-0.080174762,1.864325709,-4.669577024,-1
213,MODEL1,PARMS,RLL,1.078503811,7.530740936,-0.029565784,-0.446452632,1.768555227,-0.030664192,0.063721811,0.177450316,-1
214,MODEL1,PARMS,RLL,1.009950442,15.78182017,0.045734838,-0.263939344,0.858145084,-0.553860877,1.106476897,-1.923474513,-1
215,MODEL1,PARMS,RLL,0.944983556,5.945928697,0.0194099,-0.457043253,1.152611183,0.053442001,0.835994936,-2.677257578,-1
216,MODEL1,PARMS,RLL,1.144398834,8.017351194,-0.031699863,-0.404159525,1.359116603,-0.06332822,1.231752412,-3.28170927,-1
217,MODEL1,PARMS,RLL,0.998333647,6.591641336,0.043403395,-0.477904681,1.722408308,-0.005663438,0.642285923,-1.180444525,-1
218,MODEL1,PARMS,RLL,0.989492455,13.45189012,-0.015222306,-0.184252167,-0.104447692,-0.399356482,1.888348565,-4.348489956,-1
219,MODEL1,PARMS,RLL,1.08118035,9.494414639,0.135181721,-0.838752532,3.097422746,-0.195894691,1.415832132,-3.315317379,-1
220,MODEL1,PARMS,RLL,1.117992995,-9.146169843,-0.227067017,0.105066548,-0.269008976,1.01713259,-2.416044113,4.918558933,-1
221,MODEL1,PARMS,RLL,0.950996015,18.70382059,0.023200505,-0.318736386,0.363643924,-0.722552372,1.757831495,-3.071533784,-1
222,MODEL1,PARMS,RLL,1.036678541,12.50655133,0.046684234,-0.015406997,-0.625235314,-0.39716111,2.809725738,-5.65347188,-1
223,MODEL1,PARMS,RLL,0.93785766,6.08927415,-0.05517305,0.147670352,-1.240149219,0.047830023,-0.323799422,1.174047739,-1
