SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RB10
49,MODEL1,PARMS,RB10,0.819708454,6.144052585,0.096215614,-0.288500297,0.434584147,-0.110039804,1.294127938,-2.850740657,-1
50,MODEL1,PARMS,RB10,0.873107461,1.620936824,-0.155154516,0.00256915,0.991988266,0.237507718,0.142083588,-1.037021923,-1
51,MODEL1,PARMS,RB10,0.907549854,8.377452549,-0.171598851,0.279143233,-0.963164409,-0.178371501,0.647070656,-0.564504558,-1
52,MODEL1,PARMS,RB10,0.838871534,16.99676031,-0.126224139,0.166852831,-0.507388968,-0.700996838,2.398143619,-4.543621987,-1
53,MODEL1,PARMS,RB10,0.889743119,10.16412356,0.090343168,-0.499009633,2.323852267,-0.350443434,1.606162184,-3.480635166,-1
54,MODEL1,PARMS,RB10,0.82468879,16.71377574,-0.138900672,0.26971145,-0.509908303,-0.694307881,2.917113614,-6.084555395,-1
55,MODEL1,PARMS,RB10,0.853143473,5.847102921,-0.190436911,0.183176684,-0.062975573,-0.006970845,0.845124465,-1.976779377,-1
56,MODEL1,PARMS,RB10,0.893621787,8.881835548,-0.075194889,-0.605290354,3.261844447,-0.214261121,0.937866841,-1.579142647,-1
57,MODEL1,PARMS,RB10,0.790772899,1.898161015,-0.095992529,0.156245463,-0.511908893,0.187761098,1.1666011,-3.609836444,-1
58,MODEL1,PARMS,RB10,0.927930912,2.35881498,-0.062412411,-0.259693345,1.141342535,0.167763393,0.330931378,-1.171470402,-1
59,MODEL1,PARMS,RB10,0.835491797,2.05133494,0.062820676,-0.131355423,0.167278826,0.144053552,0.436489235,-1.384023387,-1
60,MODEL1,PARMS,RB10,0.887869905,3.830899136,-0.063745304,0.428702148,-1.926703303,0.067783189,0.14195159,-0.262365727,-1
61,MODEL1,PARMS,RB10,0.897318892,-0.456684153,-0.283407386,0.187602104,0.745226886,0.401380053,-0.171936619,-0.334550821,-1
62,MODEL1,PARMS,RB10,0.882628115,5.211645177,0.143841091,-0.850424138,3.847199465,-0.062049203,0.993557941,-2.151258547,-1
63,MODEL1,PARMS,RB10,0.890306262,20.65686449,-0.294623236,0.30459004,-0.771490554,-0.881333531,3.928635656,-8.559239507,-1
64,MODEL1,PARMS,RB10,0.831087125,-0.837321782,-0.110705535,0.020942319,1.087798747,0.376226315,-0.662923306,1.392632888,-1
65,MODEL1,PARMS,RB10,0.82007159,1.260860358,-0.180841625,0.21519141,0.098575294,0.260011945,-0.426604897,0.601399126,-1
66,MODEL1,PARMS,RB10,0.834426636,14.95371122,-0.040488476,-0.008677644,0.277132173,-0.612699836,2.061727815,-3.419064737,-1
67,MODEL1,PARMS,RB10,0.871235411,16.93460631,0.042595504,-0.518520916,2.174338784,-0.747405049,3.650069826,-8.03245946,-1
68,MODEL1,PARMS,RB10,0.900620177,14.02999828,0.065024267,-0.320509687,1.544299995,-0.586847027,2.297934504,-4.384167533,-1
69,MODEL1,PARMS,RB10,0.887523953,6.341490422,0.034331398,0.017940016,-0.414949243,-0.105891514,1.064679962,-2.347004655,-1
70,MODEL1,PARMS,RB10,0.815307807,6.99236118,-0.020592868,0.001692393,0.45076227,-0.152516276,2.262538257,-5.283621343,-1
71,MODEL1,PARMS,RB10,0.847605306,8.529838263,-0.303127793,0.658656666,-2.511018409,-0.152702273,1.933016312,-4.496113298,-1
72,MODEL1,PARMS,RB10,0.798934394,3.563661746,-0.089458833,0.043262073,0.17388346,0.106420304,0.125425689,-0.43444181,-1
73,MODEL1,PARMS,RB10,0.828054177,21.63052474,-0.147822118,0.360934416,-1.34617775,-0.997066407,4.229684536,-8.442894977,-1
74,MODEL1,PARMS,RB10,0.873057954,9.370460166,0.053464801,-0.147532967,1.122129435,-0.301417489,1.32734046,-2.701659038,-1
75,MODEL1,PARMS,RB10,0.870063031,6.650119098,0.02944673,0.081107626,-0.252166691,-0.14188907,1.562119975,-3.470858115,-1
76,MODEL1,PARMS,RB10,0.908365629,-10.06939584,-0.11505375,0.067586938,0.241190781,0.9330034,-2.569495674,5.541990873,-1
77,MODEL1,PARMS,RB10,0.906734729,-0.075089095,-0.031710055,0.312765573,-2.026172633,0.280739445,0.82374401,-2.636216951,-1
78,MODEL1,PARMS,RB10,0.855098556,18.18212964,-0.262997218,0.231043222,-0.353603099,-0.728958864,3.01147147,-6.634495835,-1
