SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,sRB10
612,MODEL1,PARMS,sRB10,0.878385343,4.351475799,-0.122325104,0.389983037,-1.33062376,-0.011474068,-0.527619155,1.497233716,-1
613,MODEL1,PARMS,sRB10,0.82590445,-4.194079431,-0.035685263,0.208507657,-1.042924236,0.472031803,-1.544791295,3.793362903,-1
614,MODEL1,PARMS,sRB10,0.811658299,0.885565955,0.210689069,-0.676077423,2.962683355,0.10729992,-0.529838153,1.634461491,-1
615,MODEL1,PARMS,sRB10,0.79632247,-3.001752879,0.175360315,-0.613977147,2.93987179,0.350349177,-1.269169966,3.269079785,-1
616,MODEL1,PARMS,sRB10,0.941271915,-9.499140149,0.038491659,0.030061477,-0.324985771,0.768496815,-1.831752137,3.715501302,-1
617,MODEL1,PARMS,sRB10,0.876705931,-0.882276864,-0.02145492,0.133137909,-0.207823748,0.260039253,-0.779875708,2.73875514,-1
618,MODEL1,PARMS,sRB10,0.913574095,11.45667718,-0.327574636,0.829606812,-2.92477776,-0.384528192,0.718665076,-0.790976505,-1
619,MODEL1,PARMS,sRB10,0.949262842,8.124287552,-0.075106693,0.303334261,-1.42313513,-0.262373006,0.410996007,0.036800965,-1
620,MODEL1,PARMS,sRB10,0.897614992,2.571512986,0.070178503,-0.277374468,1.184594769,0.045480616,-0.36719753,1.310229965,-1
621,MODEL1,PARMS,sRB10,0.811503371,4.013010999,0.015139654,-0.11422869,0.347055344,-0.02520869,0.276258924,-0.798381714,-1
622,MODEL1,PARMS,sRB10,0.94900738,10.52860621,0.07947128,-0.29524887,1.11303373,-0.446259743,1.535663481,-2.719487814,-1
623,MODEL1,PARMS,sRB10,0.944202874,4.763998523,-0.181392938,0.790616106,-3.187202972,-0.038372256,0.452263073,-0.340451783,-1
624,MODEL1,PARMS,sRB10,0.890517277,3.263954047,0.082074363,0.062348626,-0.244173434,-0.006610044,0.124916209,-0.179303025,-1
625,MODEL1,PARMS,sRB10,0.900431446,-1.352261486,-0.071336667,0.298225892,-0.771628924,0.303485103,-0.307239708,0.549689841,-1
626,MODEL1,PARMS,sRB10,0.933314199,-7.638384334,-0.043181495,0.244041487,-0.953446451,0.680442289,-1.766000321,4.046381051,-1
627,MODEL1,PARMS,sRB10,0.909772787,5.892142098,-0.088791975,0.178553056,0.013976339,-0.128172332,0.614982254,-0.95658942,-1
628,MODEL1,PARMS,sRB10,0.887821125,11.86800336,0.152081461,-0.317269094,0.976125866,-0.541478154,2.054195453,-4.322978751,-1
629,MODEL1,PARMS,sRB10,0.857484068,-0.124288466,0.002157131,-0.085362155,0.608215367,0.218516461,-0.84957726,2.123688385,-1
630,MODEL1,PARMS,sRB10,0.950218689,5.242465753,-0.066801217,0.268165336,-1.034365878,-0.092352392,0.168504548,0.27256128,-1
631,MODEL1,PARMS,sRB10,0.918342463,2.339870551,0.026283868,-0.158894761,1.103008642,0.072250704,0.473746268,-1.626839539,-1
632,MODEL1,PARMS,sRB10,0.837054786,17.64009715,0.016383852,-0.103465537,0.491886782,-0.8631273,3.244283697,-6.578435624,-1
633,MODEL1,PARMS,sRB10,0.877691161,-2.107684037,0.199587034,-0.835803313,3.349605014,0.315807782,-2.485520431,6.149205002,-1
634,MODEL1,PARMS,sRB10,0.8771767,4.913911318,-0.042323448,0.373111603,-1.885440342,-0.079146062,0.236272459,0.220575865,-1
635,MODEL1,PARMS,sRB10,0.883799772,4.711845984,0.050483322,-0.165133155,0.591717148,-0.072568028,-0.7804328,2.735681208,-1
636,MODEL1,PARMS,sRB10,0.857193173,-3.866417361,0.119851405,-0.19431657,0.451693732,0.409914979,-1.334559676,3.233596647,-1
637,MODEL1,PARMS,sRB10,0.914406406,-2.954431353,-0.019790771,-0.213397553,1.164154546,0.420537946,-1.922357483,4.101855016,-1
638,MODEL1,PARMS,sRB10,0.906593575,2.844147457,-0.06766298,0.179400879,-0.120596559,0.059794339,-0.33553104,1.622904704,-1
639,MODEL1,PARMS,sRB10,0.854848496,-2.552725225,-0.016375846,-0.124980032,1.069388652,0.388576019,-1.553124556,3.226607268,-1
640,MODEL1,PARMS,sRB10,0.863434719,-3.644673614,-0.143626136,0.312325743,-0.648183302,0.47986974,-2.101575223,4.787529157,-1
641,MODEL1,PARMS,sRB10,0.905989171,-7.228889949,0.184868268,-0.420351056,1.677072116,0.614156169,-2.291994117,5.419314681,-1
