SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,sLB1
544,MODEL1,PARMS,sLB1,0.486016423,3.118896063,0.155660028,-0.397698846,1.378866385,-0.171450525,1.039333104,-2.460081298,0.383618658,-0.360349789,0.3357908,-1
545,MODEL1,PARMS,sLB1,0.486191277,6.517924841,0.060234519,0.001927096,-0.171520333,-0.351093535,0.978528451,-1.971684103,0.336691208,-0.861791097,1.817893666,-1
546,MODEL1,PARMS,sLB1,0.537712817,-3.55885383,0.044554974,0.051495193,-0.324020209,0.280951288,-0.556542837,0.668474609,0.477033977,-1.240537074,2.679952596,-1
547,MODEL1,PARMS,sLB1,0.568526768,-5.220679726,0.089306475,-0.077958191,0.023253645,0.414943645,-0.773497378,1.130546818,0.356009663,-0.987660766,1.908384717,-1
548,MODEL1,PARMS,sLB1,0.492578404,-3.769828797,0.074144637,-0.01830463,-0.168992993,0.362680929,-0.816641331,1.444473142,0.114741441,0.169219264,-0.510408861,-1
549,MODEL1,PARMS,sLB1,0.541969234,3.88229383,0.153319369,-0.409618528,1.316738432,-0.207747519,0.848870478,-2.042077818,0.345267442,-0.310148201,0.160005974,-1
550,MODEL1,PARMS,sLB1,0.470767462,5.949983343,0.083539418,-0.2533805,0.906605025,-0.263566477,1.376403239,-3.307141162,0.054552859,0.369747988,-0.910082357,-1
551,MODEL1,PARMS,sLB1,0.534427114,-0.637920195,0.169007804,-0.244892364,0.622783254,0.090793709,-0.050466115,-0.029922808,0.307800391,-0.430762535,0.569552711,-1
552,MODEL1,PARMS,sLB1,0.477933769,1.775489479,0.135305914,-0.25388534,0.578638612,-0.02435564,0.238533077,-0.629002995,0.1409252,0.266500569,-0.784784805,-1
553,MODEL1,PARMS,sLB1,0.495417176,-2.196699408,0.029803855,0.098341375,-0.545062534,0.266052034,-0.44547311,0.818005491,0.151077157,-0.208157619,0.500224473,-1
554,MODEL1,PARMS,sLB1,0.520229187,1.006755744,0.062971555,0.119830168,-0.7240261,-0.018893157,0.389082358,-0.865497691,0.405500635,-0.387282468,0.267684442,-1
555,MODEL1,PARMS,sLB1,0.508208807,-0.946329822,0.178958081,-0.377963854,1.172203708,0.166142053,-0.287949255,0.513114785,0.046459726,0.349752031,-0.908802235,-1
556,MODEL1,PARMS,sLB1,0.581278725,-5.385643956,0.072358061,-0.105057813,0.339835885,0.437183411,-1.231283317,2.432713893,0.318771232,-0.52617568,0.900919784,-1
557,MODEL1,PARMS,sLB1,0.508079619,2.247326034,0.097201107,-0.163011944,0.303225583,-0.06341769,0.414561531,-1.252423196,0.238285063,0.199239322,-0.662351081,-1
558,MODEL1,PARMS,sLB1,0.497587747,1.796246697,0.154880104,-0.340403335,0.969792102,-0.025570566,0.11383611,-0.288952451,0.161382391,-0.080243956,-0.066481044,-1
559,MODEL1,PARMS,sLB1,0.513456939,-3.93428463,0.044981576,-0.046168754,0.299842269,0.339784508,-0.833486719,1.637844217,0.326777107,-0.565710283,0.85138448,-1
560,MODEL1,PARMS,sLB1,0.56251255,1.432091513,-0.014577782,0.186638446,-0.820879581,0.033540121,0.553975526,-1.333146378,0.183783483,-0.069275156,-0.244876146,-1
561,MODEL1,PARMS,sLB1,0.534924683,-5.817595018,0.070687489,-0.028114741,-0.059927416,0.463936614,-1.097616332,1.807700533,0.314626471,-0.647317086,1.308320945,-1
562,MODEL1,PARMS,sLB1,0.49732843,3.062918179,0.114693622,-0.046793769,-0.147903732,-0.134270803,0.558754057,-1.59555986,0.242730781,-0.023197797,-0.018774685,-1
563,MODEL1,PARMS,sLB1,0.546257019,-1.333369701,0.072799626,-0.00677467,-0.294215979,0.144806191,-0.078322386,-0.414295406,0.414461011,-0.951034838,2.097065058,-1
564,MODEL1,PARMS,sLB1,0.499768802,0.975331421,0.067878983,0.132960373,-0.958982964,-0.051189882,1.032702289,-2.928773665,0.590995061,-1.838441548,3.992324113,-1
565,MODEL1,PARMS,sLB1,0.516653781,5.215296827,0.080731042,-0.004213772,-0.225203488,-0.248164698,0.893584263,-2.053567826,0.201809857,-0.542265171,1.349685805,-1
566,MODEL1,PARMS,sLB1,0.540093426,1.396235349,0.181767453,-0.226728138,0.400585841,-0.058703947,0.961223145,-2.491243531,0.341748981,-0.777223864,1.656368431,-1
567,MODEL1,PARMS,sLB1,0.525858256,-0.368970699,-0.047566244,0.150260598,-0.559567873,0.115689606,0.005864056,0.071836581,0.422307621,-0.841296239,1.496346175,-1
568,MODEL1,PARMS,sLB1,0.541788648,-2.455576358,0.200369215,-0.519178384,1.763227039,0.19418574,-0.488678156,0.725226962,0.404177814,-1.222323422,2.630596169,-1
569,MODEL1,PARMS,sLB1,0.546745862,2.646753169,0.062658259,0.01634947,-0.212409473,-0.13034316,0.460912218,-0.992744639,0.463292685,-0.866886335,1.528527076,-1
570,MODEL1,PARMS,sLB1,0.502165666,0.24483611,0.004300167,0.123092138,-0.745318902,0.117730835,0.381990116,-1.271342294,0.147217773,-0.337422138,0.72515343,-1
571,MODEL1,PARMS,sLB1,0.521969991,3.277266869,0.008194342,0.169466252,-0.93702912,-0.153240692,0.753856682,-1.951553042,0.478294518,-1.140123319,2.140137653,-1
572,MODEL1,PARMS,sLB1,0.530797436,1.414797187,0.071898533,-0.069670361,-0.012422379,-0.021880844,-0.453002312,1.140958047,0.405977824,-0.802081831,1.512096451,-1
573,MODEL1,PARMS,sLB1,0.519946642,0.05464583,0.097784038,-0.1300268,0.035768721,0.034273423,0.063498087,-0.505026831,0.502930634,-1.424461929,2.949057293,-1
574,MODEL1,PARMS,sLB1,0.546144959,-4.178662632,0.079618304,-0.083043436,-0.039264161,0.358912128,-1.09624415,2.29812427,0.291402523,-0.474529746,0.878987935,-1
575,MODEL1,PARMS,sLB1,0.505920652,-0.095021142,0.053296179,-0.106390832,0.352530326,0.142682093,-0.439008057,1.114878699,0.082401979,0.146041612,-0.470084093,-1
576,MODEL1,PARMS,sLB1,0.504020381,-1.583687362,0.092240832,-0.188856425,0.857241798,0.169733588,-0.154892345,-0.10799905,0.359401984,-0.996462449,2.281341439,-1
577,MODEL1,PARMS,sLB1,0.51021165,6.665164077,0.087173491,0.061023731,-0.704444982,-0.389157951,1.526879273,-2.997376509,0.400250313,-0.818001276,1.361415939,-1
578,MODEL1,PARMS,sLB1,0.514924749,0.423037274,0.055880113,-0.048725222,0.12255271,0.04904557,-0.270104233,0.622033703,0.366567914,-0.630855742,1.070352878,-1
579,MODEL1,PARMS,sLB1,0.519559172,3.587229874,0.078152954,0.004878364,-0.366718077,-0.144287303,0.51406931,-1.454326045,0.24993956,-0.183042551,0.274878227,-1
580,MODEL1,PARMS,sLB1,0.524323385,0.570752728,0.074621963,0.072872915,-0.782401201,0.066659805,-0.271077335,0.484538823,0.160866666,-0.026994527,0.113087984,-1
581,MODEL1,PARMS,sLB1,0.534185682,-4.049384902,0.039451824,-0.065217331,0.123411897,0.322764851,-1.25072036,2.599943933,0.530463442,-1.288122946,2.438276847,-1
582,MODEL1,PARMS,sLB1,0.505316897,1.094193763,0.101505109,-0.26782523,1.003527726,-0.018513287,0.263113865,-0.589495313,0.399887361,-1.022507836,2.099307365,-1
583,MODEL1,PARMS,sLB1,0.543501181,1.29734038,0.016413353,-0.020102261,0.265377339,0.063194232,0.360351268,-1.044716626,0.027726476,0.636351241,-1.642013755,-1
584,MODEL1,PARMS,sLB1,0.509437378,-2.4870917,0.023047094,0.181926595,-0.799857975,0.311608711,-0.434153321,0.522179649,0.038201089,0.278988286,-0.760165895,-1
585,MODEL1,PARMS,sLB1,0.49213908,7.703220362,0.178236464,-0.338802324,0.899453392,-0.458518137,1.897946119,-4.317102577,0.309792521,-0.716566335,1.407946446,-1
586,MODEL1,PARMS,sLB1,0.512686055,-6.497832474,0.160491615,-0.304151017,0.998920198,0.415129757,-1.076802829,2.099816841,0.638460426,-1.714402349,3.289134105,-1
587,MODEL1,PARMS,sLB1,0.501109912,-2.934481478,0.056137286,-0.043541679,-0.049212153,0.259348505,-0.93721637,1.734063618,0.433005457,-0.966615003,2.010050137,-1
588,MODEL1,PARMS,sLB1,0.506030266,-2.43660046,0.32869094,-0.726802204,2.291665268,0.230136117,-0.242587599,0.231225591,-0.020092326,0.722386573,-1.582178025,-1
589,MODEL1,PARMS,sLB1,0.512071692,5.07995159,0.203367121,-0.360476847,0.924507246,-0.258511341,0.258339962,-0.174531734,0.168981392,-0.084112962,0.058421617,-1
