SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RB4
1,MODEL1,PARMS,RB4,0.656113055,6.400502016,-0.086959225,0.011704721,-0.30899838,-0.251206997,1.342049429,-3.6818126,0.496573739,-1.437779963,3.247713365,-1
2,MODEL1,PARMS,RB4,0.598859936,3.614258992,0.063804259,0.032535962,-0.444290398,-0.122482175,0.964706246,-2.333258314,0.429539373,-1.108084753,2.253549069,-1
3,MODEL1,PARMS,RB4,0.677887798,3.688778709,0.173713757,-0.35103221,0.640276884,-0.180448447,0.508228922,-1.04606119,0.618441754,-2.145516662,4.506072603,-1
4,MODEL1,PARMS,RB4,0.704316429,-0.805497392,0.103897344,-0.445314113,1.572800046,0.209906893,-0.163896687,-0.300918277,0.239371794,-0.52510445,1.482643688,-1
5,MODEL1,PARMS,RB4,0.618757817,-1.600432212,-0.044230108,0.258117065,-1.492023098,0.275656086,-1.041843823,2.355404749,0.369245166,-0.836375263,1.788820919,-1
6,MODEL1,PARMS,RB4,0.68342367,2.48590729,0.109798074,-0.169676237,-0.194760575,-0.0552413,0.518989053,-1.627660175,0.47013372,-1.067610831,2.344880205,-1
7,MODEL1,PARMS,RB4,0.705752191,3.095605081,0.054640506,-0.206041309,0.316023255,-0.051063522,0.628753895,-1.838330519,0.368854653,-0.940381858,1.935387991,-1
8,MODEL1,PARMS,RB4,0.675324213,2.080764772,0.053165019,-0.240907175,0.656959263,0.038622985,0.404699726,-1.02550791,0.262874206,-1.1500827,2.81741111,-1
9,MODEL1,PARMS,RB4,0.696945211,4.374055582,0.118609613,-0.454637099,1.61805975,-0.103472506,0.91573244,-2.400686117,0.082519987,0.050504474,-0.256134337,-1
10,MODEL1,PARMS,RB4,0.712063313,9.579029,0.049367893,-0.379729784,1.210060319,-0.476540539,2.026197112,-4.842330482,0.368733931,-1.105219085,2.298849968,-1
11,MODEL1,PARMS,RB4,0.673952552,2.769433184,0.079310904,-0.282054443,0.766478633,-0.042037896,0.33839567,-1.224212991,0.338976756,-0.583331779,1.083100392,-1
12,MODEL1,PARMS,RB4,0.645380672,4.761757341,0.043198825,-0.182263851,0.188429285,-0.174403545,0.96629688,-2.058699307,0.411789188,-0.570739752,0.633669116,-1
13,MODEL1,PARMS,RB4,0.667340914,3.924711786,-0.005185164,0.00740933,-0.595278635,-0.090159026,1.142232559,-3.055632873,0.364103972,-1.16601338,2.369806005,-1
14,MODEL1,PARMS,RB4,0.687139787,9.223442247,0.084771997,-0.258668463,0.440863643,-0.356481522,1.667299016,-3.764015243,-0.185778686,1.114092659,-2.23428647,-1
15,MODEL1,PARMS,RB4,0.763867618,-2.412785337,0.241562981,-0.570039034,1.405168669,0.304027132,-0.65376918,1.056179752,0.092713618,0.072438606,-0.005399704,-1
16,MODEL1,PARMS,RB4,0.659562189,4.653752271,-0.06256357,-0.212011531,0.785801953,-0.108866885,0.189981914,-0.613242515,0.405906768,-1.390883963,2.805657261,-1
17,MODEL1,PARMS,RB4,0.713197534,6.248532458,0.229154752,-0.694694091,2.446909915,-0.362095147,1.643845169,-3.70717554,0.520173542,-1.120585647,2.001822015,-1
18,MODEL1,PARMS,RB4,0.634030448,-5.553790956,0.02291395,0.018641315,-0.188592084,0.446593031,0.018952748,-0.998603679,0.642523613,-1.684934524,3.553215887,-1
19,MODEL1,PARMS,RB4,0.699308784,2.92562299,-0.092527372,0.079843797,-0.642048563,0.059621208,-0.143460465,0.270222686,0.139443325,-0.331838231,1.08123425,-1
