SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LB1
528,MODEL1,PARMS,LB1,0.669006091,1.33990187,0.163297713,-0.288880275,0.431728531,0.015047628,0.286779564,-1.2950927,0.313094799,-0.15165016,0.281137204,-1
529,MODEL1,PARMS,LB1,0.690630296,-5.149521616,0.287074185,-0.492824814,1.104809825,0.385329346,-0.938846362,1.967066369,0.327262283,-0.052138237,-0.203583125,-1
530,MODEL1,PARMS,LB1,0.691678217,2.370912411,0.204401926,-0.45434584,1.780333512,-0.058414105,0.427152724,-1.087221052,0.211618007,0.254189101,-0.665950769,-1
531,MODEL1,PARMS,LB1,0.712422067,-0.615604353,0.099004779,-0.06570522,0.114409724,0.127689045,0.093405732,-0.580988207,0.371553817,-0.305365089,0.565016963,-1
532,MODEL1,PARMS,LB1,0.703010512,-7.846191636,0.068273804,-0.294172611,0.584448198,0.678287309,-1.842986345,3.418445636,0.227926091,-0.13461517,0.207714575,-1
533,MODEL1,PARMS,LB1,0.659724642,-1.703632777,-0.152365748,0.299160948,-1.070336436,0.303536676,0.009864787,-0.521393651,0.307803684,-0.349988959,0.592154456,-1
534,MODEL1,PARMS,LB1,0.683243685,4.597588909,-0.022439386,0.24202495,-1.392245466,-0.149689095,0.118388593,0.029591211,0.319002859,-0.211071596,0.297625228,-1
535,MODEL1,PARMS,LB1,0.687767699,4.832521957,0.172068827,-0.20323784,-0.168858303,-0.15276328,0.560229083,-1.155832718,0.017570361,-0.094168926,0.692685932,-1
536,MODEL1,PARMS,LB1,0.683240805,2.378542607,0.127605024,-0.15437041,-0.072836967,-0.094839327,1.479660244,-3.335592599,0.477371263,-1.435578902,2.909815568,-1
537,MODEL1,PARMS,LB1,0.707421237,-5.972082892,0.02200455,-0.101728097,0.172247459,0.539567733,-1.556017048,3.283690321,0.317121148,-0.355934613,0.66175902,-1
538,MODEL1,PARMS,LB1,0.653125505,-3.385752649,-0.003456062,-0.326141068,1.579559121,0.352453453,-0.764454615,1.500946688,0.460546211,-1.121998542,2.23684275,-1
539,MODEL1,PARMS,LB1,0.693841106,-0.008928161,0.031226131,-0.216065891,0.784533512,0.128665336,0.625021731,-2.120288246,0.378772015,-0.8206756,1.712300189,-1
540,MODEL1,PARMS,LB1,0.682076778,-3.285250901,0.121753893,-0.275025329,0.670125547,0.323142621,-0.501712549,0.594793517,0.342079849,-0.567568664,1.127330919,-1
541,MODEL1,PARMS,LB1,0.683770642,0.020090771,0.036703756,-0.044597771,-0.291424441,0.170114732,-0.588397886,1.236509649,0.177084858,-0.314767599,1.006896525,-1
542,MODEL1,PARMS,LB1,0.668716518,4.427469339,0.021604398,-0.196492794,0.463203081,-0.0596732,0.003057492,-0.172647658,-0.061299802,0.89433946,-1.648025485,-1
543,MODEL1,PARMS,LB1,0.681886391,-0.811486194,-0.142193433,0.339307298,-1.329224547,0.243269111,-0.202592314,0.540675418,0.297303571,-0.334854365,0.497536333,-1
544,MODEL1,PARMS,LB1,0.67869588,1.366640359,0.203125019,-0.657984703,2.595106225,0.014672509,0.178100717,-0.436296518,0.226775998,0.249935583,-0.724214005,-1
545,MODEL1,PARMS,LB1,0.660972996,5.515598375,0.092304927,-0.294998328,0.817654323,-0.290273235,0.74097172,-1.663352298,0.59551891,-1.494098682,3.134845117,-1
546,MODEL1,PARMS,LB1,0.709308093,-4.433450234,0.148629131,-0.185796701,0.237453011,0.355356269,-0.340572941,0.237068828,0.431857023,-0.570402507,1.017357964,-1
