SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RB10
645,MODEL1,PARMS,RB10,0.682292261,-6.854345009,0.101436433,-0.221765386,0.744775035,0.593653702,-1.936179686,4.135224026,0.455629313,-0.433592731,0.615657659,-1
646,MODEL1,PARMS,RB10,0.765902298,0.086526392,0.185240924,-0.617687552,2.386246181,0.072386667,-0.09140305,-0.090213259,0.660786118,-1.061130486,1.922151172,-1
647,MODEL1,PARMS,RB10,0.728784788,1.554722443,0.008113902,-0.063205649,0.219560106,0.00049794,0.361643637,-1.299264778,0.817030436,-2.078111313,4.133023442,-1
648,MODEL1,PARMS,RB10,0.733615759,1.644895928,0.12639888,-0.340433526,1.016542882,-0.096837635,0.672147923,-1.421928835,1.012631299,-2.156051714,4.18029437,-1
649,MODEL1,PARMS,RB10,0.763713012,1.470088238,0.097703844,-0.123776389,0.207932501,-0.00598623,0.575026975,-1.934206117,0.730573767,-1.614841208,3.110553059,-1
650,MODEL1,PARMS,RB10,0.731561225,5.827210915,0.099785952,-0.052237645,-0.02114828,-0.25654039,1.526707694,-3.622104995,0.476252667,-0.960255524,2.148670781,-1
651,MODEL1,PARMS,RB10,0.731151363,4.930718572,0.180519656,-0.32471302,1.279037109,-0.234215739,1.218412085,-3.015298168,0.519785752,-0.513785275,0.981601445,-1
652,MODEL1,PARMS,RB10,0.91525957,6.748628139,0.161857527,-0.375520407,1.046259381,-0.421167463,0.930347661,-2.135552538,0.952533504,-2.126575643,4.095135068,-1
653,MODEL1,PARMS,RB10,0.762593379,3.149099968,0.00691013,0.174224738,-0.687622609,-0.191718348,1.474645639,-3.812705316,1.148409717,-3.45723835,7.199856797,-1
654,MODEL1,PARMS,RB10,0.74829983,1.842468983,0.121621309,-0.277678543,1.106058724,-0.017115142,0.15245716,-0.241625505,0.633753855,-1.546444184,3.19371732,-1
655,MODEL1,PARMS,RB10,0.778210956,8.070604949,0.202294016,-0.629709389,2.006813049,-0.490234885,1.12419691,-2.352092448,0.79039116,-0.675282007,0.77959801,-1
656,MODEL1,PARMS,RB10,0.726775006,2.396064603,0.053816809,-0.22828111,1.180958936,-0.076923446,1.220509272,-3.379167122,0.822617557,-2.350252631,4.877198152,-1
657,MODEL1,PARMS,RB10,0.766056693,4.970421252,-0.001067649,-0.050541785,0.392761696,-0.15396614,1.252931439,-3.030618055,0.476319219,-1.159476279,2.301730167,-1
658,MODEL1,PARMS,RB10,0.796240641,8.300196419,0.180738997,-0.419792434,1.457479836,-0.50603067,0.993410439,-1.769336676,0.806393711,-1.073294929,1.668747915,-1
659,MODEL1,PARMS,RB10,0.741224945,4.1096494,0.253367796,-0.880853859,3.354595301,-0.227084302,1.568051298,-3.975106253,0.736537419,-1.298801222,2.236433682,-1
