SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,sRB1
529,MODEL1,PARMS,sRB1,0.639011414,-9.817657979,0.262124055,-0.61417589,1.864979231,0.681517298,-1.533293747,2.488478179,0.328668495,-0.607880999,1.671308709,-1
530,MODEL1,PARMS,sRB1,0.662409273,0.249188931,0.215674743,-0.364974235,1.143639828,0.082370849,-0.324975738,0.522137597,0.080658569,0.609774049,-1.244572223,-1
531,MODEL1,PARMS,sRB1,0.662850535,5.565847592,0.194999873,-0.430515963,1.092254016,-0.287289426,0.37938109,-0.579021792,0.254872269,0.3256102,-1.054640952,-1
532,MODEL1,PARMS,sRB1,0.621171512,-0.962419011,0.075933378,-0.146741229,0.403406819,0.17955748,-0.399956937,0.424285787,0.206663938,0.365762308,-1.009730216,-1
533,MODEL1,PARMS,sRB1,0.654510079,0.465104334,0.137553338,-0.330902131,1.288697996,0.010804565,0.399387171,-0.988089056,0.471531978,-0.627598224,0.959929635,-1
534,MODEL1,PARMS,sRB1,0.588108996,-3.352265958,0.283117111,-0.538597519,1.688462028,0.254439636,-0.6296775,0.760765175,0.277823354,-0.190081767,0.562882912,-1
535,MODEL1,PARMS,sRB1,0.652546265,2.300589343,0.159152502,-0.031749795,-0.485410302,-0.031562104,0.165979177,-0.3171072,0.042851532,0.369428919,-0.34889319,-1
536,MODEL1,PARMS,sRB1,0.653221924,13.20751164,0.163938023,-0.404016424,1.473642283,-0.821332851,3.029666034,-6.308773861,0.383185362,-0.316871021,0.227271856,-1
537,MODEL1,PARMS,sRB1,0.615387662,-5.014981116,0.229744096,-0.386181865,1.021093385,0.385669219,-1.197760012,2.722765364,0.272040104,-0.024133863,-0.186334492,-1
538,MODEL1,PARMS,sRB1,0.618152709,-0.005524271,0.140366894,-0.415017759,1.571659595,0.110006096,0.14577949,-0.919723359,0.158384803,-0.118027006,0.570474698,-1
539,MODEL1,PARMS,sRB1,0.618093963,0.203906377,0.268514027,-0.79457171,2.861984578,-0.020125309,0.358735602,-0.928135816,0.535624781,-1.189657417,2.39576707,-1
540,MODEL1,PARMS,sRB1,0.631143349,2.588667666,0.234055832,-0.43461742,1.260883865,-0.163255099,-0.006909404,-0.334220901,0.492529474,-0.546669676,1.220319044,-1
541,MODEL1,PARMS,sRB1,0.662497048,-0.023097983,0.14155734,-0.263005695,0.868119327,0.081693732,0.05735286,-0.24772672,0.257665933,-0.375945383,0.920809679,-1
542,MODEL1,PARMS,sRB1,0.583108055,-1.143454173,0.128213597,-0.242293317,0.861376646,0.238827326,-0.054297003,-0.446461862,-0.13700466,1.181327954,-2.426404808,-1
543,MODEL1,PARMS,sRB1,0.614903994,1.810442506,0.149769463,-0.332810812,0.931844032,-0.007020377,-0.428995875,1.134625617,0.135934542,0.865073488,-2.182203415,-1
544,MODEL1,PARMS,sRB1,0.595711531,-3.233649883,0.198480772,-0.340410102,0.929303135,0.307187637,-0.682177229,1.200571241,0.08240515,1.117484723,-2.831543511,-1
545,MODEL1,PARMS,sRB1,0.625138204,0.140569325,0.126064416,-0.145929184,0.332528623,0.068725238,-0.219524921,0.513262218,0.259335099,0.359457321,-1.013128172,-1
546,MODEL1,PARMS,sRB1,0.600670095,2.123839376,0.199071109,-0.522748857,2.018727514,-0.039119029,0.173179601,-0.410065739,0.115301025,0.209981881,-0.353785701,-1
547,MODEL1,PARMS,sRB1,0.658164736,-4.040219082,0.181279543,-0.25057889,0.513258817,0.331782965,-0.918121205,1.767781905,0.353631916,-1.113707694,2.561322948,-1
548,MODEL1,PARMS,sRB1,0.633595251,2.457197234,0.100327687,-0.045262986,0.093492106,-0.101422246,0.417095982,-0.754349259,0.37063069,-0.168306601,0.061341098,-1
549,MODEL1,PARMS,sRB1,0.626055104,2.8619573,0.204405599,-0.583133417,2.049533006,-0.067360571,1.065696494,-3.109225471,0.011628591,0.504231208,-1.101238529,-1
550,MODEL1,PARMS,sRB1,0.615250949,2.539444718,0.261932838,-0.453080529,1.237393919,-0.089209215,0.969152325,-2.208042768,0.076521396,0.499780842,-1.177618719,-1
551,MODEL1,PARMS,sRB1,0.584098878,-5.443622683,0.222167725,-0.851488811,3.61427822,0.381692241,-0.680711449,0.80565639,0.479915869,-0.71925748,1.028014293,-1
552,MODEL1,PARMS,sRB1,0.641652553,2.60667699,0.103825803,-0.334276408,1.377280492,-0.038061282,0.281590043,-1.018709279,0.086467502,0.945486433,-2.202412288,-1
553,MODEL1,PARMS,sRB1,0.614516668,2.381383507,0.128595251,-0.273230318,0.960256577,-0.035525785,0.685274804,-1.722077325,0.109261594,0.084025648,-0.066295074,-1
554,MODEL1,PARMS,sRB1,0.587466112,-2.444701309,0.204740199,-0.280391394,0.685009402,0.190808617,0.267794315,-1.559676254,0.387358983,-0.504865128,1.078974012,-1
555,MODEL1,PARMS,sRB1,0.600957668,3.539563215,0.227886398,-0.531401792,1.738125794,-0.181928828,0.317827483,-0.535358727,0.336369427,-0.270494354,0.254258239,-1
556,MODEL1,PARMS,sRB1,0.618840167,-3.25908319,0.248565318,-0.713049141,2.6929503,0.217900066,-0.710832241,1.391609837,0.54814578,-1.145564477,2.349524552,-1
557,MODEL1,PARMS,sRB1,0.63675278,1.886482611,0.192661898,-0.467771831,1.561785733,-0.075382583,1.188540908,-3.30537319,0.371820922,-0.502993125,0.922231101,-1
558,MODEL1,PARMS,sRB1,0.606361037,-2.455172732,0.113055366,-0.367928155,1.36371681,0.276602614,-0.663702587,1.323830845,0.168914191,0.292470277,-0.795101558,-1
559,MODEL1,PARMS,sRB1,0.594050239,0.406833933,0.048402124,-0.024740253,0.111891334,0.068932381,0.395948913,-1.15619877,0.272439243,0.167852276,-0.910471027,-1
560,MODEL1,PARMS,sRB1,0.644678784,-0.035932617,0.144937331,-0.173426558,0.728178587,0.101608432,0.583522021,-1.559997035,0.122932578,0.233223144,-0.698585166,-1
561,MODEL1,PARMS,sRB1,0.583165063,2.768306961,0.243996183,-0.404537172,1.153512122,-0.19027868,1.025412118,-2.667218385,0.532776472,-1.358373297,3.027635202,-1
562,MODEL1,PARMS,sRB1,0.633999818,2.268447148,0.189946776,-0.378013208,1.324932467,-0.092567997,0.931413113,-2.273532881,0.296585633,-0.571307952,1.376068373,-1
563,MODEL1,PARMS,sRB1,0.643785631,-3.839654739,0.28139957,-0.433961723,1.099085395,0.334867519,-1.055784709,1.921850412,0.042429398,0.605267662,-1.026146202,-1
564,MODEL1,PARMS,sRB1,0.647032044,4.566417352,0.162550835,-0.186960487,0.440413328,-0.241792047,1.160438762,-2.601972795,0.345074838,-1.000846818,2.43937163,-1
565,MODEL1,PARMS,sRB1,0.596515736,1.156459828,0.133209563,-0.161346334,0.491136345,-0.015978379,0.591776474,-1.678452011,0.313313641,-0.376053393,1.010524232,-1
566,MODEL1,PARMS,sRB1,0.662077571,0.010547766,0.259073967,-0.53576372,1.75202512,0.028112963,0.851283606,-2.404856598,0.340844937,-0.842634578,2.038248914,-1
567,MODEL1,PARMS,sRB1,0.597542239,0.863887911,0.084706722,-0.208019222,0.941224917,0.032665718,0.06075505,-0.004228827,0.346699833,-0.606792219,1.253468553,-1
568,MODEL1,PARMS,sRB1,0.604647835,0.840036552,0.20995304,-0.559539259,2.06927325,0.011690502,0.364291821,-1.247566618,0.295786122,-0.513474071,1.090794654,-1
569,MODEL1,PARMS,sRB1,0.575527906,5.155668385,0.236910712,-0.43106448,1.276470121,-0.314012617,0.923811655,-2.081777063,0.423901657,-0.870572162,1.920437052,-1
570,MODEL1,PARMS,sRB1,0.623719257,-0.950101998,0.248101172,-0.489482148,1.667852431,0.132525534,0.570586465,-1.804671239,0.105674941,0.311811846,-0.635652569,-1
571,MODEL1,PARMS,sRB1,0.623872621,2.105933277,0.149074575,-0.387525271,1.292749889,-0.047450166,0.240656693,-0.326920056,0.200920803,0.158852112,-0.516779214,-1
572,MODEL1,PARMS,sRB1,0.631347928,1.582528666,0.170455307,-0.307131344,0.982120494,-0.034904299,-0.097375042,0.074807002,0.285000584,-0.003251111,0.057974384,-1
573,MODEL1,PARMS,sRB1,0.629162055,-0.966405423,0.093646112,-0.11805556,0.170802546,0.140254842,-0.590874887,1.213165531,0.394351465,-0.3379844,0.398288693,-1
574,MODEL1,PARMS,sRB1,0.597193141,2.311883235,0.124862596,-0.109209009,0.358367737,-0.0907788,0.474067908,-1.294354946,0.338868851,-0.284073576,0.513806923,-1
575,MODEL1,PARMS,sRB1,0.584225433,-0.11977127,0.118311465,-0.470124567,1.945750261,0.10887787,-0.207029024,0.183367286,0.262557474,-0.252740769,0.521128474,-1
576,MODEL1,PARMS,sRB1,0.535272859,3.259987288,0.226112119,-0.431285064,1.384695813,-0.169639083,1.116895657,-2.883544664,0.272364025,0.330136802,-0.922728635,-1
577,MODEL1,PARMS,sRB1,0.597883093,2.529997923,0.133788488,-0.32903452,1.387225642,-0.054667198,0.640700769,-1.515731677,0.105465827,0.988706325,-2.568691742,-1
578,MODEL1,PARMS,sRB1,0.624885501,-0.220768367,0.078021553,-0.054252803,0.168081241,0.085448819,0.586577915,-1.871547874,0.401636852,-1.238366963,3.02169543,-1
579,MODEL1,PARMS,sRB1,0.652192203,-3.775394163,0.248730417,-0.442675704,1.111644804,0.312960283,-0.969800335,2.015569416,0.194410995,0.225708772,-0.399099654,-1
580,MODEL1,PARMS,sRB1,0.623311416,-1.277555587,0.21153868,-0.436724195,1.411872229,0.10569138,-0.447794545,0.814946784,0.464130521,-0.667988698,1.505369264,-1
581,MODEL1,PARMS,sRB1,0.653420569,1.773343242,0.236912081,-0.505522209,1.673196187,-0.093475893,0.494139736,-1.225548848,0.4221811,-0.661779628,1.083381679,-1
582,MODEL1,PARMS,sRB1,0.608231136,-0.15324692,0.13115879,-0.127334322,0.288655034,0.052520435,0.477840621,-1.223625229,0.426566424,-0.956172076,1.885046328,-1
583,MODEL1,PARMS,sRB1,0.592446941,-1.717393405,0.162431089,-0.351077047,1.17203081,0.187978876,-0.668593255,1.422982472,0.263873949,-0.085322414,0.121613214,-1
584,MODEL1,PARMS,sRB1,0.670622675,-1.911315437,0.193806918,-0.403172671,1.313782713,0.238212575,-1.085612477,1.978244932,0.078402055,0.813293396,-1.513711035,-1
585,MODEL1,PARMS,sRB1,0.571164565,2.270683488,0.214343805,-0.671067186,2.567688421,-0.097137957,0.95909278,-2.098105054,0.303769368,-0.137682757,-0.02891072,-1
586,MODEL1,PARMS,sRB1,0.657414093,-1.940595676,0.108411324,-0.202190162,0.590212099,0.192896253,-0.142300123,-0.182321901,0.412303127,-0.723730801,1.403229839,-1
587,MODEL1,PARMS,sRB1,0.608420848,4.78897488,0.178645659,-0.318570117,0.782299423,-0.240610365,0.935680512,-2.580535301,0.243932568,0.295660365,-0.669394437,-1
588,MODEL1,PARMS,sRB1,0.653841521,-1.346314337,0.260042294,-0.540989869,1.82494956,0.145118946,-0.090695753,0.000535207,0.208033117,0.335192422,-1.022431307,-1
589,MODEL1,PARMS,sRB1,0.626492893,3.179879799,0.15030834,-0.304680394,0.636882449,-0.088614509,0.756393222,-1.962056246,0.066577784,0.834283739,-1.959791028,-1
590,MODEL1,PARMS,sRB1,0.682790446,1.483384113,0.1970063,-0.415580308,1.157167282,0.013435307,-0.372676433,0.644738151,0.080695215,0.738122864,-1.604399659,-1
591,MODEL1,PARMS,sRB1,0.577235945,-0.116011674,0.087482632,-0.339074989,1.479955441,0.076032343,0.372804881,-0.928784733,0.429775762,-0.493098651,0.440478249,-1
592,MODEL1,PARMS,sRB1,0.620033394,0.420267435,0.154243356,-0.127545496,-0.079915963,0.082076866,-0.077821268,-0.357781605,0.131340903,0.226686825,-0.392243211,-1
593,MODEL1,PARMS,sRB1,0.663463433,-0.40577573,0.141946272,-0.201136954,0.665438627,0.099393865,0.528414926,-1.664641535,0.281822661,-0.282646122,0.58507032,-1
594,MODEL1,PARMS,sRB1,0.581579342,-5.403089255,0.210745326,-0.362885649,1.258772771,0.462069379,-0.751782167,1.161780228,0.015276085,0.284298295,-0.390721367,-1
595,MODEL1,PARMS,sRB1,0.626333347,2.986495337,0.141771859,-0.27260394,0.693959491,-0.061290171,0.279784539,-1.112631659,0.012276623,0.733672917,-1.136796558,-1
596,MODEL1,PARMS,sRB1,0.562584834,0.020116267,0.141997017,-0.183938794,0.349394599,0.103262223,0.213956488,-1.256633514,0.140896816,0.431652131,-1.030936623,-1
597,MODEL1,PARMS,sRB1,0.640361883,-2.28112541,0.370335364,-0.513296327,1.165679744,0.178879726,-0.598343971,1.274348461,0.149152262,0.352928056,-0.390982532,-1
598,MODEL1,PARMS,sRB1,0.643444885,-2.146442538,0.287161755,-0.646608397,2.111756786,0.20640942,-1.130559807,2.489518666,0.181203761,0.517122738,-1.220241966,-1
599,MODEL1,PARMS,sRB1,0.641500362,1.876208928,0.059855799,-0.26327321,1.205098679,-0.056207777,0.122536917,-0.313453248,0.490613063,-0.681012896,1.057209184,-1
600,MODEL1,PARMS,sRB1,0.600689477,-1.055619466,0.173953954,-0.211584679,0.598376442,0.171131266,-0.01374771,-0.746201306,0.118782787,0.10255373,0.153730758,-1
601,MODEL1,PARMS,sRB1,0.600203154,1.097047705,0.256385454,-0.508101161,1.505098624,-0.031897417,-0.012432819,-0.083386767,0.313460301,-0.435628102,1.057449215,-1
602,MODEL1,PARMS,sRB1,0.671607908,-0.153144736,0.046762025,-0.067873923,0.291693417,0.165769905,-0.554459415,1.264475179,0.041149205,0.941725226,-2.337466154,-1
603,MODEL1,PARMS,sRB1,0.640698202,-3.548931599,0.135567051,-0.129042767,0.318340905,0.37428476,-0.906277236,1.66037827,0.006463158,0.287768135,-0.354859839,-1
604,MODEL1,PARMS,sRB1,0.597810843,0.347535539,0.196230641,-0.258178938,0.661232892,0.013842023,0.615827501,-1.778970423,0.34458662,-0.521542704,1.239653648,-1
605,MODEL1,PARMS,sRB1,0.625813369,-7.568345966,0.282410298,-0.709761575,2.619036019,0.586456439,-1.438875152,2.622174252,-0.005157716,1.124074876,-2.516498804,-1
606,MODEL1,PARMS,sRB1,0.664863363,4.335315513,0.301428786,-0.635481584,2.132269118,-0.261123521,1.298225198,-3.253571661,0.256814976,0.6234559,-1.84427763,-1
607,MODEL1,PARMS,sRB1,0.606000626,-6.827750212,0.160961189,-0.006687373,-0.149436215,0.494260662,-1.098652484,2.306462406,0.335369188,-0.708786174,1.493119577,-1
608,MODEL1,PARMS,sRB1,0.612900834,-0.190683018,0.282898252,-0.55575487,1.754940654,0.002598957,0.39206215,-0.940797168,0.484770797,-0.650375229,1.009176789,-1
609,MODEL1,PARMS,sRB1,0.66209289,1.026242975,0.148417314,-0.373261638,1.169032667,0.077758374,0.068290652,-0.326398578,-0.05728414,1.25939708,-2.878227316,-1
610,MODEL1,PARMS,sRB1,0.657456637,2.852600212,0.13263349,-0.281000958,0.874021534,-0.0546977,-0.117972541,0.138373827,0.071578533,0.64661719,-1.392993532,-1
611,MODEL1,PARMS,sRB1,0.661059462,2.973802554,0.00638272,-0.016911047,0.105004927,-0.131668116,1.654492055,-4.578812565,0.539673181,-1.352314646,2.691911608,-1
612,MODEL1,PARMS,sRB1,0.608287624,9.231745527,0.198106044,-0.353937568,1.181663713,-0.51525037,1.724052498,-3.907054757,0.114893511,0.739030456,-1.712323899,-1
613,MODEL1,PARMS,sRB1,0.620045216,3.452197019,0.12547656,-0.302056628,0.932066319,-0.178676242,1.07902747,-2.778291193,0.476121474,-1.10038476,2.199677604,-1
614,MODEL1,PARMS,sRB1,0.610938654,4.712652489,0.25677327,-0.787195614,2.579927363,-0.20951568,0.709002053,-2.322762302,0.104239672,0.244846864,-0.211371057,-1
615,MODEL1,PARMS,sRB1,0.59917414,-0.526669946,0.160487946,-0.277964661,0.807459068,0.109486933,-0.7916697,2.048710411,0.239070064,0.39333706,-1.367628429,-1
616,MODEL1,PARMS,sRB1,0.613115108,1.306806192,0.280830841,-0.534447846,1.930255537,-0.077363046,0.740391591,-1.938808454,0.380564832,-0.578494083,1.273590382,-1
617,MODEL1,PARMS,sRB1,0.665581766,0.843017958,0.123766577,-0.22194712,0.764223326,-0.000464824,-0.10261337,0.194682946,0.379405119,-0.150291359,0.17097241,-1
618,MODEL1,PARMS,sRB1,0.673981247,-0.236590106,0.193915186,-0.308937109,0.996050122,0.058432802,0.11315578,-0.334550416,0.33683948,-0.307932766,0.504939934,-1
619,MODEL1,PARMS,sRB1,0.628895359,-0.34563959,0.125516038,-0.254442786,0.890835177,0.083292427,0.132175638,-0.62063306,0.377895313,-0.624829953,1.335969569,-1
620,MODEL1,PARMS,sRB1,0.623727634,-1.576782275,0.201375793,-0.542173469,2.144949819,0.132899818,0.183329698,-0.82196011,0.454430946,-0.734531505,1.229142126,-1
621,MODEL1,PARMS,sRB1,0.611329024,-1.733997259,0.16048913,-0.208094157,0.551416086,0.18563727,0.517457348,-1.756092436,0.201788703,-0.048691731,0.34185445,-1
622,MODEL1,PARMS,sRB1,0.580371431,-2.396546429,0.166346397,-0.422178062,1.562955218,0.254629032,-0.179456091,-0.148846556,0.177177741,-0.408826295,1.25298024,-1
623,MODEL1,PARMS,sRB1,0.620938453,4.842104332,0.204351996,-0.585023857,2.286740498,-0.218206351,1.180410192,-3.244931263,0.093034151,0.211653188,0.031027217,-1
624,MODEL1,PARMS,sRB1,0.694010937,2.383817602,0.200257936,-0.357417517,1.098795376,-0.105315064,0.862307717,-2.290784883,0.351860393,-0.823638469,1.872483079,-1
625,MODEL1,PARMS,sRB1,0.617914877,-2.496290496,0.102619013,-0.25519252,0.985704026,0.253834982,0.2568088,-1.078766066,0.251786949,-0.373862857,0.899387044,-1
626,MODEL1,PARMS,sRB1,0.643901373,-0.208797635,0.062708724,-0.166155426,0.447184334,0.088024358,-0.548814571,1.369159018,0.500840191,-1.331928494,2.787388369,-1
627,MODEL1,PARMS,sRB1,0.634903996,-1.043944212,0.190727693,-0.343660041,0.83350361,0.146042274,0.163949802,-0.826643362,0.231404855,-0.032598364,-0.314708433,-1
628,MODEL1,PARMS,sRB1,0.687779023,-1.70856813,0.030166448,-0.113866652,0.573053489,0.202937204,-0.167035922,-0.316158105,0.423915406,-0.520664539,0.879039437,-1
629,MODEL1,PARMS,sRB1,0.641299514,3.34690502,0.109189358,-0.040673978,-0.258824016,-0.128954417,1.069121905,-3.127593246,0.266690364,-0.64760044,1.678153616,-1
630,MODEL1,PARMS,sRB1,0.609207832,2.40450969,0.143500927,-0.371905681,1.291362671,-0.063876145,0.36721733,-0.786137903,0.217766699,0.105936276,-0.425152984,-1
631,MODEL1,PARMS,sRB1,0.635421652,4.349240731,0.017891364,0.076124857,-0.263473685,-0.130444786,0.800430566,-1.887583097,0.101734647,0.354422181,-0.971250596,-1
632,MODEL1,PARMS,sRB1,0.573971551,1.395308118,0.138545283,-0.455999927,1.829203512,-0.070847719,0.505380364,-1.458909118,0.594933473,-1.330574598,2.672822661,-1
633,MODEL1,PARMS,sRB1,0.61287658,1.339794626,0.183741393,-0.308929728,1.039672485,-0.036379355,1.057523542,-3.125679897,0.306709522,-0.4946237,1.277372096,-1
634,MODEL1,PARMS,sRB1,0.604396634,2.85781388,0.205739285,-0.240315058,0.522728495,-0.150968062,0.688894335,-1.732459786,0.317208277,-0.13622692,0.299103937,-1
635,MODEL1,PARMS,sRB1,0.624986224,-0.558730051,-0.093436443,0.226112548,-0.850109145,0.205665044,-0.150056553,0.05720039,0.219704659,-0.043545989,-0.038175525,-1
636,MODEL1,PARMS,sRB1,0.56400637,0.132350355,0.138152393,-0.344856658,1.058758011,0.038273351,0.261342409,-1.05804965,0.431459004,-0.233236044,0.251267879,-1
637,MODEL1,PARMS,sRB1,0.667558694,-0.549498706,0.183368463,-0.443477687,1.459537138,0.141206355,-0.311503909,0.366370854,0.143808697,0.152753747,-0.215754459,-1
