SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RLL
332,MODEL1,PARMS,RLL,0.905287208,11.594639,0.050924057,-0.461859401,2.123961094,-0.442130578,1.435739213,-3.207730326,0.296579766,-0.394898771,1.142164286,-1
333,MODEL1,PARMS,RLL,0.839198891,-10.06199933,0.167660573,-0.241491416,0.789659949,0.801651509,-2.184036919,3.84845503,0.883022611,-1.596805013,2.960729807,-1
334,MODEL1,PARMS,RLL,0.84090924,-1.228412323,0.102568541,-0.431268255,1.690219699,0.229383404,-0.8620798,2.02672458,1.033255049,-2.654530042,5.473152479,-1
335,MODEL1,PARMS,RLL,0.866987259,5.092238818,0.248029296,-0.442482176,1.639648832,-0.309734948,1.470494634,-3.301175966,1.293331016,-2.958123446,5.457022632,-1
336,MODEL1,PARMS,RLL,0.81486425,3.037319542,-0.02274811,0.292631764,-1.810481961,0.099794391,0.944796105,-3.159787825,0.344750908,0.14830007,-0.472310033,-1
337,MODEL1,PARMS,RLL,0.829867289,-7.537968301,0.118304642,-0.270257753,1.373985403,0.739367556,-1.632911941,2.884084223,0.469444672,-0.796730019,1.669792867,-1
338,MODEL1,PARMS,RLL,0.915806247,0.310907503,0.066427576,-0.07596793,-0.104519243,0.22260133,0.089175786,-0.332189246,0.53269824,-0.869553165,1.673031238,-1
339,MODEL1,PARMS,RLL,0.907582903,14.25648129,0.228369737,-0.433786975,1.362574386,-0.666141856,2.455482283,-5.717523182,0.200110325,0.046441682,-0.016163465,-1
340,MODEL1,PARMS,RLL,0.855370495,14.3860123,-0.132482638,0.045916356,0.070528369,-0.768838798,2.262441809,-4.924070025,1.24205803,-2.533640367,4.568006434,-1
341,MODEL1,PARMS,RLL,0.864763544,0.601906869,0.013634833,-0.141071606,0.821875916,0.153801722,-0.34245497,0.598369634,0.841856875,-1.143405764,1.859331196,-1
342,MODEL1,PARMS,RLL,0.856689872,-2.688091611,0.050179888,0.05743358,-0.708196946,0.416813538,-1.005082651,1.558374566,0.575623299,-0.866032891,1.803638983,-1
343,MODEL1,PARMS,RLL,0.91604319,4.675319968,-0.014761665,0.191078562,-0.706502885,-0.07507874,0.323206362,-0.580929665,0.706167303,-1.459232294,3.21070141,-1
344,MODEL1,PARMS,RLL,0.768731295,-2.380460125,-0.041771135,0.234867587,-0.718245953,0.447313953,-0.121596044,-0.68101379,0.428032465,-0.615724635,1.213518296,-1
345,MODEL1,PARMS,RLL,0.837308306,0.639287195,-0.007178642,-0.009875497,-0.108778304,0.149525238,-0.283588261,0.182048765,0.934195561,-1.757234468,3.32069443,-1
346,MODEL1,PARMS,RLL,0.875681685,-2.739686493,0.00644692,-0.384306076,1.585603464,0.410445082,-1.206608397,2.586241605,0.792978892,-1.642682275,3.379200345,-1
347,MODEL1,PARMS,RLL,0.893620155,4.681690925,-0.021719492,-0.133796664,0.89338944,-0.084457091,1.10341615,-2.910393591,0.782981199,-1.635625187,3.057334842,-1
348,MODEL1,PARMS,RLL,0.787803613,-6.296402226,0.224949343,-0.210822532,0.26885245,0.432606375,-0.90838756,1.204289634,1.347572966,-3.368916431,6.698875796,-1
349,MODEL1,PARMS,RLL,0.894753086,-4.459137673,-0.067260971,0.149017004,-0.625785754,0.576471717,-1.012049059,1.878189257,0.499448824,-0.008800863,-0.974138875,-1
350,MODEL1,PARMS,RLL,0.887815614,5.357688335,0.126336186,-0.478541256,1.665666596,-0.107347941,0.455597601,-1.200602926,0.487083864,-0.597614691,1.264941019,-1
351,MODEL1,PARMS,RLL,0.779905286,-1.969046928,0.201864899,-0.506940334,1.755984302,0.284933382,-0.608987041,0.808349147,0.797349874,-1.493909343,2.927827834,-1
352,MODEL1,PARMS,RLL,0.840229719,5.956941947,0.089766077,-0.227996203,0.791324089,-0.227255793,0.614031019,-1.362747423,0.940452242,-2.10177825,4.413301911,-1
353,MODEL1,PARMS,RLL,0.898514266,11.50984479,0.163219283,-0.416091219,1.880355983,-0.561662451,1.870754791,-4.385895985,0.664720354,-0.919165909,1.407079149,-1
354,MODEL1,PARMS,RLL,0.87105858,10.23323062,0.193844817,-0.740211941,2.86790541,-0.525123736,1.937627345,-4.188913752,0.906747356,-2.207698146,4.201981862,-1
355,MODEL1,PARMS,RLL,1.002297705,3.867402381,0.257737277,-0.619730577,2.058412205,-0.032934237,0.508928244,-1.379482042,0.397432048,-0.769215795,2.00366564,-1
356,MODEL1,PARMS,RLL,0.861583305,-0.087650303,0.0822629,-0.357975317,1.529882796,0.333982087,-0.397721091,0.023084722,0.14893099,0.687351225,-1.521902875,-1
357,MODEL1,PARMS,RLL,0.77558656,1.520724991,0.121340222,-0.538431366,2.117307014,0.146253237,-0.057230732,-0.40401635,0.571435369,-1.401597624,2.914675214,-1
358,MODEL1,PARMS,RLL,0.850519683,-2.824213608,0.12487659,-0.422718358,1.919942915,0.343211492,-0.912844321,1.515509108,0.933037815,-1.881796533,3.439574431,-1
359,MODEL1,PARMS,RLL,0.835744383,2.980075381,0.234938343,-0.41397302,0.965048199,-0.056969387,0.586143431,-2.000739108,0.864500175,-2.379986577,4.844804881,-1
360,MODEL1,PARMS,RLL,0.849536938,5.939918196,0.173334086,-0.417612971,1.527246007,-0.110604131,0.229157974,-0.77957332,0.249861676,-0.254384229,1.004662058,-1
361,MODEL1,PARMS,RLL,0.852421482,0.695014054,0.057189539,-0.177518264,0.433698643,0.130489485,-0.603735668,1.416305647,0.923885294,-1.941073331,3.728512339,-1
