SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RB4_5
36,MODEL1,PARMS,RB4_5,0.880054169,1.156694628,0.124909142,-0.573824693,1.545038985,0.091900273,-0.59917597,1.332907395,0.714968298,-1.153452663,1.713361642,-1
37,MODEL1,PARMS,RB4_5,0.919224749,2.040106583,0.153283926,-0.402843402,1.247899105,-0.042455325,-0.359785378,0.714792647,1.046922205,-2.71245839,5.445732637,-1
38,MODEL1,PARMS,RB4_5,0.807680169,13.13426241,0.061912882,-0.060216111,-0.233788686,-0.685820624,1.047769468,-0.767852541,0.66531083,-1.179049897,2.195832754,-1
39,MODEL1,PARMS,RB4_5,0.895340428,8.074031272,0.064811398,-0.125725171,0.159222576,-0.432731581,0.851045304,-1.343062601,1.12326735,-3.331735655,6.894938675,-1
40,MODEL1,PARMS,RB4_5,0.832452594,3.545321156,0.133404659,-0.494332931,1.934338144,-0.050238187,-0.350375533,0.962159729,0.583264665,-0.814891149,1.342862308,-1
41,MODEL1,PARMS,RB4_5,0.843694612,2.087517506,-0.029051774,0.027185408,0.026853787,0.114703798,-0.316879038,0.871201948,0.507015617,-1.29156404,2.460125546,-1
42,MODEL1,PARMS,RB4_5,0.891391761,6.434249071,0.198282923,-0.925343451,3.3625592,-0.18689798,0.211653592,-0.192754938,0.363063713,-0.844570532,1.814464374,-1
43,MODEL1,PARMS,RB4_5,0.85106638,11.42149788,0.042324848,-0.20084111,0.621220132,-0.455633824,1.270355653,-2.791834187,0.173335956,-0.091339001,0.45667676,-1
44,MODEL1,PARMS,RB4_5,0.863525734,1.480382764,0.088800282,-0.441196473,1.543685862,0.209931621,-1.464875474,3.392313395,0.144928657,0.531191641,-1.577186449,-1
45,MODEL1,PARMS,RB4_5,0.841902709,6.833151963,0.032073235,-0.184808663,0.547196215,-0.260849206,0.970896997,-1.809543359,0.6805051,-1.482348517,2.637791633,-1
46,MODEL1,PARMS,RB4_5,0.825854815,3.612672277,-0.03738969,-0.211789168,0.639529387,0.016186146,-1.651900513,4.338817331,0.591846996,-0.900813206,1.573936557,-1
47,MODEL1,PARMS,RB4_5,0.940751893,3.065572751,-0.029368505,-0.061404049,0.097157359,-0.051165376,-1.255560517,3.645656467,1.00993031,-2.04208016,3.759095641,-1
48,MODEL1,PARMS,RB4_5,0.903539808,3.417138876,0.017291071,-0.113468751,0.072663432,-0.02441191,0.411556355,-1.078177752,0.63779897,-1.119370341,1.869427436,-1
49,MODEL1,PARMS,RB4_5,0.916110812,6.819562754,0.225348436,-0.625269298,2.051440783,-0.401223203,0.939142539,-1.871561913,1.076864841,-1.89627033,3.02153874,-1
50,MODEL1,PARMS,RB4_5,0.836631317,8.975443045,0.166596408,-0.73147069,2.789623254,-0.439584925,0.511855125,-0.539700539,0.735400451,-1.117802751,1.76768156,-1
51,MODEL1,PARMS,RB4_5,0.812073772,7.026677318,-0.032862046,-0.272924664,1.137727363,-0.318030545,1.040055411,-2.509896462,1.068363461,-2.490683174,4.531100123,-1
52,MODEL1,PARMS,RB4_5,0.869287128,-3.72209699,0.01614215,-0.161972201,0.478203038,0.484356097,-1.280533374,2.671759709,0.4579218,-0.593039484,0.830901675,-1
