SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LMB
609,MODEL1,PARMS,LMB,1.134163616,19.1364733,0.495927062,-1.36634061,4.394053815,-0.998308918,2.7614485,-5.083597994,1.045783405,-1.379109561,1.555221024,-1
610,MODEL1,PARMS,LMB,1.217186931,13.71226092,0.317924645,-0.565956567,2.308957077,-0.55721571,0.978070783,-1.705475626,0.822992912,-0.619595328,0.486520484,-1
611,MODEL1,PARMS,LMB,1.216425669,3.591542363,0.058384333,-0.198892453,0.748555029,0.125012638,-0.368312602,1.335343461,1.244335332,-4.022829121,8.170885295,-1
612,MODEL1,PARMS,LMB,1.153898937,12.834265,0.43594454,-0.87867206,3.039364016,-0.507148788,1.5322091,-3.214811833,0.647006761,0.065008847,-1.021091233,-1
613,MODEL1,PARMS,LMB,1.129817059,8.307742475,0.20576592,-0.343121575,0.911508653,-0.148844229,1.069470945,-2.130629831,0.74724378,-0.943121483,1.00309156,-1
614,MODEL1,PARMS,LMB,1.078356261,11.98285606,0.199413442,-0.240780734,0.650518401,-0.400399762,2.687557314,-7.046156647,0.777706302,-1.21612077,1.800192079,-1
615,MODEL1,PARMS,LMB,1.133069004,17.63686046,0.346222415,-0.635902504,2.066897242,-0.897338641,2.87594932,-5.938555896,1.11895829,-2.020285909,3.28320536,-1
616,MODEL1,PARMS,LMB,1.18172407,7.808887812,0.339114293,-0.968075142,3.924026738,-0.337962315,1.02123134,-1.449230418,1.66611473,-4.370057081,8.463754606,-1
617,MODEL1,PARMS,LMB,1.098219269,10.46480077,0.381894636,-1.230178459,4.815192239,-0.29511935,0.651490379,-1.819447174,0.657649874,-1.057323493,2.13976563,-1
618,MODEL1,PARMS,LMB,1.20727987,0.217210323,0.120135797,0.290447677,-1.293371539,0.193974791,0.161849946,-0.246690342,1.700202566,-5.158041677,10.23818555,-1
619,MODEL1,PARMS,LMB,1.206629411,8.487714273,0.517047283,-1.295062695,4.521599717,-0.238885748,1.367849403,-3.426866021,0.740272104,-1.436998078,2.748926924,-1
620,MODEL1,PARMS,LMB,1.234177888,-0.835541271,0.210483104,-0.464388774,2.079811426,0.244964163,0.03272651,-0.933090007,1.66646297,-3.475552589,5.96418171,-1
621,MODEL1,PARMS,LMB,1.044721229,10.90683777,0.160419468,0.00147874,-0.340074795,-0.366206673,3.029858244,-7.356978671,0.937841067,-2.429893933,4.936248824,-1
622,MODEL1,PARMS,LMB,1.043646452,3.671876185,0.285755704,-0.413031665,1.903565212,0.007580943,2.156447919,-5.587386536,1.219334701,-3.26005158,6.422822126,-1
623,MODEL1,PARMS,LMB,1.13174653,4.698580663,0.392237983,-0.799602111,2.951754657,-0.032642873,0.195813817,-0.307005255,1.056340757,-1.944055358,3.587713106,-1
624,MODEL1,PARMS,LMB,1.318752975,-0.113415277,0.392467109,-1.277288667,5.562252145,0.325947171,-0.55211913,1.167880829,0.965495326,-2.33994,4.389623302,-1
625,MODEL1,PARMS,LMB,1.160151165,9.718697325,0.17795413,-0.447107953,1.987095735,-0.444613895,1.393189531,-3.471139027,1.833178635,-4.794782429,9.501354769,-1
626,MODEL1,PARMS,LMB,1.176713922,10.00113992,0.18853772,-0.286330138,0.713124971,-0.278042083,2.133595983,-5.785835784,0.803050697,-1.724560432,3.39377087,-1
627,MODEL1,PARMS,LMB,1.091587645,4.638680856,0.399575609,-0.848747269,2.892310672,0.05808294,0.80928082,-1.908657763,0.604581392,-0.894537434,1.179247605,-1
628,MODEL1,PARMS,LMB,1.254214184,15.37924674,0.002197773,-0.16032351,1.14124362,-0.740899285,2.854881653,-6.059606033,1.712940213,-3.956634629,6.87189775,-1
629,MODEL1,PARMS,LMB,1.094546147,15.60314183,0.243217424,-0.565487961,1.853061765,-0.604634427,2.171741677,-5.253742733,0.6550566,-0.950801059,1.616428322,-1
630,MODEL1,PARMS,LMB,1.122588823,8.284408755,0.284715551,-0.619477713,2.460176091,-0.164099761,-0.422632437,2.043402248,0.808029818,-1.766038313,3.235301854,-1
631,MODEL1,PARMS,LMB,1.267994731,17.68878493,-0.017621161,0.084775714,-0.165910466,-0.595179071,3.415679127,-7.744003837,0.257656138,0.057721676,-0.517451482,-1
632,MODEL1,PARMS,LMB,1.157115716,6.42191833,0.256769793,-0.468139662,1.936934783,-0.105911644,1.107381794,-2.557591662,1.082933441,-3.047117021,6.051098561,-1
633,MODEL1,PARMS,LMB,1.083727332,19.30184527,0.370346501,-1.060038868,4.202985861,-0.940733735,3.645919334,-8.626073975,0.798081971,-0.949454478,1.759342268,-1
634,MODEL1,PARMS,LMB,1.151519032,13.70594803,0.438100932,-0.97558908,3.999047637,-0.705951738,1.479200489,-2.376259651,1.389031738,-2.900007992,5.223692975,-1
635,MODEL1,PARMS,LMB,1.185378469,10.12268655,0.016481279,-0.254506512,1.317366394,-0.275898278,1.945517621,-4.246708376,1.115847825,-2.774170133,5.247319264,-1
636,MODEL1,PARMS,LMB,1.053727886,1.913071987,0.280107057,-0.791338099,3.282738753,0.22686419,-0.96868794,1.996839691,0.929833174,-2.069401883,4.467498889,-1
637,MODEL1,PARMS,LMB,1.183938793,4.365071515,0.232798461,-0.10853978,-0.062808889,0.127907789,-0.486962083,0.761657122,0.603991696,-0.947407323,2.096474101,-1
638,MODEL1,PARMS,LMB,1.192482114,8.89360663,0.402476196,-0.277796434,0.312386781,-0.40118176,2.087598978,-4.399011582,1.39815039,-3.068531565,5.396579838,-1
639,MODEL1,PARMS,LMB,1.045433509,3.523528712,0.312515793,-0.91524462,3.684824759,0.050786467,0.105913385,-0.376593897,1.186613077,-1.638537192,2.081152722,-1
640,MODEL1,PARMS,LMB,1.160605112,5.107923788,0.107529654,-0.273760466,1.841069437,-0.007349491,1.340496214,-3.426464076,1.208622513,-2.921748071,5.555138595,-1
641,MODEL1,PARMS,LMB,1.11779449,13.69990902,0.142675904,-0.373627189,1.48199799,-0.690461567,2.539585262,-5.581284771,1.737969223,-4.13696155,7.931819222,-1
642,MODEL1,PARMS,LMB,1.122931672,9.57183849,0.152988057,-0.068916343,0.376784021,-0.208624832,1.285343321,-3.068780957,0.591553101,0.15722704,-0.996275713,-1
643,MODEL1,PARMS,LMB,1.08813458,9.932052325,0.345155616,-0.732166742,2.785218589,-0.368420619,1.622005839,-3.370004171,1.062770162,-2.930784115,5.958209442,-1
644,MODEL1,PARMS,LMB,1.105831598,8.442697447,-0.008128834,0.074807492,0.309602845,-0.017987492,0.806598217,-1.888979271,0.43692093,-0.86753378,1.730546444,-1
645,MODEL1,PARMS,LMB,1.083876758,-0.478835174,0.132805727,-0.185835619,0.652590041,0.386768898,-0.20841928,0.317265687,1.033436745,-2.782455603,5.573200337,-1
646,MODEL1,PARMS,LMB,1.124068357,10.12074811,0.369146723,-1.026472025,3.860426525,-0.372915054,1.463983001,-2.940109203,1.038185309,-1.780206122,2.883157006,-1
647,MODEL1,PARMS,LMB,1.067556148,9.740951738,0.244934237,0.149772863,-1.12816976,-0.356112881,1.795441126,-4.249378969,1.106271415,-2.238777135,4.162278383,-1
648,MODEL1,PARMS,LMB,1.071051661,-8.165169112,0.206443008,-0.576961698,2.108892524,0.709484559,-1.676179956,3.385354294,1.863427571,-4.617836802,8.793974393,-1
649,MODEL1,PARMS,LMB,1.081391095,9.940812214,0.339675097,-0.399288384,1.041767016,-0.414222875,2.447316632,-6.192885028,1.235419553,-3.284814361,6.577632215,-1
650,MODEL1,PARMS,LMB,1.147289246,17.3537574,0.222253185,-0.263835821,0.823170436,-0.740318217,2.413665738,-4.82716705,0.600627286,-0.473821916,0.701837366,-1
651,MODEL1,PARMS,LMB,1.121513788,-5.062565507,0.506520767,-1.204366384,4.462340807,0.584774121,-1.159650158,1.422922766,1.067748359,-2.554705864,5.100305689,-1
652,MODEL1,PARMS,LMB,1.170423107,16.69359711,0.331960563,-0.443014424,1.47477846,-0.742031931,2.178847155,-5.110364926,0.690083573,-0.624822913,1.133393142,-1
653,MODEL1,PARMS,LMB,1.148301802,18.55514737,0.26922525,-0.433714207,1.592184014,-0.773149746,2.092670117,-4.756085982,0.459312381,-0.727967487,2.151028791,-1
654,MODEL1,PARMS,LMB,1.129082991,5.296321578,0.24294236,-0.593975485,2.382210451,0.039665946,0.905244864,-2.189327879,0.741540018,-0.965011766,1.557231288,-1
655,MODEL1,PARMS,LMB,1.179487201,15.76245975,0.236782282,-0.625230748,2.281221392,-0.892233531,1.325481882,-2.489437224,1.94449188,-4.325792142,8.125694961,-1
656,MODEL1,PARMS,LMB,1.142569755,10.34013625,0.151243961,-0.514161992,2.720908458,-0.309807508,2.115592152,-5.141979394,0.938431585,-2.449021746,5.1227528,-1
657,MODEL1,PARMS,LMB,1.111044158,4.284587541,0.473852446,-0.898945358,3.244769274,0.095356114,0.587728261,-1.864152057,0.430372348,-0.446952965,0.905353922,-1
658,MODEL1,PARMS,LMB,1.277392143,-1.902309622,0.243265693,-0.89336676,4.158263783,0.344336919,-1.854858123,4.316122484,1.601469844,-3.368464038,6.400683577,-1
659,MODEL1,PARMS,LMB,1.152087321,8.646112269,0.350267919,-1.198331133,4.663220156,-0.299091786,1.942979915,-4.860922457,1.25041677,-2.6823095,4.954622355,-1
660,MODEL1,PARMS,LMB,1.137903115,16.02859226,0.366460122,-0.687056301,2.707399557,-0.744666466,3.350884282,-8.240460158,0.9469425,-2.630960513,5.77375483,-1
661,MODEL1,PARMS,LMB,1.136057054,12.34441835,0.520909994,-1.14618534,3.904803759,-0.492370983,1.382756622,-2.95654587,0.625008907,-0.606378228,1.096241506,-1
662,MODEL1,PARMS,LMB,1.14244374,13.05161267,0.207236277,-0.136506346,0.684527612,-0.459850149,2.048497986,-5.515754649,0.688811702,-1.720969625,4.158359863,-1
663,MODEL1,PARMS,LMB,1.112366801,3.215849817,0.371632973,-1.094118736,4.135230675,0.069522046,-0.237411375,0.236530299,1.13191543,-2.128153458,4.110972642,-1
664,MODEL1,PARMS,LMB,1.086501874,8.386156888,0.381950415,-1.004026213,3.410115986,-0.309547384,1.433973861,-3.748301666,1.284525717,-3.10264148,6.079569318,-1
665,MODEL1,PARMS,LMB,1.138826866,7.780149922,0.088197436,-0.448412984,2.451977811,-0.084789122,-0.817089913,2.509230665,0.879657251,-1.536795135,3.08250216,-1
666,MODEL1,PARMS,LMB,1.05631101,11.37768884,0.203617453,-0.191517003,1.124334559,-0.385473322,1.722761814,-3.694773749,0.833954768,-1.587320978,3.064342788,-1
667,MODEL1,PARMS,LMB,1.11024528,7.666813161,0.260310679,-0.47854274,1.64043191,-0.140294952,0.786499023,-2.038267994,0.867087238,-1.918808279,3.51010505,-1
668,MODEL1,PARMS,LMB,1.17990158,6.048738352,0.443164557,-0.751755262,1.571978388,-0.110918422,0.405015028,-0.735942872,1.009214826,-2.401854099,4.913169279,-1
669,MODEL1,PARMS,LMB,1.158403792,-4.388551528,0.570904108,-1.683487493,6.216721291,0.463312505,-1.256577897,2.33142993,1.501309151,-4.857778767,10.33092322,-1
670,MODEL1,PARMS,LMB,1.13750088,5.299040659,0.008259613,-0.168554735,1.111946044,-0.031790603,-0.881229511,2.052275805,1.529003405,-3.670470304,6.951918614,-1
671,MODEL1,PARMS,LMB,1.076827041,5.852047822,0.348732261,-1.081735287,4.51057874,-0.150002753,2.552586624,-5.971631175,1.296685157,-3.687918259,6.97062033,-1
672,MODEL1,PARMS,LMB,1.150600054,2.095053506,0.148057168,-0.264981666,1.534940042,0.075338578,1.127868829,-4.23205179,1.698392663,-4.130216685,7.863148128,-1
673,MODEL1,PARMS,LMB,1.131440772,-3.246383444,0.340559364,-0.590802838,2.28596539,0.564949193,-1.487177834,2.84536553,0.823443344,-1.338902616,2.237627327,-1
674,MODEL1,PARMS,LMB,1.13500013,8.552882238,0.244441886,-0.487284222,1.497484474,-0.121083285,0.583839189,-2.172085752,0.563146227,-0.981108919,2.441782454,-1
675,MODEL1,PARMS,LMB,1.173811712,13.78815533,0.371888102,-1.112373841,4.47334929,-0.737800602,3.234462609,-7.152326339,1.670799127,-4.850577031,9.671473611,-1
676,MODEL1,PARMS,LMB,1.184922277,-9.270005158,0.490750486,-1.207524575,4.981513048,0.854235845,-1.370708309,1.654221751,0.99703798,-1.472040641,2.539710341,-1
677,MODEL1,PARMS,LMB,1.129569383,9.637166103,0.291082384,-1.112888972,4.512350481,-0.425660434,1.793430979,-4.717142787,1.664105475,-4.404997063,8.89352752,-1
678,MODEL1,PARMS,LMB,1.114004314,6.05980811,0.380360179,-0.467449433,1.541842304,-0.097569061,0.894827023,-3.158668177,0.908972062,-2.076001656,4.250501294,-1
