SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,sLB10
1,MODEL1,PARMS,sLB10,0.928727279,6.988194727,-0.032137925,0.292115688,-1.73678962,-0.297749654,1.189120379,-3.115050443,0.258645535,0.085659201,-0.469319205,-1
2,MODEL1,PARMS,sLB10,0.893663849,5.281843789,0.051079805,0.170987461,-0.988212822,-0.224236191,0.035020438,-0.157638165,0.367666471,-0.792706568,1.545018367,-1
3,MODEL1,PARMS,sLB10,1.008540883,-4.559095414,0.200579719,-0.415909409,1.100926801,0.378419134,-0.480343716,0.373887669,0.357034822,-0.727251446,1.241787416,-1
4,MODEL1,PARMS,sLB10,0.981782691,0.141050453,-0.060913585,0.062135666,-0.168011273,0.104820927,-0.183616818,-0.181284208,0.568409977,-1.329023947,2.638503125,-1
5,MODEL1,PARMS,sLB10,0.891699625,-0.988500179,-0.00423691,-0.001170105,0.471522863,0.111425748,0.711776083,-2.121671051,0.738945624,-2.209497513,4.458503582,-1
6,MODEL1,PARMS,sLB10,0.925681456,4.251976186,-0.021957963,0.201962484,-0.632873483,-0.238505952,0.614090655,-1.257255826,0.818224047,-2.333777216,4.797172571,-1
7,MODEL1,PARMS,sLB10,0.956400984,-12.18761009,-0.025805782,0.020623912,0.763964311,0.935948881,-2.364833901,3.941647966,0.380569226,-0.485868905,0.999672526,-1
8,MODEL1,PARMS,sLB10,0.861669881,2.191791736,0.04315477,-0.144797923,0.395478408,-0.08482295,-1.009067142,3.073746148,0.708095743,-1.718650761,3.509450818,-1
9,MODEL1,PARMS,sLB10,0.806399193,1.414943884,0.098001494,-0.323330106,1.167254507,-0.05539485,0.306502981,-0.88003756,0.706858345,-2.051738515,3.99751568,-1
10,MODEL1,PARMS,sLB10,0.994809315,7.65496285,-0.046799691,-0.011567995,0.478968543,-0.453733112,1.365059704,-2.986335357,0.857123707,-2.747328708,5.838211924,-1
11,MODEL1,PARMS,sLB10,0.868272785,-6.75719527,0.096622359,-0.279521996,0.781985044,0.571099265,-1.514335123,2.492749058,0.30007323,-0.754271843,1.50012314,-1
12,MODEL1,PARMS,sLB10,0.884169795,11.6197151,-0.038540765,0.115545038,-0.443752521,-0.661041558,1.675310568,-3.689713285,0.585334157,-1.136938288,2.021598934,-1
13,MODEL1,PARMS,sLB10,0.981230138,-7.769487283,-0.109546485,0.294956053,-0.482569663,0.55086488,-1.071991548,1.972416681,0.948539891,-2.800887679,5.455573366,-1
14,MODEL1,PARMS,sLB10,0.842642593,0.185792791,-0.019198592,-0.149469492,0.513608795,0.130372666,-0.672388845,1.670826345,0.45340633,-1.829094199,4.437170467,-1
15,MODEL1,PARMS,sLB10,0.909216147,-8.290920968,0.107391699,-0.121519109,0.194801036,0.616926885,-1.752806543,3.381671969,0.47190931,-0.908695094,1.656047191,-1
16,MODEL1,PARMS,sLB10,0.819253923,-0.027674404,0.13493892,-0.949325849,4.174920004,0.089153461,-0.56716789,0.705763455,0.543173305,-1.757471142,3.582807673,-1
17,MODEL1,PARMS,sLB10,0.894348884,-4.569377665,0.132945975,-0.510266036,2.165409082,0.325596655,-0.31067983,-0.278721753,0.688361135,-1.614318249,3.0444473,-1
18,MODEL1,PARMS,sLB10,0.842660364,-6.015588459,0.083785591,-0.203260509,0.550992039,0.49702201,-1.258556494,2.014503664,0.38409997,-0.290016424,0.424872988,-1
19,MODEL1,PARMS,sLB10,0.938222245,-3.367548996,-0.097414606,0.242139836,-0.625639031,0.301591725,-0.99715182,1.59087689,0.809354479,-2.07941734,3.830958661,-1
20,MODEL1,PARMS,sLB10,0.850200754,-4.896334726,0.053936262,0.143283634,-0.836770103,0.447001163,-0.918916355,1.186049371,0.311273648,-0.5404154,0.965889219,-1
21,MODEL1,PARMS,sLB10,0.844311877,-6.642002801,-0.031988386,0.141586522,-0.486503209,0.450597923,-1.294553966,2.175335107,1.038504915,-3.544487498,7.455933656,-1
22,MODEL1,PARMS,sLB10,0.906814593,8.247651067,0.001615053,0.161963204,-0.873640066,-0.457128492,1.322800922,-3.21296839,0.552096576,-0.840973809,1.54357994,-1
23,MODEL1,PARMS,sLB10,0.929688048,3.157881483,-0.154172968,0.775210673,-2.888837602,-0.097378711,0.972628673,-2.707488635,0.587274357,-1.144098531,2.106935252,-1
24,MODEL1,PARMS,sLB10,0.839140357,-1.20465377,0.273488176,-0.799108688,2.711256052,0.084344306,0.073778087,-0.85625644,0.588414869,-1.407838537,2.847858691,-1
25,MODEL1,PARMS,sLB10,0.968964531,3.516350368,0.139868604,-0.268392935,1.230689243,-0.243709945,1.062473993,-2.936595269,0.810198604,-2.272893737,4.85150129,-1
26,MODEL1,PARMS,sLB10,0.905588501,3.679739575,0.112504689,-0.059489563,-0.373496305,-0.239401344,0.471308632,-0.861567066,0.840387358,-2.592847929,5.267896567,-1
27,MODEL1,PARMS,sLB10,0.95327764,-5.428950962,0.061334072,-0.145928102,0.650789164,0.425333422,-1.533093765,2.898001399,0.613910672,-1.268115702,2.567584418,-1
28,MODEL1,PARMS,sLB10,0.85053066,4.030697305,-0.034458489,0.385210046,-1.454682452,-0.134357393,0.251361691,-0.653809626,0.380505827,-0.835324035,1.770704396,-1
29,MODEL1,PARMS,sLB10,0.879677349,-2.114203258,-0.006309193,-0.018918849,-0.126779207,0.270709285,-0.394121259,0.165342252,0.381150048,-1.028408445,2.247897153,-1
30,MODEL1,PARMS,sLB10,0.84745318,-2.656504285,0.023259936,0.030489023,-0.45230854,0.196510496,-0.230231464,0.304315015,0.828295206,-2.031614408,3.806718477,-1
31,MODEL1,PARMS,sLB10,0.874024023,4.302001476,0.207125925,-0.4304619,1.120545094,-0.368485719,0.302351159,-0.203255169,1.135930969,-2.365741393,4.103261316,-1
32,MODEL1,PARMS,sLB10,0.917192478,2.369656717,0.091873749,-0.061900867,-0.335349664,-0.12277801,0.344448089,-0.927692153,0.769199432,-2.550144416,5.064500824,-1
33,MODEL1,PARMS,sLB10,0.890279721,2.235222919,0.091780519,-0.189046773,0.581253533,-0.115151297,0.016761816,-0.428880085,0.770228152,-2.127748682,4.338846715,-1
34,MODEL1,PARMS,sLB10,0.877641665,-1.268507996,0.053031009,-0.251864537,0.943651266,0.218936226,-1.281636176,2.799303998,0.316360109,-0.282678056,0.361961513,-1
35,MODEL1,PARMS,sLB10,0.844663963,9.600443648,-0.025561562,0.340580595,-1.79969834,-0.547474731,1.237953457,-2.670804704,0.650910537,-1.718731219,3.411206881,-1
36,MODEL1,PARMS,sLB10,0.908799502,5.209758774,0.01129379,0.079147882,-0.752244923,-0.323438334,1.150394847,-3.232141675,0.910677153,-2.667677295,5.678883034,-1
37,MODEL1,PARMS,sLB10,0.868234153,-1.707930075,0.287140325,-0.881758175,2.943251569,0.092208706,-0.655438689,1.579815896,0.714981057,-1.39579986,2.637154652,-1
38,MODEL1,PARMS,sLB10,0.944343667,-0.342605193,0.053291992,-0.307381312,1.354564258,0.076667477,-0.403714686,0.395097055,0.740964685,-2.2493296,4.810920979,-1
39,MODEL1,PARMS,sLB10,0.866027264,0.779012173,-0.020840898,0.320764747,-1.480039523,-0.056205867,-0.803975647,1.878494031,1.105718759,-3.381047552,6.891456873,-1
40,MODEL1,PARMS,sLB10,0.886563345,-11.28408637,0.042391436,0.014401449,0.107416325,0.76203808,-2.108941225,3.652856729,0.86184373,-2.13072965,4.077350075,-1
41,MODEL1,PARMS,sLB10,0.913235063,-6.685602842,0.115614488,-0.388507925,1.58255296,0.477816372,-0.848723281,1.340512155,0.663500337,-1.777695314,3.553000232,-1
42,MODEL1,PARMS,sLB10,0.871324118,1.058058406,0.186942585,-0.489342544,1.717152641,-0.095521593,-0.540282556,1.62329042,0.909996836,-2.073393358,3.614231916,-1
43,MODEL1,PARMS,sLB10,0.85629196,5.100895974,-0.080606001,0.097908955,-0.076520984,-0.194662358,-0.174798782,0.168228126,0.53768658,-1.46410372,3.263505622,-1
44,MODEL1,PARMS,sLB10,0.921180655,0.687984412,0.085144253,0.022233532,-0.535523786,-0.010149852,-0.739920206,1.753681414,0.754994693,-2.150227063,4.334614173,-1
45,MODEL1,PARMS,sLB10,0.924406785,-6.540570029,0.028148002,-0.025358962,0.169772153,0.544711515,-2.184008248,4.47892007,0.411185695,-0.660870845,1.342449028,-1
46,MODEL1,PARMS,sLB10,0.871507548,-9.179101037,-0.014104066,0.141528575,-0.26089347,0.640119747,-1.482544373,2.673304061,0.826222833,-1.957321727,3.450090809,-1
47,MODEL1,PARMS,sLB10,0.874553969,-2.87567719,0.060796082,-0.192673748,0.734596149,0.239860663,-1.239651271,2.480701023,0.647649591,-0.790077608,1.297951133,-1
48,MODEL1,PARMS,sLB10,1.002390233,-18.46911118,0.010790723,0.081351096,0.040896716,1.278175239,-3.77241061,7.136458946,0.711802146,-2.056130833,4.092709454,-1
49,MODEL1,PARMS,sLB10,0.884277882,-1.839452534,0.072009351,0.02568207,-0.671449123,0.252056641,-1.33744878,2.717057411,0.290548886,-0.149960874,-0.062083468,-1
50,MODEL1,PARMS,sLB10,0.942946815,3.578633351,-0.069884586,0.229154405,-0.444194143,-0.215201438,0.114552889,-0.120910298,1.04792524,-2.952611051,5.878511152,-1
51,MODEL1,PARMS,sLB10,0.895111811,-5.474351053,-0.038102623,0.398832827,-1.676332718,0.39759493,-1.866404118,4.002103791,0.920141864,-2.557931183,5.053970739,-1
52,MODEL1,PARMS,sLB10,0.870089915,-1.829268112,-0.030783525,0.051547139,0.272515189,0.223920455,-0.766564449,1.564516288,0.58918467,-1.683226765,3.273773427,-1
53,MODEL1,PARMS,sLB10,1.007548913,-4.980586226,-0.078915608,0.313509085,-1.073047714,0.457900844,-1.734453936,3.462215524,0.544450839,-1.675921535,3.403321625,-1
54,MODEL1,PARMS,sLB10,1.02581021,-1.425837667,0.194798202,-0.462422363,1.66436242,0.179123183,-0.922753183,1.584404036,0.323203883,0.538848803,-1.616673261,-1
55,MODEL1,PARMS,sLB10,0.815201621,-1.417373631,-0.085365947,0.253022939,-0.736116909,0.215370663,-0.340747509,0.148468325,0.545422797,-1.400502328,2.659806858,-1
56,MODEL1,PARMS,sLB10,0.904920052,5.23137594,0.080007345,0.01001996,-0.303690904,-0.315838595,0.944368036,-2.026722363,0.729216701,-1.812257376,3.312834957,-1
57,MODEL1,PARMS,sLB10,0.907840064,-4.806610376,-0.007037058,0.231742565,-0.820620637,0.390689902,-1.232401682,2.203206978,0.573284488,-0.498217003,0.383891786,-1
58,MODEL1,PARMS,sLB10,1.042146319,4.140620076,0.144466195,-0.247458422,0.468536757,-0.261651294,0.78124774,-2.316095574,0.803193247,-2.062307373,4.144811887,-1
59,MODEL1,PARMS,sLB10,0.943736839,-1.001805427,0.047312186,-0.088649027,0.063650052,0.160619903,-0.445006272,0.475644277,0.525794034,-0.875606053,1.32155059,-1
60,MODEL1,PARMS,sLB10,0.995665092,0.737051189,0.11989613,-0.128997324,0.106670649,0.054395043,0.431878248,-1.39139034,0.34438366,-1.082895164,2.499823193,-1
61,MODEL1,PARMS,sLB10,0.915657079,-5.893038356,-0.008086017,0.311334847,-0.901242022,0.41761331,-1.360003876,2.634420785,0.778154916,-1.630352325,3.203585727,-1
62,MODEL1,PARMS,sLB10,0.876088314,-3.956927959,-0.023242326,0.375937424,-1.533347303,0.367761081,-0.000584872,-0.949885374,0.427462238,-0.776351603,1.133400238,-1
63,MODEL1,PARMS,sLB10,0.961428564,-1.140574595,0.054633816,-0.071018218,-0.007332139,0.111918756,0.187172009,-1.074452771,0.706023922,-1.763775779,3.392988231,-1
64,MODEL1,PARMS,sLB10,0.881339559,-0.24180103,0.004759443,0.159034343,-0.665710022,0.139491983,-0.357281363,0.692136501,0.361914458,-0.465511254,0.759845596,-1
65,MODEL1,PARMS,sLB10,0.932324103,10.35373201,-0.154327384,0.470927005,-1.821376067,-0.452103526,0.038043493,-0.206869143,0.221100551,-0.144267501,0.285862514,-1
66,MODEL1,PARMS,sLB10,1.051051024,-5.292496978,0.107621754,-0.359058271,0.93152494,0.408228882,-2.988793161,7.096550406,0.748094962,-1.522976867,2.580076178,-1
67,MODEL1,PARMS,sLB10,0.954411511,-0.442918227,-0.02206054,0.238552625,-0.791611575,0.083202903,-0.053001342,-0.673376614,0.785769405,-2.192176072,4.517236388,-1
68,MODEL1,PARMS,sLB10,0.966174965,0.965963934,-0.151418117,0.728818115,-2.89897527,0.06383514,-0.474532214,0.765664878,0.63276134,-1.934835498,3.86836297,-1
69,MODEL1,PARMS,sLB10,0.850590087,-1.974900682,-0.025961498,0.221840764,-0.675322499,0.221725431,-0.000476146,-1.149560143,0.534200248,-1.550651032,3.531334453,-1
70,MODEL1,PARMS,sLB10,0.889395959,-7.65900741,-0.173764674,0.323085188,-0.705743503,0.625851308,-1.151706933,1.786441209,0.674731188,-1.781836488,3.357630343,-1
71,MODEL1,PARMS,sLB10,0.93432959,6.946142437,-0.190681658,0.435331806,-1.175069384,-0.309379417,0.81471666,-1.788211496,0.584471923,-1.343506719,2.516820712,-1
72,MODEL1,PARMS,sLB10,0.998260322,-11.03267845,0.123370822,-0.293664555,1.224042355,0.830482371,-3.059471915,5.932704495,0.352762877,0.174044325,-0.638607715,-1
73,MODEL1,PARMS,sLB10,0.885378828,7.254678774,-0.104359398,0.227847442,-0.86595205,-0.438175725,0.378285902,-0.543427546,0.99270698,-2.083867198,3.867349807,-1
74,MODEL1,PARMS,sLB10,0.883565457,1.391498963,0.001627424,0.142176376,-0.539699911,-0.040950781,0.561739323,-1.644260649,0.73400609,-1.834960217,3.33556021,-1
