SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LLB6
244,MODEL1,PARMS,LLB6,1.044708794,5.034095045,0.141443679,-0.509192369,1.787004015,-0.155228308,0.64382801,-2.035683467,1.329624812,-3.206511752,6.308466591,-1
245,MODEL1,PARMS,LLB6,0.969531231,5.187570012,0.017809118,0.171889063,-1.030901274,-0.121184861,1.840083811,-5.236696089,1.102557315,-1.945793348,3.396938314,-1
246,MODEL1,PARMS,LLB6,1.048241637,-9.023997117,0.006484155,-0.445236931,2.201231848,0.697604142,-2.133799463,4.359769334,1.898112775,-5.352817519,11.1449676,-1
247,MODEL1,PARMS,LLB6,0.975325246,-8.850176197,0.017529511,-0.409461887,1.909151531,0.692743601,-1.641733698,2.898628526,1.849771147,-5.369908379,11.034886,-1
248,MODEL1,PARMS,LLB6,0.999514308,18.22126836,0.260278891,-0.700928061,2.34738393,-1.053322539,2.332946105,-4.139934229,1.215118422,-1.907241822,3.320753331,-1
249,MODEL1,PARMS,LLB6,1.013383639,5.651541487,0.21375105,-0.2852052,0.161558954,-0.222476039,1.054231124,-2.331938334,1.222514187,-3.057365896,6.460944963,-1
250,MODEL1,PARMS,LLB6,1.031132607,-0.05251531,0.371212868,-0.889709721,2.755530554,0.087784863,0.126487319,0.064719973,1.404948722,-3.93163949,7.781049241,-1
251,MODEL1,PARMS,LLB6,1.048153364,10.56714034,0.300366599,-0.91854791,2.965687178,-0.562780711,1.455491634,-3.235537197,1.272811871,-2.288173049,4.087658381,-1
252,MODEL1,PARMS,LLB6,1.086872332,-9.009704502,0.105277751,-0.137929627,0.350375011,0.789886555,-1.313555369,2.037019653,1.202809378,-3.031683704,5.966022964,-1
253,MODEL1,PARMS,LLB6,1.060207142,2.989947384,0.269192685,-0.590918342,1.792627527,0.018717378,0.088250688,0.078946985,0.877355696,-1.77646527,3.239955325,-1
254,MODEL1,PARMS,LLB6,1.000475231,-5.781288216,0.243220115,-0.643422406,1.700480302,0.433366677,-0.941666847,2.161273755,1.664858169,-4.043749336,7.801076737,-1
255,MODEL1,PARMS,LLB6,0.967640595,-1.17111033,0.237632917,-0.474572235,1.332129368,0.361742556,0.005477271,-0.909381108,0.611245897,-1.694436594,3.754810343,-1
256,MODEL1,PARMS,LLB6,0.963369933,2.684266906,0.209783312,-0.790982843,3.122824471,-0.042825766,-0.205487418,0.676314997,1.457325631,-3.555107364,6.918215147,-1
257,MODEL1,PARMS,LLB6,0.958335706,5.13426387,0.231702285,-0.724923063,2.439782949,-0.264514191,1.590069292,-3.866597797,1.620510387,-4.34381614,8.754794191,-1
