SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,sRB4
1,MODEL1,PARMS,sRB4,0.509911236,9.259126585,0.025832341,-0.046843534,0.036545628,-0.529356726,2.296053903,-5.636508666,0.4165969,-0.905423781,1.843070404,-1
2,MODEL1,PARMS,sRB4,0.483118517,3.213563473,0.106687119,-0.02894814,-0.231257021,-0.157412166,0.998232529,-2.523085002,0.350467599,-0.59426881,1.160429535,-1
3,MODEL1,PARMS,sRB4,0.496362968,-1.279432138,0.082305509,-0.222112535,0.666988303,0.124050964,-0.024401889,-0.339071353,0.53686182,-1.709970829,3.560554431,-1
4,MODEL1,PARMS,sRB4,0.503784695,2.336348303,0.120550093,-0.366101161,1.232193813,-0.048236931,0.12740714,-0.45989532,0.167526732,0.043130971,-0.103721524,-1
5,MODEL1,PARMS,sRB4,0.478748565,-4.283926267,0.068682869,0.055125952,-0.457911183,0.353814308,-0.795918508,1.624639994,0.350525264,-0.93531632,1.916217004,-1
6,MODEL1,PARMS,sRB4,0.508205732,-1.552797662,0.091289573,-0.116410932,0.150518006,0.153692391,-0.262091741,0.394929975,0.46315953,-1.470286524,3.214856462,-1
7,MODEL1,PARMS,sRB4,0.496373561,2.208505666,0.052275218,-0.158716682,0.582261982,-0.070585436,0.547178513,-1.651087974,0.410208515,-0.875517509,1.767016874,-1
8,MODEL1,PARMS,sRB4,0.528213905,-0.119225762,0.009399202,0.075473722,-0.51529274,0.138418802,-0.066855077,-0.389476758,0.230191605,-1.077979302,2.909889544,-1
9,MODEL1,PARMS,sRB4,0.550092438,3.964645391,0.018793347,-0.176992324,0.714481816,-0.134313283,0.979382308,-2.689315408,0.221914748,-0.451204435,0.916951175,-1
10,MODEL1,PARMS,sRB4,0.521450735,6.626959653,0.069140318,-0.193867175,0.595629287,-0.340922507,1.405715234,-3.29926368,0.281599237,-0.535089556,0.975172437,-1
11,MODEL1,PARMS,sRB4,0.473027333,-0.509419497,0.097968809,-0.152870418,0.453649449,0.132048124,-0.201346169,-0.10326085,0.207180811,-0.42729518,1.104311761,-1
