SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LUL
157,MODEL1,PARMS,LUL,0.934698694,9.930100851,0.153457852,0.073969545,-0.857057576,-0.318704895,1.369693595,-2.825926147,0.372364545,-0.517049834,0.667499389,-1
158,MODEL1,PARMS,LUL,0.997045701,10.78847169,0.304618842,-0.252452269,-0.326107525,-0.341091664,0.909611196,-1.322434004,-0.021683801,1.316255784,-3.333473695,-1
159,MODEL1,PARMS,LUL,0.919295372,12.42816733,0.354829238,-0.309098765,0.246884077,-0.45632646,1.895852702,-4.216129382,-0.171072337,2.209502442,-4.994296485,-1
160,MODEL1,PARMS,LUL,0.872353088,7.435008206,0.335230419,-0.410470274,1.118412775,-0.175914222,-0.17639254,1.130172324,0.211765432,0.722945616,-2.153043414,-1
161,MODEL1,PARMS,LUL,0.939620471,6.894708444,0.204219564,0.094070861,-0.82383811,-0.079799045,0.887449479,-1.676208544,0.059111085,0.132195459,-0.398226623,-1
162,MODEL1,PARMS,LUL,0.996669388,5.69338278,0.223989865,-0.279154896,0.93905487,-0.049589265,0.150331992,0.794630585,0.344765222,-1.229614971,2.879993269,-1
163,MODEL1,PARMS,LUL,0.892893341,7.233317765,0.120098563,-0.053748655,-0.451681963,-0.160050149,1.880901896,-5.214535803,0.544668172,-1.693160876,3.619446157,-1
164,MODEL1,PARMS,LUL,0.959517158,6.160240904,0.493215231,-0.928088414,2.880042046,-0.163117586,1.040055976,-2.674680884,0.271822547,0.222940557,-0.625874317,-1
165,MODEL1,PARMS,LUL,1.001512997,13.28219727,0.402036117,-0.652213548,1.793123283,-0.661398916,1.80715081,-3.528924414,0.504454495,0.972508335,-3.479121685,-1
166,MODEL1,PARMS,LUL,1.01944361,8.97468109,0.38854364,-0.801296297,2.770960058,-0.298166327,1.135934143,-2.177799808,0.217250947,0.608975914,-2.096015885,-1
167,MODEL1,PARMS,LUL,1.00552342,7.523102382,0.140059042,-0.448165982,1.542076863,-0.046049387,-0.32597324,1.424485588,-0.006037394,0.158514619,-0.316650008,-1
168,MODEL1,PARMS,LUL,0.979759431,6.552685187,0.364506469,-0.517072683,1.294931189,-0.181502338,0.769617777,-1.463781948,0.454623616,-0.838459864,1.807171684,-1
169,MODEL1,PARMS,LUL,0.962669265,8.308242186,0.226146619,-0.01890372,-0.858049536,-0.183184041,0.890450372,-1.83633977,0.068365654,0.383984133,-0.501147102,-1
170,MODEL1,PARMS,LUL,0.957211915,4.191004719,0.291666795,-0.280925306,-0.081837054,0.037654795,0.592245546,-1.754649925,0.254023224,-0.347072386,0.88681693,-1
171,MODEL1,PARMS,LUL,0.965637925,6.103280124,0.176474255,-0.153833242,0.225599696,-0.095308153,0.263394912,0.241821272,0.41735411,-0.135747086,-0.154623189,-1
172,MODEL1,PARMS,LUL,0.984253371,5.684798259,0.448109038,-0.761546512,1.827594652,-0.061869861,1.109586166,-2.879287354,0.087114493,-0.364042478,1.223165631,-1
173,MODEL1,PARMS,LUL,0.931921517,3.656404014,0.184042123,0.076334295,-1.079020005,0.138133256,-0.300958079,0.67213122,0.13431298,-0.21533201,0.797494466,-1
174,MODEL1,PARMS,LUL,1.077639696,7.667134784,0.10915511,0.006767404,-0.223630434,-0.116899496,1.569213841,-4.539125461,0.065134885,1.480161631,-3.485647977,-1
175,MODEL1,PARMS,LUL,1.019268957,13.63637909,0.135595213,-0.20641889,0.375250419,-0.531260426,1.863358294,-3.473855376,0.228791047,0.293980884,-0.93438143,-1
176,MODEL1,PARMS,LUL,1.014138035,7.042487392,0.40837936,-0.860429669,2.972048102,-0.165582234,1.669682676,-3.93227542,0.081917442,1.164293709,-2.922707681,-1
177,MODEL1,PARMS,LUL,0.923889728,7.191636383,0.178284892,-0.098774148,-0.121520301,-0.110783201,0.965369003,-2.372906275,0.139055828,0.912026784,-2.500350235,-1
178,MODEL1,PARMS,LUL,0.960131396,2.321633132,0.140949412,-0.195555523,0.762117816,0.261700079,-0.509992424,1.34507951,0.080348488,-0.028035048,-0.159909511,-1
179,MODEL1,PARMS,LUL,0.974572541,2.907457475,0.260692496,-0.346397019,0.949107893,0.116206174,-0.435004315,1.163430217,0.309954642,0.271073539,-0.956788628,-1
180,MODEL1,PARMS,LUL,0.973582139,7.985331274,0.178758945,0.074552562,-1.990219965,-0.063733846,0.810709791,-2.322249275,-0.241575431,1.334731348,-2.928935268,-1
181,MODEL1,PARMS,LUL,0.973263909,1.560263336,0.167726776,-0.295821137,0.446835051,0.216741985,-0.084423307,-0.074817236,0.507154611,-1.983996422,4.880837539,-1
182,MODEL1,PARMS,LUL,0.97397131,11.82049944,0.345299517,-0.836805733,2.695288682,-0.441011662,1.800528097,-3.92231105,0.085529108,1.281585639,-3.324844874,-1
183,MODEL1,PARMS,LUL,0.958753171,2.975921535,0.229276228,0.061456255,-1.427459689,0.252898073,-0.01826459,0.030505361,-0.300473105,0.836953542,-1.198957987,-1
184,MODEL1,PARMS,LUL,0.927789775,0.651102201,0.234231881,0.202780018,-1.535238531,0.241521274,-0.175201208,0.64632029,0.378995333,-0.677226639,1.430578068,-1
185,MODEL1,PARMS,LUL,0.995397275,6.003114713,0.194708309,0.241130274,-1.854957996,-0.154199698,0.01773467,0.577986604,0.675170073,-1.066027368,1.822171064,-1
186,MODEL1,PARMS,LUL,0.945739832,14.49144489,0.466108552,-0.674219143,1.658697459,-0.779271151,2.126362798,-4.062524281,0.664146994,-1.331852889,2.648346333,-1
187,MODEL1,PARMS,LUL,1.019673842,9.502245626,0.143151814,-0.126009018,-0.089987656,-0.249786269,0.934938842,-1.939198252,0.225671366,0.049936409,-0.095650677,-1
188,MODEL1,PARMS,LUL,0.921581134,9.277632677,0.279771013,-0.32788663,0.378080401,-0.242323973,1.707486271,-4.176998411,0.040336673,-0.263909696,1.36456505,-1
189,MODEL1,PARMS,LUL,0.957104064,1.715921863,0.221597073,-0.51639211,1.93025374,0.213041065,-1.07140218,3.020469372,0.384895384,0.243564889,-1.502213486,-1
190,MODEL1,PARMS,LUL,0.935880539,11.76627823,0.172544793,-0.118626282,-0.332427754,-0.321976463,2.087370868,-5.511518788,-0.251393444,1.10198237,-1.70241879,-1
191,MODEL1,PARMS,LUL,0.975402993,9.380411551,0.350837541,-0.005836905,-1.839574779,-0.275237291,1.492524449,-3.371174412,-0.03986154,0.728041191,-1.11249423,-1
192,MODEL1,PARMS,LUL,1.071806496,6.041145122,0.234961115,-0.249671154,0.047525209,-0.031936199,1.180029536,-2.446344917,0.032500963,0.467460307,-1.040739879,-1
193,MODEL1,PARMS,LUL,0.961978077,3.330319312,0.366540581,-0.856881606,2.784787201,0.080106907,-0.076220377,0.413876811,0.281483076,0.142465711,-0.961692012,-1
194,MODEL1,PARMS,LUL,1.133274672,0.345403305,0.264094231,-0.573508008,2.122608417,0.367307486,-0.825242781,1.553066703,-0.130737602,2.729406862,-6.456143371,-1
195,MODEL1,PARMS,LUL,0.925826532,11.69553017,0.412095857,-0.43668868,0.934194626,-0.436496033,0.70965326,-1.447283465,-0.104453308,2.236933594,-5.055764934,-1
196,MODEL1,PARMS,LUL,0.946492222,8.439289991,0.253267077,-0.215765634,-0.036973874,-0.225829199,0.652044583,-1.26490542,0.216619119,0.260773155,-0.574811145,-1
197,MODEL1,PARMS,LUL,0.89530182,3.602582648,0.343360072,-0.402672043,0.949206502,0.054545656,0.896241229,-2.264560081,0.238178807,0.132786416,-0.797311053,-1
198,MODEL1,PARMS,LUL,1.027231771,19.24136996,0.238646669,-0.396247765,0.557185374,-0.826196906,2.948596327,-6.899272643,-0.205376025,1.786379753,-4.090322274,-1
199,MODEL1,PARMS,LUL,0.960946749,1.380103043,0.205457254,-0.333468602,0.811593579,0.201445628,-0.629750394,1.465478764,0.525088924,-0.626539403,1.100932,-1
200,MODEL1,PARMS,LUL,0.978501625,1.950661322,0.165149062,-0.227358991,0.332099751,0.202818992,0.677370022,-2.163454502,0.411198186,-1.187306844,2.616717297,-1
201,MODEL1,PARMS,LUL,0.997824939,17.23911248,0.377666215,-0.548452692,0.90925792,-0.733710067,1.578457773,-2.81739619,-0.241725525,1.941856968,-4.213882358,-1
202,MODEL1,PARMS,LUL,0.999187245,9.022233047,0.253883701,-0.186678166,-0.305365878,-0.279756646,0.714045877,-0.812532429,0.354472039,-0.081530429,-0.827162637,-1
203,MODEL1,PARMS,LUL,1.024668883,-0.916036363,0.320002605,-0.568255699,1.30217067,0.358109186,-0.746073223,1.62807551,0.281074238,0.435114596,-1.493757102,-1
204,MODEL1,PARMS,LUL,0.87839732,12.3790526,0.258215755,-0.182520921,0.113944615,-0.501739746,1.825116247,-4.355146728,0.293665504,-0.632010653,2.037979263,-1
205,MODEL1,PARMS,LUL,0.966016631,-6.766522049,0.332697673,-0.254174848,-0.153161232,0.818032668,-3.055849155,6.730764858,-0.097738586,1.940869656,-4.385673635,-1
206,MODEL1,PARMS,LUL,0.938119131,9.576609662,0.422790424,-0.640937888,1.692417795,-0.365109495,0.894625613,-1.017617422,0.280944249,0.523945502,-2.00313193,-1
207,MODEL1,PARMS,LUL,1.006170902,12.59824379,0.457068714,-0.60334189,0.950194596,-0.518031983,2.576836985,-5.781441745,0.005115954,0.219657768,-0.136994334,-1
208,MODEL1,PARMS,LUL,0.953407672,7.800252908,0.22595193,-0.14197538,-0.156025291,-0.19985208,1.26431771,-3.32027418,0.274201362,0.394803017,-1.073824818,-1
209,MODEL1,PARMS,LUL,0.982608548,10.79041558,0.261085938,-0.2533065,-0.167542974,-0.445476463,1.013128003,-1.723812924,0.507213063,0.130302884,-1.146527543,-1
210,MODEL1,PARMS,LUL,1.005024405,8.531427029,0.202355715,-0.235898557,0.681384564,-0.203479214,1.806513959,-4.403573212,0.118636697,0.064764121,0.116416582,-1
211,MODEL1,PARMS,LUL,0.98333577,-1.340004622,0.412923502,-0.61969121,1.863034791,0.436521957,-1.128796944,2.044522736,-0.129529344,1.598666457,-3.124080347,-1
212,MODEL1,PARMS,LUL,0.903550644,11.26671866,-0.011964983,0.393486381,-1.966196443,-0.246601468,0.878720516,-1.329640133,-0.137585135,1.099447092,-2.617693972,-1
213,MODEL1,PARMS,LUL,1.057985221,6.007365461,0.510977753,-1.423721295,5.793754844,-0.100111765,0.217069021,0.846394987,0.118869153,0.141054027,-0.407549987,-1
214,MODEL1,PARMS,LUL,1.111446756,4.815226789,0.088840031,0.8751297,-5.012725743,0.173758929,0.098529928,-0.012829178,-0.453913764,2.481938081,-5.362820448,-1
215,MODEL1,PARMS,LUL,0.875867685,6.689162345,0.476292502,-0.719483703,2.123641596,-0.139155142,1.107684503,-2.3431055,0.000623738,0.651057062,-1.293305308,-1
216,MODEL1,PARMS,LUL,0.977891524,5.653474721,0.411130537,-0.631268517,1.761576511,-0.098581527,1.050689955,-2.08996679,0.211296922,0.630422306,-1.795342166,-1
217,MODEL1,PARMS,LUL,0.960224382,12.95425107,0.172802927,-0.04200416,-0.727157764,-0.417419821,0.777554741,-1.252711264,-0.164413816,1.856272134,-3.990134631,-1
218,MODEL1,PARMS,LUL,0.927288005,12.19643246,0.068016171,0.017823226,-0.605527974,-0.390899013,1.083118152,-1.886122605,0.120643945,0.564345627,-1.065059805,-1
