SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RMB
483,MODEL1,PARMS,RMB,1.425415696,20.24386186,0.573021298,-1.662752565,5.924531369,-1.171870595,3.620322661,-6.595734317,1.882452592,-4.103169936,7.475389474,-1
484,MODEL1,PARMS,RMB,1.370075261,13.34443501,0.152351045,-0.59999868,2.39110874,-0.46091367,4.249380911,-10.3775716,1.347010292,-4.355349669,8.925768456,-1
485,MODEL1,PARMS,RMB,1.335771696,5.932011175,0.25741078,-0.866882836,4.124384426,-0.01565189,1.283041507,-3.041243364,1.373121996,-3.063986603,5.630861533,-1
486,MODEL1,PARMS,RMB,1.430527241,12.2735971,0.181713076,-0.778692228,3.434856298,-0.351995257,2.313115142,-5.651886063,1.099856456,-2.475189094,4.265222963,-1
487,MODEL1,PARMS,RMB,1.314451267,4.351894777,0.204652513,-0.728100638,2.140825345,0.138231303,0.757695139,-2.925520755,1.276357024,-3.011619663,5.75578708,-1
488,MODEL1,PARMS,RMB,1.374516287,15.18926596,0.354861997,-0.650564156,2.06209105,-0.601923909,3.205441438,-7.610468195,1.031929713,-1.751714314,2.574047416,-1
489,MODEL1,PARMS,RMB,1.443160289,9.691550836,0.266735271,-1.171011812,4.949407634,-0.26917511,1.059459264,-1.582857814,1.397701739,-2.233441164,3.283251929,-1
490,MODEL1,PARMS,RMB,1.330387656,5.134158902,0.29034167,-0.695238414,2.20760355,0.006342742,0.285504901,-0.885806642,1.427929498,-2.39513519,3.857787104,-1
491,MODEL1,PARMS,RMB,1.418402312,2.267296342,0.23207316,-0.977552075,3.855235111,0.156590296,-0.105152333,-0.879370168,1.885406926,-5.135083571,10.39008339,-1
492,MODEL1,PARMS,RMB,1.226392201,6.099193671,0.129772227,-0.46511457,2.042360802,-0.003716023,1.783151858,-4.57713641,1.435789668,-3.647489083,7.208854188,-1
493,MODEL1,PARMS,RMB,1.221176769,17.49202535,0.225451351,-1.187386985,4.91027417,-0.792382143,3.946932224,-9.132705332,1.497635418,-2.935865195,4.922734989,-1
494,MODEL1,PARMS,RMB,1.35035949,11.238793,-0.117402653,0.341635892,-1.429117443,-0.36562044,3.850885424,-10.33252455,1.880850711,-5.75141212,11.962546,-1
495,MODEL1,PARMS,RMB,1.387784437,21.72861995,0.014409335,-0.306467138,1.199680195,-1.021929683,5.198632377,-12.17512766,1.532451016,-3.56868089,6.831710887,-1
496,MODEL1,PARMS,RMB,1.337086413,15.27437082,0.219314089,-0.850190413,2.7197272,-0.69825317,4.700994978,-11.67581892,1.714339153,-4.403135742,8.442608162,-1
497,MODEL1,PARMS,RMB,1.313059711,11.19453845,0.202176992,-1.109998243,4.905825885,-0.316274139,2.051653348,-4.485538408,1.263063853,-2.642481886,4.435861601,-1
498,MODEL1,PARMS,RMB,1.455787052,7.680590899,0.328404163,-0.640355509,1.403938336,-0.226918387,1.035257363,-1.732485602,1.698017495,-4.030688187,7.875611426,-1
499,MODEL1,PARMS,RMB,1.426473976,10.50984462,0.467140826,-1.379493537,5.22696298,-0.370448557,2.602694294,-5.589054158,1.302501637,-2.327116546,3.634605549,-1
500,MODEL1,PARMS,RMB,1.392898049,19.64596011,0.297273722,-1.436995318,5.619813541,-1.066499521,2.829783139,-6.249425681,2.14274431,-4.224699775,7.612849926,-1
501,MODEL1,PARMS,RMB,1.422313659,7.88939352,0.560108179,-1.903057836,6.555197685,-0.31592626,0.939489319,-1.807214047,1.815541177,-3.304460832,5.139672913,-1
502,MODEL1,PARMS,RMB,1.374123054,9.750502212,0.435597456,-1.153181919,4.622265013,-0.386665492,3.486425147,-8.144939011,1.535558726,-3.611153079,6.59768209,-1
503,MODEL1,PARMS,RMB,1.288423218,1.049703987,0.162335217,-0.367476709,1.241019512,0.335599157,1.044871474,-2.712727978,1.329631158,-4.032612653,8.638989193,-1
504,MODEL1,PARMS,RMB,1.415566964,3.026553713,0.210827673,-0.623373274,2.108513577,0.015088728,0.611241481,-2.408616775,2.196678105,-4.825225527,9.127276686,-1
505,MODEL1,PARMS,RMB,1.296835095,20.02510597,0.186804641,-0.829467032,3.181263939,-0.888091491,4.336114638,-10.4771088,1.16174475,-2.390069962,4.600446097,-1
506,MODEL1,PARMS,RMB,1.298721062,8.890741937,0.220042059,-0.979707235,3.996266245,-0.061120313,1.133257556,-2.08673821,0.829511388,-1.914533944,3.392188133,-1
507,MODEL1,PARMS,RMB,1.540553496,18.06989983,0.370395032,-1.373286094,4.929633296,-0.828350328,2.692164959,-5.726839943,1.309298997,-1.423434092,0.971725937,-1
508,MODEL1,PARMS,RMB,1.363777911,13.03540283,0.295408639,-0.554187587,1.03499279,-0.333732258,2.483836471,-5.874042881,0.567919949,-1.992251349,4.724457073,-1
509,MODEL1,PARMS,RMB,1.277671558,21.56134759,0.330940595,-1.31124349,5.149428233,-1.064629323,5.385605264,-12.51939607,1.333481781,-2.028963116,3.007779288,-1
510,MODEL1,PARMS,RMB,1.296536876,6.682404423,0.674719332,-2.004501675,7.518854752,-0.106318613,2.039730666,-5.402959586,0.999337157,-2.610420184,5.408386989,-1
511,MODEL1,PARMS,RMB,1.342644935,17.24590283,0.077058633,-0.545045541,2.369921222,-0.701716795,5.205837001,-12.30318728,1.439614555,-5.654744584,11.42505035,-1
512,MODEL1,PARMS,RMB,1.415071545,2.930389465,0.41651418,-1.249646187,4.114097522,0.164929436,1.882108604,-5.483514058,1.307840061,-3.953462586,7.960490236,-1
513,MODEL1,PARMS,RMB,1.362423137,20.049921,0.220579065,-0.412775575,1.325977828,-0.913109848,3.869539834,-7.826643278,1.16685971,-2.001175621,3.17648387,-1
514,MODEL1,PARMS,RMB,1.162432423,0.92939393,0.150461489,-0.176803965,1.063819207,0.356899955,1.100679591,-2.684777029,1.173073183,-2.665928254,4.771485683,-1
515,MODEL1,PARMS,RMB,1.360981145,3.249583113,0.034587479,-0.320433018,1.129736602,0.263196941,-0.743711323,1.744774141,1.304425753,-3.339305502,6.160519463,-1
516,MODEL1,PARMS,RMB,1.332748376,15.72914103,0.59442999,-1.412144209,4.648385383,-0.864995381,4.286520437,-8.415850639,1.707456576,-3.543463877,6.049061136,-1
517,MODEL1,PARMS,RMB,1.323165077,-2.490833229,0.123550133,-0.749088186,2.934614193,0.652076069,-1.515905994,2.426421625,1.066736656,-1.904190827,3.857395606,-1
518,MODEL1,PARMS,RMB,1.39096798,16.87787594,0.189118812,-0.815516791,3.416037008,-0.519432461,3.224019999,-7.914768451,0.408428698,0.362511301,-1.230400258,-1
519,MODEL1,PARMS,RMB,1.340230254,12.78179778,0.13615313,-0.456490576,1.706829285,-0.53431541,2.92841117,-6.577229855,1.857738656,-4.86352866,9.59988797,-1
520,MODEL1,PARMS,RMB,1.268507739,1.185987903,0.29022843,-1.173507451,3.789585076,0.213662504,0.430623999,-1.344293444,1.879689804,-5.770510916,11.60941427,-1
521,MODEL1,PARMS,RMB,1.376889436,13.50670587,0.3355406,-1.305217046,4.786115363,-0.60143269,2.496974389,-5.600448855,1.80119789,-4.987225742,9.898109331,-1
522,MODEL1,PARMS,RMB,1.384185102,21.78299411,0.432343291,-1.202500749,3.984359608,-1.163048676,4.577301865,-10.08668591,1.641422466,-3.774255425,6.712137877,-1
523,MODEL1,PARMS,RMB,1.303564932,-5.245123053,0.307138831,-1.188278654,4.386330966,0.747422319,-1.431848023,3.106106537,1.282393476,-3.694370621,7.585078183,-1
524,MODEL1,PARMS,RMB,1.302311023,8.521086174,0.498126126,-1.820154816,7.850664092,-0.251240647,3.460188544,-8.912625723,1.347209381,-3.598606384,7.113043969,-1
525,MODEL1,PARMS,RMB,1.45531749,8.832190661,0.196636191,-0.994293812,3.085710458,-0.149164307,0.563482128,-1.55071995,1.308097244,-2.995773062,6.034545411,-1
526,MODEL1,PARMS,RMB,1.30459678,5.695658881,0.085353183,-0.151258463,0.023784333,0.08052002,0.597700993,-1.183287775,1.256339807,-4.236952505,9.444537193,-1
