SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,BronInt
324,MODEL1,PARMS,BronInt,1.065443308,6.253385073,0.193754463,-0.589210252,2.391001077,-0.093776786,0.979377323,-2.351196007,0.649045252,-0.742054993,0.491831613,-1
325,MODEL1,PARMS,BronInt,0.992864828,9.648045271,0.24086733,-0.722288839,2.435318152,-0.452924151,1.55585586,-4.249377476,1.305440212,-2.780437272,4.973197037,-1
326,MODEL1,PARMS,BronInt,1.12411591,15.43534544,0.183102828,-0.225533792,0.584465701,-0.763940208,1.683482332,-2.987105247,1.008489133,-2.267856688,4.172671559,-1
327,MODEL1,PARMS,BronInt,1.015690112,-1.453295002,0.4098958,-1.185000732,4.800334646,0.433230943,-0.895998238,2.055635958,0.321799289,-0.304731155,-0.092174497,-1
328,MODEL1,PARMS,BronInt,1.031770147,6.072504071,0.085009203,-0.441429124,1.940546738,-0.016210581,0.238042564,-1.166750107,0.584837096,-1.387606663,3.10898261,-1
329,MODEL1,PARMS,BronInt,1.02399744,-0.179237029,0.299585049,-0.376439881,1.273991968,0.230911383,-0.384976701,0.697090497,0.966032062,-2.134803796,3.42062629,-1
330,MODEL1,PARMS,BronInt,1.102037079,10.25719628,0.305557405,-0.995608078,3.907464173,-0.430841819,1.212979407,-2.769504359,0.973995098,-2.576135452,5.259240476,-1
331,MODEL1,PARMS,BronInt,1.164915469,-0.814628905,0.426446213,-1.096046099,3.906399157,0.386028936,-1.492624388,3.321147103,0.418534075,-0.761221201,0.91645102,-1
332,MODEL1,PARMS,BronInt,1.06254025,11.24859926,0.335191426,-1.029111613,4.240581679,-0.428236307,1.774697111,-3.688028255,0.580708068,-1.802937579,3.77735691,-1
333,MODEL1,PARMS,BronInt,1.242566497,6.036968368,0.36124683,-0.642258874,1.935360575,-0.213987552,0.762883468,-1.795217382,1.000077465,-1.753152108,2.997855603,-1
334,MODEL1,PARMS,BronInt,1.067058702,4.397715126,0.236385943,-0.190222073,0.229094355,-0.06567183,-0.378881496,1.078392626,1.034692006,-2.244290526,4.184289345,-1
335,MODEL1,PARMS,BronInt,1.145716439,4.0167301,0.172519403,-0.106184967,0.228186715,-0.062427401,0.269652287,-0.94259099,1.261504629,-4.145027142,8.767044788,-1
336,MODEL1,PARMS,BronInt,1.06557064,7.984661489,0.235416798,-0.408417797,0.9807089,-0.185206502,1.405908038,-3.540514915,0.451188636,0.115947471,-1.224577075,-1
337,MODEL1,PARMS,BronInt,1.184683572,-0.497583482,0.416958491,-0.85457524,3.434559428,0.298442439,-0.186513159,0.0911069,0.536027502,-1.079427386,1.950782233,-1
338,MODEL1,PARMS,BronInt,1.02273124,16.21984556,0.215759823,-0.107507574,-0.007701681,-0.740673157,2.086036264,-3.566504536,0.514619589,-0.185572972,-0.320754677,-1
339,MODEL1,PARMS,BronInt,1.030060018,13.6580344,0.415381935,-0.974460489,3.487241213,-0.703232838,1.471653967,-3.035259179,0.937138517,-1.497880815,2.565155599,-1
340,MODEL1,PARMS,BronInt,1.019783291,5.07748673,0.152332087,-0.830563265,3.59342453,-0.09750824,0.027164454,-0.334727991,1.223799222,-2.722824119,5.002205453,-1
341,MODEL1,PARMS,BronInt,1.121601054,5.366503676,0.252142764,-0.528429605,1.475628291,-0.160978147,0.902472781,-2.530043763,1.166457564,-2.530334696,4.803937169,-1
342,MODEL1,PARMS,BronInt,1.028114479,3.575323278,0.277629894,-0.749826774,2.723507559,0.038566933,1.120337428,-3.021595439,0.752362096,-1.76470363,3.123348499,-1
343,MODEL1,PARMS,BronInt,1.081719286,6.563799089,0.162430258,-0.492644147,2.236129056,-0.204086682,0.441658644,-0.969614178,1.177244829,-2.551812486,4.677963736,-1
344,MODEL1,PARMS,BronInt,1.067003063,12.62209494,0.033467498,-0.432614192,2.438573502,-0.494993562,2.872141939,-6.523908557,0.880829631,-3.060064962,6.235756382,-1
345,MODEL1,PARMS,BronInt,1.001102938,4.946224179,0.04282515,-0.02264523,0.123185343,-0.013721681,0.011203504,-0.48799854,0.930775009,-1.617528258,2.498158529,-1
346,MODEL1,PARMS,BronInt,0.965076932,7.305931751,0.15050095,-0.603881427,2.474699017,-0.21665531,1.11869545,-2.543406816,1.054274979,-2.506775316,4.495599056,-1
347,MODEL1,PARMS,BronInt,1.016233206,9.417179884,0.251226937,-0.702524443,2.670945646,-0.366322772,1.1217834,-2.361195895,0.940818421,-2.200834581,3.842341244,-1
348,MODEL1,PARMS,BronInt,1.047575037,8.053509943,0.54287772,-1.242790578,4.012239464,-0.481216672,1.586397247,-3.847374162,1.428359202,-3.356640649,6.528653653,-1
349,MODEL1,PARMS,BronInt,1.054215695,0.044579432,0.025181244,-0.001668247,0.341160947,0.293544814,-0.089385609,-0.527361774,0.923761347,-0.853329804,0.290280431,-1
350,MODEL1,PARMS,BronInt,1.075227795,-1.22182678,0.553338164,-1.248508358,4.069996267,0.323030091,-1.856406139,3.941430696,0.606417775,-0.622611206,0.720459615,-1
351,MODEL1,PARMS,BronInt,1.104837682,5.83901918,0.351366894,-0.810155868,2.61531025,-0.068117188,0.11183996,-0.193509431,0.423285853,0.139376516,-0.780340157,-1
352,MODEL1,PARMS,BronInt,1.128232494,22.89294636,0.043116521,-0.469416592,1.592909307,-1.342328776,2.996485466,-5.568496205,1.810589687,-4.708553935,8.859673671,-1
353,MODEL1,PARMS,BronInt,1.019058105,4.565211542,0.148494955,-0.314004658,1.32265869,-0.131501259,-0.134883935,0.204498645,1.514513347,-3.544579726,6.567235833,-1
354,MODEL1,PARMS,BronInt,1.108193725,-1.131862031,0.30604929,-0.773408949,3.25392031,0.344922734,-0.164813383,-0.296564638,0.736863869,-1.828418419,3.513195218,-1
355,MODEL1,PARMS,BronInt,1.126565283,8.474528858,0.36088988,-1.299485384,4.834722068,-0.312154315,0.398970467,-0.811798392,0.912359652,-2.56911333,5.46945816,-1
356,MODEL1,PARMS,BronInt,1.185727525,6.59521987,0.283265482,-0.5135791,1.704505761,-0.115557638,0.364520631,-0.629547245,0.546410603,-0.529930753,0.400241356,-1
357,MODEL1,PARMS,BronInt,1.172229438,1.14000561,0.135454297,-0.427049562,1.659857634,0.44955963,-1.4788148,2.797748762,-0.058911815,-0.087912177,0.591042144,-1
358,MODEL1,PARMS,BronInt,1.115177904,6.304433647,0.345838506,-0.717965291,2.674629208,-0.132326367,0.585835639,-1.347767048,0.619510229,-0.857138648,1.04002821,-1
359,MODEL1,PARMS,BronInt,0.9465163,9.643940579,0.46956235,-0.803326202,2.59031736,-0.424058853,1.681222791,-3.496704189,0.76616023,-2.025128813,3.377182174,-1
360,MODEL1,PARMS,BronInt,1.095941214,7.161142873,0.261121929,-0.710641716,3.197738337,-0.103622681,0.670134279,-1.57551071,0.296510008,0.163545376,-0.689863754,-1
361,MODEL1,PARMS,BronInt,1.149126631,12.89375564,0.271128168,-0.33762243,0.996176537,-0.674892663,1.878276354,-3.894569384,1.140288767,-1.850805569,2.987440325,-1
362,MODEL1,PARMS,BronInt,1.004273043,10.17648293,0.277485727,-0.753833027,3.14833058,-0.454817393,2.325721674,-5.250737004,1.063370849,-2.67426978,4.829021701,-1
363,MODEL1,PARMS,BronInt,1.059808367,-1.802298235,0.590496137,-1.378054754,4.456962683,0.185057533,-0.619392828,1.288614661,1.292191629,-2.721278938,4.869674532,-1
364,MODEL1,PARMS,BronInt,1.136905032,7.869575029,0.051009412,-0.320617462,1.420394048,-0.230089526,1.463722164,-3.246445558,1.094404765,-2.331704095,3.270546186,-1
365,MODEL1,PARMS,BronInt,1.08159398,8.56825558,0.013417842,-0.24317286,1.912051802,-0.32327035,2.399794172,-5.41780763,1.274708171,-2.997804436,5.136441208,-1
366,MODEL1,PARMS,BronInt,1.005738107,8.603128402,0.254017309,-0.528861345,1.724189192,-0.299463122,1.780576216,-4.661381642,0.746640348,-1.562606315,2.873451018,-1
367,MODEL1,PARMS,BronInt,1.125418485,17.70083979,0.001835455,0.016447939,0.547103736,-0.773596533,2.904271369,-6.553983527,0.462704114,0.652761875,-2.23814085,-1
368,MODEL1,PARMS,BronInt,1.094866799,4.393006136,0.339499165,-0.711413843,2.086193486,0.028639672,0.170914921,-0.635341876,0.459456439,-0.195998644,0.123496488,-1
369,MODEL1,PARMS,BronInt,1.157028039,2.024821629,0.304820117,-0.407925019,1.100873639,-0.034922492,1.450517165,-3.415971041,1.485619254,-4.260540807,7.841214209,-1
370,MODEL1,PARMS,BronInt,1.094963304,5.869260949,0.184567485,-1.007656433,4.409383503,-0.060978987,0.862974744,-2.287140245,0.743384738,-1.754987156,3.44785395,-1
371,MODEL1,PARMS,BronInt,1.156923855,5.93669195,0.361470453,-1.007615855,3.547497317,-0.152514812,0.612535685,-1.19727582,0.836510313,-1.573777827,2.689322568,-1
372,MODEL1,PARMS,BronInt,1.080997249,-3.270880122,-0.064877195,0.290823783,-0.525782836,0.520601924,-0.988888308,1.548973979,1.047687511,-1.888732392,3.008021033,-1
