SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RUL
380,MODEL1,PARMS,RUL,1.120572362,11.7338836,0.154092768,-0.392032109,1.456851342,-0.498210589,1.437924946,-2.889792207,0.581750944,-1.499225084,3.139655827,-1
381,MODEL1,PARMS,RUL,1.148816357,-6.594918711,0.457670631,-0.977166896,3.315175396,0.597699798,-2.207022281,5.605344317,0.677048374,-1.557803113,3.231795696,-1
382,MODEL1,PARMS,RUL,1.019987873,6.121758336,0.294242447,-0.650912552,1.737819064,-0.291881517,1.120120703,-1.89593212,1.148575798,-3.592278357,7.215036231,-1
383,MODEL1,PARMS,RUL,0.97859903,-9.890526593,0.146540198,-0.04496259,0.018611495,0.853171725,-1.184046222,1.520072057,0.817133925,-2.237538845,4.381274704,-1
384,MODEL1,PARMS,RUL,1.11929522,6.594701964,0.223343859,-0.005341971,-0.515895951,-0.310418949,1.959669967,-4.31076668,1.029269763,-2.859500645,5.498538641,-1
385,MODEL1,PARMS,RUL,1.063004062,2.025633558,0.00348177,0.243848928,-1.259917306,0.233940257,0.320369959,-1.472758588,0.300636456,-1.117787919,2.522810041,-1
386,MODEL1,PARMS,RUL,1.082404083,1.702718754,0.170901759,-0.235021013,1.111056359,0.222898079,0.037481594,-0.347962814,0.155929405,0.598503153,-1.366331218,-1
387,MODEL1,PARMS,RUL,1.079215032,10.26367805,0.414987665,-0.97322539,3.11613504,-0.508443605,1.540205659,-2.857479227,0.722140003,-1.359098816,2.523608367,-1
388,MODEL1,PARMS,RUL,1.13618203,4.189097259,0.423922529,-0.422553645,0.943093029,-0.167450069,1.477454703,-3.6541452,0.797937953,-2.43289368,5.233630662,-1
389,MODEL1,PARMS,RUL,1.042919633,10.93749614,0.215905515,-0.039841234,-0.23683129,-0.427355645,2.058878865,-4.863537697,0.254222617,-0.397507694,1.055268555,-1
390,MODEL1,PARMS,RUL,1.105591646,0.985326822,0.150753561,-0.278941984,1.533518255,0.29260012,-0.14229155,0.558672982,0.079222152,1.50592957,-3.979240841,-1
391,MODEL1,PARMS,RUL,0.984871421,6.027245053,0.186069114,-0.457137291,1.647738452,-0.157507496,0.563081421,-0.721906619,0.709881348,-1.90415172,3.752074375,-1
392,MODEL1,PARMS,RUL,1.082428607,-3.940378566,0.391413897,-0.998344802,3.110376512,0.524797673,-2.166308224,4.550848112,0.289364544,-0.036505458,0.650309933,-1
393,MODEL1,PARMS,RUL,1.160835691,3.866027729,0.384064789,-1.021224834,4.060912999,-0.214486765,0.760409483,-1.009891211,1.280777592,-2.604925682,4.608990104,-1
394,MODEL1,PARMS,RUL,1.156502373,9.393272425,0.266215709,-0.398410072,1.208790142,-0.433043195,2.511313198,-6.42120565,0.717822918,-1.481385976,2.910384835,-1
395,MODEL1,PARMS,RUL,1.076598379,14.73769869,0.12040376,-0.311979527,0.828535054,-0.742451281,2.274324484,-4.911004549,0.854046364,-1.939747652,3.842885702,-1
396,MODEL1,PARMS,RUL,1.166721926,3.810745804,0.286979057,-0.592806616,2.341959573,-0.027102484,1.665129668,-3.790763212,0.512877395,-1.585503261,3.202926819,-1
397,MODEL1,PARMS,RUL,1.037628066,-0.294827031,0.248946981,-0.275469563,1.008564261,0.247916503,-0.19687359,0.782871157,0.523384958,-1.00837774,1.960477208,-1
398,MODEL1,PARMS,RUL,1.074956065,4.064618358,0.199857898,-0.023232517,-0.740343991,-0.206164443,0.581230144,-0.759942263,1.474942858,-3.965197368,7.495133523,-1
399,MODEL1,PARMS,RUL,1.087835759,-3.875582149,0.009293275,0.356045008,-1.381938689,0.581897954,-1.470288556,3.142009257,0.467412164,-0.804939071,1.278510288,-1
400,MODEL1,PARMS,RUL,1.04063241,-0.46289079,0.267609282,-0.837887819,3.19585677,0.349285603,0.293324943,-1.69272851,0.209973762,-0.859391999,2.056426201,-1
401,MODEL1,PARMS,RUL,1.066391248,2.986112511,0.490938759,-0.742796585,2.659783195,-0.152226287,1.015590724,-2.222656644,0.965287605,-1.994141792,3.721605436,-1
402,MODEL1,PARMS,RUL,1.080386197,-3.602521678,0.238819576,-0.473230921,2.31274621,0.493559398,0.020303317,-0.612568814,0.379168628,-0.861391721,2.02941092,-1
403,MODEL1,PARMS,RUL,1.068737829,13.73869651,0.508234207,-1.304913423,4.75090295,-0.812235527,4.036349885,-9.380496527,0.832037383,-1.750697659,3.257802866,-1
404,MODEL1,PARMS,RUL,0.959797084,6.891685576,0.203264553,-0.284887604,0.820173974,-0.165343511,0.868215759,-1.790401672,0.315586661,-0.050272923,-0.402666594,-1
405,MODEL1,PARMS,RUL,1.074423022,-5.603207081,0.307366686,-0.633166114,2.54048478,0.47409949,-0.503851814,0.485898753,1.06109157,-2.520703054,5.093133578,-1
406,MODEL1,PARMS,RUL,0.972471892,-8.648310941,0.279563136,-0.527178855,2.083786067,0.813259321,-1.046819829,1.349791623,0.437872176,-0.625550322,0.947998275,-1
407,MODEL1,PARMS,RUL,1.052651184,1.27665778,0.51239304,-0.834852231,2.384481477,-0.031896371,0.580789595,-0.656424993,1.026473332,-2.916942156,5.583537379,-1
408,MODEL1,PARMS,RUL,1.11283838,7.331137492,0.194928687,-0.301800795,0.792246127,-0.205361573,1.662145715,-3.914032852,0.37935308,-0.775715077,1.812600219,-1
409,MODEL1,PARMS,RUL,1.099374396,8.104852543,0.307871413,-0.465721442,1.172917553,-0.425272359,1.506178838,-2.905603776,1.002889757,-1.429357054,1.866287717,-1
