SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RB1
1,MODEL1,PARMS,RB1,0.811819294,-0.480488184,0.200341834,-0.285522735,0.706056558,0.189057032,-0.596272959,1.822649726,0.094435136,0.869888442,-1.967404457,-1
2,MODEL1,PARMS,RB1,0.856880302,5.521405241,0.180845786,-0.283065316,0.834315029,-0.238466805,0.723746467,-1.770196498,0.221683683,1.140125389,-2.747350009,-1
3,MODEL1,PARMS,RB1,0.946680321,2.706283211,0.293311325,-0.793431807,2.646537777,-0.131964403,1.203674163,-2.620481602,0.567960614,-1.311493247,2.641883481,-1
4,MODEL1,PARMS,RB1,0.809652238,-3.69341456,0.065124488,-0.005249695,0.456210903,0.405794885,0.59320661,-2.640980613,0.198571047,0.100521269,0.002969259,-1
5,MODEL1,PARMS,RB1,0.976934861,-2.680668601,0.302700944,-0.275069712,0.224712953,0.266685127,-1.274095283,3.879979332,0.198707979,1.180585424,-2.861337757,-1
6,MODEL1,PARMS,RB1,1.236123699,-0.087131373,0.465923006,-0.690529242,1.715144953,0.038897288,-0.454040503,2.382033532,0.257185744,-0.041803879,0.933365595,-1
7,MODEL1,PARMS,RB1,1.017756132,-2.408982972,0.295776403,-0.695227422,2.373898886,0.253168242,0.137854806,-0.697459618,0.243740499,0.105878836,0.037247982,-1
8,MODEL1,PARMS,RB1,0.865028508,-1.498682051,0.209514608,-0.503071412,2.119239332,0.197493271,0.612357035,-1.447097133,0.300815628,-0.335864263,0.901517934,-1
9,MODEL1,PARMS,RB1,0.841821342,-3.548968704,0.390213638,-1.097575378,4.172978581,0.245313704,-1.045737307,2.70510555,0.58739685,-0.687698771,0.968364884,-1
10,MODEL1,PARMS,RB1,0.983710428,0.402324814,0.419701271,-0.999413873,3.449842726,0.046738448,-0.502904578,2.041886613,0.186602711,1.014271458,-2.420511718,-1
11,MODEL1,PARMS,RB1,0.920831841,-5.480312644,0.29746674,-0.645651369,2.06993029,0.433783561,-0.8763997,1.704530732,0.427595102,-0.767051029,1.313115997,-1
12,MODEL1,PARMS,RB1,1.070298708,-2.322925017,0.351473828,-0.713063079,2.033479389,0.297640972,-0.420714248,1.522535425,-0.061933127,1.679731019,-3.924275581,-1
13,MODEL1,PARMS,RB1,0.92167359,-2.639669639,0.131489982,-0.353560967,1.344246549,0.309236287,0.433173705,-1.778558061,0.295643576,-0.132137302,0.272120354,-1
14,MODEL1,PARMS,RB1,0.879263754,-4.274218671,0.356147359,-1.254991939,4.64361188,0.35778584,-1.290812441,2.965533982,0.428631134,-0.875736729,2.086816634,-1
15,MODEL1,PARMS,RB1,0.88802926,0.761186292,0.326106208,-0.979815279,3.29201129,0.036041735,0.259390531,0.062202413,0.326324626,0.043719363,-0.32242285,-1
16,MODEL1,PARMS,RB1,0.772308751,-4.191902669,0.104162673,-0.562458927,2.154901867,0.486811874,-0.738414194,0.389319776,0.102044762,0.159665179,-0.127098113,-1
17,MODEL1,PARMS,RB1,0.766211065,3.496710315,0.318318793,-1.040602785,4.118634846,-0.156699579,0.883815019,-1.878364702,0.341440481,0.206176081,-0.68782524,-1
18,MODEL1,PARMS,RB1,0.841031802,-7.316648507,0.383875529,-0.74093891,2.13315493,0.632323453,-1.371912125,2.773459404,-0.174331746,1.936259855,-3.847141978,-1
19,MODEL1,PARMS,RB1,0.958757001,-2.878383618,0.31010699,-0.62226859,1.968157058,0.283794551,-1.305790349,3.659784464,0.284633015,0.275169685,-0.972947214,-1
20,MODEL1,PARMS,RB1,0.859778827,-3.432743198,0.226492912,-0.666458563,2.601737823,0.37038046,-0.559590978,0.89715254,0.118201903,0.662950258,-0.957299465,-1
21,MODEL1,PARMS,RB1,0.859595781,2.205247783,-0.070484232,0.142543045,-0.237638857,0.071470802,0.560913565,-1.875760038,0.196556823,0.078493818,0.339696363,-1
22,MODEL1,PARMS,RB1,0.894793486,-8.097725386,0.144010571,-0.496184619,2.104169473,0.644702405,-1.662401452,3.263364091,0.451547267,-0.355818458,0.754175068,-1
23,MODEL1,PARMS,RB1,0.794621769,0.569714917,0.312938476,-0.572080546,1.838585938,0.035235042,0.833731311,-2.254943767,0.260798555,0.294428278,-0.691965984,-1
24,MODEL1,PARMS,RB1,0.993775406,-0.264835053,0.358967939,-1.096338691,4.007791271,0.094710318,0.12623271,-0.341637264,0.30404321,-0.013951629,0.098398577,-1
25,MODEL1,PARMS,RB1,0.845752257,-4.741150162,0.210304086,-0.301111311,0.753831407,0.349442748,0.08110023,-0.891103707,0.583902044,-0.525188145,0.775525123,-1
26,MODEL1,PARMS,RB1,1.016983911,-3.258490226,-0.01532736,0.417254027,-1.262368447,0.326501135,-0.022007638,-0.072391628,0.565704256,-1.690400255,4.100728467,-1
27,MODEL1,PARMS,RB1,1.014141188,3.500005778,0.221993308,-0.340311303,0.885000992,-0.16427486,0.971514806,-1.722006049,0.514063108,-0.960566211,1.99170926,-1
28,MODEL1,PARMS,RB1,1.108753717,-10.39654058,0.401604887,-0.530014918,1.721930756,0.736143064,-1.208248189,3.179654842,0.182986567,0.122469263,-0.041776061,-1
29,MODEL1,PARMS,RB1,0.835037606,0.284011997,0.188583704,-0.325434557,0.837828839,0.118328303,-0.281769084,1.014202254,0.224647728,0.001954668,0.10330428,-1
30,MODEL1,PARMS,RB1,0.856622017,1.471364531,0.108723426,-0.227286985,1.027812922,-0.03253634,1.022207125,-2.982613351,0.61433911,-0.735978778,1.539958638,-1
31,MODEL1,PARMS,RB1,1.199371341,5.405552086,0.304200962,-0.466940101,0.802136815,-0.187831435,0.216744082,0.602026251,-0.031027606,1.234291146,-2.837077914,-1
32,MODEL1,PARMS,RB1,0.875661179,-3.248092989,0.235958451,-0.596358804,1.962522398,0.299030916,-0.50144956,1.038476891,0.450503143,-0.835397624,1.612947581,-1
33,MODEL1,PARMS,RB1,0.999728251,0.350006925,-0.030132462,-0.035536169,-0.071910795,0.20626979,-0.175284252,-0.116238493,0.183563244,-0.185694435,0.707917029,-1
34,MODEL1,PARMS,RB1,0.792403021,3.081905145,0.315574346,-0.912091722,3.368422993,-0.06125311,0.910244461,-2.240291424,0.027008227,0.451094854,-0.489638377,-1
35,MODEL1,PARMS,RB1,0.812525431,1.557507227,-0.045442519,-0.009116024,0.226981851,0.047886104,0.348057119,-1.191175623,0.513818669,-0.829454389,2.062859205,-1
36,MODEL1,PARMS,RB1,0.905625982,-0.788342785,0.294687336,-0.862638797,3.253147023,0.112080598,0.293588518,-0.962645371,0.445693363,-0.477610273,0.988039414,-1
37,MODEL1,PARMS,RB1,0.858340773,-0.248136108,0.424708783,-0.908765512,3.450562775,0.067688916,0.187858607,-0.195709143,0.207191101,0.790001473,-1.959272503,-1
38,MODEL1,PARMS,RB1,0.91778231,9.651290169,0.352001017,-0.972929955,3.368987599,-0.489367558,1.705401565,-3.97702369,0.062113521,0.148465818,0.146539541,-1
39,MODEL1,PARMS,RB1,0.923227969,10.72616104,0.143336141,-0.043728198,-0.440117372,-0.603557457,1.872767365,-3.498785052,0.441525018,-0.544785626,0.878256567,-1
40,MODEL1,PARMS,RB1,0.811073606,2.667260097,0.269230094,-0.679488013,2.472631295,-0.001074501,0.540458278,-1.676932185,-0.051467912,1.022191555,-1.875907293,-1
41,MODEL1,PARMS,RB1,1.004208907,0.91669673,0.031560958,-0.063087529,0.064748026,0.071254623,0.653126306,-1.774656361,0.477636334,-0.763658882,1.58360188,-1
42,MODEL1,PARMS,RB1,0.90380191,4.166414544,0.177377446,-0.367525814,0.978066334,-0.126822213,-0.347740638,1.762483332,0.189301943,1.395063992,-3.572744152,-1
43,MODEL1,PARMS,RB1,0.87322385,4.037921725,0.236198614,-0.509182813,1.462699109,-0.137000138,0.959523295,-2.649941738,0.215219584,0.251591337,-0.433608843,-1
44,MODEL1,PARMS,RB1,0.987346623,-0.413877097,0.572951187,-1.225092037,3.953129165,0.023234067,-0.573929951,2.210795632,0.333300611,0.097482572,-0.047634718,-1
45,MODEL1,PARMS,RB1,0.845867965,0.230546152,0.245090509,-0.568886697,2.286410309,0.047258529,0.690085435,-1.619435347,0.406240727,0.244618843,-0.852567035,-1
46,MODEL1,PARMS,RB1,0.854301654,-6.603665976,0.279459864,-0.476461672,1.511424687,0.546416164,-2.197270877,5.370261597,0.180375229,0.956316747,-2.395853699,-1
47,MODEL1,PARMS,RB1,0.901811124,-5.565626837,0.274843018,-0.514642543,1.249282048,0.464446308,-1.248952922,2.752526642,0.249035903,0.669623534,-1.430285837,-1
48,MODEL1,PARMS,RB1,0.807218161,3.242591096,0.103204518,-0.16136839,0.320519584,-0.020734007,0.532223117,-1.418930259,0.080954949,1.184636891,-3.008034833,-1
49,MODEL1,PARMS,RB1,0.904844418,-2.115410679,0.225437824,-0.807620307,2.966360852,0.286991688,-1.012379037,2.262669545,0.261912068,-0.35303869,1.040437663,-1
50,MODEL1,PARMS,RB1,0.86038406,0.826335106,0.363244716,-0.876142317,2.844234189,-0.014676441,0.404514104,-1.01840291,0.447439281,-0.493245316,1.34355178,-1
