SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,sRB10
1,MODEL1,PARMS,sRB10,0.717046842,-0.592700477,0.17075428,-0.326743589,1.212428574,0.0578356,0.653142511,-1.778105865,0.604452302,-1.22064954,2.112815695,-1
2,MODEL1,PARMS,sRB10,0.737081515,3.52217768,0.121896274,-0.248594268,1.167113992,-0.14551947,0.576236506,-1.133707445,0.311580908,0.08777643,-0.67349669,-1
3,MODEL1,PARMS,sRB10,0.746559678,4.23753416,0.13784612,-0.427866709,2.059572683,-0.291749953,1.61453715,-3.351590822,0.810083559,-2.239316977,4.161941786,-1
4,MODEL1,PARMS,sRB10,0.70602512,-2.278010753,0.264655458,-0.584817193,2.248334686,0.216186026,-0.791474025,1.978185814,0.238770586,0.012481608,-0.460346317,-1
5,MODEL1,PARMS,sRB10,0.718665336,-8.918602811,0.047743663,-0.11359333,0.934336883,0.606178684,-1.262204407,2.674496784,0.787429433,-2.150512853,4.034600032,-1
6,MODEL1,PARMS,sRB10,0.749319741,-1.739778777,0.063516328,-0.243781478,0.944400527,0.157576166,-0.703840686,1.855182469,0.707913497,-1.911559836,3.849308089,-1
7,MODEL1,PARMS,sRB10,0.790558971,-2.557952466,0.140081872,-0.416302369,2.067196883,0.240700653,-0.500997527,0.71562005,0.393447126,0.090042999,-0.651905588,-1
8,MODEL1,PARMS,sRB10,0.772954968,-0.083595948,0.233140752,-0.843387984,3.235899825,0.05433316,-0.251198498,0.979850947,0.463900984,-0.963838571,1.713885316,-1
9,MODEL1,PARMS,sRB10,0.727828644,0.556964408,0.177075503,-0.645372661,2.692077486,0.0443794,0.294054802,-0.693797581,0.309865899,-0.452697412,0.810022682,-1
10,MODEL1,PARMS,sRB10,0.704616897,11.72611119,0.176708352,-0.52373207,2.275686563,-0.719669441,2.460099243,-5.023762232,0.419831846,-0.814769229,1.483545145,-1
11,MODEL1,PARMS,sRB10,0.736545709,2.968640117,0.01224918,-0.183739268,1.28189262,-0.104871167,0.427577065,-0.82197237,0.569613477,-1.535552366,2.795039351,-1
12,MODEL1,PARMS,sRB10,0.686393235,3.699942155,0.173163023,-0.322954247,0.980755357,-0.159934587,1.088256046,-2.6189705,0.269687567,-0.210054792,0.110754625,-1
13,MODEL1,PARMS,sRB10,0.735662634,4.408251142,0.15786901,-0.565458682,2.483031511,-0.135335173,0.556852194,-1.16198533,0.058136146,0.044232886,-0.172170817,-1
14,MODEL1,PARMS,sRB10,0.720834815,14.71130151,0.172548992,-0.423390882,1.423235808,-0.894626763,2.590576734,-4.407340543,0.350123107,-0.226352169,0.084055921,-1
15,MODEL1,PARMS,sRB10,0.770621362,6.108084383,0.014878266,-0.039003579,0.311958821,-0.263844156,1.001252837,-1.948091537,0.254405752,-0.200115142,0.230082233,-1
16,MODEL1,PARMS,sRB10,0.773890205,4.316212395,0.13588778,-0.361367156,1.29626367,-0.173591075,0.408271316,-0.740578343,0.225972148,0.872969529,-2.719138955,-1
17,MODEL1,PARMS,sRB10,0.714309154,3.202400586,0.158315428,-0.445402891,2.054609641,-0.193046789,1.351829303,-3.068229531,0.574904177,-0.563287417,0.330995976,-1
18,MODEL1,PARMS,sRB10,0.755460226,1.899617463,0.195646508,-0.403783309,1.638019573,-0.063763028,0.319824013,-0.704131442,0.34962195,-0.306957451,0.429989679,-1
19,MODEL1,PARMS,sRB10,0.772714178,5.231639243,-0.016160453,0.173614781,-0.609276703,-0.207009181,0.994942564,-1.731363511,0.314750189,-0.58776596,0.692009217,-1
20,MODEL1,PARMS,sRB10,0.783176931,-2.374666837,0.197069092,-0.445555835,1.786974866,0.264251032,0.36816262,-1.136077949,0.087765225,0.619215924,-1.693444516,-1
21,MODEL1,PARMS,sRB10,0.795752215,7.154740616,0.091740198,-0.096571803,0.228928118,-0.396947465,0.882010665,-1.602542232,0.510372945,-1.281015999,2.650313619,-1
22,MODEL1,PARMS,sRB10,0.771134814,2.233678825,0.035541093,0.081242651,-0.395799241,-0.042772278,0.612296994,-1.590827171,0.36177491,-0.237395461,0.29940511,-1
23,MODEL1,PARMS,sRB10,0.778775862,-0.10606174,0.017182297,0.140274221,-0.2716692,0.061706218,0.194701154,-0.509328202,0.641614515,-1.563303693,3.068926526,-1
24,MODEL1,PARMS,sRB10,0.771105918,1.874728363,0.219458458,-0.629331497,2.311412446,-0.072234913,0.79933322,-2.138415248,0.410297296,-0.320045307,0.213954999,-1
25,MODEL1,PARMS,sRB10,0.800015965,-3.577357093,0.133969879,-0.317459849,1.392537267,0.307863266,-0.607354437,0.980048034,0.378914511,-0.305020585,0.39963032,-1
26,MODEL1,PARMS,sRB10,0.73061122,0.233828529,0.009884665,0.061213111,0.186650683,0.040494318,0.403874969,-0.76498158,0.629269992,-1.589493258,3.042671287,-1
27,MODEL1,PARMS,sRB10,0.7395214,3.058071814,0.035946962,0.014515828,-0.128824467,-0.144514096,0.705052976,-1.359169936,0.596734576,-1.144092456,2.112879282,-1
