SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,sLB10
964,MODEL1,PARMS,sLB10,0.931323707,2.259706295,0.2761453,-0.124273183,-0.079095136,-1
965,MODEL1,PARMS,sLB10,0.962730113,2.019279328,0.367584403,-0.746021971,1.163375582,-1
966,MODEL1,PARMS,sLB10,0.98930457,2.157946234,0.276572795,0.244250026,-0.722710726,-1
967,MODEL1,PARMS,sLB10,1.005502472,1.729580243,0.459506146,-1.391361215,2.383517696,-1
968,MODEL1,PARMS,sLB10,0.915697162,2.191473174,0.359634497,-0.85536316,1.298775237,-1
969,MODEL1,PARMS,sLB10,0.944548089,2.686761821,0.18575485,-0.175767317,0.203392035,-1
970,MODEL1,PARMS,sLB10,0.945750377,1.645509771,0.489733221,-1.164825745,1.725770777,-1
971,MODEL1,PARMS,sLB10,0.955390901,2.882035617,0.156135891,-0.3777111,0.706559212,-1
972,MODEL1,PARMS,sLB10,0.976421616,2.560122854,0.222830231,-0.284610951,0.43025594,-1
973,MODEL1,PARMS,sLB10,0.894169135,2.469817542,0.225705875,0.31175581,-0.884502025,-1
974,MODEL1,PARMS,sLB10,0.918166317,1.980256392,0.372144038,-0.566508912,0.818963561,-1
975,MODEL1,PARMS,sLB10,0.928165045,2.132421338,0.314833273,-0.778887004,1.351895526,-1
976,MODEL1,PARMS,sLB10,0.878197286,2.006027605,0.375143818,-0.825978241,1.289700198,-1
977,MODEL1,PARMS,sLB10,0.946381616,1.857531089,0.373414254,-0.429920802,0.497263685,-1
978,MODEL1,PARMS,sLB10,0.888137019,1.590288337,0.519023965,-1.594031596,2.724096688,-1
979,MODEL1,PARMS,sLB10,0.911139014,2.097225995,0.355811691,-0.859242933,1.287587907,-1
980,MODEL1,PARMS,sLB10,0.911501979,1.977144067,0.328722696,0.084506089,-0.692099238,-1
981,MODEL1,PARMS,sLB10,0.916647615,1.658728119,0.48895901,-1.519060687,2.514820232,-1
982,MODEL1,PARMS,sLB10,0.970399794,1.640399982,0.474484945,-1.029219195,1.548888156,-1
983,MODEL1,PARMS,sLB10,0.965433866,1.953638351,0.369858185,-0.635308698,0.972891398,-1
984,MODEL1,PARMS,sLB10,0.934026661,1.967498611,0.366537846,-0.570413795,0.736104357,-1
985,MODEL1,PARMS,sLB10,0.924078472,2.101471666,0.34869976,-0.930617873,1.559771217,-1
986,MODEL1,PARMS,sLB10,0.914614739,2.292571075,0.27677364,-0.201006471,0.187153386,-1
987,MODEL1,PARMS,sLB10,0.961777775,2.880822604,0.147519106,-0.404564448,0.853960642,-1
988,MODEL1,PARMS,sLB10,0.962947583,1.88632794,0.400744312,-0.609812488,0.6996053,-1
989,MODEL1,PARMS,sLB10,0.907027492,2.397206641,0.243452367,-0.414560841,0.602893433,-1
990,MODEL1,PARMS,sLB10,0.893553075,2.110460679,0.352971031,-0.880450859,1.272413798,-1
991,MODEL1,PARMS,sLB10,0.958177009,2.164184095,0.282050436,-0.365857277,0.646344154,-1
992,MODEL1,PARMS,sLB10,0.92031183,2.138873761,0.281473267,0.082668257,-0.362918046,-1
993,MODEL1,PARMS,sLB10,0.900328229,1.754309921,0.440467953,-0.880255949,1.315435755,-1
994,MODEL1,PARMS,sLB10,0.913122051,2.740967209,0.173844473,0.238381334,-0.602924234,-1
995,MODEL1,PARMS,sLB10,0.868676647,2.419324513,0.222692152,0.243157188,-0.699355366,-1
996,MODEL1,PARMS,sLB10,0.868869295,2.146655507,0.320947975,-0.444021574,0.492552695,-1
997,MODEL1,PARMS,sLB10,0.895905798,2.448528987,0.237766008,-0.159949332,0.131264539,-1
998,MODEL1,PARMS,sLB10,0.915565901,2.04762202,0.359267897,-0.841340696,1.364389169,-1
999,MODEL1,PARMS,sLB10,0.900569561,1.384857394,0.479894978,-0.659969387,0.776527039,-1
1000,MODEL1,PARMS,sLB10,0.916871782,2.220097056,0.271822171,0.219281992,-0.705153983,-1
