SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,RB4_5
428,MODEL1,PARMS,RB4_5,0.934783193,2.735506136,0.743434076,-1.886024845,2.941540155,-1
429,MODEL1,PARMS,RB4_5,0.892458924,3.643200741,0.444958899,-0.220638199,-0.012076396,-1
430,MODEL1,PARMS,RB4_5,0.870708419,2.882371868,0.679993668,-1.686762135,2.745742758,-1
431,MODEL1,PARMS,RB4_5,0.879183723,4.850655249,0.101305442,1.136460271,-2.305016924,-1
432,MODEL1,PARMS,RB4_5,0.857228303,4.338151792,0.239747864,0.486406137,-0.973876568,-1
433,MODEL1,PARMS,RB4_5,0.906718435,3.405324193,0.508920087,-0.568558089,0.644833895,-1
434,MODEL1,PARMS,RB4_5,0.869683686,5.365221306,-0.030449833,1.522651699,-2.826584443,-1
435,MODEL1,PARMS,RB4_5,0.885775774,4.307228004,0.297056718,0.207490876,-0.675645483,-1
436,MODEL1,PARMS,RB4_5,0.878626827,2.647117877,0.702893778,-0.94190067,1.049909528,-1
437,MODEL1,PARMS,RB4_5,0.899116476,3.939494409,0.400948936,-0.681168489,0.984213538,-1
438,MODEL1,PARMS,RB4_5,0.862757191,3.358573207,0.566980707,-1.372317645,2.263890791,-1
439,MODEL1,PARMS,RB4_5,0.8815292,3.469703379,0.51090606,-0.51555883,0.463414728,-1
440,MODEL1,PARMS,RB4_5,0.895825797,3.919280078,0.382870673,-0.097403129,-0.132172454,-1
441,MODEL1,PARMS,RB4_5,0.905615901,4.486977392,0.20010749,0.510576638,-1.098564374,-1
442,MODEL1,PARMS,RB4_5,0.844176888,3.596192495,0.492185977,-1.326911093,2.316366519,-1
443,MODEL1,PARMS,RB4_5,0.912444287,3.453547245,0.54620936,-1.273839594,2.058690969,-1
444,MODEL1,PARMS,RB4_5,0.909728531,3.977383317,0.39305692,-0.50098346,0.612028263,-1
445,MODEL1,PARMS,RB4_5,0.862155657,3.294261616,0.532069752,-0.773174842,0.943883804,-1
446,MODEL1,PARMS,RB4_5,0.866910294,4.183452993,0.317841056,-0.082534237,-0.057355929,-1
447,MODEL1,PARMS,RB4_5,0.879852743,3.711650711,0.44365356,-0.684409016,0.889604561,-1
448,MODEL1,PARMS,RB4_5,0.892360657,3.579079226,0.463568828,-0.513913328,0.615462515,-1
449,MODEL1,PARMS,RB4_5,0.868562275,4.905124313,0.054366695,1.676172337,-3.384433706,-1
450,MODEL1,PARMS,RB4_5,0.971850165,2.919282805,0.651943283,-1.419885903,2.161191497,-1
451,MODEL1,PARMS,RB4_5,0.907273052,3.874388325,0.403254239,-0.514999836,0.671138802,-1
452,MODEL1,PARMS,RB4_5,0.926969598,3.379803475,0.575225935,-1.921594398,3.410601176,-1
453,MODEL1,PARMS,RB4_5,0.893672917,4.720200169,0.1853772,0.200068499,-0.4865025,-1
454,MODEL1,PARMS,RB4_5,0.877170605,3.451422399,0.517595672,-1.06221975,1.642429317,-1
455,MODEL1,PARMS,RB4_5,0.88274368,3.206055075,0.602654823,-1.620794844,2.733237189,-1
456,MODEL1,PARMS,RB4_5,0.933081539,3.923141597,0.37002208,0.028818273,-0.364392037,-1
457,MODEL1,PARMS,RB4_5,0.906928424,4.324645042,0.272675755,0.204150245,-0.709891435,-1
458,MODEL1,PARMS,RB4_5,0.903835423,3.770770426,0.414977353,-0.538187578,0.774830953,-1
459,MODEL1,PARMS,RB4_5,0.929117167,3.978932252,0.36872716,-0.199871492,0.164742383,-1
460,MODEL1,PARMS,RB4_5,0.908612244,3.812995625,0.410584729,-0.211005068,-0.020287666,-1
