SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,LUL
537,MODEL1,PARMS,LUL,1.106915236,6.658620203,0.226956564,1.125834277,-2.09117246,-1
538,MODEL1,PARMS,LUL,1.189368922,5.750758448,0.41706682,0.861318822,-1.882719675,-1
539,MODEL1,PARMS,LUL,0.991042726,7.050242499,0.087075571,1.861765412,-3.604269712,-1
540,MODEL1,PARMS,LUL,1.077706706,6.107761715,0.376197736,0.073358252,-0.049848642,-1
541,MODEL1,PARMS,LUL,1.035482234,7.116536093,0.078808588,1.701492397,-3.030694097,-1
542,MODEL1,PARMS,LUL,1.118305802,5.636479701,0.452105172,0.503461979,-1.209148641,-1
543,MODEL1,PARMS,LUL,1.108798824,5.728146982,0.412924088,1.189501051,-2.581932924,-1
544,MODEL1,PARMS,LUL,1.076662802,5.90730124,0.3839503,0.708531708,-1.445484045,-1
545,MODEL1,PARMS,LUL,1.109833977,6.272155641,0.279334861,1.311849097,-2.599297583,-1
546,MODEL1,PARMS,LUL,1.121852208,6.773162695,0.154881665,1.681648348,-3.11893843,-1
547,MODEL1,PARMS,LUL,1.129696292,6.80547942,0.163952799,1.303152432,-2.340931643,-1
548,MODEL1,PARMS,LUL,1.0687531,6.784497504,0.140669414,1.520106254,-2.696978892,-1
549,MODEL1,PARMS,LUL,1.071476362,5.72990569,0.517737531,-0.365899271,0.493940809,-1
550,MODEL1,PARMS,LUL,1.10935235,7.26757109,0.041738847,1.558605885,-2.665508259,-1
551,MODEL1,PARMS,LUL,1.10557812,6.624175914,0.216672553,1.024636401,-1.902563557,-1
552,MODEL1,PARMS,LUL,1.116691123,5.403442795,0.508355041,0.466049204,-1.317449128,-1
553,MODEL1,PARMS,LUL,1.086818905,6.466244225,0.248730762,1.18414318,-2.319040024,-1
554,MODEL1,PARMS,LUL,1.136451139,6.782826675,0.107299802,1.906926431,-3.381275943,-1
555,MODEL1,PARMS,LUL,1.106405721,6.454524251,0.193456399,1.962045188,-3.644271273,-1
556,MODEL1,PARMS,LUL,1.143538636,7.348654276,0.00073243,2.041442925,-3.855961093,-1
557,MODEL1,PARMS,LUL,1.012560479,7.388589441,-0.015679758,1.878517769,-3.344546722,-1
558,MODEL1,PARMS,LUL,1.100501907,8.001478334,-0.210030434,3.339503421,-6.082305538,-1
559,MODEL1,PARMS,LUL,1.106574498,5.035322185,0.648259909,-0.784727698,1.24428337,-1
560,MODEL1,PARMS,LUL,1.086092186,6.580737516,0.174863396,1.9653483,-3.815234941,-1
561,MODEL1,PARMS,LUL,1.04813813,6.409733928,0.297412694,0.173105298,-0.33644302,-1
562,MODEL1,PARMS,LUL,1.098884901,6.273105826,0.278707521,1.09862941,-2.035685466,-1
563,MODEL1,PARMS,LUL,1.086534064,5.660666557,0.473850821,0.481970249,-1.161674444,-1
564,MODEL1,PARMS,LUL,1.088443449,7.090985765,0.04237018,2.470980897,-4.623015681,-1
565,MODEL1,PARMS,LUL,1.104293303,6.904637698,0.098043137,1.920017847,-3.613715797,-1
566,MODEL1,PARMS,LUL,1.032798547,7.304266454,0.027608723,1.978762674,-3.527721552,-1
567,MODEL1,PARMS,LUL,1.1830097,6.69285229,0.12379342,2.298893831,-4.362083523,-1
568,MODEL1,PARMS,LUL,1.082598471,6.614737508,0.225260079,0.90008706,-1.663594894,-1
569,MODEL1,PARMS,LUL,1.054750244,7.271056835,0.001121133,2.475092253,-4.505628901,-1
570,MODEL1,PARMS,LUL,1.034889544,6.843859257,0.148616628,1.534243501,-2.661622459,-1
571,MODEL1,PARMS,LUL,1.144012516,7.103412274,0.050610629,2.395374906,-4.436565339,-1
572,MODEL1,PARMS,LUL,1.152499919,5.259769072,0.5614526,-0.031296884,-0.209026937,-1
573,MODEL1,PARMS,LUL,1.104601174,7.28178159,0.045797774,1.381827811,-2.073248984,-1
574,MODEL1,PARMS,LUL,1.108830782,6.822795509,0.177268231,1.164420254,-1.926267537,-1
575,MODEL1,PARMS,LUL,1.12277019,6.876927859,0.161163784,1.29891326,-2.44282201,-1
576,MODEL1,PARMS,LUL,1.058697737,5.309970425,0.57238132,-0.168289456,0.031749153,-1
577,MODEL1,PARMS,LUL,1.115555342,6.937224427,0.113509196,1.437485657,-2.479033379,-1
578,MODEL1,PARMS,LUL,1.06275479,5.806524589,0.404903475,0.700383223,-1.573788267,-1
579,MODEL1,PARMS,LUL,1.058195162,6.323092119,0.276436958,1.263631363,-2.513732959,-1
580,MODEL1,PARMS,LUL,1.09669562,6.991618752,0.11791541,1.359688871,-2.301172645,-1
581,MODEL1,PARMS,LUL,1.105483942,7.152674809,0.048241447,1.7458324,-3.005250457,-1
582,MODEL1,PARMS,LUL,1.104233825,5.915634092,0.335584794,1.365459185,-2.689851758,-1
583,MODEL1,PARMS,LUL,1.139943115,6.635413577,0.197171232,1.327427544,-2.305120225,-1
584,MODEL1,PARMS,LUL,1.164578618,7.902567653,-0.159312395,2.704034288,-4.812694249,-1
585,MODEL1,PARMS,LUL,1.16282793,5.935033574,0.354504981,1.056819944,-2.225805211,-1
586,MODEL1,PARMS,LUL,1.046373734,6.528549027,0.211892889,1.414052564,-2.710943773,-1
587,MODEL1,PARMS,LUL,1.142256641,6.652362236,0.203606403,1.392999567,-2.716258696,-1
588,MODEL1,PARMS,LUL,1.13262899,5.226454538,0.645037264,-0.885220653,1.491821691,-1
