SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,LUL
742,MODEL1,PARMS,LUL,1.039227653,7.108510922,0.044669051,2.033539987,-3.702812777,-1
743,MODEL1,PARMS,LUL,1.138387413,6.945077868,0.11488692,1.535183389,-2.920313257,-1
744,MODEL1,PARMS,LUL,1.130719993,5.468345119,0.518345437,-0.112885808,0.128533023,-1
745,MODEL1,PARMS,LUL,1.094725303,7.210897334,0.050499984,2.180849002,-4.088792141,-1
746,MODEL1,PARMS,LUL,1.103957818,5.871516926,0.425844713,0.039033691,-0.05728831,-1
747,MODEL1,PARMS,LUL,1.046054185,6.235209527,0.295112842,1.338895431,-2.609764503,-1
748,MODEL1,PARMS,LUL,1.20368327,6.506394287,0.208088807,1.313644218,-2.413603943,-1
749,MODEL1,PARMS,LUL,1.09442469,6.941098203,0.088124449,2.036392159,-3.727031273,-1
750,MODEL1,PARMS,LUL,1.072183822,7.174799606,0.064843178,1.438758086,-2.409630114,-1
751,MODEL1,PARMS,LUL,1.034958755,6.756686656,0.153352881,1.833517846,-3.571744445,-1
752,MODEL1,PARMS,LUL,1.166367598,5.954390586,0.376057943,0.61764975,-1.307862833,-1
753,MODEL1,PARMS,LUL,1.124493696,7.625025665,-0.091373128,2.804655453,-5.348011822,-1
754,MODEL1,PARMS,LUL,1.051243924,6.247361686,0.31877796,0.856900287,-1.76260799,-1
755,MODEL1,PARMS,LUL,1.088350643,5.856487667,0.39816187,1.193509548,-2.63515357,-1
756,MODEL1,PARMS,LUL,1.115225528,6.577145687,0.18254721,1.919286787,-3.813028155,-1
757,MODEL1,PARMS,LUL,1.150222368,6.411071487,0.26676251,1.208061411,-2.312448175,-1
758,MODEL1,PARMS,LUL,1.14509448,6.946595912,0.140067553,1.616129715,-3.007033952,-1
759,MODEL1,PARMS,LUL,1.174355601,7.08087276,0.099081492,1.754427149,-3.367119011,-1
760,MODEL1,PARMS,LUL,1.103055904,6.279395952,0.292285228,1.242309445,-2.461322703,-1
761,MODEL1,PARMS,LUL,1.041307719,6.284404931,0.284700269,1.156908195,-2.217086738,-1
762,MODEL1,PARMS,LUL,1.092614924,6.94907974,0.117548188,1.668568011,-2.984626419,-1
763,MODEL1,PARMS,LUL,1.143159005,7.039744682,0.055084094,2.288779268,-4.25473005,-1
764,MODEL1,PARMS,LUL,1.085037266,6.591234782,0.179234238,1.612556257,-3.113113801,-1
765,MODEL1,PARMS,LUL,1.127666101,6.924888966,0.125464512,2.005491368,-3.799200956,-1
766,MODEL1,PARMS,LUL,1.097274937,7.410988493,-0.033447491,2.595531686,-4.949002863,-1
767,MODEL1,PARMS,LUL,1.12950454,6.76669275,0.144433396,2.064646355,-4.05059238,-1
768,MODEL1,PARMS,LUL,1.098785262,6.96889785,0.130786913,1.446282148,-2.836034833,-1
769,MODEL1,PARMS,LUL,1.106987427,5.989829435,0.373001277,0.743490653,-1.437036294,-1
770,MODEL1,PARMS,LUL,1.104038958,6.976832628,0.12798064,1.64373661,-3.064025098,-1
771,MODEL1,PARMS,LUL,1.147666555,6.637746344,0.20250126,1.280310433,-2.219250679,-1
772,MODEL1,PARMS,LUL,1.122130429,6.919089896,0.13962849,1.290910904,-2.249282923,-1
773,MODEL1,PARMS,LUL,1.117669817,6.39358661,0.248385885,1.454418987,-2.878691813,-1
774,MODEL1,PARMS,LUL,1.111183466,6.420225784,0.282251358,0.672045526,-1.236566085,-1
775,MODEL1,PARMS,LUL,1.081101807,7.405458474,-0.049974116,2.820891105,-5.093570989,-1
776,MODEL1,PARMS,LUL,1.142571655,6.612925015,0.18594837,1.848834395,-3.634622964,-1
777,MODEL1,PARMS,LUL,1.144973162,6.979539222,0.08162618,1.866305485,-3.359339372,-1
778,MODEL1,PARMS,LUL,1.140042145,7.324187977,0.014927516,2.075872059,-3.783828072,-1
779,MODEL1,PARMS,LUL,1.081105531,6.579579363,0.196662442,1.423986399,-2.600360623,-1
780,MODEL1,PARMS,LUL,1.096542058,6.864144792,0.094076084,1.871205797,-3.379907119,-1
781,MODEL1,PARMS,LUL,1.143612295,6.918346614,0.061115672,2.838765403,-5.461362961,-1
782,MODEL1,PARMS,LUL,1.144848764,6.377124555,0.226289203,1.296277231,-2.44309112,-1
783,MODEL1,PARMS,LUL,1.133133321,7.515504735,-0.034371002,2.251819543,-4.033038256,-1
784,MODEL1,PARMS,LUL,1.065820331,6.633545635,0.195623883,1.362525832,-2.597107175,-1
785,MODEL1,PARMS,LUL,1.128502893,6.328669782,0.280936233,0.758985758,-1.455630238,-1
786,MODEL1,PARMS,LUL,1.150075386,6.357622785,0.238172358,1.374715495,-2.785619975,-1
787,MODEL1,PARMS,LUL,1.052226417,6.519942408,0.219704915,1.701010801,-3.322420409,-1
788,MODEL1,PARMS,LUL,1.146278382,5.545086949,0.525761367,-0.767876085,1.342643999,-1
789,MODEL1,PARMS,LUL,1.149948982,6.69668101,0.170714604,1.659323488,-3.074031409,-1
790,MODEL1,PARMS,LUL,1.082660281,6.374371354,0.239183898,1.359714356,-2.650759818,-1
791,MODEL1,PARMS,LUL,1.083860806,5.861205209,0.423450141,0.307446545,-0.803521346,-1
792,MODEL1,PARMS,LUL,1.177112224,5.4557542,0.528950386,-0.093888145,0.143151589,-1
793,MODEL1,PARMS,LUL,1.137180831,7.761280061,-0.137622242,2.857514706,-5.206161969,-1
794,MODEL1,PARMS,LUL,1.072320111,6.761629149,0.129728566,1.963330041,-3.688602119,-1
795,MODEL1,PARMS,LUL,1.103986766,6.520886542,0.240268752,1.123781957,-2.125689016,-1
796,MODEL1,PARMS,LUL,1.122426053,5.348362876,0.5758542,0.037562885,-0.460992042,-1
797,MODEL1,PARMS,LUL,1.057799571,7.769277392,-0.150546425,3.097947459,-5.549453253,-1
798,MODEL1,PARMS,LUL,1.133309482,7.267154014,0.060408606,1.794220237,-3.498318195,-1
799,MODEL1,PARMS,LUL,1.082838415,6.273548558,0.26577349,1.49101644,-2.951941152,-1
800,MODEL1,PARMS,LUL,1.047537034,6.304363761,0.307509656,1.101411849,-2.423056762,-1
801,MODEL1,PARMS,LUL,1.178234271,6.235220404,0.324982998,0.660585315,-1.394327628,-1
802,MODEL1,PARMS,LUL,1.124457635,7.683348008,-0.083983354,2.186875628,-3.684987562,-1
803,MODEL1,PARMS,LUL,1.065429981,7.691812038,-0.122186274,3.169801091,-5.84911324,-1
804,MODEL1,PARMS,LUL,1.091715497,7.005829801,0.030255574,2.690050737,-5.035358294,-1
805,MODEL1,PARMS,LUL,1.057605495,6.10739738,0.353965081,0.268473119,-0.458313504,-1
806,MODEL1,PARMS,LUL,1.064151509,6.91904677,0.126910022,1.467995052,-2.689157738,-1
807,MODEL1,PARMS,LUL,1.130391671,7.098699394,0.073566512,2.067132951,-3.941894524,-1
808,MODEL1,PARMS,LUL,1.114545305,5.859412998,0.416047683,0.388535231,-0.790848302,-1
809,MODEL1,PARMS,LUL,1.140662475,7.430251921,0.026988922,1.284274815,-2.050911177,-1
810,MODEL1,PARMS,LUL,1.041639388,6.215719462,0.336219072,0.7905995,-1.497578141,-1
811,MODEL1,PARMS,LUL,1.135151049,6.0245826,0.34671168,1.214847874,-2.731122844,-1
812,MODEL1,PARMS,LUL,1.027997066,6.831124696,0.15893581,1.492347599,-2.713473788,-1
813,MODEL1,PARMS,LUL,1.186943937,5.601742142,0.47234699,-0.069996054,0.065898158,-1
814,MODEL1,PARMS,LUL,1.129765584,5.943408574,0.321764057,1.348850827,-2.580076617,-1
815,MODEL1,PARMS,LUL,1.086570517,6.145645824,0.340883803,1.012159238,-2.119260429,-1
816,MODEL1,PARMS,LUL,1.050181769,6.58262429,0.210914825,1.742112245,-3.492932807,-1
817,MODEL1,PARMS,LUL,1.095998343,6.919785999,0.135033344,1.241622727,-2.060154564,-1
818,MODEL1,PARMS,LUL,1.159794594,6.55835417,0.239773865,1.208321593,-2.228149235,-1
819,MODEL1,PARMS,LUL,1.17059012,6.950087307,0.063828936,2.409256899,-4.632843533,-1
820,MODEL1,PARMS,LUL,1.120334969,6.577928394,0.244222927,0.683275855,-1.188209178,-1
821,MODEL1,PARMS,LUL,1.116101357,5.904494538,0.428713441,0.269163439,-0.755490303,-1
822,MODEL1,PARMS,LUL,1.142888288,6.073039712,0.346051696,0.608210106,-1.201319349,-1
823,MODEL1,PARMS,LUL,1.118698993,5.886736794,0.386207133,1.138840706,-2.271175372,-1
824,MODEL1,PARMS,LUL,1.098125352,6.063403773,0.377219838,0.253027038,-0.544770612,-1
825,MODEL1,PARMS,LUL,1.061797677,6.571088793,0.219571195,0.707440996,-1.172951341,-1
826,MODEL1,PARMS,LUL,1.072247291,6.056588172,0.388668645,0.224990623,-0.537058934,-1
827,MODEL1,PARMS,LUL,1.127085721,6.803404636,0.174411361,1.39264888,-2.549119536,-1
828,MODEL1,PARMS,LUL,1.084575202,6.494162591,0.236651246,1.383557566,-2.751026074,-1
829,MODEL1,PARMS,LUL,1.069615429,5.960763746,0.384904268,0.568339486,-1.202614362,-1
830,MODEL1,PARMS,LUL,1.086336827,5.006201767,0.644510521,-0.455698235,0.666592551,-1
831,MODEL1,PARMS,LUL,1.137466668,5.655917932,0.4686064,0.05841116,-0.066044296,-1
832,MODEL1,PARMS,LUL,1.099007471,5.334302188,0.539137606,0.341593201,-0.974572011,-1
833,MODEL1,PARMS,LUL,1.115333896,6.567580856,0.271638916,0.362236125,-0.631414592,-1
834,MODEL1,PARMS,LUL,1.122429394,6.991989949,0.105811744,1.810327566,-3.380494478,-1
835,MODEL1,PARMS,LUL,1.067882139,6.974448153,0.052225866,2.630577153,-5.031169411,-1
836,MODEL1,PARMS,LUL,1.131046182,7.799942138,-0.166095427,3.285371941,-6.080972794,-1
837,MODEL1,PARMS,LUL,1.157604843,6.331632815,0.269578053,1.696988551,-3.407966802,-1
838,MODEL1,PARMS,LUL,1.088760698,6.49557675,0.216185091,1.492995083,-2.87037921,-1
839,MODEL1,PARMS,LUL,1.190001904,5.747871339,0.419222984,0.250115031,-0.443260293,-1
840,MODEL1,PARMS,LUL,1.135832156,6.412959927,0.258158909,1.127658849,-2.229054634,-1
841,MODEL1,PARMS,LUL,1.200592707,6.316260329,0.299665784,1.262661394,-2.59209658,-1
842,MODEL1,PARMS,LUL,1.089041378,6.429682349,0.298485828,0.419299358,-0.814070158,-1
843,MODEL1,PARMS,LUL,1.09872623,6.382178465,0.266914932,0.583814886,-0.898978685,-1
844,MODEL1,PARMS,LUL,1.121711441,5.497648097,0.485477166,0.795464437,-1.716896782,-1
845,MODEL1,PARMS,LUL,1.108982752,5.707749695,0.446127801,0.668333746,-1.480820843,-1
846,MODEL1,PARMS,LUL,1.147227041,6.465644236,0.194288367,1.741869161,-3.319890238,-1
847,MODEL1,PARMS,LUL,1.079576265,5.491882089,0.530851268,0.268877731,-1.049704276,-1
848,MODEL1,PARMS,LUL,1.170989623,6.158066076,0.317637109,1.009881408,-1.985696651,-1
849,MODEL1,PARMS,LUL,1.192709718,6.529808573,0.227944715,1.616288202,-3.036797003,-1
850,MODEL1,PARMS,LUL,1.095910117,6.663675044,0.185630637,1.24616875,-2.057327449,-1
851,MODEL1,PARMS,LUL,1.118311415,6.200138282,0.334484665,0.703875795,-1.29727898,-1
852,MODEL1,PARMS,LUL,1.111490837,7.791058789,-0.124582903,2.373483916,-4.0163321,-1
853,MODEL1,PARMS,LUL,1.164000064,6.875012051,0.141206556,1.623499267,-3.044417657,-1
854,MODEL1,PARMS,LUL,1.051919168,6.546662829,0.205330584,1.350614094,-2.443039886,-1
855,MODEL1,PARMS,LUL,1.074054521,6.263607914,0.333440255,0.855196382,-1.75351926,-1
856,MODEL1,PARMS,LUL,1.075254586,5.810913169,0.410834076,0.143153305,-0.222217496,-1
857,MODEL1,PARMS,LUL,1.085186965,5.770093348,0.411870832,0.813796786,-1.803294955,-1
858,MODEL1,PARMS,LUL,1.022816033,6.398316061,0.267712835,0.893802267,-1.748263125,-1
859,MODEL1,PARMS,LUL,1.167808094,6.760844121,0.16151566,1.667336349,-3.125221191,-1
860,MODEL1,PARMS,LUL,1.15975475,6.66123841,0.161961797,1.728736841,-3.169879082,-1
861,MODEL1,PARMS,LUL,1.185430131,6.701910732,0.168041907,1.907480001,-3.734986658,-1
862,MODEL1,PARMS,LUL,1.132051961,6.55610531,0.204393826,1.786280939,-3.515982722,-1
863,MODEL1,PARMS,LUL,1.085738684,6.722689782,0.167345087,1.675966311,-3.413997832,-1
864,MODEL1,PARMS,LUL,1.083527143,6.876598865,0.154420716,1.327743682,-2.394087625,-1
865,MODEL1,PARMS,LUL,1.094890688,5.19562807,0.607855945,-0.667505654,1.011698603,-1
866,MODEL1,PARMS,LUL,1.128323457,5.804774131,0.434703425,0.008780139,-0.034168927,-1
867,MODEL1,PARMS,LUL,1.146385162,6.258317527,0.328195789,0.593443699,-1.123394389,-1
868,MODEL1,PARMS,LUL,1.055014487,7.219161855,0.005605651,2.814486776,-5.379416482,-1
869,MODEL1,PARMS,LUL,1.138377478,6.571346665,0.212993614,1.19983439,-2.142731388,-1
870,MODEL1,PARMS,LUL,1.164107661,5.637634727,0.47258309,0.358019072,-1.013261181,-1
871,MODEL1,PARMS,LUL,1.113835902,6.56132388,0.257343573,0.78229186,-1.424090941,-1
872,MODEL1,PARMS,LUL,1.103989819,7.149503084,0.049790699,1.915342016,-3.505156876,-1
873,MODEL1,PARMS,LUL,1.09564004,5.642025289,0.503771711,-0.490080778,0.861820295,-1
874,MODEL1,PARMS,LUL,1.073364592,6.934095161,0.089997198,1.985863214,-3.624426515,-1
875,MODEL1,PARMS,LUL,1.150551855,5.328836127,0.564381078,-0.239963331,0.321980968,-1
876,MODEL1,PARMS,LUL,1.112853234,6.305254824,0.287880845,0.698524735,-1.377189967,-1
877,MODEL1,PARMS,LUL,1.080500655,6.610123447,0.184152292,1.253557039,-2.146696413,-1
878,MODEL1,PARMS,LUL,1.152962543,6.085763821,0.362776858,0.364015606,-0.655056951,-1
879,MODEL1,PARMS,LUL,1.090732066,6.597655854,0.194473206,2.178730207,-4.435170653,-1
880,MODEL1,PARMS,LUL,1.093458998,6.475166945,0.20552769,1.562182667,-3.007382926,-1
881,MODEL1,PARMS,LUL,1.116859976,6.978435298,0.10585141,1.743457965,-3.068965528,-1
882,MODEL1,PARMS,LUL,1.088645572,5.231921472,0.542932207,0.581432243,-1.464790355,-1
883,MODEL1,PARMS,LUL,1.155328505,7.011317739,0.099791335,2.024290819,-3.750406766,-1
884,MODEL1,PARMS,LUL,1.079142311,6.921549604,0.067542128,2.724007237,-5.308688614,-1
885,MODEL1,PARMS,LUL,1.075038832,7.252043852,0.020454244,2.211709229,-3.973716832,-1
886,MODEL1,PARMS,LUL,1.148592626,6.183368851,0.321580747,0.764212684,-1.512218309,-1
887,MODEL1,PARMS,LUL,1.062800248,7.350902873,-0.0147328,2.813397322,-5.291651398,-1
888,MODEL1,PARMS,LUL,1.061051345,7.201174822,0.053154699,1.581799744,-2.861733901,-1
889,MODEL1,PARMS,LUL,1.137801521,7.065806366,0.031698721,2.717960099,-5.135373951,-1
890,MODEL1,PARMS,LUL,1.115166593,6.430871923,0.287386382,0.841705602,-1.556976522,-1
891,MODEL1,PARMS,LUL,1.171400238,5.490012664,0.532617115,-0.156613547,0.133968045,-1
892,MODEL1,PARMS,LUL,1.113719613,7.187120573,0.027740405,2.000493871,-3.629960846,-1
893,MODEL1,PARMS,LUL,1.149534195,7.337054974,-0.013458918,2.082029143,-3.68059424,-1
894,MODEL1,PARMS,LUL,1.212052027,6.476735802,0.218034169,1.789651144,-3.541037152,-1
895,MODEL1,PARMS,LUL,1.163017284,6.150462365,0.341672182,0.636102104,-1.244342474,-1
896,MODEL1,PARMS,LUL,1.133476736,6.145445585,0.30920649,1.037307064,-1.842412911,-1
897,MODEL1,PARMS,LUL,1.030054583,6.879167738,0.125573588,1.826497788,-3.439736165,-1
898,MODEL1,PARMS,LUL,1.065968202,6.215283726,0.297292473,1.092035255,-1.94534074,-1
899,MODEL1,PARMS,LUL,1.025840433,6.919220656,0.110158207,1.782632149,-3.205972489,-1
900,MODEL1,PARMS,LUL,1.110762336,7.455377427,-0.074082769,3.107211662,-6.01562204,-1
901,MODEL1,PARMS,LUL,1.093649798,5.619488253,0.509044148,0.265836232,-0.752812664,-1
902,MODEL1,PARMS,LUL,1.05617407,6.231710811,0.342528888,0.583851733,-1.164678314,-1
903,MODEL1,PARMS,LUL,1.115521979,6.606496356,0.206880429,1.232790292,-2.346385773,-1
904,MODEL1,PARMS,LUL,1.085000576,6.684239437,0.171561398,1.84487488,-3.500289585,-1
905,MODEL1,PARMS,LUL,1.173997386,4.926497948,0.668567801,-0.673897157,0.866875419,-1
906,MODEL1,PARMS,LUL,1.025171427,7.271185215,0.027964768,1.966986233,-3.489230041,-1
907,MODEL1,PARMS,LUL,1.123604028,6.714860773,0.176433663,1.419251307,-2.597691856,-1
908,MODEL1,PARMS,LUL,1.094517772,6.26226599,0.281873767,1.266829625,-2.609642653,-1
909,MODEL1,PARMS,LUL,1.08821901,5.8540579,0.434858865,0.027121841,-0.162079471,-1
910,MODEL1,PARMS,LUL,1.129966425,7.437402989,-0.034679263,2.405944135,-4.326086591,-1
911,MODEL1,PARMS,LUL,1.074443174,7.179228231,0.071616327,1.901406929,-3.637850326,-1
912,MODEL1,PARMS,LUL,1.136219381,7.334121298,0.023781753,1.876041961,-3.323277718,-1
913,MODEL1,PARMS,LUL,1.121485049,5.774467769,0.427779406,0.613189294,-1.205782009,-1
914,MODEL1,PARMS,LUL,1.06735485,5.320611802,0.557837993,-0.299918903,0.423457237,-1
915,MODEL1,PARMS,LUL,1.107517092,6.055163521,0.301618597,1.355845306,-2.707965072,-1
916,MODEL1,PARMS,LUL,1.101740832,6.826283919,0.133895278,1.810768023,-3.344798785,-1
917,MODEL1,PARMS,LUL,1.202541495,6.741418903,0.123016765,2.146836746,-3.866062135,-1
918,MODEL1,PARMS,LUL,1.069236847,5.165377432,0.613171176,-0.276960535,0.096492471,-1
919,MODEL1,PARMS,LUL,1.065445101,5.511572376,0.514943063,-0.775295848,1.673826874,-1
920,MODEL1,PARMS,LUL,1.111430642,5.806831277,0.407639751,0.341527945,-0.73454738,-1
921,MODEL1,PARMS,LUL,1.122750808,6.063231511,0.393530071,0.206841954,-0.422328174,-1
922,MODEL1,PARMS,LUL,1.155866184,6.590464725,0.241418177,0.829049178,-1.399114391,-1
923,MODEL1,PARMS,LUL,1.097394736,6.578106358,0.202074447,1.65085118,-3.071867826,-1
924,MODEL1,PARMS,LUL,1.198943365,4.762732282,0.698665162,-0.277993413,-0.017476729,-1
925,MODEL1,PARMS,LUL,1.16405298,7.154608273,0.056115294,1.595498289,-2.749666999,-1
926,MODEL1,PARMS,LUL,1.191161063,5.461840887,0.553285177,-0.10645884,0.02274535,-1
927,MODEL1,PARMS,LUL,1.135995839,6.538641665,0.203252257,1.38066027,-2.473054961,-1
928,MODEL1,PARMS,LUL,1.075969821,6.412691741,0.230807076,1.616303609,-3.267838853,-1
929,MODEL1,PARMS,LUL,1.11643191,5.750722462,0.433338504,0.410377418,-0.835961101,-1
930,MODEL1,PARMS,LUL,1.078916222,6.100912361,0.320321665,1.106496767,-2.209305166,-1
931,MODEL1,PARMS,LUL,1.067100857,6.335923353,0.278007385,0.553489863,-0.908178088,-1
932,MODEL1,PARMS,LUL,1.148748373,6.619788986,0.218942178,0.723157566,-1.141993409,-1
933,MODEL1,PARMS,LUL,1.198094967,6.38225551,0.276821374,1.250573592,-2.604364882,-1
934,MODEL1,PARMS,LUL,1.072772858,5.864684681,0.405390664,0.794831364,-1.674323886,-1
935,MODEL1,PARMS,LUL,1.120491163,5.997972656,0.369375557,1.045277695,-2.044193397,-1
936,MODEL1,PARMS,LUL,1.076848275,6.64591237,0.17472275,1.524534279,-2.944307399,-1
937,MODEL1,PARMS,LUL,1.152608169,6.798300969,0.148046627,1.646303096,-3.004885563,-1
938,MODEL1,PARMS,LUL,1.080363649,6.216835717,0.324026055,0.57404499,-1.042282459,-1
939,MODEL1,PARMS,LUL,1.167638267,6.180851962,0.334640548,0.012854573,0.166052206,-1
940,MODEL1,PARMS,LUL,1.124366931,6.595035972,0.174597401,1.954262941,-3.726050674,-1
941,MODEL1,PARMS,LUL,1.026166373,7.014552698,0.109865075,1.350904988,-2.321386067,-1
942,MODEL1,PARMS,LUL,1.17317424,7.308962828,0.009066691,2.222191363,-4.116359379,-1
943,MODEL1,PARMS,LUL,1.098362714,7.752497827,-0.145433739,3.160214621,-5.734403362,-1
944,MODEL1,PARMS,LUL,1.124951495,6.854763891,0.166851455,1.31931171,-2.547665734,-1
945,MODEL1,PARMS,LUL,1.013062724,6.504980818,0.231835036,0.984598118,-1.727109007,-1
946,MODEL1,PARMS,LUL,1.110388645,6.417988715,0.2653496,1.347556532,-2.723894857,-1
947,MODEL1,PARMS,LUL,1.151485179,6.725562903,0.156587445,1.959706537,-3.790649076,-1
948,MODEL1,PARMS,LUL,1.100918303,6.797720458,0.165464436,1.459913409,-2.821244399,-1
949,MODEL1,PARMS,LUL,1.053730394,6.970072485,0.142101371,1.44753343,-2.764174588,-1
950,MODEL1,PARMS,LUL,1.130497035,7.445315489,-0.047276031,2.295157601,-4.010678727,-1
951,MODEL1,PARMS,LUL,1.134270866,6.15986237,0.327343126,0.143796409,0.078151941,-1
952,MODEL1,PARMS,LUL,1.149288525,6.190818745,0.322928653,1.091548162,-2.236586548,-1
953,MODEL1,PARMS,LUL,1.109730874,6.664916649,0.212302017,1.496032442,-2.934151852,-1
954,MODEL1,PARMS,LUL,1.19921294,5.820556614,0.404986788,0.938121122,-2.177751007,-1
955,MODEL1,PARMS,LUL,1.019361038,6.600006308,0.271174091,0.550080958,-1.119385135,-1
956,MODEL1,PARMS,LUL,1.138336559,6.591235834,0.172125611,2.007929352,-3.912164791,-1
957,MODEL1,PARMS,LUL,1.089301254,4.907451507,0.681437434,-0.747082621,1.005673297,-1
958,MODEL1,PARMS,LUL,1.122232389,7.413305477,-0.042822907,2.069037681,-3.531479472,-1
959,MODEL1,PARMS,LUL,1.126150978,5.877061249,0.408477833,0.073553033,-0.206280699,-1
960,MODEL1,PARMS,LUL,1.05954053,6.055870344,0.352123518,0.540808591,-0.979811064,-1
961,MODEL1,PARMS,LUL,1.064337526,7.110999312,0.051057957,2.082249831,-3.704362691,-1
962,MODEL1,PARMS,LUL,1.088048717,7.696126809,-0.147683008,3.101256747,-5.506808515,-1
963,MODEL1,PARMS,LUL,1.106443651,6.809811146,0.148087445,1.021869987,-1.498252744,-1
964,MODEL1,PARMS,LUL,1.100352052,6.952549784,0.172775779,0.766729961,-1.354974341,-1
965,MODEL1,PARMS,LUL,1.124233085,6.480445225,0.217746548,1.835152421,-3.680347934,-1
966,MODEL1,PARMS,LUL,1.115294107,6.947736197,0.130567935,1.328073286,-2.36709748,-1
967,MODEL1,PARMS,LUL,1.169563829,6.057118165,0.337661199,0.481187761,-0.760796433,-1
968,MODEL1,PARMS,LUL,1.035363266,6.910406514,0.056305879,2.46345647,-4.578101613,-1
969,MODEL1,PARMS,LUL,1.094741038,6.346033006,0.255755328,1.449058285,-2.818694062,-1
970,MODEL1,PARMS,LUL,1.11676106,6.698004264,0.173634349,1.270274903,-2.2954577,-1
971,MODEL1,PARMS,LUL,1.058354633,7.102703031,0.07570993,1.475130538,-2.579350296,-1
972,MODEL1,PARMS,LUL,1.091404099,6.220267959,0.368078285,0.307656486,-0.621262632,-1
973,MODEL1,PARMS,LUL,1.065461462,5.870164548,0.409106966,0.690234261,-1.51705339,-1
974,MODEL1,PARMS,LUL,1.027582432,7.206938458,0.062906151,1.74047303,-3.080348134,-1
975,MODEL1,PARMS,LUL,1.063843353,5.634081903,0.505004407,-0.59067749,1.082211212,-1
976,MODEL1,PARMS,LUL,1.146518275,6.639460108,0.188885136,1.584457807,-2.873210399,-1
977,MODEL1,PARMS,LUL,1.067954227,6.013789674,0.339172637,0.795202965,-1.471469031,-1
978,MODEL1,PARMS,LUL,1.097310527,6.238580294,0.316593726,0.912507285,-1.847837132,-1
979,MODEL1,PARMS,LUL,1.074602013,7.084853539,0.077958154,1.8230859,-3.343807888,-1
980,MODEL1,PARMS,LUL,1.095151227,6.986787342,0.069764202,1.928004896,-3.497989001,-1
981,MODEL1,PARMS,LUL,1.048705635,6.877465319,0.122297111,1.932644018,-3.647568227,-1
982,MODEL1,PARMS,LUL,1.130693124,7.24025566,0.062579117,2.17916024,-4.157325556,-1
983,MODEL1,PARMS,LUL,1.158580883,5.021290697,0.628381102,-0.215984015,-0.050164397,-1
984,MODEL1,PARMS,LUL,1.218553899,6.914759832,0.125920924,1.27637859,-2.30968258,-1
985,MODEL1,PARMS,LUL,1.062946396,5.226602022,0.615257174,-0.478848118,0.592290822,-1
986,MODEL1,PARMS,LUL,1.132457017,7.091129171,-0.00237997,2.571609827,-4.73157207,-1
987,MODEL1,PARMS,LUL,1.145596319,7.001868137,0.111899374,1.027303526,-1.594300743,-1
988,MODEL1,PARMS,LUL,1.031484576,5.785960893,0.442982307,0.153877386,-0.373736959,-1
989,MODEL1,PARMS,LUL,1.065035129,7.238339928,0.021447346,2.092265573,-3.742460199,-1
990,MODEL1,PARMS,LUL,1.112752426,7.19105749,0.056670811,1.524969454,-2.723277434,-1
991,MODEL1,PARMS,LUL,1.128624372,6.696264131,0.159649444,1.893508498,-3.69128794,-1
992,MODEL1,PARMS,LUL,1.128605613,6.172665243,0.328351551,1.068565392,-2.300669184,-1
993,MODEL1,PARMS,LUL,1.169980462,5.257293547,0.624525773,-0.788367965,1.238556273,-1
994,MODEL1,PARMS,LUL,1.019739703,6.570146734,0.228432614,1.335574901,-2.564558026,-1
995,MODEL1,PARMS,LUL,1.10491478,6.26685441,0.244499081,1.324694615,-2.385055399,-1
996,MODEL1,PARMS,LUL,1.103885476,6.060593054,0.351103693,0.459819079,-0.831837531,-1
997,MODEL1,PARMS,LUL,1.067424054,7.150203881,0.044662766,1.835735277,-3.189859017,-1
998,MODEL1,PARMS,LUL,1.102045966,5.338141374,0.572191091,-0.531335865,0.829373173,-1
999,MODEL1,PARMS,LUL,1.162702333,7.093334057,0.059791845,2.403218451,-4.676828937,-1
1000,MODEL1,PARMS,LUL,1.099157981,7.226573929,0.027991433,2.023625935,-3.688794205,-1
